abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,10.21018028,7.028202057,3.473771095,23.3262558,15.98127079,20.75365639,56.80906296,30.51229477,97.0893631,42.07596588,64.35354614,117.9659576,48.78883743,124.3923721,54.87355042,129.6769104,42.75902176,68.60237122,121.6352768,37.72467041,84.6259079,21.42984772,48.59592819,7.475327492,13.28146935,31.61680222,7.142688751,17.71957779,3.438429832,8.7352705,0.987072825,1.611811996,5.061133862,1.027113199,1.205052137,0.230949432,0.645157099
0.05,9.98349762,6.837443352,3.390195608,22.9331398,15.68299961,20.73252106,56.80114365,30.80575371,96.8677063,42.08015442,65.11993408,120.5164032,49.94252396,127.4768524,56.17744064,132.6127777,43.75165558,70.25043488,124.4502335,38.62119675,86.41445923,21.86534691,49.8470192,7.666036606,13.65634346,32.55339813,7.404918671,18.57239342,3.502994061,9.001856804,0.988793671,1.621235251,4.991684914,1.009971499,1.134811282,0.225547001,0.632647932
0.1,9.573820114,6.54064703,3.253854036,22.19822693,15.10624886,20.45446014,56.070961,30.55738831,94.78199005,41.35246277,64.9697876,121.7769623,50.61003113,129.2251587,56.92910767,133.9253387,43.87491989,70.77098846,125.4609756,38.75040436,86.52043915,21.79406929,49.73551178,7.611050129,13.60730267,32.40246201,7.318121433,18.05114937,3.432682037,8.722981453,0.959714055,1.577310085,4.656963825,0.960829079,1.020555019,0.215101704,0.607457221
0.15,9.055285454,6.179841518,3.077000141,21.19192505,14.30162811,19.91155052,54.47493362,29.62163734,90.15454865,39.36005783,63.15471649,120.0939865,49.93344879,128.1230316,56.44316864,132.8527985,43.14822388,70.0814209,125.1905975,38.31091309,85.53919983,21.364748,48.67893982,7.373785496,13.22096729,31.56006813,7.010022163,16.88996887,3.281519651,8.185565948,0.908756673,1.494916201,4.373781204,0.914826453,0.939721763,0.203256279,0.590014338
0.2,8.492904663,5.796630859,2.893123627,20.04791641,13.43994141,19.04837036,51.86315536,27.90116882,83.46169281,36.15646362,58.99747849,113.0409546,46.51105499,120.9153748,52.87783813,126.0629349,40.88811493,67.01036072,121.4478073,36.78654099,83.6459198,20.80271149,47.81515121,7.186980724,12.87465763,30.84132385,6.811820984,16.20985222,3.162349224,7.792690754,0.859840155,1.416562915,4.143344402,0.867392123,0.906893313,0.193507597,0.556490541
0.25,7.909379005,5.403390884,2.712421656,18.87966919,12.60434532,18.1014576,48.99179459,26.10658073,77.06243134,33.07343292,54.74316406,105.7023773,43.11616516,113.5523224,49.42832184,119.6010056,38.65406799,63.7321434,117.080719,35.19281769,81.20883179,20.15180588,46.67398071,6.98415184,12.49158955,29.99993515,6.598353386,15.62092686,3.078635693,7.466679096,0.821937084,1.357615113,3.824250698,0.813725412,0.865286291,0.183241636,0.514395654
0.3,7.358179092,5.034357071,2.5454216,17.74676132,11.82420921,17.14850426,46.1223526,24.44244766,71.46286774,30.46684456,50.97465515,99.04329681,40.15688324,106.9521484,46.41817856,113.7900009,36.60388184,60.65636444,112.7449799,33.67934036,78.72955322,19.4464016,45.35936356,6.763232708,12.08154202,29.11776733,6.369084358,15.04418182,2.99266696,7.170241833,0.795665443,1.314047337,3.56115222,0.764664233,0.813023448,0.174190551,0.479346722
0.35,6.758569717,4.636017323,2.363828897,16.49316597,10.98660755,16.06203079,42.90101242,22.7169857,65.88275146,27.97489166,47.20551682,92.23377991,37.22579575,100.2651443,43.40465546,107.7029724,34.41534424,57.29797745,107.8136978,31.97957611,75.84407806,18.60888863,43.74881363,6.485115528,11.58320045,28.15514946,6.125174999,14.44815826,2.905386209,6.894663334,0.777574956,1.287389994,3.380692244,0.730555356,0.769011319,0.167897865,0.453839064
0.4,6.157067299,4.24078989,2.181880951,15.2367487,10.15306473,14.92556477,39.63790131,21.11832047,60.84460068,25.78780746,43.77091217,85.8959198,34.57014847,94.05528259,40.61698151,101.9266815,32.29626083,54.01678467,102.7171555,30.25808334,72.7419281,17.70093536,42.13167191,6.18707037,11.06643391,27.12109566,5.854417324,13.85160351,2.804825783,6.607608318,0.754956126,1.253272653,3.238368273,0.706499577,0.742696106,0.163983181,0.436565757
0.45,5.554747105,3.849995613,1.999100924,14.0134182,9.349521637,13.77652645,36.37306213,19.62550354,56.21871185,23.85222435,40.60484695,79.90142822,32.1278038,88.1510849,37.98630142,96.32421875,30.22464371,50.77640152,97.39401245,28.47856522,69.52442169,16.75718498,40.46050262,5.869552135,10.51795101,26.08744812,5.578202248,13.27292633,2.699686527,6.347033024,0.731456995,1.21588707,3.131214857,0.688242257,0.730002105,0.160982311,0.423083723
