abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,122.378746,49.35861206,24.45034218,143.6555176,108.5886154,129.06604,327.4737854,164.2013702,429.8892212,186.8287964,275.7910156,684.8684692,313.3222351,848.4681396,302.1215515,725.6835327,142.5597076,241.3259735,647.0603638,194.6391907,528.1364746,90.52726746,307.6940002,18.22794724,35.72944641,145.3382721,23.40427208,92.62513733,7.770314693,57.46583176,0.686707973,0.952444017,9.786580086,3.547712326,4.043013096,0.524018288,1.200773001
0.05,116.5503845,47.41808701,23.60604095,139.0972748,104.9023972,124.7927628,317.3424683,159.6613464,415.3781128,179.3730469,266.4839783,664.7700806,302.7825317,821.5583496,292.6407471,697.7909546,137.6875458,233.5410004,626.9622192,190.5949402,516.3117676,88.84593964,300.7316284,17.68357658,34.64400864,140.791748,22.70044518,89.77854156,7.538771152,55.58064651,0.682176232,0.941161692,9.588088036,3.484854937,3.959551334,0.519250095,1.185978055
0.1,110.7979126,45.12471008,22.58622742,132.7227783,99.86116791,118.8295212,303.2427979,153.2865753,396.1669617,170.3699036,253.1054688,635.1845703,289.7054138,785.4552002,280.8556519,665.0394897,132.0304871,223.6624451,599.8095703,183.5414886,494.4316101,85.82357025,286.413147,17.02202988,33.32107162,134.7982178,21.85554886,85.74390411,7.261113167,52.83665466,0.664819419,0.915150642,9.276375771,3.3813591,3.818995476,0.511244714,1.165872335
0.15,104.5445633,42.56500626,21.51857948,125.9196625,94.56692505,112.2450256,287.9607849,146.6342621,375.7117615,160.9265747,238.7401123,602.8908691,275.7817383,745.8688354,267.9952698,630.3381958,126.001915,212.8675079,570.0718994,175.7356567,470.2697754,82.45765686,270.7032471,16.28084946,31.8332119,128.140152,20.92162895,81.33719635,6.947101116,49.79756165,0.644792616,0.885270894,8.923225403,3.266096354,3.664310694,0.502372563,1.145011783
0.2,98.29878998,40.06015396,20.41900444,119.8258362,89.51760101,105.9334106,274.1115723,140.993515,357.0524292,152.3622894,225.5774078,572.6595459,263.0500488,708.8990479,256.3504944,598.3057251,120.8010406,203.3873596,542.8881836,168.8225403,448.3730774,79.4888916,256.6204529,15.62392139,30.52788162,122.1180038,20.07332039,77.23519897,6.665512562,46.97090149,0.62842375,0.860349774,8.615431786,3.164129257,3.530143261,0.495346755,1.129211664
0.25,92.01179504,37.51398468,19.31420326,113.5458908,84.46741486,99.66428375,260.6022034,135.9059296,339.1817627,144.4079132,213.0202484,543.3813477,251.1558075,673.5991821,245.549469,568.0478516,116.1186523,194.6621246,517.0755005,162.3155365,427.271698,76.74819946,243.3333282,15.02588844,29.34015274,116.5303345,19.2960453,73.52333069,6.415694237,44.51729965,0.615573287,0.839537621,8.361898422,3.08061552,3.424216747,0.490330428,1.118619084
0.3,86.22584534,35.11444855,18.32201958,108.0221558,79.95233154,94.0026474,249.0345917,132.0499115,323.8883667,138.3164215,202.7678528,517.0856934,240.6668396,641.9921265,236.0957031,542.2439575,112.32164,187.398819,495.2059021,156.9425659,409.3937378,74.44045258,232.0761719,14.53198242,28.35842896,111.7662125,18.62530327,70.21817017,6.202535629,42.29443359,0.605184138,0.822406948,8.138594627,3.007096291,3.332165718,0.48715198,1.113293409
0.35,79.96253204,32.54008484,17.23607826,102.2678757,75.39906311,88.29368591,237.2912903,128.4380951,309.1206055,132.5782013,192.9736481,490.1490479,230.07547,609.6754761,226.7393188,515.9901123,108.7939682,180.4898376,473.4451599,151.8921509,391.7653809,72.31907654,221.1964722,14.09181976,27.49099731,107.2450943,18.01600647,67.19580841,6.021339893,40.35384369,0.596932709,0.80807054,7.943608761,2.943433762,3.255069971,0.484832287,1.110838413
0.4,73.71276855,30.01322937,16.15228462,96.72893524,70.856987,82.65563202,225.4026031,124.7784805,294.7981873,127.1964493,183.6456146,464.2588501,220.0786438,578.4083862,217.946701,491.6620789,105.5397186,173.9884338,452.8588867,147.0919952,374.5809631,70.29719543,210.5328369,13.69637775,26.70387077,103.0321884,17.4462986,64.44983673,5.866098881,38.76470184,0.589033723,0.794686377,7.773222923,2.891571999,3.188097477,0.484122694,1.114813447
0.45,67.44690704,27.42407227,15.01582432,92.10803986,67.18559265,77.784729,213.8652191,121.2457428,281.1441956,122.3535767,175.1168671,439.9613647,210.8441315,549.3510742,210.2468872,469.9174805,102.9903564,168.7269592,435.0219727,143.0194855,359.4356995,68.66400146,201.2549438,13.39698792,26.11426353,99.55466461,16.97617722,62.12740326,5.752425194,37.51886749,0.583044767,0.784717083,7.628829002,2.847152948,3.124578714,0.484477818,1.121781707
0.5,61.66461945,25.10122681,14.02443981,88.39253998,64.2053833,73.82611847,202.9101563,118.0099258,269.2252808,118.2045593,167.724823,418.7371521,202.9659271,524.401062,204.0747833,452.9170837,101.344368,165.1063995,421.569397,140.0127411,347.9154663,67.50504303,194.1929474,13.18425846,25.703825,96.8971405,16.6203804,60.32567215,5.683274746,36.67827606,0.57711637,0.776723206,7.499528408,2.808584213,3.066274405,0.484281093,1.126547694
0.55,55.42028046,22.57862854,12.84085751,85.2641983,61.76345825,70.412323,190.256012,113.7805405,255.557724,113.3301544,159.4411926,395.6053772,194.2339783,497.7367554,197.4542542,435.6572876,99.67079926,161.4812469,409.010376,137.2028809,337.5881348,66.31217194,187.4021301,12.94062424,25.2191925,94.06884003,16.25522232,58.38442612,5.613857746,35.72759247,0.569117725,0.767646492,7.355109215,2.764152288,2.993030787,0.483795524,1.130260468
