abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,11.10602665,15.93675041,7.983512878,55.35594177,34.92754364,49.45516968,113.1659927,58.61323547,167.3907013,68.78661346,109.5978165,193.8139343,77.66825104,192.4478455,79.43025208,195.6903687,50.22768784,81.19954681,151.2028198,45.37952423,110.8184586,24.12778282,58.16259384,7.792084217,14.56014347,37.93201447,8.682630539,25.09963608,4.195375919,13.09827614,1.12066257,2.038707018,8.416184425,1.735411763,2.071286678,0.602935314,1.559435844
0.05,10.70996094,15.43607998,7.74346447,53.62936401,33.78495407,47.68047333,109.3949127,56.62049484,162.1594543,66.67393494,105.9412766,187.1337128,75.25384521,186.3052521,76.98314667,189.1195526,48.68086243,78.62452698,145.8337708,43.98326874,106.5232162,23.3290863,55.53548431,7.513771534,14.02636433,36.03103638,8.327772141,23.69662857,4.037861347,12.41461277,1.073134542,1.947162986,7.893892765,1.672102094,1.969210982,0.587447107,1.521574855
0.1,10.1980629,14.6964035,7.387190342,51.07265472,32.10722733,45.09256363,103.9060974,53.75534439,154.7481842,63.73495483,100.9304276,177.993866,72.00813293,178.0748291,73.81744385,180.6139526,46.74858475,75.41796875,139.3756104,42.29317856,101.3573532,22.33871269,52.36897278,7.162093163,13.35511017,33.65248108,7.883014202,21.87511635,3.836183548,11.51183796,1.019757152,1.843984485,7.301004887,1.597797751,1.847689152,0.569621205,1.480145335
0.15,9.625916481,13.86724472,6.98766613,48.23206329,30.25187302,42.27391434,97.89891815,50.63391876,146.6652374,60.54549026,95.58042908,168.2990723,68.55718994,169.3697052,70.52813721,171.8431549,44.75895691,72.17116547,133.0218506,40.6413269,96.42786407,21.38997269,49.53515625,6.830461025,12.73089218,31.41591644,7.456714153,20.1472168,3.640229464,10.63034344,0.96788615,1.745582938,6.727026939,1.522300839,1.723447919,0.550969958,1.43473196
0.2,9.055026054,13.03588581,6.587005615,45.4061203,28.4162178,39.52800751,92.01132202,47.59742737,138.7597198,57.42789841,90.4247818,159.0852051,65.27513123,161.1400452,67.48563385,163.8110809,42.93470001,69.23350525,127.4812088,39.2200737,92.28618622,20.60006523,47.36998749,6.548954964,12.2118597,29.51520729,7.082777977,18.64856529,3.470988989,9.873010635,0.926132917,1.667940855,6.240692616,1.452742815,1.611418128,0.532402456,1.387601495
0.25,8.476223946,12.19894981,6.183181286,42.58513641,26.59345627,36.84923935,86.21533966,44.62666321,130.9569702,54.34719467,85.47434998,150.2057343,62.08708191,153.1691284,64.61304474,156.3022614,41.23430634,66.52478027,122.4864578,37.95306778,88.8635788,19.94615364,45.81103516,6.313539028,11.78061676,27.93443489,6.76380682,17.39154625,3.328952074,9.220644951,0.894317567,1.60852766,5.84672451,1.395593047,1.516291499,0.514710784,1.343693018
0.3,7.940629005,11.4232378,5.808613777,39.98717117,24.92703629,34.45013428,80.9766922,41.9601059,123.8823776,51.5601387,81.07180786,142.3170624,59.2205925,145.9874573,62.04105377,149.6325073,39.71064758,64.1570282,118.2886734,36.90851212,86.2236557,19.43751907,44.76070404,6.126389027,11.44343662,26.74970055,6.516972065,16.46270943,3.219203949,8.714081764,0.868454456,1.561375022,5.536988258,1.351208568,1.441292405,0.49903053,1.304635167
0.35,7.36154747,10.58187389,5.401237488,37.18048096,23.14105797,31.92022133,75.40970612,39.15013504,116.3386307,48.58510208,76.44842529,134.0013123,56.14401245,138.2584991,59.32876205,142.6332245,38.06580734,61.62533951,113.8764572,35.8020134,83.5380249,18.95481682,43.89033127,5.955857754,11.12758827,25.72922134,6.298008442,15.65599346,3.126274347,8.271332741,0.849712789,1.52731061,5.307220936,1.322136045,1.387548208,0.484928966,1.267932653
0.4,6.777523041,9.739015579,4.991489887,34.38368607,21.37572289,29.4739666,69.96918488,36.43371964,108.9715881,45.66956711,71.99677277,125.8802948,53.0603981,130.4664612,56.58384323,135.6447906,36.38204956,59.07633972,109.3891907,34.64375305,80.8115921,18.45939255,43.07754135,5.801834583,10.83055687,24.88459587,6.109535694,14.97424221,3.04272294,7.905309677,0.834714949,1.499571562,5.13333416,1.297556043,1.344516993,0.472453743,1.232254624
0.45,6.195432186,8.895331383,4.579189301,31.58470154,19.62479019,27.10082436,64.59733582,33.78340149,101.6680984,42.77796555,67.64493561,117.8794174,49.92804337,122.5131531,53.72231674,128.4523468,34.59228134,56.36914444,104.4156265,33.2796402,77.51135254,17.85494232,42.04084778,5.627263069,10.48963261,24.03079224,5.906786919,14.3330946,2.94685483,7.562687874,0.813634753,1.460608482,4.927372932,1.262075663,1.295385599,0.456706822,1.186075091
