abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,32.82638931,27.40980911,13.60647106,94.97622681,63.26015854,80.7188797,231.2388458,116.9507904,344.0012207,141.8915863,213.9443512,396.6734009,161.5684357,400.7982178,152.9789581,356.974823,114.2289352,185.0046692,309.1974487,91.84440613,201.4482269,53.75873566,118.6885757,16.85762596,31.82983971,71.14172363,16.39001274,37.74862671,7.386754036,21.07564926,1.004516244,1.757628322,5.021615982,1.309255123,1.33260262,0.254486322,0.667147636
0.05,31.77945709,26.46974945,13.1730957,92.51530457,61.56298447,79.54554749,227.9255829,116.0152054,338.9100647,139.4486694,211.9799347,399.5456848,162.2758331,405.7045593,153.4735565,359.7094727,113.9500732,185.1853943,314.1694946,92.04280853,203.6994629,53.92938995,119.962326,16.93783188,31.98270607,71.72349548,16.43612289,37.56406021,7.407778263,20.16427231,1.002617359,1.756091118,5.000534058,1.288861871,1.258430243,0.252939552,0.656454921
0.1,30.4419651,25.29382133,12.63165951,89.46109772,59.40781403,78.25322723,224.4752808,115.2507401,333.8849792,137.3054504,211.0782318,405.5531006,164.5211792,414.8201599,155.8529816,367.0975647,115.0407791,187.4337921,322.8713074,93.21380615,208.0620575,54.58262253,122.8377304,17.1307621,32.33096313,73.03590393,16.57278824,37.74990463,7.489095688,19.48800659,1.000186563,1.756415129,5.016120911,1.257794619,1.191028237,0.253124923,0.65155369
0.15,28.92012024,23.97659492,12.0175581,86.08502197,56.96101379,76.88583374,220.7826385,114.3491592,327.8113708,134.9759674,210.4547729,412.9968872,167.6621094,426.536438,159.511261,377.9938354,117.1132202,191.2901459,334.7632446,95.23451233,214.6513062,55.83021927,127.066864,17.49002457,33.03726578,75.26568604,16.81347084,38.45217514,7.640382767,19.52518272,1.001685023,1.764854908,5.075274944,1.218230844,1.185277224,0.253305942,0.639030635
0.2,27.31491089,22.61396217,11.36676693,82.47319794,54.21820831,75.20049286,215.8965302,112.2903214,317.2744751,130.7950287,208.0009613,418.3214722,170.0946503,437.3898621,163.3963318,389.839447,119.7207718,195.8409729,347.3314819,97.55970764,222.1060638,57.35055542,131.2579346,17.98493767,33.94992065,77.84740448,17.09195137,39.60001755,7.867791176,20.73941803,1.011790633,1.785173416,5.054091454,1.2091465,1.207539678,0.25584957,0.634417117
0.25,25.66234779,21.21509361,10.69258118,78.2725296,51.11387253,72.4882431,207.271637,107.1770172,297.9450073,122.15065,198.218338,405.1591187,163.593399,425.9571838,158.1007996,380.258606,116.3391266,191.1287537,342.9149475,95.70150757,218.8521271,56.44380951,129.8409424,17.68683434,33.49085999,77.33509827,16.91736603,38.94869232,7.755847931,20.08396149,0.997747838,1.761289954,5.334809303,1.284739017,1.252965689,0.269107938,0.69026953
0.3,24.09779549,19.89793205,10.08762264,74.15247345,48.26367188,69.37297058,197.3832092,101.4911118,279.3428345,113.6620865,187.1089172,384.925415,154.2620697,405.9784851,149.875824,363.7485657,111.2065125,183.6038971,331.6158447,92.05452728,212.1040192,54.81427383,126.7293091,17.25039482,32.66568375,75.87701416,16.61673927,38.13789368,7.607034683,19.6978054,0.995749652,1.753443003,5.530079842,1.357177973,1.294910312,0.278731465,0.725988984
0.35,22.39686394,18.46920395,9.424940109,69.47080231,45.17654037,65.58152008,185.5032959,95.12854767,259.8535461,105.1716385,175.094986,361.5255127,143.9816437,382.8035583,140.5030518,345.1442871,105.2641296,174.5991516,317.8905334,87.48218536,203.2076721,52.42764282,121.9531326,16.56656647,31.4025135,73.51812744,16.06226921,37.02793503,7.352077961,19.42326546,0.976395726,1.717757583,5.492399693,1.369653821,1.309074759,0.280274689,0.731903732
0.4,20.67679787,17.03014755,8.752140045,64.63610077,42.01827621,61.42556381,172.9703674,88.95032501,241.525589,97.54201508,163.7757721,338.5385742,134.3063049,360.1029968,131.5231171,326.9877319,99.23742676,165.4894409,303.8752441,82.74788666,194.2475433,49.8216629,116.8822708,15.78600788,29.94573021,70.70838165,15.34012032,35.60220718,7.022727013,18.95147324,0.943145573,1.658022165,5.296816349,1.331805706,1.282118559,0.274367929,0.716522813
0.45,18.94042969,15.57966232,8.062559128,59.78633118,38.87358093,57.07239532,160.0241089,82.93299866,223.9790955,90.48638916,152.9400482,316.3230286,125.2711639,338.3131104,123.1567307,309.6448059,93.35280609,156.549408,289.8916016,78.06402588,185.5856171,47.23173904,112.024704,15.0023489,28.50289536,67.85887909,14.6014328,34.15958786,6.688333511,18.42424202,0.905276418,1.592743278,5.051321983,1.26995635,1.227251768,0.262588054,0.686978698
0.5,17.31961441,14.23231983,7.420967579,55.29460144,36.0431366,52.99810028,147.8395996,77.4247818,208.075058,84.21494293,143.0119171,295.9611511,117.2099838,318.3964539,115.7439194,293.7342224,87.96409607,148.2316589,276.3358154,73.69813538,177.4038544,44.77556992,107.5152588,14.27542591,27.16579819,65.21890259,13.92033291,32.85955811,6.381616592,17.93625259,0.867319226,1.529553652,4.764167309,1.192590594,1.15604651,0.247349635,0.64735055
