abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,73.82427979,46.91988754,23.34303284,154.9268951,103.4059525,125.8185577,368.0888367,171.807663,522.8868408,225.1420135,320.0331726,661.4823608,286.6985779,733.911377,263.1270752,636.1473389,157.9832764,265.719574,555.6837769,163.508667,398.2287903,79.89683533,236.0309906,19.30387115,38.33661652,111.5574493,21.57386017,66.18666077,6.059175014,23.7708416,0.491357803,0.750470221,4.330361843,1.682174087,1.700311899,0.325982124,0.953674376
Task 2,70.37922668,44.80918121,22.35146713,148.2532959,98.71327972,120.2736282,350.9243469,163.4647064,495.2226257,213.2145386,302.6043396,623.0935059,269.8382263,687.7828979,248.1226501,595.2470093,149.3293304,251.0501404,522.175354,155.9344482,373.2666626,76.07849121,219.0481567,18.64822769,36.97571564,105.4660034,20.67866325,61.56380463,5.801615238,21.27984428,0.468033463,0.717687428,3.97771287,1.558186054,1.48620832,0.316526502,0.936071098
Task 3,66.86236572,42.57466888,21.32459831,141.0444031,93.69405365,114.3088531,333.509491,155.5826263,469.8502808,202.6130829,287.2483826,588.8538208,254.4861755,644.0164795,234.5918121,556.3844604,141.9268341,238.0666504,491.7936096,148.970108,349.5398254,72.75657654,203.076889,18.03608513,35.67007446,99.8549118,19.95085335,57.62487411,5.630505562,19.36698914,0.452094495,0.694608212,3.784309864,1.485347509,1.369210362,0.310685426,0.917833388
Task 4,63.04663467,40.12537003,20.217659,133.4828033,88.48506927,107.9589844,315.3540344,147.5783234,443.0603333,191.3231812,271.507019,553.2092896,238.5155487,598.1544189,220.5990448,516.7763672,134.4160309,225.0778809,461.9382324,142.3023376,326.5995178,69.5014267,187.4092255,17.43849182,34.39923477,94.28115082,19.24034309,53.81221771,5.468340397,17.74793434,0.437188983,0.672578692,3.618913412,1.419248104,1.271215796,0.306379974,0.900520146
Task 5,59.24346161,37.73012161,19.10664749,126.1136398,83.38246155,101.7211914,297.9060364,140.1926575,417.4109497,180.6153717,256.5788879,519.0543823,223.1896973,554.4622803,207.3475494,479.7283936,127.4911499,213.1636658,434.9121094,136.3182983,306.2871704,66.5643158,173.4190521,16.91923714,33.29766083,89.47911072,18.63302422,50.67796326,5.339709282,16.70277214,0.425549358,0.655699253,3.498270988,1.367181063,1.207076192,0.305021614,0.881429672
Task 6,55.42398834,35.28474808,17.98679733,118.7275772,78.34816742,95.62227631,281.1940002,133.3023376,392.4234619,170.2411957,242.21315,486.7842102,208.9104614,513.8146973,194.8748169,445.8262634,121.2889862,202.5649567,411.5846252,131.1627502,288.9505005,64.02481079,161.1452484,16.49468613,32.38755417,85.45488739,18.16608238,48.21090698,5.247731209,16.02708054,0.416475892,0.64461422,3.441403389,1.3326298,1.185549855,0.30818072,0.86722672
Task 7,51.89518738,33.01407242,16.97219276,112.0433655,73.70298004,90.09779358,266.2285767,127.3080826,370.5671997,161.3652802,229.6199799,458.7288818,196.717392,479.1517334,184.3308105,418.4161072,116.0457153,193.6371307,392.8131409,127.0581055,275.6165161,62.00917816,151.5913544,16.15345764,31.65738678,82.15608215,17.78243256,46.35133362,5.179256916,15.64288712,0.41052115,0.638198078,3.44701767,1.318068385,1.203281045,0.315631837,0.848083913
Task 8,48.09129715,30.58650589,15.88751888,104.9623337,68.89342499,84.47648621,250.8453369,121.2822495,348.1499634,152.2067261,216.6772308,430.3287964,184.6697693,445.2266541,173.7373047,391.8566589,110.9517822,184.8360138,375.6111145,123.1568298,264.1024475,60.11783981,143.3827667,15.83307552,30.96654701,79.32932281,17.44838905,44.89677429,5.121413231,15.35579014,0.407059878,0.635366857,3.488516808,1.318728924,1.248571873,0.324889213,0.831281602
Task 9,44.28844452,28.15559006,14.77489758,98.05531311,64.19342041,78.98820496,235.478363,115.3890076,325.8656006,143.1830292,203.9595642,403.6947632,173.3701172,414.7173157,164.1712189,368.7601929,106.5428085,177.1447754,359.9611511,119.3968048,253.3284454,58.46215439,136.3548737,15.54290867,30.3333416,76.83493805,17.15920448,43.75045013,5.074828625,15.17917156,0.405036271,0.633846998,3.541293144,1.325713634,1.297469616,0.332282871,0.818021953
Task 10,40.4858284,25.73881531,13.65946579,91.60176086,59.92990112,74.04078674,220.3928223,109.5846252,304.2786865,134.5993042,191.9289703,379.1635742,162.5791168,387.7626648,155.4355927,349.1520996,102.7491455,170.4487152,345.3389587,115.6903915,243.7095032,56.93699646,130.7811432,15.32349586,29.87044144,75.21373749,17.01477242,43.27712631,5.06085968,15.13747406,0.406599253,0.639334202,3.606164694,1.342985511,1.340970159,0.340077072,0.800191998
Task 11,36.9642868,23.50724983,12.63398457,85.91169739,56.34763718,69.72259521,206.9658813,104.6541977,285.3746948,127.0524139,181.6868286,358.8783569,153.3116455,366.3424072,148.0680847,333.870697,99.57008362,164.8630066,331.8544617,112.0966415,235.1998596,55.57101822,126.3830719,15.12528896,29.47814751,73.90261078,16.91461563,43.22604752,5.057898045,15.11824417,0.409717798,0.645918787,3.650165558,1.359968424,1.363598347,0.344889671,0.779354274
Task 12,33.17185593,21.09761047,11.45043659,80.14607239,52.88956833,65.30641937,191.6189423,98.92608643,264.4967651,118.4909058,170.2930145,336.5223694,143.1184998,344.5574646,140.1781769,318.1895142,96.03085327,158.7358856,316.2605286,107.8886337,226.2330627,54.08702469,122.2321625,14.87845516,28.99795723,72.56128693,16.80877304,43.54547882,5.063667774,15.06571865,0.412318975,0.650687337,3.676631212,1.373029113,1.367425084,0.344275743,0.746462047
Task 13,29.36509514,18.69088364,10.24131012,72.15594482,48.1453476,59.25839233,172.8935699,90.82099152,241.3380432,108.7200928,157.1858215,309.4498291,131.1672974,319.6272583,130.4923706,299.9985962,91.40726471,150.6548767,297.0162964,102.2883072,215.785553,52.23828125,117.9012451,14.57428741,28.41321564,71.26289368,16.58391762,43.67924881,5.016383171,14.81237793,0.410524249,0.64588505,3.642286301,1.360998511,1.356543183,0.335320622,0.700573623
Task 14,25.60166168,16.29853058,8.963636398,63.4048233,42.8061409,52.71225739,152.6867371,81.27362061,215.6439514,97.69234467,142.4251862,278.9421692,118.0031509,291.1345215,119.5004349,280.7476501,86.15708923,141.464859,274.8345947,95.52624512,203.1873779,50.12685394,112.8657227,14.27289486,27.84091949,70.14149475,16.32548904,43.73445892,4.944334507,14.57736015,0.411886096,0.642141283,3.594143152,1.348871589,1.329798818,0.326188207,0.672473788
Task 15,22.06626701,14.04547024,7.745362759,54.9342804,37.5312233,46.3179245,133.4619141,71.85468292,190.6477966,87.08092499,127.6646576,248.8659973,105.1420822,263.5177917,108.8402557,262.4898682,80.86949158,132.3592834,253.8363953,89.23358154,192.499176,48.34503555,109.1743698,14.04217911,27.39659309,69.42699432,16.04045677,43.7591362,4.835165977,14.36911297,0.414392322,0.637882829,3.547994852,1.336834311,1.288664579,0.319322824,0.666145027
Task 16,18.27365685,11.64592743,6.430589199,45.5046196,31.36978912,38.87274933,111.9681091,60.71046829,161.6166382,74.32023621,109.7084961,212.1113281,89.94382477,230.4066925,96.25267792,240.2774658,74.15950775,120.9992523,228.0165405,81.36469269,179.0023956,45.81858826,104.8235779,13.54845715,26.4356823,67.70048523,15.47285557,43.36432648,4.643965244,14.06474876,0.411487579,0.626473725,3.51800251,1.326131701,1.234165668,0.309272528,0.667945445
Task 17,14.48303986,9.252598763,5.131183624,36.19031143,25.12107849,31.18432045,89.91636658,49.21391678,132.1384277,61.1974144,91.05944824,175.1509552,74.98487091,196.9096375,83.46373749,215.3027344,66.01740265,107.1564484,197.6249237,71.28912354,158.7532501,41.32009125,94.91650391,12.46084309,24.25324059,61.98663712,14.10103607,39.94818878,4.224185944,12.82886982,0.389700949,0.584500432,3.40811348,1.27973485,1.170786381,0.291779459,0.645388842
Task 18,10.6836338,6.865762711,3.837982893,26.82542419,18.75571823,23.2072258,66.91460419,36.82122421,100.8033295,47.04185867,70.58117676,135.4134064,58.89018631,157.920639,68.44859314,183.1538849,54.98125458,88.80518341,161.2477264,58.30128098,130.6912384,34.16285324,78.06177521,10.40988827,20.1375351,51.00040817,11.57111073,31.96037292,3.471498489,10.12579346,0.331395835,0.491419256,2.929696798,1.106294513,1.034046531,0.24864772,0.559343159
