abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,26.88644028,22.4639225,11.25314903,74.146492,49.42784882,60.02981949,164.835022,85.01070404,268.999939,114.7258148,170.6658325,274.4414063,114.870636,274.2318115,116.7679977,266.2663879,85.6499939,144.1611938,224.4968567,69.09174347,150.3326111,39.30958939,93.68235779,11.8930788,22.50542831,53.83300781,11.21700096,27.21630859,5.366380215,15.35159016,0.842415452,1.580645919,4.032103062,1.270919085,1.367405295,0.37503612,0.891907692
0.05,26.10702324,21.66348648,10.87408066,71.74433136,47.78424835,58.44062042,160.3986511,83.00566101,262.0098572,111.8846359,166.912674,270.6123962,113.0962448,270.0244446,114.7130814,261.3306274,84.30429077,141.7527161,219.2820129,67.73703766,146.93013,38.43974686,89.79528809,11.68057823,22.09373283,52.4656105,11.00065422,26.44346619,5.277081966,14.68583298,0.829560876,1.559008956,4.016945362,1.2657727,1.344112158,0.374789864,0.894163668
0.1,24.89271736,20.6147728,10.38275146,68.55264282,45.60953522,56.24265671,154.443512,80.36289978,252.9178162,108.0983658,161.8685303,264.5032654,110.3295593,263.3697815,111.901207,254.7590942,82.41483307,138.37323,212.8962097,66.08382416,142.8952637,37.43440628,85.62386322,11.44464397,21.63016129,51.14340973,10.79398537,25.78216743,5.181331635,14.01158142,0.814204991,1.535281181,4.013700962,1.262022972,1.314758182,0.37751019,0.905720174
0.15,23.51574516,19.45704079,9.839756966,65.09486389,43.26062393,53.97603607,148.2560272,77.70305634,243.3574371,104.1570282,156.9237366,258.7603149,107.6879578,257.3354492,109.3835297,249.1265564,80.62392426,135.2944946,207.456955,64.60705566,139.4091339,36.50811005,81.83752441,11.23180485,21.21281624,50.01976013,10.59939289,25.21855545,5.093015194,13.31228542,0.801148236,1.515090942,4.015276909,1.253264189,1.276060343,0.381964982,0.919314921
0.2,22.1055088,18.28351974,9.290223122,61.67129135,40.93822098,51.86888123,142.4122772,75.28063202,234.2582855,100.4670334,152.5995331,254.1978607,105.5674591,252.8509216,107.5636139,245.4645081,79.2307663,133.0209351,203.7510834,63.464077,136.9246826,35.79485321,78.97486877,11.06785107,20.8927021,49.23551941,10.43400097,24.75379753,5.012372494,12.59928417,0.793736815,1.503807068,4.025431156,1.247896075,1.245297313,0.38741532,0.935670674
0.25,20.67139626,17.09788895,8.736775398,58.27117538,38.63871765,49.91420364,136.8828278,73.04890442,225.5276489,96.97525024,148.8558044,250.6310425,103.9310455,249.7292328,106.3647537,243.590683,78.18580627,131.3909607,201.563736,62.57674408,135.2033844,35.23225784,76.8875885,10.92765236,20.63024521,48.67985535,10.27725792,24.38526917,4.931681156,11.94320011,0.791345477,1.502036095,4.029842854,1.239931822,1.219515681,0.394371688,0.955520391
0.3,19.3381691,15.99996471,8.223594666,55.18105316,36.53895187,48.24542618,132.0288544,71.10586548,217.6350861,93.85142517,145.7708435,248.0900574,102.8275299,248.0868988,105.8704376,243.4815826,77.5763092,130.6661377,200.9061737,61.98504257,134.2523193,34.82923126,75.62753296,10.78526592,20.38726425,48.1556015,10.11481094,24.01441765,4.811696053,11.31604958,0.789171517,1.502987027,3.969974279,1.204697013,1.176282406,0.39443177,0.949830055
0.35,17.88893127,14.8091383,7.660413265,51.83457184,34.24202347,46.46997452,126.6663132,68.82646179,208.326416,90.12456512,142.203598,244.9965668,101.5281982,246.6108704,105.69133,244.3451843,77.08660889,130.3074341,202.2244873,61.78729248,134.1407623,34.58353043,75.3010025,10.63029671,20.13824844,47.70945358,9.924015999,23.69900513,4.665512085,10.91491699,0.777697802,1.489558578,3.857156277,1.153203964,1.133253336,0.381349474,0.929720581
0.4,16.42932892,13.61687374,7.09124279,48.4192009,31.86871719,44.47422028,120.4664154,65.83824921,196.7397156,85.17259216,136.9732666,238.5724182,98.64528656,242.1830139,104.3980484,242.9880829,75.97629547,129.2923737,204.1241608,61.92216873,134.5671692,34.58008957,75.57299042,10.55815029,20.03261948,47.58243942,9.808922768,23.69289589,4.584856987,10.90743256,0.767016172,1.469653845,3.791835546,1.120123386,1.100107431,0.375576824,0.896726251
0.45,14.96181488,12.42099094,6.515603065,44.93242264,29.51735306,42.14092255,112.9123917,61.94979858,182.8258057,78.97861481,129.5094299,227.0045013,93.35742188,232.3260498,100.5258102,236.5772858,73.69393921,126.1654587,203.195755,61.32379532,133.8539276,34.39633179,75.61734772,10.5460968,20.03480339,47.4437294,9.762552261,23.67407227,4.58405304,10.83649158,0.757748842,1.451308727,3.741959095,1.116006732,1.083585858,0.373182416,0.883464098
0.5,13.60305691,11.3157196,5.979959488,41.61389923,27.36448669,39.66385269,104.9784546,57.96542358,169.4629669,73.04034424,121.6318741,213.9241028,87.44790649,220.0809021,95.28934479,226.8468323,70.48738098,121.4224548,199.191925,59.75475311,131.4572754,33.83078766,74.65280914,10.45427799,19.86571693,46.91656494,9.69357872,23.515625,4.573745251,10.76160622,0.738881469,1.416852355,3.749962091,1.11998415,1.086570859,0.36957249,0.916806936
0.55,10.65957832,8.925922394,4.77676487,33.93975067,22.59065628,33.2843399,85.98685455,48.68551636,140.2751007,60.43474579,103.1901321,181.7944031,73.78755951,189.3654938,81.84629059,200.8237762,61.61789322,107.4002609,181.3830261,53.51987457,120.7559128,30.9140625,69.42930603,9.777265549,18.67199135,44.16443253,9.142496109,22.16225815,4.357219696,10.48415852,0.698633909,1.337358594,3.62982583,1.051063776,1.011904597,0.343603581,0.87665379
0.6,10.65957832,8.925922394,4.77676487,33.93975067,22.59065628,33.2843399,85.98685455,48.68551636,140.2751007,60.43474579,103.1901321,181.7944031,73.78755951,189.3654938,81.84629059,200.8237762,61.61789322,107.4002609,181.3830261,53.51987457,120.7559128,30.9140625,69.42930603,9.777265549,18.67199135,44.16443253,9.142496109,22.16225815,4.357219696,10.48415852,0.698633909,1.337358594,3.62982583,1.051063776,1.011904597,0.343603581,0.87665379
