abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,9.55715847,9.957780838,4.94992733,35.00585556,22.5873127,29.33885765,91.2328186,45.21116638,145.7636871,62.66971207,96.49977112,177.2785187,74.09268951,182.1483002,72.64611053,168.782486,58.45806122,97.91242981,156.7133789,49.26687241,105.4465942,28.53864479,60.76461792,9.314703941,17.95519257,37.54749298,8.390007973,19.07656479,4.338881969,11.43769932,0.823406935,1.456446886,4.092927456,0.929900169,1.122171521,0.395205945,0.952615023
0.05,9.18112278,9.564987183,4.765244484,33.89891434,21.83593941,28.68589592,89.27656555,44.47610092,142.6151123,61.37915421,95.07814789,176.513092,73.83753204,182.2725677,72.55101776,169.5843811,58.31025696,97.78092957,157.747818,49.24977112,106.1692123,28.48461342,61.21001434,9.291920662,17.88391685,37.40048981,8.384036064,18.99465561,4.286623478,11.22916317,0.813510954,1.43998456,3.990151882,0.918375075,1.105577826,0.394272864,0.941779852
0.1,8.737224579,9.099219322,4.546128273,32.56991196,20.94117737,27.92990685,87.08352661,43.69077301,139.1966858,60.01747894,93.70298767,176.1085358,73.83774567,183.3734436,72.96420288,171.7513885,58.50209427,98.30094147,160.141037,49.56197739,107.8224564,28.63945007,62.36341476,9.299081802,17.86244774,37.39622879,8.378959656,18.97619629,4.222719193,11.01928234,0.798218727,1.411970854,3.821989775,0.892091036,1.066232443,0.38940683,0.92671901
0.15,8.248166084,8.587028503,4.302226067,31.10359764,19.9398365,27.08638573,84.58575439,42.69546127,134.8218994,58.2259903,91.88482666,175.2107391,73.61131287,184.3472748,73.30471039,173.7241364,58.53453827,98.64203644,162.0591736,49.59425354,109.4091034,28.68600464,63.49552536,9.234473228,17.71134377,37.18113327,8.287715912,18.80967712,4.107026577,10.69815636,0.769998074,1.364771962,3.590388775,0.850633204,1.001327515,0.377380043,0.898364544
0.2,7.752810001,8.069013596,4.051953793,29.55242538,18.87739563,26.11248207,81.52341461,41.23655319,128.8114166,55.60613632,88.91347504,172.1995544,72.24674225,183.5010376,72.8037796,173.338562,58.04604721,98.15260315,162.8468323,49.29678345,110.3469315,28.57344055,63.95028687,9.094520569,17.43562698,36.92473602,8.132866859,18.63285255,3.977236271,10.29768467,0.731524825,1.299897194,3.298086405,0.781616867,0.889516354,0.345428586,0.826614857
0.25,7.255560398,7.549764633,3.80646944,27.96717072,17.8255024,25.04183769,78.01660156,39.47902298,122.2708893,52.72147369,85.34445953,167.9643097,70.19177246,181.5096893,71.79330444,171.708847,57.48193359,97.41035461,163.3125916,48.97956085,110.8362961,28.52083206,64.09121704,9.041689873,17.32040977,37.05018234,8.037989616,18.71936798,3.904119015,10.01396179,0.702644944,1.248615623,3.060188532,0.711904109,0.763039589,0.312684923,0.755482435
0.3,6.795659065,7.0690732,3.580116034,26.451231,16.84654427,23.97019577,74.51361084,37.75576401,116.2484436,50.07954025,81.8940506,163.5421753,68.11812592,179.0653229,70.62691498,169.7246246,56.8669281,96.57844543,163.246994,48.58367538,110.811821,28.43305588,63.87008667,9.009019852,17.22805786,37.04945755,7.942403793,18.7786274,3.84099555,9.758821487,0.681302845,1.208947182,2.962040186,0.681393087,0.711306989,0.302348107,0.726092935
0.35,6.297931194,6.550233364,3.334211111,24.77246284,15.78191662,22.71569061,70.47822571,35.83268738,109.7154846,47.25468445,77.91543579,157.9412231,65.6926651,175.3871613,69.00920105,166.8639832,55.8483429,95.10775757,161.9781036,47.82889175,109.8786392,28.10490799,63.16971207,8.933895111,17.10098648,36.84511948,7.826944828,18.7810955,3.768530607,9.577066422,0.662567616,1.17311132,2.878202915,0.652494907,0.666039407,0.289368004,0.687431395
0.4,5.798030853,6.028477669,3.085803986,23.04562759,14.68535995,21.34217072,66.11419678,33.77649689,102.8651352,44.28804779,73.5330658,151.0680389,62.77990341,169.9634705,66.65895844,162.4489746,54.12559128,92.38671875,158.3654175,46.41245651,107.5269089,27.35601234,61.78401184,8.721084595,16.72101784,36.17054749,7.623831749,18.4564209,3.643562794,9.297904015,0.642665446,1.135936856,2.793100595,0.627999604,0.632119775,0.275326133,0.642160654
0.45,5.298469543,5.507034779,2.834884405,21.2856636,13.58005047,19.87684822,61.40383911,31.56781578,95.7312851,41.20228577,68.8469696,142.7392578,59.21868896,162.2156677,63.32605362,155.9810638,51.52129364,88.14154053,152.522583,44.38271332,103.8431625,26.22328949,59.95397186,8.391695023,16.11163902,35.05054092,7.343144417,17.76691818,3.482384443,8.915519714,0.618643224,1.093395352,2.67762208,0.599644005,0.604963183,0.261298895,0.60128063
