abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,16.98557091,36.64302063,18.34815788,134.7327271,83.13059235,118.6625977,285.2431335,147.254715,431.2651978,176.6888428,294.8605652,411.125946,164.2745667,345.7996521,165.9235077,370.9700317,67.96910858,119.7871323,170.6423035,65.9274826,129.1142426,30.27992249,72.86312866,4.453435898,7.786004543,17.76193047,4.313566685,9.626244545,1.344741702,4.465107918,0.144376263,0.233001128,0.840132535,0.363917679,0.3660146,0.09897238,0.216443047
0.05,16.61192513,35.71691132,17.88993454,131.2063141,80.92064667,115.3249969,276.5969238,142.8747864,419.2720337,171.8526459,286.6813354,398.680603,159.3827209,335.8043213,161.0349121,360.1184692,66.23285675,116.7008133,165.6919861,63.95881653,124.9136429,29.4532547,70.25983429,4.330598354,7.572814941,16.99097252,4.163517952,9.094985962,1.298719406,4.162923813,0.13816303,0.222926095,0.772219062,0.338606,0.331986725,0.09232416,0.202597663
0.1,15.94923878,34.22628403,17.15728569,125.6809998,77.44355011,110.0158463,263.5523376,136.2610626,401.4367676,164.6894989,274.541626,380.5809937,152.4178162,321.6660156,154.1872406,344.6872559,63.81863022,112.4592667,159.1231842,61.35446548,119.0024338,28.35260963,66.485466,4.169476032,7.300218105,16.04148674,3.97442627,8.433101654,1.240026832,3.814646244,0.128731355,0.208090395,0.67671001,0.306497693,0.288871199,0.084113054,0.188696072
0.15,15.09227562,32.36253738,16.2401371,118.8317108,73.13513184,103.4825439,247.8630371,128.2882233,380.0184937,156.1215973,260.1086426,359.6673279,144.4612122,305.6507568,146.4457245,327.2549133,61.0629425,107.6786346,152.0576324,58.5515976,112.390564,27.16432381,62.22161865,4.004065514,7.01866436,15.13253117,3.789105177,7.795499802,1.179730535,3.440639496,0.119231284,0.193152472,0.57655108,0.273877323,0.246350244,0.0772091,0.184671104
0.2,14.17863083,30.40070915,15.2749567,111.6916122,68.64559937,96.77098846,231.8791046,120.1792374,358.2094727,147.4078827,245.5600128,339.4677429,136.8181458,290.552124,139.1538544,310.9515381,58.4663887,103.1276321,145.7860107,56.03373718,106.4084625,26.05338478,58.12966537,3.861265421,6.775977135,14.40661335,3.630331755,7.282357216,1.132456541,3.166047812,0.111700505,0.180578157,0.511855245,0.255568743,0.221353829,0.076227501,0.198386684
0.25,13.2349329,28.3856945,14.28137875,104.3964462,64.07352448,90.05181885,215.9504089,112.1054916,336.4082336,138.7007599,231.1535187,320.2451477,129.5507202,276.3818665,132.3103333,295.7747803,56.03178787,98.77108765,140.2173309,53.81105423,101.2552643,25.06241989,54.55958939,3.743483543,6.573276997,13.87810135,3.508268356,6.919942856,1.100926876,2.975917339,0.107679561,0.173506588,0.50986588,0.256170452,0.217585877,0.079719588,0.21948041
0.3,12.33358574,26.48049355,13.33991623,97.527565,59.77804947,83.84677887,201.3496552,104.6934814,316.2510681,130.6242065,217.9506378,303.0582275,123.0254669,263.6374207,126.1812057,282.0380249,53.8161087,94.76321411,135.3757324,51.91953659,97.11914063,24.2074604,51.77251053,3.646933317,6.409950256,13.51616764,3.420965672,6.706858158,1.083494067,2.87403965,0.106285043,0.170426115,0.552319884,0.270398289,0.233575806,0.08560697,0.241742089
0.35,11.35413361,24.40213966,12.31363583,90.09819794,55.14461136,77.27455139,185.980423,96.89237976,294.8329163,122.0135956,204.018692,285.1506653,116.1988373,250.0927887,119.7644501,267.4944458,51.47313309,90.52502441,130.2170258,49.96141434,93.04374695,23.31941032,49.19065857,3.544632196,6.235198498,13.19725323,3.340636492,6.552654266,1.067312121,2.823578835,0.106631979,0.170715407,0.611814559,0.288668662,0.255416662,0.090766005,0.259321988
0.4,10.36605167,22.31469727,11.27980804,82.66474152,50.51570511,70.82499695,170.9418182,89.255867,273.6399231,113.4656143,190.2460938,267.4836426,109.4002075,236.1856689,113.2670975,252.5366974,49.00344849,86.09768677,124.5513611,47.87228012,88.95117188,22.37905121,46.8237114,3.425657511,6.029279232,12.83076477,3.247399092,6.400502205,1.049871325,2.804233551,0.106650315,0.170440435,0.65538311,0.302930146,0.27251029,0.094576776,0.269940108
0.45,9.367366791,20.20743942,10.23374367,75.17166901,45.87687302,64.46578217,156.2193909,81.73773956,252.4226379,104.86306,176.3673096,249.3940582,102.3428955,221.391098,106.4350357,236.925415,46.29809952,81.30330658,118.3480911,45.60548019,84.72041321,21.35746765,44.4341011,3.296473265,5.795768261,12.40983009,3.136936188,6.221616268,1.024803519,2.767061234,0.10487064,0.167627931,0.672164321,0.306098819,0.277150363,0.094346948,0.268389434
