abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,40.55942917,16.80976295,8.316285133,47.60707474,36.1411438,41.18729782,101.4235077,48.97091293,135.0239563,59.22571182,83.38414001,171.3146057,76.85439301,196.0309296,71.29514313,166.1615143,39.74930191,63.88283157,133.1777191,45.72664261,107.3063583,24.22860527,63.96827316,6.036169529,11.24991798,31.13137245,6.67900753,17.13334846,2.23171401,8.563044548,0.167170227,0.245579615,1.138815403,0.411246181,0.394213229,0.080396622,0.207393259
0.05,38.62458038,16.13362122,8.049040794,45.92372894,34.81503677,39.75127792,98.03199005,47.53210831,129.7437439,56.44727707,79.59072876,165.2476349,73.84661865,188.3022614,68.58995056,158.58815,38.17625809,61.29904556,126.0489273,44.02030945,102.5978165,23.41265678,61.27744293,5.844786167,10.86262608,29.69914436,6.42504549,16.27312851,2.149299383,8.089548111,0.159760818,0.233824164,1.026777506,0.384941757,0.355220437,0.07524696,0.198075756
0.1,36.71673584,15.34818459,7.707539558,43.8555603,33.20111847,37.8743515,93.60803986,45.71905899,123.774147,53.58971024,75.52546692,157.3378601,70.42884827,178.9212646,65.54138184,150.7573853,36.55024719,58.55317688,118.6454849,42.04669952,96.82515717,22.40754318,57.41618347,5.59941864,10.39339352,27.90153122,6.127621174,15.11269569,2.039009571,7.103279114,0.151895404,0.221834138,0.931742013,0.361754328,0.320636421,0.071921885,0.191660032
0.15,34.63920975,14.48277569,7.321931839,41.65896606,31.47574615,35.83271408,89.02487183,43.9066925,117.5697174,50.70853424,71.35860443,149.217392,67.02341461,169.4284058,62.56876755,143.5875244,35.01370621,55.93484879,111.9802704,40.25542068,91.90412903,21.45458031,54.11526489,5.358567715,9.934165955,26.22460365,5.831648827,14.04818821,1.927987218,6.186549664,0.143838242,0.210516617,0.843952417,0.338356346,0.290305018,0.068216704,0.182914466
0.2,32.56267929,13.60540867,6.945235252,39.59786987,29.79522514,33.87952805,84.98270416,42.54425812,112.1291428,48.14717865,67.67894745,142.322525,64.27445984,161.6439362,60.30294418,138.4565887,33.90226746,54.06563568,107.6524429,39.11285782,89.19264984,20.84080124,52.36352921,5.193004131,9.625379562,25.11943054,5.615418911,13.36586761,1.849983692,5.619075298,0.13833569,0.202020094,0.785684109,0.321102172,0.270338356,0.065065034,0.174406916
0.25,30.48622894,12.74215984,6.572341442,37.62215424,28.20316505,32.0266304,81.30176544,41.48992157,107.2038345,45.91978073,64.4183197,136.199585,62.0129509,155.186676,58.64857864,135.0219421,33.12422943,52.78815079,105.2537079,38.49486923,88.21114349,20.49343109,51.80486298,5.091042519,9.437604904,24.53094673,5.4716959,13.01602077,1.801002383,5.369081974,0.134301066,0.196053371,0.748904467,0.306329608,0.257770598,0.061672427,0.164492637
0.3,28.57192612,11.94321632,6.229978085,35.83404922,26.77986908,30.38537407,78.28618622,40.83652878,103.3649979,44.38966751,62.04682541,131.3835297,60.38315964,150.4882813,57.62615585,133.4080658,32.71583176,52.1235733,104.6245651,38.34781647,88.61058807,20.37293816,52.10544968,5.053482533,9.375987053,24.37459946,5.400016785,12.9425745,1.780827403,5.357749939,0.131482244,0.192208111,0.735849321,0.295844257,0.256033421,0.059106275,0.155379042
0.35,26.49043274,11.06733513,5.863788605,34.01845551,25.33046722,28.72054863,75.31975555,40.36917114,99.82067871,43.12387085,60.06028748,127.6441956,59.37253952,147.4641418,57.2937355,133.6967316,32.70853043,52.10779572,106.0736237,38.81644058,90.91962433,20.58407974,53.48463821,5.099908352,9.462748528,24.74372292,5.433188915,13.19378757,1.801890731,5.61176157,0.132144913,0.192623988,0.769579768,0.30009675,0.274037272,0.05938733,0.152100116
0.4,24.40794373,10.1902914,5.490736961,32.27660751,23.89710236,27.12853241,72.4511261,39.97350693,96.63456726,42.05508423,58.45116043,125.0575562,58.9691391,146.0765381,57.61568451,135.5886078,33.02626801,52.6280899,109.4232864,39.82881927,94.80243683,21.10511017,55.69424057,5.223388195,9.681928635,25.60273743,5.59281683,13.78535175,1.872498751,6.099580765,0.138592243,0.201041654,0.850074172,0.321122646,0.314863652,0.062458638,0.155116141
0.45,22.32979965,9.321082115,5.105579853,30.81992149,22.72507477,25.84206772,69.80303192,39.75144958,93.84548187,41.23489761,57.24402237,124.3095474,59.48638153,147.523819,59.09550858,139.8079529,33.91430664,54.10658646,116.5323029,42.06253052,101.8820648,22.37868118,59.23658371,5.50059557,10.15213108,27.75252914,6.105804443,15.351964,2.076329708,7.433504581,0.16858539,0.243097439,1.057704926,0.402994484,0.432991713,0.069890372,0.159502193
0.5,20.41091347,8.515361786,4.762206554,29.55525589,21.72037888,24.65035629,66.28630066,38.69294739,88.9323349,39.31681061,54.43847656,117.9620132,56.99805832,140.536438,56.93746948,136.6374512,32.85974121,52.39500427,112.7985687,40.62601471,99.05409241,21.4883194,58.21645737,5.255828381,9.744731903,26.46273041,5.691781044,14.59139824,1.930498719,6.95948267,0.150584325,0.218381301,0.988264561,0.359756351,0.391994506,0.066829547,0.156473696
0.55,18.33545876,7.645507336,4.359984398,28.52954674,20.94243431,23.59985542,62.17416763,37.45874405,84.56381226,37.74623489,51.99481964,112.096756,54.79684448,134.393158,55.19297028,134.0939941,32.01208115,51.0973587,110.6421204,39.70065308,97.64520264,20.90711212,57.82171631,5.095957756,9.478393555,25.8118763,5.490310192,14.29971504,1.86423552,6.891255856,0.145477816,0.214703009,0.944167018,0.343975633,0.376946807,0.063748851,0.143440336
0.6,16.25803185,6.77523756,3.925436497,25.68153191,19.11047363,21.47719955,56.23254776,34.63476944,78.8935318,35.45554352,48.86334229,105.1177063,51.59770203,126.9943771,52.46917725,128.022644,30.52580452,48.79847336,107.028862,38.22592163,94.46607971,19.9992733,56.7683754,4.882157803,9.10564518,25.22501755,5.30407095,14.08612156,1.796174049,6.969673157,0.142205387,0.210140482,0.942378223,0.338210553,0.377311647,0.062374216,0.137996018
0.65,14.18249798,5.90692997,3.454998493,22.69459915,17.10055923,19.20111275,50.1691246,31.62708855,72.94263458,32.97314072,45.50478363,98.06861877,48.3440094,119.702301,49.61540222,121.6213913,29.05365562,46.45353699,102.9425812,36.64283371,90.92165375,19.10072708,55.28129578,4.666926384,8.719426155,24.55462837,5.118698597,13.80209637,1.730845213,6.986136913,0.138293266,0.202975333,0.931947291,0.329057992,0.375301033,0.060004592,0.13248165
0.7,12.26221657,5.104480743,3.002889156,19.77556419,15.145854,17.03860092,44.66101456,28.80576897,67.17069244,30.53404999,42.30496979,92.55055237,45.8621788,114.8048096,47.76370621,116.9695053,28.08177185,44.88816833,101.8589401,35.937603,90.3874588,18.80122185,54.73518372,4.591236115,8.595165253,24.69178963,5.144861221,14.01171589,1.736405611,7.142342091,0.14269951,0.206456929,1.008388996,0.347751915,0.412016243,0.062864393,0.14090012
0.75,10.18223858,4.236765385,2.504293919,16.5089283,12.76648235,14.3863802,37.82530594,24.74398041,58.17258072,26.48219681,36.90693283,81.74458313,40.62155151,102.7797318,42.78938293,105.2403564,25.26623344,40.34678268,92.13825989,32.45869446,82.09200287,17.04533005,49.68787766,4.19951725,7.880373478,22.57229614,4.753826618,12.74363232,1.634670615,6.575951576,0.131676808,0.195637271,0.891451657,0.325965971,0.394464403,0.058312468,0.133968428
