abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,6.439997673,8.275558472,4.188814163,31.38557816,19.51901054,25.60605621,87.32441711,44.32941055,159.5332642,68.97747803,111.9565659,197.8900604,84.6173172,236.6981049,90.95214844,235.167923,81.10752869,134.2836304,261.6480713,83.5692749,194.2828064,43.17900848,101.2550354,8.544483185,17.1622715,48.92791748,12.00364304,29.77771187,4.161981106,18.22587776,0.244857162,0.330504566,2.601760864,1.064787507,0.962970436,0.243511409,0.578849494
0.05,6.254477501,8.041696548,4.077110291,30.57021332,19.00267982,24.94044495,85.04821014,43.24661255,155.5872803,67.35237885,109.3541641,193.6201324,82.93569946,231.8417206,89.08785248,230.6127625,79.28404236,131.4371796,256.128418,81.798172,190.2951202,42.38443756,99.11435699,8.371984482,16.81908989,48.65456772,11.88098621,29.71765327,4.122656345,18.73460007,0.240558684,0.325456768,2.559561491,1.047108293,0.952880621,0.240147516,0.566700578
0.1,5.947956562,7.646818161,3.887684822,29.14671898,18.10866165,23.70943832,80.95087433,41.29578018,148.9826813,64.57178497,105.0337219,187.9169769,80.89842987,228.0198669,87.5415802,227.4453735,77.6032486,129.0140533,253.7310333,80.97808075,190.3746643,42.18722916,98.44498444,8.25154686,16.65222359,50.10506058,12.10009098,31.0834713,4.224207878,21.10064316,0.247087285,0.334444076,2.637471199,1.07811451,0.992475748,0.249511257,0.58156687
0.15,5.608624458,7.210223675,3.677635431,27.58778763,17.13423157,22.38439751,76.57388306,39.22205734,141.9373169,61.60031509,100.5734787,183.0784912,79.13188934,225.1340485,86.45077515,225.201828,76.199646,127.2384186,252.7846222,80.72132111,192.3837128,42.32125473,98.62571716,8.212914467,16.67495155,51.85477448,12.36395359,32.74923706,4.338801861,23.41983414,0.253543884,0.344065726,2.701246023,1.105384111,1.025604963,0.257956237,0.596115232
0.2,5.268003464,6.773832321,3.467746019,26.04751205,16.17831802,21.10716438,72.36431122,37.23158646,135.1193848,58.70908356,96.41517639,179.3947906,77.68182373,222.800705,85.67922974,223.4447021,75.03921509,125.9951172,252.6486969,80.80194092,195.0439301,42.6503067,99.23394012,8.240219116,16.8159523,53.37804794,12.58480358,34.24088287,4.436528683,25.25668907,0.25840494,0.351217508,2.718004227,1.113773108,1.03685379,0.261123121,0.600448966
0.25,4.927043438,6.336669445,3.257516861,24.52530098,15.24112129,19.87955666,68.35015106,35.34407043,128.5889893,55.90827179,92.50331116,176.5641327,76.47428131,220.501709,85.01999664,221.753067,74.05347443,125.0919037,252.7440948,80.97583008,197.6542511,43.08300781,100.058136,8.300773621,16.99893379,54.5284996,12.75501251,35.32252884,4.510926723,26.53058815,0.261243075,0.356640071,2.707810879,1.112209678,1.0338732,0.261159748,0.594247758
0.3,4.610172272,5.931448936,3.062771559,23.13030815,14.38905525,18.77346992,64.76264191,33.65960693,122.6676178,53.34769058,88.88633728,173.9745331,75.26872253,217.5124359,84.09233856,219.3121796,72.98486328,123.9233475,251.8695831,80.80557251,198.8263702,43.34402847,100.5183716,8.34119606,17.11426544,55.11746597,12.83218288,35.8139534,4.543110847,27.16519356,0.260765612,0.35715279,2.677689314,1.102104664,1.021767855,0.258207649,0.581454515
0.35,4.266242981,5.491262436,2.850525856,21.63010788,13.47875309,17.61133385,60.985672,31.87932205,116.3515396,50.58786011,84.88658142,170.5091248,73.56895447,212.363327,82.34149933,214.6945953,71.40279388,121.7589874,248.6135864,79.8536377,197.6954346,43.25471878,100.3114548,8.330809593,17.1070137,55.09991837,12.78603363,35.69369125,4.523572922,27.18314552,0.255855322,0.35162425,2.616341591,1.07791841,0.995364368,0.251154274,0.558395982
0.4,3.92269206,5.052570343,2.638244629,20.14585686,12.58517265,16.48055077,57.26118088,30.09959221,109.9843521,47.79193115,80.6611557,165.7028503,71.20817566,204.8621063,79.65847015,207.6352997,69.2212677,118.447464,242.6898193,77.99065399,193.9737396,42.74944687,99.34606171,8.256514549,16.96315765,54.54921722,12.64108849,35.04030228,4.461372852,26.66053009,0.247452632,0.340973139,2.54115653,1.048761845,0.963349104,0.242859781,0.531652451
0.45,3.577978849,4.612055779,2.422980547,18.66182899,11.70505047,15.37986755,53.53889465,28.28705025,103.4528427,44.93819809,76.20518494,159.3705597,68.10479736,195.1673279,76.07513428,198.3623199,66.36696625,113.9301987,233.8921356,75.13257599,187.3535919,41.71170807,97.22329712,8.090630531,16.62576485,53.38589096,12.36919498,33.87573242,4.349177361,25.60165215,0.234930351,0.324812144,2.443338394,1.011659503,0.920481741,0.232561618,0.500365317
0.5,3.259699106,4.206434727,2.22292757,17.27163696,10.89082813,14.36019707,50.05894089,26.56455994,97.18521118,42.20704269,71.8436203,152.1583099,64.59405518,184.2993011,71.99282837,187.8695831,63.05097198,108.5799561,222.8869171,71.4858017,178.0927124,40.14224243,93.79795837,7.829543591,16.08904076,51.54851913,11.95281124,32.3140831,4.190654755,24.08036232,0.21861659,0.30376938,2.31110096,0.958807886,0.86511445,0.21862261,0.462728024
0.55,2.914434433,3.766330957,2.000826836,15.70285797,9.977417946,13.2162447,46.12843704,24.5993557,90.08222961,39.10871124,66.80069733,142.8543396,60.11979675,170.8435974,66.90730286,174.8187561,58.80158234,101.6874313,208.2132568,66.56137085,164.9608154,37.75351334,88.37464905,7.43144989,15.26599979,48.59828568,11.30546951,30.0448246,3.957738161,21.71532249,0.195703819,0.275149137,2.114465237,0.879934788,0.78301537,0.199015334,0.417567819
