abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,3.747300386,4.153268814,2.144979715,15.94139862,10.09543037,13.4292984,47.69587708,25.13258743,91.15822601,40.34425735,66.54865265,130.8224792,57.58291245,150.6554413,59.47289658,151.5747986,50.47578049,85.63359833,168.1408081,54.42669296,127.9675751,29.78846931,71.90101624,5.955906391,12.11615658,35.26031494,8.28464222,20.38828659,2.763098955,11.88462067,0.145864934,0.202703908,1.393945932,0.56945008,0.57577312,0.126059145,0.265503228
Task 2,7.958964348,8.901058197,4.518219471,33.19869614,20.94518471,27.19441605,94.74533844,49.17420578,181.2738342,79.86531067,128.7563629,235.7582855,103.4887009,275.3573914,105.4496994,265.788269,89.12176514,148.7033234,288.855835,91.61828613,213.3401794,47.24747849,115.2179337,9.10680294,18.59189415,53.51760864,12.70868778,31.53980446,4.200870037,18.38274193,0.234927863,0.318254888,2.357136965,0.954132617,0.954050362,0.21525979,0.466951072
Task 3,7.714352131,8.620998383,4.384784222,32.28428268,20.37160683,26.5128994,92.68391418,48.31222534,178.2735138,78.58689117,127.1082153,236.4267426,104.1328812,277.5878601,106.5028534,269.3935852,89.82003021,150.2225342,293.947113,93.59585571,220.4963074,48.86093903,119.8052979,9.385549545,19.20876694,55.8879509,13.20962429,32.97530365,4.360587597,20.31509399,0.250157297,0.33918494,2.490587711,1.011474133,1.005110145,0.22890231,0.486667246
Task 4,7.364430428,8.221894264,4.194755077,31.00224686,19.56878281,25.58141518,89.89440155,47.15991592,174.1096954,76.8069458,124.8745041,237.979248,105.2977295,281.4567566,108.3891296,275.9086304,91.21116638,153.0229187,302.136322,96.77066803,231.5033417,51.26467896,126.7171173,9.807864189,20.11187363,58.99969101,13.86634254,34.92167282,4.565743446,22.68250847,0.268434614,0.363944262,2.651292086,1.078756332,1.07179153,0.244372413,0.509193242
Task 5,6.934051991,7.732177734,3.962127447,29.45822716,18.60420799,24.49554825,86.68225861,45.83167267,169.1163177,74.67468262,122.3133163,240.3367767,106.9109268,286.7151489,111.0213013,285.3806152,93.23522949,156.9854126,312.1047363,100.6282501,244.1793671,54.04579926,134.5310516,10.30827332,21.1656971,62.19358444,14.53425694,36.95937347,4.779939175,24.87268829,0.283115983,0.384636343,2.780994177,1.127774,1.1423527,0.25391829,0.521202385
Task 6,6.432982445,7.162540913,3.691761255,27.69419861,17.50004196,23.28793716,83.1151886,44.28713608,162.9567261,72.04434204,119.1444092,241.788147,108.0835037,290.6446228,113.3548737,294.9530945,95.03934479,160.7586823,319.978363,103.8485565,254.1828308,56.4335022,140.871994,10.77300358,22.12242889,64.71817017,15.04843712,38.33426285,4.933241367,26.18764877,0.291174024,0.396959275,2.849503994,1.148621559,1.208572268,0.253902733,0.514935374
Task 7,5.871818066,6.524552345,3.387310982,25.73176384,16.24755669,21.94454575,79.01587677,42.30851364,154.6790771,68.47496796,114.553894,239.1511536,107.1761169,287.9730835,113.2745972,297.7108154,94.90052795,161.4358673,320.1264648,104.4854736,255.3927917,57.29973602,142.7052155,11.01551056,22.60364532,65.77096558,15.25119209,38.32508469,4.949151516,26.18024826,0.292210996,0.400014251,2.880201101,1.155582547,1.268829226,0.252123594,0.503510118
Task 8,5.279821873,5.852238655,3.060731173,23.55615807,14.852355,20.37696648,73.55543518,39.35363388,142.2399597,63.07038879,106.7855759,227.0760651,101.1614532,269.8254395,107.0224991,281.3270264,90.02990723,154.1929932,305.1700134,99.86626434,242.2506409,55.43761063,138.0180511,10.7849741,22.10918617,64.48641968,15.00135803,36.84912109,4.805269718,24.90099335,0.283211857,0.389217615,2.791170359,1.121750593,1.233057141,0.245087937,0.490331799
Task 9,4.670898438,5.162841797,2.722490549,21.15912056,13.38531876,18.57536316,66.66081238,35.53966141,126.8039017,56.29562378,96.17249298,206.2374573,90.55247498,239.0019073,95.44744873,248.4325104,80.78804016,139.3836823,275.9113464,90.0746994,217.8729248,50.97774506,127.3440552,10.03505707,20.58490181,60.65133286,14.25470638,34.6163559,4.569179058,22.56861305,0.263563573,0.362596393,2.563693762,1.043125153,1.066050053,0.229327887,0.46966365
Task 10,3.118223906,3.418273687,1.820716262,14.32683468,9.302471161,13.11041927,46.25062943,24.92727852,88.27896881,38.84472275,67.36142731,144.0443573,60.48964691,164.0478973,65.42953491,169.866745,56.27521133,99.58219147,193.8189545,62.04232025,147.4464417,36.11213684,87.36159515,7.577640533,15.4271965,45.97711945,10.96982098,27.38952827,3.706211329,14.95825863,0.170829788,0.247578859,1.713334203,0.707937062,0.630452037,0.154698595,0.349345386
Task 11,2.673695326,2.921900749,1.558498621,12.27619076,8.017041206,11.32945538,39.83681107,21.57667542,76.62898254,33.61051178,58.57790756,124.8694229,52.01377487,144.2872162,57.32998276,149.8176727,49.62659073,88.62796783,171.7818909,54.5187149,128.680191,31.69321442,75.85593414,6.801314354,13.79076672,40.95795441,9.744294167,24.71749878,3.354335785,12.67095089,0.14328514,0.210640714,1.371372104,0.565876484,0.50331986,0.124042287,0.285689861
Task 12,2.258217812,2.460934401,1.313948512,10.35119343,6.783748627,9.60210228,33.67686462,18.3126812,65.24878693,28.56998444,50.0366478,106.427597,44.12483978,125.2057724,49.58020782,130.5946198,43.1481781,77.75215149,150.4917755,47.35977173,111.4644241,27.46899414,65.34836578,6.011519432,12.13517952,35.84698868,8.47507,21.79483414,2.967252254,10.61779118,0.123915419,0.181344345,1.090616941,0.449904263,0.4029544,0.099003807,0.228996143
Task 13,1.563762188,1.697289944,0.907370806,7.13326025,4.693243027,6.645525932,23.19097328,12.66414452,45.28398132,19.87388802,35.0526886,74.5083313,30.7173996,90.33392334,35.60776901,94.74075317,30.98042297,56.57795715,109.4340439,34.08958054,80.74634552,19.70738411,46.8268013,4.455428123,8.946601868,26.38321304,6.145632267,16.00156403,2.183541059,7.415861607,0.096257031,0.138925627,0.797775805,0.33203724,0.306606263,0.073244914,0.173504591
Task 14,1.266488671,1.370929837,0.733186662,5.759940624,3.792578936,5.366426468,18.67359352,10.20674515,36.50716019,16.08041,28.39402962,60.38991165,24.86404419,74.01605225,29.1373806,77.66175079,25.2440567,46.33122253,89.47776031,27.84655762,66.35121918,16.07661057,38.21921158,3.691118002,7.412573814,21.91631889,5.066534042,13.21094036,1.804070354,6.072172642,0.083466128,0.119314902,0.699304461,0.292796463,0.280347139,0.064439557,0.153422222
Task 15,0.995256722,1.076324344,0.5761078,4.512513638,2.971642256,4.190484047,14.53195953,7.948178768,28.42517281,12.58082199,22.2018528,47.2354126,19.44195366,58.41440582,22.96228027,61.20201874,19.79602623,36.46842957,70.2710495,21.87969017,52.40353012,12.59952259,29.9629631,2.930316925,5.902400017,17.48608017,4.021446705,10.48529816,1.434865475,4.795482635,0.069123119,0.09765394,0.584119976,0.245934263,0.24113296,0.054075092,0.129900888
Task 16,0.613294542,0.669778764,0.359800994,2.783809185,1.836217761,2.554888725,8.803971291,4.821166515,17.27804184,7.682821274,13.53910828,28.9329319,11.88607121,36.01408005,14.13047314,37.72983932,12.14273834,22.47787857,43.23266983,13.45907688,32.58069611,7.716332912,18.53819275,1.828613639,3.708846807,11.04809284,2.532794476,6.613470554,0.903678298,2.990252972,0.045270938,0.063313209,0.384304553,0.162898794,0.160496414,0.036203247,0.087772369
