abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,9.189732552,10.32193661,5.191030502,37.98992157,23.97517967,30.97367477,106.4832153,54.26521683,198.3415833,86.98117828,139.0197906,241.6471863,104.0980148,276.2314148,105.7255249,263.5201416,90.76387024,150.6008301,280.3697815,87.73710632,194.6793823,42.59930038,102.494339,8.355273247,16.77480316,43.75564957,10.60238171,26.04669571,3.385152817,10.23619938,0.155781686,0.216316774,1.511059403,0.610877991,0.607130349,0.138514906,0.371555001
0.05,7.914055824,8.872461319,4.502948284,33.08369446,20.86895943,27.09657478,94.37749481,48.97890472,180.6807404,79.57775879,128.2972565,234.9416046,103.1792679,275.4732056,105.4747467,266.1125488,89.19691467,148.7559357,289.5898743,91.88690186,214.2682953,47.37203979,115.6006851,9.119474411,18.63226128,53.60578918,12.73414612,31.59672737,4.205806732,18.67566872,0.235660613,0.319531322,2.368258476,0.959443808,0.951841116,0.217310682,0.467914641
0.1,7.669709206,8.592882156,4.369894028,32.1713028,20.29644966,26.41665268,92.32229614,48.11870193,177.6803589,78.30065918,126.6444016,235.6094208,103.8158646,277.6376343,106.5116806,269.7189941,89.88324738,150.2607117,294.5951538,93.8482132,221.3716125,48.97071457,120.1619797,9.395587921,19.24295616,55.93611526,13.22637081,33.024086,4.361235142,20.58884239,0.250309467,0.33982718,2.497930288,1.01509428,1.002264023,0.230549127,0.487601489
0.15,7.321222782,8.194162369,4.179966927,30.89078903,19.49459076,25.48407555,89.53926849,46.96735382,173.5245972,76.51996613,124.4053345,237.1597595,104.9719315,281.4074097,108.3638077,276.197876,91.25048065,153.011322,302.5079956,96.94153595,232.0884552,51.32388306,126.9040604,9.811291695,20.12755775,58.96365356,13.86329365,34.93313217,4.560293198,22.8897953,0.267756104,0.363598675,2.65039444,1.078468204,1.066298723,0.244999006,0.508969367
0.2,6.892624855,7.705188274,3.947695255,29.34931374,18.53169632,24.39838219,86.3466568,45.64694595,168.5438843,74.39600372,121.8562622,239.497406,106.5620804,286.5145569,110.9428635,285.5631104,93.22669983,156.9037323,312.1681824,100.7080841,244.4641724,54.05488586,134.5448151,10.30462933,21.16334343,62.089077,14.51544571,36.91718292,4.767675877,25.00934792,0.28210336,0.383613825,2.77405405,1.12492156,1.135115027,0.253788114,0.5196172
0.25,6.392624855,7.136354446,3.677741766,27.58728981,17.42844772,23.19114304,82.79723358,44.11000443,162.404953,71.77961731,118.7009201,240.9119873,107.7145844,290.222229,113.2021255,294.9290466,94.95894623,160.5670929,319.7253723,103.8369522,254.1686096,56.38962936,140.715271,10.75856018,22.09928131,64.54273224,15.01229191,38.22011566,4.914239407,26.24064255,0.289930344,0.395588279,2.837064028,1.143414974,1.198829889,0.253215998,0.512037039
0.3,5.833479404,6.499428749,3.373854637,25.6287365,16.17829514,21.85050392,78.7101593,42.13513565,154.1243896,68.21029663,114.0929565,238.22612,106.7778397,287.3083191,113.0279388,297.3948364,94.72988129,161.0831909,319.4856567,104.3513794,254.9465485,57.18519974,142.3123016,10.9886055,22.55581665,65.52906799,15.19850349,38.14214325,4.924806595,26.14900208,0.290842086,0.398321927,2.86629653,1.1499542,1.257741928,0.251355261,0.500378072
0.35,5.243608952,5.828209877,3.047689676,23.45324898,14.78267002,20.28129768,73.24137878,39.17311478,141.6430969,62.78663254,106.2919312,226.0345612,100.6972656,268.793396,106.6389923,280.5593567,89.75868988,153.664566,304.1741943,99.62136078,241.5596313,55.27861786,137.5523529,10.74624729,22.03794479,64.18817902,14.93758106,36.63332748,4.779495716,24.81241989,0.281790704,0.38724497,2.779236078,1.116545081,1.221722245,0.244505972,0.48806417
0.4,4.637794971,5.141415119,2.71091342,21.06459236,13.32175159,18.48655701,66.36849976,35.37004852,126.2439194,56.02451706,95.68450928,205.2356873,90.09928131,237.873291,95.03778839,247.4974518,80.48651886,138.7975159,274.6871338,89.77131653,217.0828705,50.80434036,126.9337234,9.991308212,20.50481224,60.31765366,14.18551731,34.3867569,4.543143749,22.44376755,0.261878043,0.360122263,2.554128408,1.038444519,1.057019472,0.228628322,0.467094123
0.45,3.089232683,3.398617506,1.809911013,14.24046135,9.242066383,13.02153683,45.9563942,24.75892067,87.73326111,38.58340836,66.89776611,143.0823059,60.04164505,162.792984,64.96109009,168.6568909,55.89602661,98.83703613,192.1273956,61.57879257,146.1558685,35.81102371,86.62792206,7.503648281,15.2814846,45.46445465,10.85712051,27.0823307,3.669006348,14.83660889,0.169079512,0.244683579,1.708763003,0.705735385,0.62574333,0.154077902,0.345465541
0.5,2.646823168,2.903809547,1.548434615,12.19636631,7.960653305,11.24816132,39.56977081,21.42494965,76.13459778,33.37519455,58.17346573,124.0098343,51.61297226,143.1419678,56.9095726,148.6825562,49.2690239,87.90989685,170.1084595,54.05373001,127.376358,31.37802124,75.06147003,6.720167637,13.62961388,40.4046402,9.619572639,24.38706779,3.313477755,12.5374012,0.141622022,0.207865089,1.362906933,0.562146485,0.497626454,0.122866809,0.281609178
0.55,2.231983423,2.442336321,1.303706765,10.27035713,6.727161407,9.521408081,33.4090271,18.15971565,64.74658203,28.3345871,49.63763428,105.5791779,43.73433685,124.1009445,49.17161179,129.4800262,42.79074097,77.04316711,148.8385925,46.89554596,110.1594696,27.14464569,64.49848175,5.926465511,11.96662712,35.2858963,8.345188141,21.45528221,2.925163984,10.47691917,0.121761568,0.177924052,1.076473236,0.443909079,0.395560682,0.097312197,0.223679915
0.6,1.541314602,1.681530833,0.898890853,7.067042828,4.647170067,6.577028275,22.9610424,12.53172874,44.83703995,19.66959572,34.70570755,73.82445526,30.40554237,89.42438507,35.26701736,93.79872894,30.67420197,55.95167923,108.036171,33.6848259,79.64063263,19.41884804,46.06673431,4.376637459,8.790588379,25.85830116,6.025500298,15.69514561,2.144597769,7.286828041,0.093815967,0.135341823,0.777391315,0.323450714,0.297661513,0.071231499,0.168123648
0.65,1.247960567,1.358469009,0.726580322,5.707587242,3.756375074,5.311684132,18.49185562,10.10277653,36.16026688,15.92552185,28.13135338,59.84709167,24.62154007,73.28108978,28.86283112,76.90995789,24.99985504,45.83795166,88.34553528,27.51729202,65.44667053,15.83827591,37.57867432,3.622531891,7.274507046,21.44741058,4.961087704,12.94726276,1.770242453,5.963881016,0.081290409,0.116436578,0.680739462,0.285198748,0.272744805,0.062698603,0.149000734
0.7,0.978489041,1.06458652,0.569899678,4.463386536,2.938124657,4.137896538,14.36201191,7.850584507,28.09947395,12.43326283,21.95240974,46.76198959,19.22861481,57.75133514,22.7088356,60.51337433,19.57308578,36.00944138,69.22668457,21.57290649,51.57577896,12.3809557,29.38156891,2.868228912,5.773663044,17.04576683,3.923855543,10.2403965,1.401950717,4.681369305,0.067125745,0.095036767,0.566594362,0.238767818,0.234055802,0.052448206,0.12562649
0.75,0.599841893,0.660994232,0.355383277,2.746783733,1.811572909,2.517610312,8.670572281,4.745522022,17.03053093,7.573793888,13.35110188,28.53928185,11.70837688,35.45666122,13.91888809,37.17237473,11.95961952,22.09408379,42.33789063,13.19235039,31.86003113,7.527377605,18.02680016,1.774374723,3.59634161,10.66953278,2.45105195,6.399912357,0.874166012,2.890789747,0.043849401,0.061326548,0.372225165,0.157952651,0.156266958,0.035001438,0.084315307
0.8,0.431733638,0.483577609,0.260863543,1.993823886,1.315152168,1.803225756,6.149487972,3.372621298,12.13666439,5.427197933,9.534578323,20.35621262,8.355744362,25.24157524,9.902096748,26.49772263,8.503824234,15.71881962,29.90861702,9.322697639,22.57832336,5.277142048,12.77057266,1.252435207,2.540786982,7.526288033,1.732745528,4.525723934,0.615504146,2.024477959,0.031248627,0.043631978,0.259921819,0.110317551,0.107280865,0.024582632,0.059732132
0.85,0.297519386,0.34443152,0.186967656,1.408595204,0.930134296,1.254583597,4.200735569,2.314601421,8.392198563,3.776085138,6.593928337,14.10186386,5.77746582,17.31631088,6.789357662,18.23077583,5.838226318,10.76880836,20.25062943,6.31923008,15.36643791,3.540073872,8.694910049,0.842515588,1.707397103,5.055347443,1.169089794,3.052592278,0.41433847,1.359789014,0.02114909,0.029597137,0.171287432,0.072427273,0.069200248,0.016261993,0.039702464
0.9,0.174711674,0.216464475,0.118502051,0.873812377,0.577171266,0.762246192,2.451800346,1.365570426,4.995185852,2.279274702,3.927243948,8.329244614,3.405870914,9.991316795,3.923336983,10.5128088,3.360224724,6.166741848,11.33116722,3.5456779,8.61618042,1.954818368,4.883172035,0.463164181,0.933463633,2.73980093,0.638138115,1.664533138,0.224744737,0.741023302,0.011465512,0.016249031,0.089650124,0.037753187,0.035342872,0.008482805,0.020622035
0.95,0.08863467,0.122534536,0.068156369,0.489047885,0.324509174,0.418393731,1.282267332,0.728509545,2.72104907,1.258433104,2.1395123,4.579960823,1.846190333,5.328053951,2.092152119,5.593637466,1.783507347,3.255736113,5.884609699,1.846760988,4.542365074,1.001801968,2.579966307,0.232064113,0.465693951,1.347448587,0.315895945,0.821585536,0.110224396,0.361120105,0.005733101,0.008083955,0.045121044,0.018894853,0.017724734,0.004293749,0.010210316
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
