abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,7.627478123,9.166447639,4.635471821,36.48547745,22.77863884,32.51883316,110.0137939,55.36738586,187.9637604,80.06323242,141.9172516,347.7711182,141.1971588,433.8898926,167.3177185,396.543457,114.4801178,203.3095551,395.5010376,126.5755615,284.181366,74.16210938,187.9125519,22.03640175,43.2928009,123.4025421,25.1929512,72.71447754,10.22705173,46.00627899,1.051677465,1.45203805,10.7969389,2.248133659,2.807487726,0.444792032,1.06599915
Task 2,7.382234573,8.872816086,4.493260384,35.39484024,22.06860161,31.55572319,106.7337189,53.71504211,182.1171875,77.60243225,137.3858948,335.3842468,135.9619904,418.1513062,161.1253662,380.192627,110.4498138,195.7125549,379.505188,121.9489822,273.6584167,71.81052399,180.3948517,21.29077911,41.83240509,118.4725189,24.26705933,69.0016861,9.842439651,42.28871536,1.04321003,1.438717008,10.57067299,2.212965965,2.74839735,0.442652643,1.061529517
Task 3,7.027523041,8.444998741,4.28822422,33.69368744,20.97719574,29.8812809,101.0798569,50.85689926,172.6019592,73.61528778,129.8897858,315.1023865,127.700882,391.7342224,151.4457855,355.3711853,104.8961258,185.4505005,358.8191833,116.0321503,260.3754883,68.49583435,170.2333221,20.18807411,39.6538887,111.3333664,22.96704865,64.10596466,9.284566879,38.10888672,0.983338475,1.359342933,9.881000519,2.117789268,2.559485435,0.430624455,1.024200082
Task 4,6.632247925,7.967806339,4.058866024,31.80516624,19.77090073,28.02831459,94.81575012,47.70658112,162.1645966,69.25272369,121.7232666,292.9220276,118.7272797,362.941803,140.9508972,328.7145996,98.89417267,174.4038544,336.7414246,109.6915894,246.2815552,64.90964508,159.3363953,18.99455833,37.29070282,103.6683502,21.56435776,58.98936844,8.698554039,33.97040558,0.911671281,1.266098976,9.070765495,2.004142761,2.33972168,0.416844815,0.980294466
Task 5,6.236235142,7.49020195,3.829383612,29.9243145,18.57578278,26.19834137,88.62220764,44.61160278,151.9290924,64.99816895,113.7891541,271.2025146,109.9903336,334.8873901,130.7862701,303.0599976,93.06735992,163.7329254,315.5965576,103.5742798,232.9207611,61.4608078,148.9996948,17.84201813,35.00427246,96.34240723,20.19849586,54.16563797,8.139268875,30.25727844,0.838108897,1.171764731,8.244304657,1.889656901,2.132254124,0.402805388,0.937823117
Task 6,5.837432384,7.00942564,3.598469019,28.040308,17.38526344,24.3870182,82.48987579,41.56946945,141.8814545,60.84187698,106.0696716,249.9962158,101.5148087,307.6232605,120.9405899,278.4535217,87.42422485,153.4532318,295.4422302,97.71263123,220.3504028,58.16893387,139.2723389,16.74081993,32.80495834,89.41734314,18.89101028,49.71025848,7.616115093,26.99913216,0.762049377,1.074346066,7.413340092,1.777885795,1.941072702,0.387372851,0.89195621
Task 7,5.469513893,6.566595554,3.386039257,26.313097,16.29956627,22.75014496,76.94361115,38.84099579,132.8793793,57.13341904,99.21001434,231.0921173,93.99794769,283.4562988,112.2364273,256.9637146,82.41394043,144.3870239,277.8764038,92.5544281,209.4516907,55.25799561,130.8316956,15.76888084,30.86203766,83.4230423,17.73135376,45.92078781,7.163889885,24.38448143,0.690516829,0.984249413,6.656732082,1.671135902,1.780798435,0.372138381,0.847783864
Task 8,5.069548607,6.086008549,3.155118704,24.44544792,15.13207626,21.00102425,71.01683807,35.95366669,123.3394547,53.21217346,92.00115967,211.2073059,86.12852478,258.1692505,103.1390915,234.9305878,77.16162872,134.9338379,259.8902588,87.19120789,198.3110504,52.21743774,122.2193146,14.75776672,28.85321236,77.3553772,16.53406334,42.16319656,6.710269928,21.95636177,0.615058303,0.889237642,5.883426666,1.554141879,1.616909623,0.354211509,0.796451211
Task 9,4.669616222,5.60502243,2.923180342,22.59268951,13.97844505,19.2983017,65.24206543,33.17225266,114.1310577,49.43712616,85.11001587,192.1818848,78.64868927,234.1061096,94.48935699,214.4813385,72.13314056,125.9332581,243.1473541,82.1247406,187.8508453,49.309021,114.2352753,13.79415989,26.94947243,71.70819092,15.39842224,38.78279114,6.292963982,19.88868332,0.543783844,0.797897279,5.154574394,1.436918736,1.464403868,0.336179614,0.748720884
Task 10,4.269325256,5.12385273,2.68931675,20.75717354,12.84601974,17.64634895,59.61085892,30.49531174,105.2975159,45.82659149,78.56291962,174.2026825,71.61000061,211.4809418,86.35006714,195.7874756,67.35837555,117.4367065,227.7721405,77.382164,178.0614166,46.53930283,106.9535599,12.88968468,25.16900444,66.53483582,14.33878994,35.84728622,5.895683289,18.10591125,0.479508996,0.711110413,4.506855488,1.327673554,1.332103133,0.316199332,0.698142231
