abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,7.284113407,8.979423523,4.465558529,32.83164215,20.61574173,27.10857582,91.15383148,43.80435944,165.7013092,72.14235687,118.4200439,222.636734,98.38541412,271.8024902,104.8821564,260.4438477,97.01042175,170.4114075,318.2168884,99.15116882,229.9595032,51.39718246,121.5166779,14.65496445,29.95127106,84.365242,18.37236023,47.48367691,7.415875912,25.23965645,0.846524358,1.152602077,6.948444843,2.525080442,2.516226768,0.623542309,1.679224372
0.05,6.986946106,8.600279808,4.283832073,31.62317657,19.83830452,26.18451118,88.12552643,42.5313797,161.4595947,70.34693146,115.271286,220.6448975,97.32811737,272.3515015,105.1210861,261.3592224,97.50630951,170.9807129,319.8566895,99.22242737,232.9739075,51.51495743,123.8571854,14.6266489,29.92930794,85.55149078,18.32680702,47.36672974,7.289216995,23.90292931,0.816158593,1.120172381,6.615509987,2.394229889,2.311589479,0.604279637,1.598211765
0.1,6.647779942,8.175786018,4.081459045,30.27734566,18.9896431,25.21220779,85.01823425,41.32454681,157.6272888,68.75378418,112.5322876,220.0084076,96.82784271,274.9142761,105.978653,263.6161194,98.44127655,172.2640381,322.1868286,99.39785767,236.3438263,51.75895691,126.3924561,14.64762783,30.04789162,87.03607941,18.29251862,47.53458405,7.195116997,22.90511894,0.782977223,1.081749201,6.307085037,2.266701937,2.116776705,0.584290802,1.512776375
0.15,6.266069889,7.706060886,3.857002974,28.82267761,18.08215714,24.2067318,81.90950775,40.18803024,153.883667,67.2530899,110.0274048,220.8689423,96.75113678,279.2756348,107.4084549,266.8388062,99.62865448,173.937973,324.9924316,99.66734314,239.7660675,52.17544174,128.8176422,14.73138905,30.31541061,88.77072906,18.28277779,47.92638016,7.120668411,22.21443939,0.749412239,1.038844466,6.059305191,2.150370836,1.959150791,0.564211249,1.424399734
0.2,5.882400513,7.235886097,3.632552385,27.40984726,17.20680046,23.27549934,79.13922882,39.24272156,150.7234039,66.06685638,108.1259995,223.2059937,97.1379776,284.4732666,109.1104126,270.2334595,100.8113403,175.6966858,327.4282837,99.88792419,242.5152283,52.73540115,130.5253754,14.86774063,30.6811924,90.49411011,18.32188988,48.41678619,7.064170361,21.86351013,0.720861077,1.003027081,5.890230656,2.053879261,1.852619648,0.545465171,1.353453636
0.25,5.495834827,6.762386322,3.406961441,26.02528191,16.35155678,22.39188004,76.6000061,38.40564346,147.9816895,65.07331848,106.6139984,226.6570892,97.89085388,289.8219299,110.8080826,273.0563965,101.8000336,177.3709869,328.4176025,99.78987885,243.7368011,53.24373245,131.238205,15.00468349,31.03839684,92.05390167,18.38833618,48.8666954,7.024606705,21.7491684,0.700305104,0.979300916,5.788666248,1.981481433,1.794569254,0.531325877,1.305312395
0.3,5.136984348,6.323674202,3.197904348,24.7571106,15.56704617,21.59580994,74.33139038,37.627285,145.4213409,64.17588806,105.2961884,230.5899506,98.95900726,294.6071167,112.317215,274.82547,102.4987869,178.6343994,327.4689026,99.35155487,242.9927521,53.64722061,131.092392,15.09801483,31.32099915,93.37001801,18.47283745,49.27233505,7.007401466,21.8465004,0.688810527,0.967131019,5.730817795,1.933073044,1.769563079,0.52384764,1.280533552
0.35,4.749229431,5.850089073,2.971822262,23.38012123,14.71242237,20.71674728,71.77409363,36.62181091,141.9332123,62.91892624,103.6277084,234.7052155,100.3019257,299.5014648,113.9496765,275.8213196,103.0146103,179.4563751,324.6408386,98.62103271,240.5025635,53.99009323,130.6215363,15.09884739,31.45740509,94.43467712,18.53602409,49.7063942,6.992229462,22.2203064,0.681430101,0.956002057,5.694462299,1.899992466,1.759687066,0.520132959,1.275560021
0.4,4.361301422,5.376239777,2.745128393,21.95735168,13.81490612,19.72332764,68.64408112,35.12020874,136.2135925,60.67149734,100.4830627,236.3363037,100.9917068,301.7058411,115.052475,274.8512878,102.6746521,178.9344482,321.9859009,98.22077942,239.0009766,54.37086487,131.217865,15.01940632,31.39537811,95.16093445,18.45854759,50.40836716,6.937603474,23.1628685,0.671716213,0.939900041,5.66702652,1.875498891,1.744749069,0.511355996,1.257824898
0.45,3.971307755,4.900707245,2.514044046,20.41309547,12.83242893,18.52628708,64.58374786,32.99059677,127.3049545,56.69306946,94.86022186,231.8756104,99.15103149,297.1552429,113.9485397,269.3135681,100.7158813,175.5815582,320.2449036,98.03918457,239.6637878,54.7011528,133.0878601,14.86471272,31.12452698,95.7063446,18.09644699,51.46547318,6.789833546,25.37169647,0.662706017,0.925827444,5.679102421,1.869199753,1.729989767,0.498320848,1.210604906
0.5,3.612583637,4.463738441,2.299354792,18.85583687,11.85478878,17.2552433,60.2153511,30.77478218,118.0131302,52.29197311,88.66412354,222.7867432,95.11415863,287.0520325,110.3908615,260.0890808,97.49684143,170.4072418,316.6358948,97.22856903,239.6721802,54.62436295,133.8375244,14.7051363,30.82701874,96.03019714,17.81927299,52.37012863,6.681213379,27.09689331,0.663689077,0.925125659,5.727111816,1.875719547,1.731742263,0.490949363,1.167748451
0.55,3.222616434,3.989043951,2.063089371,17.05570221,10.75937176,15.77222824,54.97344971,28.18442154,107.514389,47.39630127,81.51057434,208.5070496,88.78780365,270.803772,104.0245743,245.6496277,92.16840363,161.9312286,305.4141541,93.72869873,232.6387482,52.87624741,131.1646881,14.30469227,30.05418015,95.44616699,17.47281647,52.64427185,6.581197739,27.82753181,0.662783742,0.922860026,5.769161224,1.882066846,1.740778446,0.488215327,1.150018334
0.6,2.833592415,3.515662432,1.825128317,15.14533806,9.60110569,14.16537189,49.2730484,25.35344124,96.38946533,42.35514069,73.74825287,190.3140564,80.91569519,249.9998779,95.58914948,226.7318268,84.87043762,149.9474487,284.3287354,87.00422668,216.9593811,49.13883591,124.4129486,13.54586887,28.53814125,93.01986694,16.88600731,51.86090851,6.43654108,27.46249008,0.655363679,0.910909295,5.773022652,1.87544477,1.743338227,0.486282587,1.140517116
0.65,2.431966066,3.034361124,1.579697013,13.14276028,8.380350113,12.448596,43.20765305,22.32396126,84.66308594,37.12332916,65.33573151,169.377533,72.02471924,225.4001923,85.72242737,204.3215027,76.07419586,135.1972046,256.5038452,78.31069946,196.2546692,44.16189957,114.5827484,12.45734787,26.31900787,88.02355957,15.85700321,49.85665894,6.146490574,26.25312614,0.635906816,0.881659031,5.696497917,1.829683781,1.725546718,0.479420483,1.121525407
0.7,2.085831165,2.607023478,1.359344482,11.30806351,7.247697353,10.79636097,37.37722015,19.37659264,73.41891479,32.16445923,57.00300598,147.8188934,62.91635513,199.1586456,75.33428192,180.5247955,66.72922516,119.251564,226.0210114,68.89024353,173.536499,38.70729446,103.0494843,11.15476608,23.57170677,79.99889374,14.3350153,46.52649307,5.647249699,24.45472908,0.604218721,0.833241343,5.500325203,1.743519187,1.676434875,0.462237984,1.092891216
0.75,1.696149588,2.134509325,1.115398645,9.269846916,5.964717865,8.919625282,30.81909752,16.01245689,60.58402252,26.51685524,47.31888199,122.7205811,52.32327652,167.3087921,63.04462433,152.0715485,55.71815872,100.2154236,189.8658295,57.88117981,146.5099792,32.44376373,88.33960724,9.530127525,20.12173462,68.48996735,12.19360828,41.21188736,4.85153389,21.82793045,0.550003886,0.747250199,5.051663399,1.569954157,1.549913764,0.418141007,1.034446836
0.8,1.310560107,1.666739941,0.873004735,7.231322765,4.66831398,6.99285078,24.10102844,12.54327393,47.40055847,20.74201775,37.21591949,96.47857666,41.20280457,132.7428589,49.9421196,121.3966827,44.08144379,79.79358673,151.1274872,46.11750793,117.1697235,25.83169174,71.46763611,7.706825256,16.23994827,54.86571121,9.675151825,33.96072388,3.859163046,18.36181641,0.456299335,0.615004003,4.111653328,1.238034368,1.274243474,0.3246966,0.847947538
0.85,0.929660916,1.205266356,0.632987022,5.202243328,3.366138697,5.030331135,17.26128769,8.995679855,33.96990204,14.86695576,26.77271461,69.37997437,29.70030785,96.15019226,36.19530869,88.67837524,31.92669487,58.13241959,110.0989685,33.6053009,85.6252594,18.8022995,52.6550827,5.661626816,11.89353466,39.79965591,6.956052303,25.26886368,2.760734797,13.93898106,0.33033368,0.448142797,2.918420315,0.854185164,0.914190412,0.219137907,0.595273256
0.9,0.588129759,0.793719232,0.418441623,3.380663872,2.186954975,3.228642464,10.95731258,5.720214844,21.61517906,9.47532177,17.06082535,44.07965088,18.94738007,61.35488129,23.18241882,57.25105286,20.5122261,37.49691772,70.92110443,21.65033531,55.26277542,12.05216408,34.0569458,3.625701189,7.603952408,25.23995972,4.386990547,16.38448334,1.718583345,9.101852417,0.204298064,0.281038433,1.777660966,0.505710483,0.56225419,0.127832532,0.375687957
0.95,0.254424423,0.411412448,0.218307063,1.684569836,1.068321943,1.456351042,4.514556408,2.381310463,9.001358032,4.02270031,7.059969425,17.33555412,7.631616592,23.78970528,9.217884064,23.11720657,8.4116745,15.28462791,28.30889702,8.718420982,22.13411713,4.745661736,13.30721283,1.364319801,2.847236395,9.062736511,1.596758127,6.004297256,0.595624328,3.274435759,0.069643423,0.098027453,0.590312183,0.162552848,0.187904984,0.039806686,0.116535418
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
