abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,6.98504591,7.088438511,3.525987625,25.64945984,16.20131683,21.10960007,69.80866241,34.53009415,124.9938202,54.65590286,86.96208191,151.5765533,64.02266693,173.1115417,66.43424988,165.2840881,56.63294601,97.22281647,186.2738495,60.77996445,134.792923,31.03025055,77.90076447,8.224987984,16.98220444,41.79978561,9.980834007,24.34509087,3.243028879,10.00527287,0.163520768,0.2481668,1.312930107,0.597056627,0.605122209,0.111476682,0.26878196
0.05,6.648032188,6.75707674,3.369573593,24.5423851,15.48169708,20.29452896,67.30950165,33.46977234,121.148674,52.97198868,84.52285767,148.7524872,62.74761963,168.2602386,64.50920105,160.4898529,54.68502045,94.01467133,180.1025238,58.67332077,130.5281372,30.10464478,75.40519714,8.028287888,16.59734726,42.25249481,10.10958862,24.97903442,3.402311325,10.58885479,0.172369272,0.263058007,1.412925124,0.600027561,0.531798065,0.1219173,0.279727191
0.1,6.330961704,6.429515839,3.214810133,23.47469902,14.79059696,19.55625916,65.1398468,32.60583115,117.9612274,51.59489441,82.70030212,147.4905548,62.17330551,165.1533508,63.2040062,157.0397949,53.20815277,91.78085327,175.9671631,57.31533051,128.6234894,29.80177689,74.28253937,8.033620834,16.66200256,44.33741379,10.52125549,26.38965797,3.630821466,11.74865341,0.199185014,0.300453335,1.744341969,0.699701607,0.677972019,0.145301029,0.319626182
0.15,6.006722927,6.078999996,3.048274517,22.37409019,14.07220459,18.84489441,63.07019424,31.78499222,114.9123917,50.28871536,81.04866791,146.5644684,61.69932938,161.6325226,61.8406601,153.2902374,51.60719681,89.54577637,170.8173981,55.73989487,126.5243149,29.55022621,73.42980957,8.121041298,16.89495468,46.31632233,10.91702461,27.74943542,3.826292038,12.93886566,0.229505777,0.338929355,2.146683931,0.84364152,0.927871525,0.173906073,0.368351579
0.2,5.617087841,5.699171543,2.868432522,21.16706657,13.31301308,18.01477242,60.80571365,30.94568634,111.6092682,48.85183334,79.32180786,147.2476654,62.07352066,161.7678986,61.94347,153.6643219,51.45317459,89.67420959,173.8068848,56.92082977,132.6213531,31.27548599,77.68239594,8.727232933,18.28081131,51.77289581,11.99162197,31.01405144,4.240308285,15.70224571,0.281002969,0.408566505,2.848676443,1.127731204,1.331578255,0.229903653,0.480333149
0.25,5.261346817,5.335446835,2.695962429,20.05341911,12.60138035,17.2863369,58.77757263,30.14706993,108.4317932,47.48404694,77.71430206,147.2334747,62.08606339,160.5140839,61.69639969,153.0497284,51.05679321,89.51739502,174.4128723,57.54344177,136.7136536,32.58634186,81.16174316,9.226853371,19.37728691,55.1005249,12.69343662,33.03149414,4.51468277,17.46422005,0.317865968,0.457584411,3.355271101,1.335157275,1.615247965,0.273916125,0.573723793
0.3,4.891760826,4.967818737,2.523066521,18.92900467,11.90371418,16.5566597,56.84746552,29.40049744,105.429451,46.19194412,76.2747345,148.1854095,62.59512329,161.6065521,62.44045639,155.2799683,51.75224304,91.11746979,179.4253387,59.67609406,144.6396332,34.78676605,87.27239227,9.890933037,20.79224968,59.07949448,13.50084686,35.29671478,4.814029217,19.63799858,0.354874313,0.507029414,3.807553053,1.520969748,1.844907284,0.316000849,0.666654527
0.35,4.539986134,4.607522964,2.353144646,17.82153511,11.20510101,15.80236816,54.60544968,28.34586716,101.1054459,44.3007431,73.86839294,146.4453125,61.83189011,159.3722229,61.9954567,154.4729309,51.56700516,91.22092438,179.9992065,60.5138855,148.3826294,36.06998825,91.35176849,10.34475422,21.72402573,61.11135864,13.95629787,36.47449112,4.999634743,20.45228767,0.378516287,0.540962398,4.178709984,1.66430676,2.050382614,0.350517035,0.734708011
0.4,4.180464745,4.241550446,2.180266619,16.66483307,10.47778702,14.962183,51.92235947,26.97577286,95.43373108,41.79877472,70.40335083,142.8423615,60.15208435,156.0005951,61.08867645,152.8773804,51.29211044,91.08882904,179.8521271,61.08735275,151.0962372,37.03235626,94.94628906,10.69407463,22.45580292,62.69549179,14.30746746,37.33988571,5.131503105,20.93151665,0.393696696,0.565589964,4.432876587,1.760022044,2.183063269,0.37472105,0.781320274
0.45,3.830144644,3.883125782,2.007745028,15.46804714,9.731766701,14.01054382,48.61844254,25.22989082,88.40339661,38.68811035,65.77742004,136.2838898,57.0015831,149.6333923,58.82484055,147.7866516,49.96343994,88.89825439,174.9369965,59.77775192,148.6773071,36.6516571,94.81227875,10.67163372,22.42460632,62.63557434,14.32102489,37.40275574,5.147114754,20.7011528,0.394930303,0.568196416,4.452393532,1.770338178,2.191922188,0.376890272,0.78565675
0.5,3.488792896,3.538102865,1.841028333,14.28060722,9.007380486,13.03976154,45.20066452,23.49458313,81.65478516,35.70624924,61.27685928,129.2114563,53.56581497,142.8091888,56.11837387,141.4743958,48.05296326,85.71263123,168.4227905,57.55485535,143.3888702,35.5031929,92.00569153,10.42455292,21.91163063,61.50800323,14.10227776,36.94557571,5.077003956,20.17282677,0.386336118,0.55570364,4.308765888,1.719343185,2.124913454,0.363193005,0.756728649
0.55,3.122130156,3.167363644,1.658285022,12.98558807,8.229532242,11.94234085,41.17854309,21.49995804,74.25687408,32.43498993,56.21778488,120.2840195,49.23133469,133.7968292,52.3338356,132.2315216,45.05096054,80.6890564,158.3329926,53.86630249,134.0445099,33.32094193,85.90057373,9.915892601,20.8455658,58.92747498,13.57984734,35.68477631,4.900096893,18.95440865,0.364788085,0.525071263,4.016238213,1.606649637,1.993613124,0.334138632,0.694648862
0.6,2.759705782,2.800479174,1.474128127,11.58030605,7.388042927,10.73586369,36.87931061,19.34399605,66.65071106,29.08932877,50.89796066,109.9369049,44.38676834,123.3143463,47.90424728,121.2987518,41.39314651,74.48871613,145.8539581,49.21385193,122.1287079,30.39065552,77.58008575,9.192577362,19.32949448,55.11668015,12.76943779,33.65394211,4.632966518,17.23283768,0.333025783,0.482102633,3.624245644,1.445824862,1.810517907,0.294295847,0.611438394
0.65,2.405844688,2.441137791,1.289305449,10.14220238,6.516889095,9.46218586,32.35400009,17.04098511,58.7094574,25.62735748,45.17312241,98.15357971,39.16958237,111.5483704,43.02405167,109.4666138,37.31581879,67.54277802,131.7960358,44.02974701,108.9181519,27.03947639,68.29027557,8.312264442,17.48426819,50.22925949,11.70827198,30.88450623,4.286054134,15.30747795,0.295280963,0.429717243,3.149250507,1.244031191,1.566658139,0.248042643,0.512246907
