abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,5.695863724,5.201483727,2.577680111,18.13529968,11.60788631,15.04057503,48.38071442,23.51779175,81.34391785,35.57870865,55.28608322,95.81752014,41.00920868,106.6609344,41.68336105,101.5488663,34.7843399,60.70246887,112.4554367,38.99612427,92.48358917,21.21321678,55.2450676,6.086173058,12.31853104,35.51914215,8.106127739,20.23374557,3.179621458,9.250163078,0.393737406,0.635748744,3.130730629,1.187546611,1.240386128,0.251517802,0.570888758
0.05,5.479319572,5.008820057,2.488716364,17.52952194,11.20441628,14.6113081,47.03540421,22.94545746,79.14252472,34.54129028,53.91744614,93.95010376,40.13681412,103.7557373,40.49285889,98.49581146,33.6112442,58.70521927,107.8019562,37.48645401,88.69612885,20.43220901,52.50654602,5.889605045,11.94889736,34.89899063,8.050971985,20.36217499,3.19636941,9.507645607,0.390938729,0.63519752,3.211458206,1.218739986,1.229597449,0.257726371,0.594500005
0.1,5.19524622,4.748152256,2.366274834,16.72179985,10.67632771,14.06946659,45.46423721,22.34985352,76.85326385,33.50943756,52.6131897,92.97463226,39.64678192,101.9656982,39.70261002,96.33436584,32.70698166,57.14638901,104.6024704,36.4504776,86.22080231,19.99901772,50.47068405,5.817810059,11.8375864,35.43654251,8.267328262,21.30414963,3.333055496,10.17115879,0.396428019,0.649527431,3.462218285,1.297213793,1.252686143,0.275090307,0.660643041
0.15,4.885615826,4.46465683,2.232090473,15.85592747,10.11253643,13.50474167,43.87376785,21.77237701,74.51218414,32.4754715,51.33864975,92.40276337,39.32624817,100.7647705,39.14144135,94.74565887,31.96337318,55.97409439,102.3052826,35.6831665,84.88983154,19.78926468,49.36380005,5.837638855,11.90115261,36.65829849,8.613470078,22.54418945,3.521349192,11.0223093,0.407762557,0.673693657,3.787498236,1.388231635,1.284807801,0.298581988,0.730095744
0.2,4.575680256,4.180864811,2.09777236,15.00802803,9.562416077,12.96007824,42.36537933,21.22992516,72.22075653,31.47581482,50.11810303,92.14022827,39.15884018,100.2920914,38.89014053,93.91763306,31.47060394,55.2949028,101.3842697,35.350914,85.02539063,19.90056801,49.50708008,5.967642784,12.19737244,38.5293045,9.091755867,24.00357819,3.755313873,11.8532114,0.419738531,0.692866206,4.112481117,1.475525856,1.312886477,0.320364028,0.789438844
0.25,4.260582924,3.893251419,1.962631226,14.16417122,9.018432617,12.42381859,40.89641953,20.6958065,69.91526031,30.47669792,48.92410278,92.07746887,39.11816788,100.5235138,38.96509171,93.92441559,31.28568459,55.20176315,102.0597076,35.55517197,86.79982758,20.4077301,51.00902176,6.223590374,12.76610088,40.84454346,9.681481361,25.64400864,4.020215511,12.61682606,0.439675093,0.720016062,4.420465946,1.552060127,1.34881866,0.339491308,0.842151344
0.3,3.970523834,3.629327774,1.840023398,13.39736462,8.521900177,11.92883778,39.50369263,20.1478653,67.58541107,29.46519661,47.70499802,91.73603058,38.99289322,100.925087,39.1598587,94.32662964,31.30278206,55.45946121,103.880661,36.10720444,89.41191864,21.16281128,53.36130905,6.570165634,13.51097679,42.96761322,10.2521944,27.1807785,4.25777483,13.12593174,0.461918652,0.749518394,4.655791283,1.602021217,1.392197728,0.356797308,0.908361614
0.35,3.661019802,3.345231056,1.706914425,12.55476952,7.976385593,11.35506535,37.76403046,19.36233139,64.39904785,28.05650902,45.89757919,90.35133362,38.41693878,100.6524429,39.16296768,94.43789673,31.35343933,55.88883209,106.6550522,36.86162186,92.28723145,22.10236549,56.22748947,6.992179871,14.38742542,44.83317566,10.78230381,28.63854218,4.462308407,13.49316883,0.478018224,0.770662248,4.764443874,1.61602664,1.41795063,0.366726756,0.969994426
0.4,3.349622726,3.060580492,1.572433472,11.6755724,7.416872501,10.71504211,35.71272278,18.36931038,60.50784302,26.32081985,43.51013565,87.88002014,37.30410385,99.49934387,38.84637451,94.14528656,31.41150665,56.2491188,109.4698257,37.61953735,94.75856018,22.97193909,58.73489761,7.337974072,15.09195614,46.34998703,11.19184208,29.85258484,4.619152069,13.89078522,0.486965954,0.782833934,4.786477566,1.615964532,1.427918911,0.370278239,1.005139232
0.45,3.038172245,2.775341511,1.435746431,10.7646246,6.844443798,9.985113144,33.24904251,17.1520462,55.843647,24.23467827,40.51913452,83.907547,35.40529251,96.39537048,37.61051178,91.75534058,30.74650764,55.17481613,108.0784302,37.05417633,93.35618591,22.7321682,58.2577095,7.323051453,15.05614758,46.13691711,11.16324997,29.91984749,4.630879879,13.97294521,0.483762532,0.779721916,4.730066776,1.604937673,1.415585876,0.366849303,1.006862044
0.5,2.749913692,2.512025833,1.309095383,9.90318203,6.313598633,9.262164116,30.72162056,15.92840481,51.34687042,22.22748375,37.50745773,79.08166504,33.06655502,91.66750336,35.51903152,87.05305481,29.23850822,52.58494949,102.3184967,35.02514648,87.99398041,21.39872742,54.89148712,6.937864304,14.2844038,44.07514191,10.69221115,28.75484276,4.493224621,13.60595703,0.469865531,0.761510968,4.612810135,1.582599759,1.390414357,0.357635021,0.981960833
0.55,2.439100981,2.228427172,1.169118643,8.968718529,5.748380661,8.44726181,27.78448105,14.52677822,46.44472504,20.06551361,34.16352844,73.01940155,30.15929985,85.2692337,32.68927002,80.58339691,27.08187485,48.84042358,93.80895233,31.99417877,79.60106659,19.28390884,49.38823318,6.26985693,12.93131447,40.32037735,9.802218437,26.40822601,4.204389095,12.77812862,0.443006635,0.724094391,4.395258427,1.534562826,1.351291418,0.340872824,0.936166644
