abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,7.324205399,8.990416527,4.508475304,34.00476837,21.07386208,28.42668343,95.98576355,47.6758461,169.9468079,72.66494751,120.6250763,221.6297455,93.40081787,248.0868073,99.93105316,229.4642029,72.11463928,128.3000031,237.8934174,80.71685028,167.3900146,44.72846222,103.8771744,13.07335186,26.16395378,67.95020294,14.7359333,39.53686905,6.412345886,24.57002831,0.777613103,1.090749025,6.090977669,1.791049719,2.175284624,0.308685005,0.721528947
0.05,7.037222385,8.649691582,4.345414162,32.80668259,20.30706406,27.46239281,92.78623199,46.1807251,164.6140594,70.31424713,116.5597076,211.4716187,89.22808075,234.4096832,95.13388824,218.8769073,69.24253845,123.0372772,226.2846527,76.86334229,159.278595,42.86836243,98.56416321,12.61118126,25.24886894,65.14839935,14.21892643,37.71000671,6.256503582,22.97488403,0.769996047,1.080488205,5.943321228,1.750281334,2.10624218,0.303950399,0.712200224
0.1,6.715069771,8.239860535,4.148808956,31.33559418,19.36962891,26.26831627,88.87400055,44.38143921,158.4089355,67.6574173,112.0061951,200.6463013,84.82244873,219.4037781,89.84741974,207.3023682,66.17038727,117.4858475,214.1083374,72.63448334,150.9692841,40.76559067,92.54489899,12.08597279,24.21681023,61.95602798,13.63753605,35.68432236,6.098352432,21.1744957,0.767931283,1.078110695,5.832159519,1.715080023,2.047139645,0.298978776,0.696593106
0.15,6.333991051,7.770319939,3.923045874,29.66394043,18.3146019,24.91428757,84.50087738,42.39656448,151.537674,64.74056244,107.0568771,189.8960876,80.44186401,204.3267822,84.59272003,196.6519775,63.27851105,112.2818985,203.1838684,68.75241852,144.6306152,38.78326416,87.1918335,11.54394245,23.14997864,58.80768585,13.05602551,33.78766632,5.902443409,19.31171608,0.749319732,1.05059576,5.534096241,1.651869774,1.91787684,0.291220486,0.669157267
0.2,5.946594715,7.295604706,3.694756031,27.99736023,17.27013969,23.58845329,80.2830658,40.51274872,144.8714294,61.94886017,102.4192047,180.9607391,76.79180145,191.8831329,80.20417786,188.5011749,60.96828079,108.1911697,194.9427643,65.7126236,141.0763245,37.14293289,83.13774872,11.06782246,22.19194984,56.07020187,12.55184841,32.19991684,5.713696957,17.61534882,0.72259742,1.011270881,5.166270256,1.573203206,1.757694602,0.281050891,0.632953227
0.25,5.556999207,6.819374561,3.465887785,26.34717751,16.24216843,22.30023384,76.26608276,38.73324585,138.4203033,59.28010941,98.08028412,174.0789185,73.92720795,182.6203308,76.84140778,183.1748657,59.38719559,105.5148468,190.134613,63.75491333,140.6328583,35.9668808,80.63251495,10.69687462,21.41794586,53.89381409,12.15780067,30.94724274,5.536548615,16.06831741,0.685681701,0.959342957,4.698342323,1.471414447,1.551085949,0.267851561,0.590249717
0.3,5.195113182,6.378255367,3.254647493,24.82931519,15.30167294,21.13511467,72.67852783,37.13032532,132.4043274,56.80799103,94.17904663,169.3475037,71.8907547,176.9324799,74.68917084,180.633728,58.61687851,104.4016037,189.0916443,63.01409149,143.0666809,35.41166306,79.91614532,10.48019981,20.92469978,52.62598801,11.9050169,30.15366173,5.394550323,14.78198242,0.644517422,0.901317358,4.216734886,1.369276285,1.339430451,0.254909307,0.553693593
0.35,4.803199291,5.900695324,3.025422335,23.19387245,14.29027557,19.89166069,68.83667755,35.34840775,125.4631882,53.93758011,89.78031158,165.6688995,70.26690674,173.8739471,73.46144867,180.1553802,58.55184937,104.6455154,192.1044464,63.51783752,148.7302704,35.5534935,81.17832184,10.41193485,20.75009918,52.46045303,11.76737118,29.85601234,5.308670521,13.64714909,0.602433264,0.841196656,3.753924608,1.274466753,1.153366208,0.244571328,0.530277967
0.4,4.410754204,5.42265892,2.794073582,21.52828026,13.26203156,18.6150589,64.76195526,33.35383606,117.5001831,50.55641174,84.77106476,162.3659668,68.81464386,172.9205017,73.07191467,181.0101013,58.97138977,105.9713974,197.9971313,64.98848724,155.5486755,36.18790817,84.02288055,10.48538685,20.92619324,53.68638229,11.7170639,30.32800484,5.312133312,13.15228653,0.576493561,0.807820916,3.616882563,1.25752461,1.152627587,0.250265032,0.55403322
0.45,4.01747179,4.943996429,2.56047821,19.82614899,12.21965408,17.28975677,60.33037186,31.08885002,108.5059967,46.67514801,79.04646301,157.3067474,66.48813629,170.3422699,72.05276489,179.6148682,58.57928085,105.7876282,200.1539001,65.41829681,158.6722717,36.28083038,85.67594147,10.49096298,20.99844742,54.70986938,11.5976696,30.77754784,5.278981209,13.42151833,0.567791939,0.801009059,3.658262014,1.272812247,1.209579945,0.258774579,0.589919925
