abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,7.498040199,9.081611633,4.550912857,35.00239182,21.82667542,29.67466354,100.189621,50.30079269,177.6503906,76.78085327,127.9409103,249.8696594,107.5927963,277.5761414,106.8201523,251.1227264,70.36882019,128.0383759,233.4851532,77.15630341,163.0162659,37.60820007,88.4016571,12.22641087,25.03295898,68.24053955,16.62898064,42.02797318,6.833207607,27.91293144,0.807872593,1.185026884,6.606919765,1.757708669,2.233622551,0.318164736,0.740170121
0.05,7.270541191,8.790045738,4.410496235,33.95746994,21.15039063,28.8071537,97.31890106,48.8945694,172.5926971,74.66786957,124.1021805,239.7409058,103.3918991,265.1577759,102.2181702,238.8522949,67.46884155,122.7779999,221.2938843,73.32752991,154.1064453,35.7416687,83.07886505,11.82635593,24.20029449,66.0592041,16.0741024,40.5375061,6.568649769,25.5631485,0.801807344,1.171272397,6.460538864,1.740689516,2.211044073,0.316728801,0.733161449
0.1,6.913604259,8.355690002,4.203104973,32.31674194,20.10009766,27.34388924,92.52818298,46.5581665,164.8087921,71.45948792,118.2492599,225.0040283,97.37747192,246.7777405,95.6169281,222.1639862,63.83908081,116.3084335,207.2689667,69.01657867,145.1588593,33.60706329,76.88322449,11.34259129,23.16316795,63.53757858,15.41011143,38.71152496,6.253145218,22.49315453,0.788394451,1.147190928,6.178118229,1.711749434,2.179407597,0.31397593,0.719517767
0.15,6.522321224,7.880936623,3.976031303,30.54306793,18.97058868,25.78806686,87.46712494,44.11803436,156.5730438,68.07115173,112.1549911,210.2510376,91.41959381,228.8557739,89.24095154,206.3751831,60.36198044,110.1786728,194.5195923,65.01134491,137.9982452,31.73409081,72.17896271,10.94394684,22.25774002,61.73438644,14.84712029,37.26338959,6.005719662,19.81908417,0.774617493,1.128442764,5.890716076,1.677442074,2.128635168,0.313003719,0.714142621
0.2,6.12812233,7.403359413,3.748034,28.78640366,17.85763168,24.27673149,82.60155487,41.79902649,148.6409149,64.818367,106.4302979,197.175827,86.20762634,213.5966187,83.87724304,193.5991669,57.47760391,105.1978531,184.851059,61.92872238,133.8360138,30.40113258,69.67482758,10.66155338,21.58308792,60.89693451,14.44374561,36.31974792,5.856109619,17.87401772,0.761153996,1.113355517,5.623003483,1.637598395,2.047985315,0.312408298,0.71419996
0.25,5.734388351,6.92564106,3.520397663,27.05400085,16.76626778,22.81799507,77.95014191,39.6040802,140.9988556,61.7042923,101.0915604,186.0018311,81.80744171,201.3600464,79.64892578,184.2911987,55.27602768,101.4570541,178.7236328,59.92999268,132.6547089,29.6632328,69.31272888,10.52582169,21.22058678,61.0764122,14.2005415,36.02231979,5.789320469,16.7085247,0.755072713,1.105965257,5.406177998,1.603924036,1.955088377,0.312689275,0.719216943
0.3,5.378534317,6.491107941,3.31405735,25.49377251,15.78762341,21.53593826,73.88821411,37.69533157,134.1607971,58.91429138,96.45149231,177.4654541,78.45185089,192.8535614,76.74169922,178.776062,53.87068176,99.07236481,176.2944489,59.04448318,133.8226318,29.47813416,70.56931305,10.53232384,21.18513107,62.06658554,14.0973177,36.48284912,5.781914711,16.35618401,0.758303642,1.109218955,5.232190609,1.57868433,1.848984957,0.315443546,0.733159304
0.35,4.980063438,6.010353565,3.085560799,23.77436829,14.71738434,20.14065933,69.48701477,35.63373566,126.6696014,55.83222961,91.42984009,169.5453949,75.32740021,186.254776,74.58891296,175.8943329,53.01844025,97.67482758,176.738205,58.95817566,137.1701202,29.73165512,73.25511169,10.63031483,21.40314674,63.82361221,14.07412529,37.87756729,5.781344891,16.63029671,0.755747199,1.104178429,5.008674622,1.545698643,1.709502459,0.317454726,0.746472955
0.4,4.583592415,5.531054497,2.856716156,22.06125259,13.65360641,18.76917267,65.08851624,33.54389191,118.8131561,52.53225708,86.25839233,162.5003967,72.52107239,181.6512451,73.22506714,175.0445251,52.66726303,97.18486023,178.6984253,59.35114288,141.1000214,30.22395134,76.35518646,10.75664902,21.7243557,66.00894165,14.13022137,40.03735733,5.785414219,17.3991909,0.747514665,1.095120311,4.829371929,1.520242929,1.57664299,0.319986016,0.759016216
0.45,4.187400341,5.051916122,2.625039577,20.3400631,12.58850098,17.39494705,60.52514267,31.30618668,110.2144775,48.81575775,80.64105225,155.1349182,69.52489471,177.0591888,71.86536407,173.9377747,52.27122498,96.4641037,179.6253967,59.46764755,143.5253906,30.55759239,78.45801544,10.80652618,21.9464283,67.84268188,14.17897987,42.06274033,5.762127399,18.32642937,0.735119939,1.086045742,4.726131916,1.492804766,1.47555387,0.321041882,0.762963712
