abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,43.54216385,28.96919632,14.42978191,99.35397339,66.49736786,86.75843048,281.5498962,139.1539764,463.7132874,203.4391327,325.8114624,661.197998,275.4247131,690.6807861,245.330719,551.5626831,172.5047607,311.67453,461.7712708,145.409317,322.9711304,74.63235474,188.58992,18.66592789,36.61162949,102.1495972,20.34674454,53.76163864,7.959272861,31.85320091,0.593562603,0.921058714,3.628826141,1.235940337,1.117844582,0.182554469,0.506497025
0.05,41.55580902,27.73061371,13.86379051,95.41549683,63.76168442,83.37664795,270.899353,133.9613495,446.5361938,195.7188263,313.8663635,634.5933228,264.3427429,657.6404419,234.1591949,523.0411377,164.2498016,296.4947205,431.0921021,137.7123871,301.4764709,70.20111084,171.270462,17.56424332,34.27600861,94.1158905,18.97395515,48.60187531,7.377718449,24.88202858,0.580263078,0.886526763,3.581784487,1.248681426,1.246032596,0.191118374,0.552601039
0.1,39.51070404,26.35079575,13.23534203,90.93483734,60.70384598,79.35547638,257.9498291,127.7733078,427.5153809,187.5885315,300.4881897,604.1535034,252.0074463,620.0292358,222.2000427,493.6229553,156.3140717,281.5134277,400.1654053,130.0001831,277.5629272,66.61243439,154.151947,16.6948185,32.38527298,87.77158356,18.01623535,45.52397537,7.02052021,21.06415749,0.584140956,0.883006215,3.676689386,1.292402625,1.377541184,0.202283621,0.597399235
0.15,37.27133179,24.84804535,12.54119015,86.1044693,57.43162918,75.06314087,244.2967529,121.3735275,407.4563599,179.0871582,286.5717163,573.1102295,239.4616547,581.8167114,210.3383942,465.2008972,148.5765839,267.1444092,371.940918,123.1622086,257.3302917,63.72542572,140.6101532,16.053442,31.04422951,82.97515106,17.3711319,43.88642883,6.761619091,18.75896263,0.615261197,0.91432488,3.961552858,1.396757722,1.576627612,0.221762672,0.657098413
0.2,35.0270462,23.35541725,11.84895802,81.47341156,54.25016785,70.89914703,231.2719574,115.4002914,388.2536011,171.0415192,273.4543152,544.867981,228.112915,547.4248047,200.0455627,441.4786377,142.1299896,255.4340363,351.141571,118.4009705,244.9702606,62.22577667,134.0060577,15.85295773,30.69251251,80.87384796,17.26797104,44.43357468,6.705273628,18.7678299,0.671213865,0.975825429,4.46381712,1.572648525,1.818870425,0.248999178,0.726731002
0.25,32.77812195,21.85583305,11.15953255,76.87929535,51.13689804,66.88023376,218.8568573,109.8458405,369.9072876,163.4742432,261.183075,519.7327881,218.1202545,517.5639648,191.5884857,423.3692627,137.4059448,247.2663269,339.6894531,116.2360916,242.2049561,62.58459091,135.6169281,16.17557526,31.41898727,82.32715607,17.78863907,47.25275421,6.952177525,20.79590416,0.742651463,1.05616951,5.144135952,1.816097021,2.10901165,0.285624325,0.816071033
0.3,30.70207596,20.46310234,10.53316784,72.72743225,48.33732224,63.28317261,207.9633331,105.07061,353.5155334,156.803833,250.4266357,499.2019348,210.0952454,494.3789978,185.5453949,412.0755615,134.8214569,243.3401642,338.4844055,116.8648758,248.8247833,64.79476929,144.4299011,16.94419861,33.0399704,87.13001251,18.87039375,51.53990555,7.472875595,23.76595306,0.806818902,1.141544461,5.866492271,2.078972816,2.452437401,0.327444941,0.909506142
0.35,28.45266724,18.96459007,9.846633911,68.30454254,45.36528397,59.50060654,196.5593109,100.1103134,335.7572632,149.5688629,238.829361,478.9798279,202.3549042,473.6635132,180.8611298,405.4760742,133.888382,242.7719421,346.875824,120.3325119,265.000946,69.36383057,159.760376,18.2538147,35.74657822,95.25035095,20.60534668,57.22411728,8.265830994,27.73723984,0.88447237,1.255382061,6.725850105,2.384646654,2.864211321,0.377698034,1.029497266
0.4,26.20200157,17.45783234,9.164018631,63.96281433,42.41536713,55.76404953,185.0915222,95.05173492,316.7771301,141.6281433,226.3990936,458.979248,194.5646973,455.3153381,177.223877,401.7800598,133.9870758,244.1330872,360.6480713,125.4195023,284.716095,74.97285461,174.7194672,19.66997719,38.67362976,103.3929138,22.32709694,62.22517776,9.013373375,31.36964226,0.970567644,1.385312438,7.633394718,2.690739393,3.194643021,0.431576908,1.179539323
0.45,23.95054054,15.95427132,8.464879036,59.76366043,39.58132935,52.102211,172.8128815,89.47319794,295.2866211,132.4499207,212.08255,435.2692871,184.7262878,433.5170593,171.8076019,392.6322632,132.2346954,241.9373627,366.222168,127.615593,294.0068665,77.74729919,180.6401672,20.25947952,39.96588135,107.049469,23.00638771,64.53079224,9.311526299,33.33184814,1.017662644,1.452663541,8.159740448,2.861410379,3.354092598,0.465759039,1.265982032
