abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,30.36923981,13.77386856,6.775146961,39.89598083,29.67567253,35.08162689,86.62434387,43.29399872,130.5022125,57.48710632,86.42215729,149.5060425,64.71011353,157.8880768,65.0484314,148.5873718,46.9262085,78.8809967,138.4468842,44.05084229,99.11936188,25.46767426,57.77019501,8.038574219,15.3577013,35.46935272,7.800181389,17.90917778,4.07441473,9.041513443,0.858975291,1.604676962,4.461372852,0.979868472,0.919512808,0.360798359,0.876769006
0.05,29.55446815,13.31012058,6.577499866,38.92623901,29.00837708,34.58084869,85.85295868,44.05750275,130.9039307,57.27815247,86.9635849,155.8996582,67.32637024,166.5846405,69.02570343,158.8921967,49.30916214,83.7182312,152.5198669,47.16545868,108.1040115,27.29842758,62.75796127,8.559393883,16.30280113,38.06584167,8.311605453,18.64618492,4.164152145,9.419623375,0.884156227,1.649226785,4.252336502,0.917966187,0.893458664,0.350249678,0.819957018
0.1,28.45266724,12.74504471,6.327401161,37.61149216,27.94750404,33.73117065,84.15795135,43.81981277,127.8861618,55.88831329,85.94483185,159.0522766,68.83499908,171.6888733,71.49450684,165.4802094,50.54779053,86.36696625,160.783783,49.01840591,113.5234604,28.31132507,66.33831024,8.781837463,16.73444176,39.52566528,8.546805382,19.33486938,4.287968636,9.720348358,0.893579841,1.664547801,4.30167532,0.927818,0.904386044,0.357303917,0.80893296
0.15,26.86676979,12.01860237,6.006973743,35.93146515,26.55050468,32.52795029,81.82281494,43.02071381,122.5970001,53.52238083,83.8867569,160.112915,69.55918121,175.4576721,73.28298187,171.1566162,51.35103607,88.43775177,168.1297302,50.59096146,118.273735,29.15239906,70.16378784,8.993268967,17.12413025,40.93141174,8.769094467,20.06679344,4.428904533,10.13349056,0.894139171,1.674061418,4.517020702,0.954641223,0.923329234,0.367742717,0.820589542
0.2,25.20310593,11.27211571,5.671150208,34.18090439,25.0611496,31.19831657,79.06635284,41.77585602,115.0919571,49.97320557,80.14071655,156.8322296,67.9860611,173.9416046,72.28397369,170.8275604,50.42702866,87.68127441,170.0872192,50.37147141,119.8970795,29.14772797,72.11894989,8.971727371,17.09381294,41.36616135,8.725910187,20.17835999,4.415576458,10.31809139,0.890469313,1.670224428,4.546236038,0.948200643,0.921694458,0.363392144,0.799523056
0.25,23.52993393,10.53225803,5.34145546,32.40660477,23.61326599,29.70566177,75.60845947,40.02432632,106.8630295,45.89281082,74.74034119,148.2437439,63.85181046,165.1358032,67.88681793,163.0177002,47.51231766,82.94541931,163.5905457,47.86954498,115.7445374,27.83852768,69.92382813,8.645207405,16.49882889,40.09029388,8.447203636,19.48740959,4.265745163,10.19240189,0.876701057,1.647830844,4.420776367,0.92147541,0.927157402,0.36190173,0.821220458
0.3,21.94648743,9.84055233,5.045470238,30.75528717,22.32002831,28.29875374,72.43395233,38.67079544,100.8863678,43.08308411,70.73613739,141.3851471,60.73901749,158.1125183,64.60090637,157.7634277,45.20077896,79.08389282,157.7420044,45.80078506,112.1459427,26.71079826,68.19831085,8.367330551,16.0183239,39.26439285,8.244688034,19.07085609,4.165817738,10.17983913,0.861211061,1.619454384,4.403027058,0.904739618,0.928723514,0.357443392,0.821522713
0.35,20.22455025,9.089364052,4.728352547,29.01444435,20.98766327,26.77425766,68.95988464,37.38516235,95.39453125,40.72846222,67.02276611,134.6905823,57.94201279,151.3808746,61.64361572,153.3088684,43.07339096,75.47034454,151.6225128,43.73252106,108.1856384,25.55662537,66.4716568,8.058334351,15.47995663,38.32549286,7.962404251,18.63220024,4.047831059,10.15117264,0.842319429,1.577439189,4.324691296,0.876141429,0.906381845,0.34337455,0.783187032
0.4,18.49015427,8.341716766,4.407016277,27.3119278,19.6763401,25.2201004,65.42082214,36.21313095,90.62976074,38.81458664,63.81234741,128.9207764,55.74585342,145.7967834,59.38509369,149.9212036,41.40371704,72.53016663,146.3539734,41.97952271,104.7899017,24.57767677,65.08564758,7.760215282,14.93499088,37.42147446,7.670970917,18.2627697,3.93043685,10.16798973,0.826824605,1.538064122,4.199391365,0.847069323,0.883389115,0.331459224,0.746811807
0.45,16.74950218,7.595086098,4.075675011,25.79616547,18.54706192,23.80683899,61.8662796,35.13583755,86.42760468,37.2457962,60.99895859,123.871788,53.97843552,141.1478424,57.76821518,147.2878265,40.2110939,70.33734894,142.0988007,40.65289307,102.4422531,23.87316704,64.42046356,7.531327248,14.48685455,36.73552704,7.428627014,18.05554581,3.834728956,10.2549839,0.812096357,1.506424069,4.090089321,0.821458399,0.858249903,0.323705703,0.708330274
0.5,15.15453625,6.924956799,3.788475275,24.57704353,17.66320229,22.61670876,58.49691772,34.09864426,82.62806702,35.83987427,58.41497421,119.0328369,52.2877388,136.5909424,56.33001709,144.4249115,39.12804794,68.41582489,138.5923004,39.62623978,100.9622421,23.40008736,64.14123535,7.365482807,14.16888142,36.3600235,7.280377865,17.95225906,3.777292728,10.50209236,0.809949756,1.501852274,4.065592289,0.813062787,0.840482175,0.316941708,0.689890385
0.55,13.49073219,6.258404255,3.476104975,23.66345978,17.00595665,21.58776093,54.8097229,32.80858231,78.53385925,34.28882599,55.52357864,112.8073578,49.91074371,129.8381348,53.98224258,139.3430023,37.32538986,65.33114624,132.184494,37.6827507,97.13853455,22.24490738,62.61467743,6.969342232,13.40637589,34.71793365,6.856545448,17.03625298,3.530977249,10.20372772,0.754039347,1.395754933,3.808628082,0.743720889,0.782820702,0.289969057,0.625808716
0.6,11.90058994,5.649808407,3.172428608,21.75502777,15.74107742,19.91319275,50.25661087,30.42118263,73.47396851,32.24936676,52.03758621,105.149025,46.6397171,121.0896759,50.79391479,130.8233032,35.02799606,61.46207428,124.0784836,35.30441284,91.71737671,20.80043411,60.15239716,6.494378567,12.49703312,32.70295715,6.352478504,16.00673866,3.261298418,9.638050079,0.687943757,1.273364067,3.538430691,0.671965957,0.71161586,0.256647348,0.558707237
0.65,10.38964844,5.113361359,2.875398397,19.89905548,14.43552113,18.20294571,45.79836655,27.85536957,68.1040802,30.02118111,48.17402649,96.60945129,42.94635773,111.1185608,46.97686005,120.251915,32.44178772,56.90444565,114.0659256,32.52523804,84.76937866,19.15036201,56.48519135,5.957816124,11.45628357,30.20156479,5.803831577,14.86313629,2.977371454,8.780068398,0.621638477,1.153728962,3.291588545,0.604163527,0.640036285,0.228144199,0.506365836
0.7,9.074836731,4.691369057,2.626514673,18.33113098,13.31035042,16.7426548,42.19355774,25.62263489,63.52733231,28.09018707,44.79760361,89.11739349,39.6793251,102.0264053,43.43944168,109.8663177,30.07286835,52.58530045,104.0980377,29.84668541,77.45733643,17.56038857,52.09980774,5.454638958,10.46307659,27.55973244,5.296823502,13.72497177,2.710953712,7.979522705,0.563390017,1.045339346,3.038526535,0.546093404,0.581054032,0.205447942,0.462591797
0.75,7.714983463,4.272931099,2.374866009,16.74130821,12.0304184,15.14304638,38.53205872,23.18312454,58.77272034,26.01980782,41.21670151,81.22160339,36.18997574,92.23509216,39.54844284,98.26995087,27.51114845,47.79719543,92.53261566,26.83125877,68.62650299,15.74450588,46.33417892,4.897462368,9.35949707,24.40153503,4.724952221,12.2802372,2.405621052,7.053841591,0.49963814,0.925311327,2.679819822,0.480879784,0.514363348,0.182344213,0.415248841
0.8,6.42578125,3.899919987,2.146978378,15.31767273,10.81084728,13.6505909,35.34948349,20.94084358,54.67234802,24.2158699,38.04243851,74.21831512,33.06737137,83.23896027,35.92666626,87.20582581,25.17264748,43.25678635,81.08548737,23.92611504,59.45345306,13.94317532,39.88707352,4.35585165,8.290842056,21.11623001,4.162205219,10.72907162,2.108326912,6.097758293,0.439773351,0.813382208,2.257013321,0.417684287,0.441591531,0.157616854,0.356686473
0.85,5.211834431,3.582275629,1.947827101,14.09164238,9.696684837,12.3295002,32.78735733,19.0272522,51.54646301,22.8249855,35.59254837,68.79680634,30.61428833,76.01340485,32.97133255,77.78061676,23.33102226,39.45814896,70.9125061,21.44325638,50.85712433,12.33450031,33.36355591,3.88352561,7.346461773,17.9536438,3.650909424,9.180192947,1.835736036,5.084148884,0.386721849,0.711415112,1.862843633,0.363325834,0.372337729,0.135621741,0.303117275
0.9,4.175621986,3.339490652,1.78909862,13.15836143,8.788441658,11.29530811,31.05105782,17.62360764,49.74279404,22.00992966,34.16239929,65.65438843,29.14122772,71.65451813,31.14358521,71.40655518,22.31006432,37.19065475,63.70262527,19.81657982,44.43624496,11.2383337,28.00714493,3.556077719,6.694378376,15.42189503,3.279955864,7.913994789,1.641819119,4.247236729,0.350845069,0.641044796,1.55023849,0.330252528,0.32451126,0.120810546,0.263315558
0.95,3.151227713,3.13339138,1.646959901,12.35299492,7.945762634,10.39912033,29.84414864,16.50367928,49.02783203,21.67500877,33.60851669,64.57814789,28.51690483,70.06819916,30.34382439,67.94683075,22.09247398,36.38033676,59.48302841,19.08943558,40.50637436,10.71687794,24.02828979,3.396729231,6.38006258,13.68772888,3.069725275,6.923176765,1.530747056,3.582429886,0.333818287,0.605699122,1.346701622,0.320876122,0.305796146,0.116491504,0.248092145
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
