abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,16.03174782,17.81653404,8.843153,63.75021744,41.1625824,54.29091644,158.7641754,82.04664612,263.431488,111.1735611,173.861084,306.3730774,125.5025024,298.2707214,127.8336258,299.5115662,102.8447266,169.8476563,276.2055969,82.04620361,176.8521576,47.73741531,103.3862839,16.36955261,30.43954849,63.9948082,14.01025772,32.70620728,6.72719717,17.1679039,1.415616751,2.44313693,6.950519085,1.215314865,1.684282184,0.242226958,0.647078276
0.05,16.17362213,17.74888039,8.814051628,63.80971146,41.1744194,54.87677383,159.8817749,82.91841888,265.0284729,112.1666107,176.097641,311.300354,127.4846954,302.9432373,129.5386658,303.8822937,103.7060165,171.2399139,279.5144043,82.7317276,178.8504791,48.00174332,104.3487015,16.42399025,30.56710434,64.1355896,13.98498249,32.60857773,6.657612801,16.49823952,1.414233446,2.431190252,6.739565372,1.174631238,1.592332602,0.23511678,0.625166833
0.1,15.4907856,16.96614075,8.443816185,61.54444504,39.59778976,53.84214401,156.8917542,81.7758255,259.8259277,110.1324158,174.475174,310.7429504,127.4347534,303.6204529,129.6832886,305.2056274,103.5320282,170.8154144,278.5500183,82.09931183,177.414444,47.44889832,103.264389,16.31120491,30.34518433,63.49298477,13.72739601,31.82251549,6.506868362,15.92413998,1.391636014,2.389718056,6.43094492,1.130505443,1.523722172,0.22811617,0.600088418
0.15,14.6300354,16.01541901,7.990827084,58.77694702,37.6693573,52.50469208,153.0240479,80.1216507,252.6690063,107.2769241,171.8671417,308.9236145,126.8763351,303.4571228,129.5299225,305.9999084,103.1211929,170.2991486,276.9900208,81.18769836,175.6487732,46.75186157,102.5043869,16.13966751,30.02289391,62.8110733,13.38553619,30.92808723,6.329609871,15.50176525,1.34492898,2.316679239,5.849077225,1.06452477,1.350943923,0.217591152,0.573482335
0.2,13.71223259,15.02007198,7.508224964,55.77810287,35.56889725,50.8764534,148.1807861,77.68843842,242.7896729,103.0897064,167.3568115,304.3352966,124.9278107,301.1025696,128.3993378,304.3619385,101.9414063,168.8764191,274.9041443,80.18511963,174.1755066,46.22618866,101.9136658,15.90409279,29.61854744,62.1975441,13.01779366,30.09753609,6.152956009,15.18797588,1.285925031,2.225936651,5.21162653,0.996666133,1.150111794,0.205887586,0.540815055
0.25,12.74504375,13.98172188,7.007889748,52.49637222,33.33164215,48.73258972,141.6299286,73.99280548,228.9799957,96.85958099,159.4716339,293.3572083,119.9056396,292.6285095,124.3724518,296.5988159,98.96851349,164.8156128,271.4749756,78.91329193,172.7782593,45.73242188,100.8725967,15.65371609,29.21780777,62.09593201,12.87021637,29.60961914,6.066522598,14.89849377,1.240709066,2.154036522,4.860179424,0.944688201,1.025220275,0.195578679,0.512771547
0.3,11.82853699,13.00407314,6.546521187,49.31010437,31.22712135,46.41965103,134.4922485,69.93949127,214.7328796,90.39867401,150.7359924,279.8360901,113.7819672,281.1218567,118.9788132,285.3485718,94.97509003,159.211441,265.359436,76.96279907,170.0857544,44.99535751,99.29853058,15.43773079,28.83769798,61.73088074,12.79969788,29.44716835,6.031796932,14.72120285,1.223854184,2.123608828,4.664292336,0.90467751,0.909954727,0.187423229,0.489074469
0.35,10.82904816,11.94344807,6.045972347,45.73430634,28.92819214,43.64084244,125.907547,65.20823669,198.8112488,83.30986023,140.7275391,263.510498,106.5924835,266.6859436,112.3903275,271.1307068,89.94045258,151.9224091,256.2892151,74.03941345,165.4609222,43.63414383,96.66370392,15.04811478,28.13581276,60.79498672,12.58557415,29.09106255,5.939677238,14.57972145,1.212927103,2.103651047,4.5596385,0.889477134,0.862695575,0.188056499,0.489026099
0.4,9.820784569,10.87710476,5.537947178,42.02220154,26.57778168,40.59315872,116.5890198,60.29442215,182.8488922,76.32447052,130.4500885,246.1539307,99.14476776,251.0239563,105.3792419,255.6243896,84.38336182,143.5768433,244.8532715,70.32854462,159.0820465,41.68635178,93.10214996,14.47412586,27.10182953,59.05776215,12.16477013,28.34418869,5.771607876,14.29423809,1.188399911,2.058283329,4.4445014,0.888478577,0.856180549,0.191710442,0.493758619
0.45,8.806647301,9.810511589,5.024031639,38.25212097,24.21136093,37.36046982,106.8235626,55.36196899,167.1903534,69.59953308,120.1780319,228.3476105,91.65953827,234.7493591,98.19384766,239.6672516,78.60184479,134.6727142,231.6590271,66.11167908,151.2766113,39.3296051,88.96621704,13.75908756,25.78668022,56.68554688,11.58157635,27.19033432,5.528466225,13.81040764,1.150428176,1.985360622,4.320413589,0.883701801,0.858880997,0.194469586,0.496191651
0.5,7.872362614,8.835734367,4.551338673,34.76896286,22.05605316,34.27786255,97.53177643,50.79899597,152.9847107,63.60674286,110.728653,211.6989136,84.82229614,219.4674988,91.54412842,224.8749542,73.20442963,126.2061157,218.536377,61.98407745,143.1609955,36.92134094,84.84518433,13.01585388,24.42831802,54.13909149,10.97476387,25.93305016,5.265649796,13.24184895,1.115857363,1.917589307,4.234037399,0.881755948,0.86329329,0.197897047,0.504301369
0.55,6.89631176,7.820804596,4.050904751,31.11684036,19.83322716,30.95687675,87.45070648,45.92491531,138.1238098,57.41413879,100.7182312,193.6079407,77.51700592,202.7196198,84.37950134,208.8100433,67.35758972,116.8721695,203.5062561,57.40451431,134.0186768,34.21961212,80.32821655,12.14783001,22.83639145,51.05922318,10.2180109,24.33303452,4.913779736,12.42014313,1.056285501,1.81477201,4.018609047,0.852381945,0.844216883,0.196710497,0.506167531
0.6,5.958393097,6.85841608,3.568730593,27.47014046,17.62132263,27.56190872,77.30716705,40.96356201,123.4620743,51.36825562,90.60947418,174.772644,70.0840683,185.0623474,76.98238373,191.8455811,61.22713089,106.8930054,187.1108551,52.50227356,123.9408493,31.32926559,75.21705627,11.16614723,21.01387596,47.46079254,9.363845825,22.57018089,4.507653236,11.52697372,0.973953485,1.675699949,3.67607832,0.795891345,0.797240138,0.188087627,0.490849197
