abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,7.395587444,10.3307972,5.144293785,37.10295105,23.58638573,31.30088615,90.3348999,46.06343842,143.6510925,61.93066406,95.10858154,176.3999939,73.64959717,185.0425568,78.45531464,180.9473114,61.64269638,99.24990082,161.0108337,51.64869308,114.7257462,30.21269417,66.77232361,10.3552618,18.90207291,40.59687042,9.037353516,21.36454391,4.355336189,10.26318932,1.096623898,1.852004647,3.708104849,0.816744626,0.855402529,0.212643221,0.559566796
0.05,7.278997898,10.11401081,5.039965153,36.41584396,23.12857819,30.89048004,89.18410492,45.55957031,141.9824829,61.30315781,94.29431152,175.4129791,73.32675934,184.1475983,77.94277191,179.66745,61.23518753,98.52143097,159.5518188,51.13542175,113.4421997,29.81157494,65.50278473,10.21640491,18.64721298,39.88113785,8.915066719,21.07049751,4.289291382,10.02603436,1.070977807,1.808564067,3.562919855,0.801753163,0.846610844,0.208897084,0.543904662
0.1,6.999521732,9.701510429,4.841030598,35.0790062,22.24028587,29.97437096,86.62303925,44.36227036,138.1593781,59.73814011,92.11242676,171.7900238,71.88326263,180.3373108,76.38728333,175.864563,60.01554489,96.51737976,155.7409515,49.92208481,110.5970001,29.06233978,63.54642487,9.958417892,18.17268753,38.6979866,8.691555977,20.52359009,4.179747105,9.667435646,1.037547708,1.753489852,3.388515711,0.775887132,0.828359962,0.202046826,0.529170632
0.15,6.62573719,9.173965454,4.586315155,33.36984253,21.10609436,28.79240036,83.29030609,42.78501511,133.0532684,57.62997437,89.221138,166.8531952,69.90449524,175.2549438,74.42597961,171.1316833,58.48032379,94.08111572,151.1220703,48.46894073,107.1052856,28.1788311,61.46899796,9.642329216,17.59145546,37.33716202,8.41560936,19.84506798,4.045275688,9.271949768,0.998077989,1.690532804,3.186493635,0.741980076,0.805432379,0.193240136,0.513715684
0.2,6.220862389,8.612272263,4.313113689,31.53889275,19.89076996,27.5259285,79.70921326,41.05132294,127.3850327,55.26646805,86.01332092,161.3471527,67.65616608,169.6517487,72.30871582,165.9788818,56.76980972,91.40293884,146.3466644,46.9939003,103.5895844,27.30555534,59.59910965,9.335202217,17.04296875,36.09968567,8.144512177,19.17059326,3.914183617,8.948355675,0.96121031,1.632114649,3.00974679,0.708857238,0.790334821,0.185357541,0.50268811
0.25,5.798588753,8.031640053,4.029779434,29.61683464,18.62152481,26.14947891,75.74892426,39.05703354,120.8622665,52.46401978,82.15569305,154.7967529,64.87572479,162.9421387,69.77584076,159.9639435,54.80642319,88.4102478,141.4246063,45.40353775,99.93397522,26.4343853,57.82166672,9.035085678,16.52372169,34.9536972,7.889294624,18.53767967,3.786412716,8.736992836,0.935881972,1.586213112,2.878834724,0.68301791,0.775786281,0.178285092,0.49137935
0.3,5.395946503,7.480111122,3.762841702,27.77475357,17.42030144,24.78548241,71.78839111,37.01461411,114.1996994,49.52975464,78.11811066,147.8462067,61.85810089,155.7881012,67.07949066,153.8043518,52.77997589,85.30538177,136.6684875,43.90685272,96.62109375,25.6289711,56.22969055,8.780078888,16.09277534,34.03804016,7.687139988,18.0396347,3.694442749,8.621786118,0.922650993,1.559241652,2.82427597,0.669919193,0.775693297,0.17415081,0.481214911
0.35,4.953304291,6.880845547,3.473145723,25.74095726,16.11384583,23.22491264,67.17803192,34.60555267,106.409874,46.09677887,73.35716248,139.5133362,58.22652435,147.3471222,63.81902313,146.5993652,50.35054779,81.62384033,131.5362091,42.30825806,93.26223755,24.79269409,54.6032753,8.53881073,15.68572998,33.12436676,7.484433651,17.53831673,3.610123634,8.506611824,0.914414704,1.541540623,2.814962626,0.669624627,0.787658632,0.173532918,0.47246781
0.4,4.509685993,6.279977798,3.181114912,23.65330505,14.79298115,21.56705666,62.24082565,32.03580856,98.21524048,42.48818207,68.2898407,130.4962463,54.33798218,138.3564148,60.21613312,138.7368011,47.6638031,77.57380676,126.0492249,40.57503128,89.58176422,23.87384987,52.77555084,8.255761147,15.17632198,31.91918945,7.218717098,16.89785767,3.502505302,8.293187141,0.895657361,1.509047866,2.798260689,0.668938637,0.815243244,0.174658567,0.470328063
0.45,4.060467243,5.67457819,2.885228157,21.51385307,13.44917107,19.81045151,57.03738785,29.36862755,89.85819244,38.81640625,62.99026489,120.9143982,50.25515366,128.8514404,56.28578568,130.1286621,44.72740555,73.16861725,119.8695984,38.56614685,85.45175171,22.81981087,50.63925552,7.916285992,14.56787395,30.55373001,6.920852184,16.18902206,3.378624439,8.023575783,0.867042363,1.461497426,2.754790545,0.661712229,0.829557061,0.17319642,0.472234845
