abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,29.16511917,26.0369606,13.19315243,84.54567719,55.93276596,67.58200073,169.2894745,89.08453369,256.5755615,108.3275452,157.1862183,255.412262,110.2543869,270.300415,120.9921494,260.1991272,82.4792099,137.3863373,217.9680328,71.70072937,149.5982666,41.63151169,86.83200836,13.23430729,25.12731934,48.94954681,11.82791901,24.84641647,5.881373405,12.9943676,1.095027328,2.001766682,3.891242266,0.876407504,0.883488834,0.29793492,0.708417416
0.05,29.85734177,25.1061058,12.7088213,81.39581299,54.02713394,66.052742,166.2914276,88.02881622,255.2498474,108.3719711,159.0922852,266.2638855,114.7036057,281.9610291,125.2315674,268.5196228,85.07888031,141.6545715,224.1208954,73.73768616,151.8847656,42.68891525,87.89066315,13.46818161,25.57813454,49.54838943,11.93312073,25.05905151,6.007081509,12.96459198,1.128554463,2.067969084,4.177434921,0.92904222,0.925630927,0.307373375,0.724210322
0.1,28.35943413,23.86789513,12.12737942,77.6399765,51.49140167,63.10823059,158.9358521,84.4304657,245.0408173,104.0599518,153.0046082,256.657074,110.6943741,271.4724121,121.2085648,260.0892334,82.60347748,137.555069,216.4398956,71.51033783,146.0498199,41.43305206,84.4520874,13.08681202,24.87509727,47.72532654,11.5700655,24.2694912,5.831019878,12.30171299,1.08755374,1.997025967,4.132379532,0.913325429,0.899171293,0.302996486,0.714306295
0.15,26.99495697,22.51231575,11.48016739,73.57640839,48.76992416,60.36316299,152.0860443,81.3010025,235.8912964,100.4013443,148.8545074,251.5946198,108.433876,265.5332336,119.3161697,256.4028931,81.38872528,135.6405792,212.8658295,70.57803345,143.2548218,40.8852005,82.88825226,12.90351677,24.55951881,46.96524048,11.42156887,24.06057739,5.765211582,11.93603992,1.065493703,1.961428165,4.247527122,0.921547711,0.897157013,0.306587398,0.716730237
0.2,25.35652542,21.12709808,10.8275013,69.50312042,46.04895782,57.61728668,145.0077057,78.12361145,226.1036682,96.38691711,144.2458344,244.9394073,105.4827194,257.9643555,116.9056702,252.2029266,79.81613922,133.2879333,209.5419922,69.5983963,141.1738434,40.35313034,81.95689392,12.74009514,24.25991249,46.51684952,11.31718349,23.97387505,5.704573154,11.67755985,1.042985559,1.928557754,4.380283356,0.925422966,0.900067627,0.311766505,0.727449298
0.25,23.69961739,19.75485992,10.18410206,65.53798676,43.40817261,55.12739563,138.4218903,75.27590179,216.8109436,92.60670471,140.4305573,239.7519989,103.0936508,251.9884644,115.2679443,250.0214691,78.73162842,131.7737732,208.4864502,69.27069855,140.9294739,40.21672058,82.13852692,12.68051338,24.14681244,46.63529968,11.33273602,24.15010071,5.695610046,11.6424551,1.028687119,1.910698056,4.589676857,0.944647968,0.916169703,0.320473403,0.737164676
0.3,22.14188004,18.48122406,9.587826729,61.90419769,40.9884491,52.99988174,132.6136322,72.83908844,208.3603973,89.19206238,137.3993683,235.7961731,101.1613541,247.2423859,114.1549225,249.1910095,77.95755005,130.8119659,208.9363098,69.37644196,141.8771515,40.36899567,82.85336304,12.70063591,24.18689728,47.14018631,11.43676853,24.44658279,5.71536684,11.70380783,1.017903566,1.892552137,4.775217056,0.961689651,0.929493248,0.326542556,0.732627869
0.35,20.4539814,17.10844421,8.941459656,58.02259445,38.39111328,50.87786102,126.5479279,70.29042053,199.0277863,85.41278839,134.4391632,231.7692871,99.10749817,242.0041809,112.8812943,248.3270416,77.17966461,129.6940308,209.4003143,69.59597015,142.9044037,40.60503387,83.53495789,12.81312656,24.39986992,47.83527374,11.65675926,24.88878632,5.820725918,11.84410381,1.022932768,1.903349996,4.89123106,0.975324452,0.93503958,0.330262095,0.719176531
0.4,18.74577522,15.73440266,8.290734291,54.14212036,35.78248978,48.75259018,120.1860275,67.50978851,188.8459473,81.21936035,130.8490601,226.069397,96.3815155,234.8019714,110.5108032,244.4629974,75.62434387,127.4614944,206.6405029,68.63317108,141.9611359,40.15451431,83.30513763,12.73720741,24.28121567,47.70802689,11.65298653,24.88280296,5.824048042,11.85838318,1.033323526,1.917567849,4.933894157,0.988375247,0.95769757,0.341317654,0.747241497
0.45,17.02242088,14.36220264,7.633709908,50.28118134,33.26494598,46.49881363,112.8586349,64.12129974,177.3608704,76.31934357,125.1981812,216.0055389,91.72285461,223.5994873,105.9268951,235.9545441,72.51728058,122.8335266,199.996933,66.23016357,138.5518646,38.89942932,81.70289612,12.3523283,23.57920074,46.40252304,11.30883884,24.12705612,5.645442963,11.57848835,1.018704057,1.890860558,5.025215626,1.0077281,0.995180905,0.354476154,0.785761714
0.5,15.4199419,13.09779835,7.025166512,46.71750259,31.0331192,44.31116104,105.5842819,60.93769073,167.1936951,72.07408142,119.8138046,206.0074463,87.27194214,212.9660797,101.6369858,228.0502167,69.56161499,118.1956329,193.3235016,63.88486481,135.1240082,37.63443756,80.13819122,11.9531374,22.85355568,45.11917496,10.9454298,23.38176155,5.454276085,11.33841896,0.997448027,1.852648258,5.01004982,0.990773201,0.985938251,0.348845422,0.757439733
0.55,13.68759918,11.72700882,6.337960243,42.83889771,28.65704727,41.8086586,97.46588135,57.59342957,156.8774261,67.89955139,114.3148651,195.8423157,82.98095703,202.2801666,97.49150085,220.1618347,66.70230865,113.6398697,186.6394348,61.58550262,131.331131,36.35814285,77.96910858,11.4864502,21.98955727,43.72723007,10.55554676,22.41079903,5.229351521,11.02348995,0.971726775,1.802188158,4.968730927,0.973626018,0.979755163,0.346565396,0.746198595
0.6,11.94240284,10.36329556,5.634878159,38.39702606,25.95019531,38.6172905,88.60355377,53.51007462,145.6876221,63.31713486,107.9494095,184.4750214,78.30271912,190.55867,92.73804474,210.8098755,63.72243118,108.7598267,179.3398285,59.10974503,126.6242294,34.94174194,75.20092773,10.99289513,21.0622654,42.35054016,10.1463871,21.36429596,5.001680374,10.6367836,0.949892938,1.754870534,4.741330147,0.924247563,0.952531338,0.336718619,0.72955513
0.65,10.19425583,9.00260067,4.905952454,33.66690826,22.96148109,34.82563782,78.94355011,48.41761017,131.8921814,57.4569931,99.3693924,169.9742126,72.34814453,176.1784515,86.55484772,198.11763,60.00028992,102.5827713,169.6430206,55.8676796,119.9699249,32.99239349,71.60843658,10.38320732,19.90892601,40.25673676,9.599014282,20.09462929,4.716410637,10.08048153,0.916679561,1.679244637,4.327492237,0.844347417,0.901876152,0.31323421,0.689666092
0.7,8.456453323,7.766417027,4.228793621,29.3027935,20.12477112,31.02492142,69.61777496,43.11276245,117.6972427,51.35743332,89.717453,153.6132813,65.47048187,159.8465576,79.14129639,182.4360199,55.52889252,94.97753906,157.481842,51.7962265,111.7954636,30.66821861,67.06607819,9.681892395,18.58221817,37.74962616,8.961990356,18.80300713,4.419507504,9.508378983,0.874430895,1.593009353,3.931295156,0.777829409,0.843380928,0.288681269,0.645656407
0.75,6.763592243,6.429698944,3.495876789,24.42434883,16.83408546,26.21866989,58.56549835,36.45148087,99.93322754,43.58464813,76.69302368,131.2249603,56.03455734,137.4704742,68.56080627,160.0526886,48.86007309,83.60755157,139.4967346,45.79265976,99.65355682,27.26383591,60.71970749,8.683751106,16.64037323,34.05792236,8.022930145,17.16165924,3.970765829,8.769216537,0.791556001,1.436593533,3.406391621,0.686445713,0.736742437,0.248700202,0.576927125
0.8,5.121273041,5.142793655,2.789243937,19.69742012,13.5537262,21.31881332,47.56832886,29.64319611,81.58609009,35.5929184,63.00229263,108.1256866,46.34337997,114.3254623,57.52484131,135.7359314,41.52950287,71.17665863,119.6026382,39.15969467,86.01400757,23.47333336,53.46496201,7.531433105,14.39144135,29.97613335,7.02479887,15.45696163,3.482743979,7.944514275,0.694777608,1.250362515,2.802375793,0.569356024,0.609815061,0.202596471,0.490930229
0.85,3.61391902,3.956240654,2.135556936,15.28424454,10.42194557,16.52238655,36.95924759,22.93242455,63.31727219,27.68268776,49.21975327,84.78059387,36.52632904,90.53772736,45.86965942,108.426918,33.37219238,57.32818985,97.23505402,31.76935768,70.73065186,19.28231621,44.60427475,6.21565485,11.87131023,25.46755409,5.934333801,13.39377117,2.949852467,7.061252117,0.598208427,1.066182375,2.289305687,0.475925714,0.530675292,0.168596014,0.4171803
0.9,2.43576622,3.038089037,1.6286093,11.81845665,7.88783741,12.48916531,28.30879211,17.3452301,48.3105278,21.1537571,37.55942535,64.48362732,27.88967133,68.75972748,34.96262741,81.46266174,25.35541916,43.53875351,73.85218811,24.27255058,54.43481827,14.95644855,34.43548203,4.841362953,9.256407738,20.35000801,4.718894005,10.87699032,2.379843235,5.916064262,0.49326396,0.879687846,1.985023379,0.408983439,0.476307094,0.144667774,0.346232444
0.95,1.593789816,2.397763252,1.273448825,9.3278265,5.989753723,9.166430473,21.70051193,12.97387981,37.37942886,16.43564796,28.68824768,48.54469681,21.11082649,50.26753235,25.65935135,57.08316803,18.08106232,30.64741516,48.9145546,16.50716019,35.03775787,9.975712776,21.52067757,3.224265814,6.156970978,12.88758087,3.121916533,6.857328415,1.587358117,3.759306192,0.321198285,0.577477813,1.323471308,0.277800262,0.339869589,0.094922356,0.222020134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
