abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
0,91.12211609,43.28777313,21.49798203,133.349411,96.38754272,115.1082001,310.7919617,150.1632996,420.1452637,180.0219879,256.1170044,573.4998779,253.6252747,649.616333,241.2028046,579.6694336,137.9615479,222.2969818,398.1427307,132.8056488,281.7669067,69.85097504,164.9216003,18.69315529,34.71546555,82.97289276,17.83667946,44.98752213,5.775297165,23.43612671,0.440557688,0.643547118,3.014088392,1.191825151,1.028887391,0.22195603,0.529122174
0.05,86.78617859,41.45269394,20.66559792,128.6726379,92.76965332,110.91819,300.0554199,145.3907928,404.2702637,172.3205109,245.5700378,553.9711304,244.0982971,626.7717896,232.172287,555.1611328,132.9498596,214.4953613,380.1478271,128.7378998,270.4570618,67.78105927,157.0016174,18.26612663,33.86961746,80.01423645,17.55214119,43.37424088,5.673723698,22.10337067,0.437018156,0.633821011,2.909646273,1.146826744,0.97611326,0.22350046,0.540124536
0.1,82.48524475,39.4245224,19.76149559,122.8720093,88.4331131,105.8323975,287.2660522,139.8868561,387.7435303,164.9914246,235.3229828,533.9610596,235.291687,605.0067139,224.543808,535.527771,129.3115387,208.6585236,366.3466187,125.0845261,259.3303223,65.89328766,148.3134003,17.77610588,32.91665649,76.0276947,17.10044479,40.45367813,5.536128998,19.79603767,0.436760366,0.629030228,2.862604856,1.128071427,0.974230707,0.228697434,0.559363544
0.15,77.82164001,37.16993332,18.79294968,116.7049255,83.97786713,100.4714966,274.2220459,134.5906677,371.061554,157.724823,225.281662,514.7884521,227.1149139,585.1583252,217.8791046,518.0343628,126.2658234,203.9283752,357.2277527,122.5493164,252.1800079,64.52420044,141.7298279,17.42300034,32.24973679,72.95892334,16.79265594,38.00325394,5.45559454,17.61618805,0.445068896,0.634684026,2.894701004,1.134163499,1.04257977,0.240473524,0.589033365
0.2,73.15772247,34.93202591,17.79203987,110.9644928,79.51792145,95.22034454,261.9794006,129.9570465,354.9900208,150.9381714,215.9633026,497.6557617,220.140625,568.7160034,212.8580933,504.5368652,124.043129,200.7436371,355.7059021,121.880867,251.8786316,64.16575623,139.3636169,17.32279968,32.0573616,72.13715363,16.82152557,37.0416069,5.516784668,16.28867722,0.469672233,0.663355052,3.14225769,1.226069927,1.23387754,0.269604743,0.64779985
0.25,68.48290253,32.71908188,16.80439377,105.3216553,75.1769104,90.15796661,250.5724182,125.9273376,339.5420837,144.6582794,207.3687592,482.6998596,214.5969849,556.4584351,209.8699951,495.4849243,122.9702682,199.692688,365.2346802,124.2139664,261.3625183,65.53977203,143.0426483,17.61695862,32.61215591,75.40286255,17.51818657,38.6478653,5.859007359,16.4054203,0.517278373,0.729828835,3.7117033,1.444791555,1.542075515,0.335701406,0.776109934
0.3,64.18122864,30.6689949,15.91896248,100.1514282,71.11169434,85.49383545,240.1403503,122.0419312,322.6885681,137.8205566,198.4867859,466.7569275,208.5939484,543.5457764,207.186142,487.1058655,122.109726,199.3236389,381.1385498,128.9904327,277.0194092,68.5030365,151.1786957,18.35501862,33.99465561,82.08034515,18.97146606,42.34689713,6.46233511,18.29325104,0.554264128,0.799564898,4.577448845,1.758579969,1.831692696,0.418922186,0.955153048
0.35,59.50986481,28.41115952,14.93997097,94.36972046,66.77333069,80.2390213,226.8914032,116.5566177,301.6610718,129.0753479,185.8551941,433.407196,193.4243011,502.7048645,192.2466125,452.8095398,115.5721436,187.8918457,344.8075562,117.7840195,250.3308105,62.28612137,134.6686707,16.71548653,30.86347771,70.29263306,16.64588356,36.49810791,5.547912598,15.23910332,0.489010572,0.697459102,3.489790916,1.363444686,1.513812065,0.320244133,0.730607092
0.4,54.8376503,26.17898941,13.95489502,88.74292755,62.45803833,74.94937897,213.1097107,111.2436447,282.7537537,121.5357361,174.5133057,401.8140259,179.855423,465.2932739,179.513092,423.9398193,110.1077042,178.4424591,319.5743713,110.3888092,232.2370453,58.18228912,123.8061142,15.53637218,28.59797287,63.2104187,15.26275349,32.81106567,5.035802364,13.83823967,0.440562844,0.626399875,2.892065763,1.135377407,1.246416092,0.258535951,0.584343731
0.45,50.17947388,23.92716217,12.95409203,83.72463989,58.78974915,70.14830017,199.6803436,106.4042587,265.7458191,115.1178055,164.5275269,373.6512146,168.1925201,432.8222351,169.0428925,400.0726318,105.5629807,170.5245667,301.8331604,105.0084686,219.77005,55.24818039,116.4299088,14.65735817,26.8808403,58.51463699,14.28275013,30.24301529,4.678119659,12.86475849,0.40244022,0.573793888,2.475987196,0.97421205,1.045247197,0.215948477,0.48371616
