abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,10.21018028,7.137874603,3.532530546,20.52492142,13.85249424,18.18003273,44.62366486,21.27924728,62.40098953,23.65263748,37.92232513,65.36906433,24.9428215,58.36816406,30.09773636,64.01343536,47.28177643,125.7835236,83.17333221,110.6939392,198.6228027,95.63791656,218.8296967,74.02516174,171.764267,47.33112335,104.3676834,16.1967411,30.79174042,64.79040527,15.6110096,34.20476151,7.780596256,20.54462624,3.150880098,8.465733528,0.7750898,1.288435459,3.668570518,0.877723098,0.995790124,0.21304217,0.561122656
0.05,9.98349762,6.948200226,3.447184563,20.17711067,13.61934757,18.18636322,44.61627197,21.4829998,62.40730286,23.72131157,38.33084106,67.20845032,25.5922451,59.87450027,30.79184341,65.3653717,48.29395676,128.188736,84.89232635,113.5145493,203.6088104,98.00769043,225.5964203,76.39585876,176.6750641,48.88317108,107.2144089,16.70554733,31.66642189,66.83419037,16.10408401,35.27233505,7.959827423,21.05340958,3.166635513,8.435267448,0.773441911,1.288487077,3.60137248,0.86784482,0.947191536,0.215221062,0.582797408
0.1,9.573820114,6.648528576,3.307114601,19.50858307,13.13114071,17.93200874,44.05908203,21.32341576,61.18249893,23.33939552,38.18351746,68.21598053,25.99324036,60.76352692,31.16960716,66.04714203,48.85110474,129.1880646,85.39316559,114.4605865,204.6442261,98.27907562,227.0897675,76.37407684,176.6764984,48.91962433,106.9244843,16.65334511,31.64677811,67.17842865,15.99131584,34.90851212,7.83100605,20.29947281,3.092613459,7.990062714,0.753798842,1.254490018,3.408169031,0.819933057,0.871668994,0.206130996,0.577950239
0.15,9.055285454,6.282315731,3.129035711,18.59531021,12.46065617,17.43525696,42.85729599,20.67087364,58.33033752,22.21790123,37.0615921,67.5737381,25.71994591,60.35317612,30.92263031,65.4536972,48.44259262,127.6802292,84.07409668,113.3005829,202.286377,96.76257324,224.0100098,74.41343689,172.7402802,47.5439949,103.7822495,15.95908928,30.52484322,65.37368774,15.26254082,33.4015007,7.427053452,18.82582092,2.965462923,7.659130573,0.708153069,1.18228209,3.162186861,0.751315355,0.805565834,0.190151542,0.554740131
0.2,8.492904663,5.892700672,2.942144394,17.54867935,11.72608948,16.64478111,40.78015518,19.38846207,53.98227692,20.31687737,34.52434158,63.5759964,23.93083763,56.95333481,29.1328125,61.81041336,45.56419373,119.9210968,79.35020447,108.0337601,194.110733,92.78024292,216.1120453,71.33158112,166.3650665,45.63814545,101.5427475,15.56093693,29.78813171,63.53097916,14.82162571,32.0768013,7.127622604,17.52011871,2.856100321,7.398496628,0.677751839,1.136934638,3.070684433,0.723974288,0.798324883,0.184869081,0.527633965
0.25,7.909379005,5.492384434,2.756206036,16.49569702,11.00069523,15.78690243,38.47531891,18.05708122,49.78979874,18.45308876,31.93948746,59.36381531,22.15116882,53.40541458,27.27159882,58.38982391,42.95087433,113.4772415,75.17445374,102.8795776,185.8895111,88.77220154,208.0608215,68.28304291,159.9483948,43.73880005,98.871315,15.0732708,28.87467194,61.55525208,14.39063168,30.95647049,6.891985416,16.4562149,2.771476269,7.277050972,0.656088352,1.102429748,2.932336807,0.695948541,0.740724862,0.175245792,0.490470499
0.3,7.358179092,5.116369247,2.582720518,15.50693798,10.33541393,14.95238972,36.17190552,16.84736443,46.16037369,16.91944122,29.69318581,55.64697647,20.6274147,50.2647171,25.63942337,55.45952606,40.79766846,108.059906,71.61128998,98.45909119,178.8014984,85.37600708,201.4158936,65.68438721,154.3114014,42.01882553,96.06047058,14.52037621,27.86136818,59.54369736,13.89862728,29.98874474,6.661806583,15.74872684,2.69976902,7.194211483,0.64222753,1.084592819,2.897814035,0.692841172,0.730719268,0.175501451,0.47947818
0.35,6.758569717,4.710252285,2.39399147,14.42347908,9.616242409,14.00391579,33.58680344,15.62267399,42.60721588,15.50591946,27.48602867,51.92916107,19.14816856,47.15967178,24.04013443,52.56080627,38.70005035,102.6091156,68.00473022,94.00225067,171.552063,81.84773254,194.4593048,62.89122391,148.4361877,40.18286514,93.06363678,13.92484665,26.72982788,57.51563644,13.358284,29.078125,6.413414955,15.16903973,2.620055199,7.014147758,0.623475313,1.05719614,2.904263258,0.6939345,0.735892415,0.177193344,0.477121919
0.4,6.157067299,4.306539536,2.204815626,13.34188938,8.899436951,13.01659679,30.96329117,14.49777317,39.40224838,14.27914238,25.47947884,48.44337845,17.78827095,44.25244141,22.5513401,49.76497269,36.70053864,97.33935547,64.45791626,89.59843445,164.0438843,78.20774841,187.0271454,59.96614075,142.4914856,38.30648422,90.03350067,13.30679417,25.55323792,55.41723633,12.77758694,28.14925385,6.146640301,14.59914112,2.518434763,6.747591019,0.599477947,1.015886307,2.891714096,0.689314067,0.732378066,0.176198035,0.4718512
0.45,5.554747105,3.907022476,2.018886805,12.27206993,8.200313568,12.01707268,28.36035728,13.47078323,36.48517609,13.20727825,23.6628933,45.18528748,16.54546165,41.53871536,21.17691994,47.11816788,34.82199097,92.17304993,60.9753685,85.19780731,156.2656403,74.45788574,179.3384857,56.96048737,136.6372528,36.44787979,87.01747894,12.70028782,24.43401718,53.4489212,12.23837471,27.35511208,5.900958538,14.11179352,2.41830349,6.501327991,0.576797664,0.975137055,2.855298281,0.679318786,0.723578691,0.172696948,0.461472869
