abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,122.378746,54.00712585,26.6817627,115.6692276,84.17948914,102.2316437,253.7474518,113.9877396,279.1506958,108.6351471,162.1328735,392.0451965,168.214386,421.9205322,173.0649261,373.3253479,281.4239197,660.416626,374.9121399,557.8929443,1244.858154,627.6113892,1418.356079,393.6544189,1019.760986,193.7590332,587.1652832,41.06053162,82.815979,295.7202759,59.48271179,193.1465607,21.44272995,100.7406311,7.877830029,63.43702316,0.698611796,0.972223341,9.458657265,3.309298992,3.753241777,0.583409488,1.598117113
0.05,116.5503845,51.8798027,25.73522949,111.3945541,80.59531403,98.25228882,245.3825989,110.7973862,269.0016479,103.7257919,156.0756378,379.6809082,162.6750183,408.6769409,167.2670593,359.9902649,269.9057617,633.8856812,358.9375,535.1737671,1203.093994,609.2085571,1375.122925,382.4096375,986.4414673,186.7484436,558.3974609,39.52656555,79.66819763,283.3074036,57.3789978,185.1224823,20.78818893,96.81331635,7.594932079,60.77760315,0.685989201,0.949779332,9.318339348,3.281491518,3.730226517,0.58314532,1.600250006
0.1,110.7979126,49.24142075,24.59266663,106.6392517,76.93049622,93.71741486,233.6928253,106.2518311,256.0491333,98.10083771,147.8682251,361.756134,155.4156494,390.2269287,160.0282135,343.230072,257.1472778,605.8461304,342.6416321,510.4230652,1150.095947,583.4562378,1314.253784,367.730835,942.1569824,179.6430206,529.0499878,38.13558197,76.6750946,271.7283936,55.34391403,177.3244324,20.04810905,92.5593338,7.320428848,57.94964218,0.663005531,0.91578567,8.984921455,3.189288616,3.593469858,0.573602796,1.568300605
0.15,104.5445633,46.5544281,23.33716774,101.7720947,73.24996948,88.8583374,221.2145081,101.5456772,241.8902283,91.97239685,138.7908325,342.1580811,147.6229706,370.1855774,152.3608246,325.5762024,243.8245392,576.4313354,325.2243652,483.6174011,1092.272217,555.3648071,1248.1604,351.6334839,894.4487915,171.7455292,496.8671875,36.57203674,73.29815674,258.6488037,53.02948761,168.444397,19.21687889,87.74249268,7.010811806,54.73670578,0.636193931,0.876709938,8.594446182,3.082109928,3.434751034,0.562572956,1.531395435
0.2,98.29878998,43.79372025,22.11706352,96.6781311,69.72714996,84.1674881,209.5328064,97.36679077,228.8299561,86.30361176,130.3727264,323.9596558,140.4269562,351.4983215,145.3748779,309.4654541,231.7967987,549.4501953,309.3946838,458.9920959,1038.154053,529.3887329,1186.229858,336.6722717,849.8837891,164.3917389,466.9009094,35.11297226,70.17155457,246.349762,50.84628296,160.0314178,18.43490791,83.13845062,6.712878704,51.59207153,0.611259758,0.840294898,8.230772018,2.983338833,3.28994298,0.552939832,1.499436855
0.25,92.01179504,40.99778748,20.82763863,92.63607025,66.42959595,79.91819,198.1239166,93.47979736,216.7634735,81.12047577,122.5390549,306.6387329,133.733078,333.8924866,138.9658051,294.371582,220.7515564,524.2158813,294.6769104,435.7832336,985.7723389,504.3260498,1125.945313,322.2432556,806.6206055,157.4907684,438.7574158,33.735672,67.22363281,234.8090363,48.81488037,152.2936401,17.7079258,78.94397736,6.432573795,48.69202042,0.58575207,0.802913666,7.864123344,2.88742137,3.145533085,0.543458939,1.466486692
0.3,86.22584534,38.45000458,19.69455338,89.16888428,63.94435501,76.42402649,188.0583496,90.2278595,207.2456207,77.74813843,116.7122726,291.3540039,127.8982391,318.3252258,133.5261078,281.7376099,211.6846771,503.6581116,282.6838684,416.596344,941.8580322,483.7707214,1075.859497,310.2842712,770.8947754,151.6212158,415.3204041,32.52769852,64.65757751,224.7283173,47.02933502,145.4558716,17.05635834,75.12757874,6.176543713,45.9847374,0.563572526,0.771120489,7.536363602,2.801909924,3.019540787,0.535631359,1.43931222
0.35,79.96253204,35.62161255,18.46301842,85.6186142,61.32081604,72.8489151,178.21875,87.63000488,198.2466888,74.60235596,111.1797104,276.3440247,122.1975021,302.8205566,128.378418,269.8473511,203.4340363,484.54599,271.9888306,398.9923401,899.0028687,463.9130249,1026.370728,298.7318726,736.0200195,146.259201,393.4484558,31.40461159,62.29698563,215.2711182,45.40409851,139.1842041,16.45007133,71.48212433,5.925477505,43.25584412,0.540612519,0.739134431,7.207500458,2.719221354,2.897783279,0.528304875,1.411479354
0.4,73.71276855,32.89376068,17.22419167,82.30590057,58.75623703,69.3717804,169.0534058,85.4094162,189.7749786,71.90892792,106.1876373,262.2271729,116.9119492,288.2423706,123.8712158,259.5797729,196.6879425,468.8136292,263.4621887,384.4344788,860.9077148,446.398468,982.1170044,288.5736694,705.1785889,141.6674347,374.5163879,30.40654182,60.22841263,206.763916,43.97117996,133.65979,15.90207481,68.16265106,5.690670013,40.66700745,0.519172251,0.709559441,6.891770363,2.637539864,2.781431198,0.521535337,1.387014866
0.45,67.44690704,30.03555489,16.05819511,79.07346344,56.86698914,66.44444275,160.322937,83.53089905,182.1500702,69.86933136,101.9736404,249.3794098,112.2256851,275.0888977,120.0685425,251.1183777,191.621933,456.9439087,257.5726624,373.7633057,829.1141357,431.9407654,944.5361328,280.4453125,679.6369629,138.4647827,360.3864441,29.63617516,58.69275665,200.2672577,42.95769882,129.6735229,15.4756279,65.55697632,5.501291752,38.45786285,0.499654502,0.68389535,6.612252235,2.568042278,2.676823616,0.516261816,1.368611574
