abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,11.10602665,15.36769485,7.695755959,48.38827515,30.33674622,43.47804642,89.12588501,40.43421173,106.4419861,36.9817009,63.04921722,105.4738541,38.7873497,89.43528748,45.34007263,103.3690643,68.77914429,183.0702972,103.1235275,137.4164886,243.8281403,118.2022552,270.775116,89.29212952,231.2492828,54.60729218,120.6036987,15.94641113,31.54737282,67.72575378,16.25564194,37.81622314,7.307643414,20.28560257,3.841760635,10.40006638,0.973801732,1.755423427,6.834967136,1.390732646,1.594754338,0.488693416,1.129957795
0.05,10.70996094,14.88187599,7.461982727,46.86389923,29.32606697,41.89236832,86.18086243,39.10024261,103.1619568,35.92771149,61.10687256,101.8823547,37.63279343,86.58083344,43.9226532,100.3399429,66.54504395,177.3860626,99.55518341,132.2379608,235.1193848,114.1602173,260.6086731,86.17803955,221.4705048,52.5411644,114.1387253,15.39856243,30.46529198,64.4841156,15.61862755,35.7112999,7.004615784,19.16804123,3.693546295,9.80913353,0.941438973,1.695001721,6.51488018,1.351924896,1.528318405,0.480653435,1.108124375
0.1,10.1980629,14.16909981,7.117527485,44.61671829,27.85035896,39.59272385,81.8944397,37.18955612,98.53431702,34.47262955,58.44013977,97.0145874,36.10557175,82.7808075,42.07282257,96.41015625,63.69216537,170.1954956,95.05865479,125.7927322,224.3608246,109.1657562,248.0721588,82.36734009,209.3755188,49.99625778,106.2619171,14.72214031,29.13905525,60.54867935,14.83935547,33.22123337,6.640232563,17.810009,3.508896112,9.09722805,0.89891535,1.616643667,6.104382038,1.304941058,1.448314905,0.470217347,1.081747413
0.15,9.625916481,13.36967373,6.731318474,42.12218094,26.22071838,37.08521652,77.21270752,35.11024094,93.49124146,32.89255905,55.59813309,91.88153839,34.48651123,78.78359985,40.14330673,92.30703735,60.78301239,162.8346405,90.51283264,119.388237,213.7623138,104.3385086,235.9918518,78.73261261,197.7019653,47.58140182,99.26285553,14.07787418,27.85372734,56.89078522,14.1038084,31.00703049,6.295672417,16.5446949,3.329837799,8.428929329,0.85648042,1.539670706,5.687022686,1.256326675,1.366018295,0.458706826,1.054613113
0.2,9.055026054,12.56847668,6.343954086,39.64339066,24.61244392,34.64392471,72.61669159,33.08230972,88.54660797,31.34111404,52.83700943,87.00442505,32.94085312,75.00230408,38.31597519,88.46739197,58.12571335,155.9945068,86.35809326,113.6451721,204.3736877,100.1527405,225.799881,75.64134979,187.9001923,45.57612228,94.05413055,13.53107643,26.75642776,54.00006104,13.50821495,29.31355095,6.015681267,15.53062439,3.179645777,7.883980751,0.819838703,1.475473404,5.319225788,1.217432261,1.302728415,0.449332654,1.033669829
0.25,8.476223946,11.76156425,5.95356226,37.17533875,23.02412033,32.27109528,68.09398651,31.09657478,83.68073273,29.80408669,50.15930557,82.34208679,31.44474411,71.36849976,36.57435989,84.79426575,55.67266083,149.5579529,82.57191467,108.482933,196.0447693,96.5437851,217.3390808,73.07403564,179.8465576,43.95750427,90.56417084,13.08359718,25.87340355,51.82315063,13.06633377,28.13348007,5.809619904,14.76677322,3.06066823,7.463747025,0.788326681,1.421837926,4.986002445,1.183346748,1.249621153,0.441888541,1.020339012
0.3,7.940629005,11.013834,5.591689587,34.91511154,21.58485222,30.1573143,63.9882431,29.30345154,79.25454712,28.39963913,47.7603035,78.23612213,30.09837341,68.11901093,35.02653503,81.44769287,53.51005554,143.7811279,79.33794403,104.196312,189.1977844,93.62554169,210.7611084,71.07073212,173.8356628,42.75268173,88.54404449,12.7393198,25.21059418,50.31984329,12.75952435,27.38923454,5.667913914,14.25641823,2.978257418,7.190576553,0.766665101,1.385028243,4.756219387,1.160997748,1.217561007,0.436584413,1.013152242
0.35,7.36154747,10.20301437,5.198834896,32.48851395,20.05789948,27.95301819,59.61874771,27.41049194,74.5561142,26.8981781,45.2468605,73.95091248,28.6450386,64.64453888,33.38056183,77.74601746,51.21491241,137.4598389,75.92108154,99.80937195,181.9716949,90.60748291,204.246048,69.09506226,168.16362,41.66012573,87.13241577,12.41614532,24.57993317,49.01730728,12.47810459,26.73651695,5.541863918,13.82917595,2.90841651,6.987852573,0.751733959,1.358826041,4.623772144,1.154544473,1.208441257,0.435198933,1.018311143
0.4,6.777523041,9.39037323,4.804371834,30.08103561,18.56168556,25.83215141,55.34106064,25.57635689,69.96343231,25.41476059,42.80693817,69.78985596,27.18280602,61.14807892,31.72732544,73.85175323,48.87210083,130.8613739,72.45782471,95.47841644,174.4515533,87.48236084,197.6088562,67.06348419,162.7009888,40.57799911,85.79665375,12.09860325,23.95492935,47.826828,12.21726036,26.11045074,5.424590588,13.46675205,2.845256567,6.816292763,0.735585868,1.329071045,4.502231121,1.144001484,1.196433783,0.43178919,1.017007828
0.45,6.195432186,8.577023506,4.407987118,27.67308044,17.08160019,23.77724457,51.12299728,23.78255081,65.42983246,23.92024612,40.40996552,65.7328186,25.69085312,57.57711029,30.02200699,69.64989471,46.39227295,123.7773056,68.77243805,90.9309845,166.0253754,83.9418869,189.983017,64.68619537,156.4783783,39.33350754,83.89032745,11.74650574,23.25138092,46.51487732,11.91466808,25.4242115,5.287347317,13.10424328,2.7691679,6.6346035,0.715002894,1.292121291,4.354960918,1.120188951,1.172294617,0.423354745,1.001079559
0.5,5.655672073,7.822782516,4.037665367,25.42261696,15.70792294,21.91051674,47.22474289,22.13522339,61.21006012,22.49772263,38.16492081,61.96450806,24.25837708,54.19544601,28.39086723,65.56281281,43.98403549,116.8668671,65.16745758,86.45980835,157.5302582,80.28938293,182.0204315,62.15346909,149.9180145,37.98764801,81.55059052,11.38181496,22.5327549,45.22352219,11.60788631,24.74953651,5.156884193,12.80850124,2.706520557,6.511180878,0.701466203,1.269326925,4.283159256,1.113174438,1.171338081,0.419003189,0.996185005
0.55,5.072066307,7.008320808,3.632211208,22.95901489,14.21362782,19.92272186,42.99373245,20.35655785,56.58265305,20.90210533,35.66769028,57.80067062,22.62937546,50.46239853,26.54612541,60.91857529,41.21317291,109.1646271,61.04468155,81.24967194,147.1762238,75.66331482,171.6397095,58.82616043,141.3504791,36.16941452,77.78205872,10.867486,21.54216194,43.36852646,11.13937855,23.70563126,4.960147858,12.33609581,2.609694481,6.314352036,0.683660209,1.239421368,4.204040527,1.104509234,1.169750214,0.412162244,0.984478176
0.6,4.486168861,6.190922737,3.219385862,20.42330742,12.68189716,17.90931702,38.64501953,18.51927948,51.7387886,19.19620514,33.00327682,53.34405899,20.85000229,46.43128204,24.5172348,55.84214401,38.13380432,100.7865601,56.4368515,75.35292816,135.2177277,70.13568115,159.1169128,54.73111725,130.9022217,33.90458679,72.88148499,10.24264812,20.30865669,40.96964645,10.51610088,22.32256889,4.702196598,11.70065403,2.484923363,6.04355526,0.661098003,1.201844692,4.099034786,1.07957828,1.147786975,0.396048397,0.948438764
0.65,3.900390625,5.374866486,2.803067684,17.83452225,11.12259674,15.86596298,34.19326782,16.59795952,46.60027695,17.34816933,30.06562805,48.46026993,18.90026474,42.0508461,22.27516556,50.36860275,34.72147751,91.58721924,51.26442337,68.71276855,121.9464417,63.72291565,144.5158386,49.79541016,118.5242081,31.03577995,66.96252441,9.421460152,18.68305969,37.83454895,9.707437515,20.59261703,4.350684166,10.87238312,2.3049891,5.618154049,0.622311234,1.133072138,3.881624937,1.017897606,1.080555081,0.364297777,0.87290591
0.7,3.358219147,4.620158195,2.414781809,15.39835644,9.647083282,13.9096365,29.89511681,14.6921196,41.43263245,15.46121788,27.00925827,43.37386322,16.88930702,37.55068588,19.95457649,44.92616653,31.22916412,82.34597015,46.01641083,61.97130203,108.6958084,57.07089996,129.4003296,44.55406952,105.8419571,27.94441223,60.82435226,8.510025978,16.91280365,34.35336685,8.79946804,18.7223568,3.952962399,9.934001923,2.093390942,5.094686031,0.56900835,1.03622961,3.55024004,0.927336454,0.980051637,0.327108413,0.783336103
0.75,2.771205425,3.801214218,1.990459085,12.71330643,8.006731987,11.69780636,25.03377151,12.4556694,35.26047897,13.17743206,23.22747612,37.14163208,14.4470911,32.09337234,17.11894417,38.39613724,26.90427208,70.89778137,39.48145676,53.5672226,92.76618195,48.86389923,110.7816696,37.97089386,90.36019135,23.97118568,52.90416718,7.290204525,14.50447655,29.66538239,7.577915668,16.20203209,3.391994953,8.588068962,1.774706841,4.32907486,0.478176236,0.868052006,2.935263395,0.764185607,0.793142557,0.26862067,0.642292917
