abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,32.82638931,27.35016251,13.58336926,82.37563324,53.71150589,69.4048233,181.0306854,81.33912659,218.9374237,79.1630249,125.4474487,218.3460388,84.66044617,191.938736,86.40746307,186.5144348,131.0151062,340.3187256,220.7766266,290.53125,492.9162903,233.8338318,523.2468872,176.8819427,397.903656,113.6513596,236.1221313,34.38578796,70.20523071,139.789917,34.84820557,73.03370667,15.46403694,36.62667847,6.616336346,18.26663399,0.937722325,1.5677917,4.754357815,1.356131911,1.659867525,0.219350368,0.652250826
0.05,31.77945709,26.41657829,13.14613342,80.1711731,52.25505066,68.36724854,178.4318542,80.61273956,215.8629456,77.68079376,124.0067139,220.2731628,85.04663849,194.5792542,87.03187561,188.2480469,132.1450348,341.854126,222.0402527,294.293457,501.1333618,235.8705597,531.4320068,177.9322815,403.6321411,114.3658752,238.8591766,34.62918091,70.68683624,141.7331848,35.07302856,73.36432648,15.5733099,36.72060394,6.608544827,17.80114555,0.935330689,1.565418363,4.720648766,1.353079438,1.627990246,0.21992293,0.658765376
0.1,30.4419651,25.25025749,12.60141945,77.44680023,50.46560669,67.24134064,175.7322388,80.0116806,212.9815521,76.41531372,123.1739883,224.1390686,86.24264526,199.1958313,88.64118958,192.8285065,135.3631439,348.7522278,226.6255951,302.4008179,517.4593506,241.3052521,546.9525146,181.3158112,415.0173035,116.3021469,245.0308075,35.22375107,71.83187866,145.3276825,35.55657196,74.39937592,15.8160553,37.2263298,6.637815952,17.55949211,0.941914618,1.580730796,4.700950146,1.350617528,1.543949246,0.221448198,0.667526484
0.15,28.92012024,23.94146919,11.9925766,74.48216248,48.45288467,66.0480957,172.8858643,79.35772705,209.5369568,75.10928345,122.5027084,228.9851685,87.98297882,205.2401581,90.99388123,199.4912109,140.0842285,359.2622681,233.3443451,313.2014465,540.1165161,249.4449005,568.392395,186.8014984,430.8779602,119.2926407,253.8814392,36.18016434,73.73291779,150.157074,36.26586151,76.07154846,16.10270309,37.96728897,6.661530972,17.41149712,0.948187828,1.602205038,4.645480633,1.336689115,1.462473989,0.220092192,0.664080799
0.2,27.31491089,22.58073997,11.34492111,71.26551819,46.2096138,64.54663849,169.177536,77.92344666,203.2911224,72.74976349,120.6844711,232.6078644,89.34074402,210.8203888,93.41897583,206.7518311,145.3948059,371.4744568,241.0188751,324.401062,564.5788574,258.6875916,590.5969238,193.2212219,447.5795593,122.7698593,262.8864441,37.39261627,76.17298889,155.5574951,37.11766434,78.46674347,16.43744469,39.05520248,6.750086784,18.070755,0.961075664,1.633555174,4.455695629,1.273471951,1.31221211,0.209885508,0.601873755
0.25,25.66234779,21.1858654,10.67096615,67.60709381,43.74793625,62.22870636,162.383667,74.15748596,190.927124,67.66387177,114.5400696,225.3132324,85.83866119,204.8535919,90.44088745,201.6298676,141.8051605,361.5551147,235.0593109,319.5085449,555.6289063,253.4467468,581.3439331,189.0204926,438.9815063,120.3957291,257.8764038,36.6571846,74.67591858,153.7714844,36.64725494,77.43321228,16.35321236,38.55017471,6.752270222,17.7289772,0.979510546,1.662804604,4.845169067,1.37480855,1.373597383,0.227567509,0.660183251
0.3,24.09779549,19.87486267,10.05681992,64.12685394,41.49560928,59.67034912,154.5520935,70.0061264,179.0433044,62.70340347,107.9359131,214.0128326,80.91122437,194.9291534,85.87236786,192.6326752,135.5566101,345.621521,225.2785339,308.6164551,534.9213867,243.1706848,560.7904053,181.2862396,422.6286621,115.8350906,249.0524139,35.27406693,71.98571777,149.7299805,35.67119217,75.55471039,15.98767853,37.84584808,6.675031185,17.84818459,0.972923577,1.646201015,5.07092905,1.433734179,1.424031019,0.240509897,0.706259012
0.35,22.39686394,18.44659042,9.387590408,60.19403839,38.99856949,56.54039764,145.1149597,65.45810699,166.7165833,57.90546417,100.9503632,201.0834656,75.56513977,183.7634277,80.76885986,182.4207916,128.4810181,327.5366211,214.0411377,295.4567261,510.9810791,231.4543762,536.7208252,172.3649902,403.5551758,110.1554413,238.5520935,33.7147789,68.99784088,144.8376923,34.40024567,73.34436035,15.43856335,36.77368546,6.460111618,17.39572716,0.933000505,1.581470847,4.893289566,1.373130679,1.351477861,0.232223421,0.672569156
0.4,20.67679787,17.0094223,8.705720901,56.12683868,36.41016769,53.07997894,135.1484985,61.14041901,155.249588,53.66108322,94.41906738,188.5440521,70.54096222,173.0248566,75.92904663,172.6782532,121.7524338,309.9393005,202.9307709,282.0640564,487.2378845,219.9124146,513.1140137,163.3996735,385.2953491,104.3860779,228.5241089,32.17967606,66.04707336,139.7160339,33.00764465,71.03569794,14.85816669,35.66004181,6.215554237,16.85109329,0.886667669,1.50654161,4.656998158,1.301535845,1.277720332,0.220945239,0.630578279
0.45,18.94042969,15.5647707,8.023921967,51.97117615,33.79851532,49.41824722,124.8986359,57.00762177,144.3515778,49.76435471,88.20840454,176.5067291,65.84053802,162.8416748,71.43849945,163.5896454,115.5760956,293.7410278,192.5959778,269.4043274,465.1791382,209.3038483,491.1704407,155.0501556,368.9517822,99.05026245,219.4602356,30.74131584,63.22568512,134.8405914,31.64176369,68.74429321,14.26267815,34.55260086,5.974251747,16.32614517,0.845839739,1.441227674,4.417460442,1.230417848,1.203388572,0.20878385,0.590239108
