abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,164.2049255,90.04561615,44.74760437,234.9211578,160.032074,214.0995026,584.0583496,272.0000305,729.869751,278.6757813,494.2489624,985.2701416,403.9691162,941.1712646,383.7113037,920.3226929,685.7191772,1619.198975,1057.530396,1760.823364,3168.084229,1351.859741,3026.795898,768.8231201,2134.626709,396.1881409,1554.037964,60.82268524,135.4513855,506.7369385,100.6111069,372.6317749,32.04794693,189.4819489,9.108587265,66.02940369,0.608863235,0.971473396,7.111316204,2.403184652,2.351646423,0.664659798,1.889548659
0.05,156.7721252,86.66718292,43.29663086,226.4135284,154.1057281,206.4920654,564.0789185,262.5467834,703.1937866,267.4818115,476.0245056,954.5384521,391.8797302,914.0137329,372.5802917,891.2731323,661.2522583,1562.115479,1014.261475,1694.276367,3067.962646,1321.062134,2953.400391,749.795105,2081.728516,383.9054871,1500.536621,59.15882111,131.9450378,491.7097778,97.53788757,359.3852844,31.28649139,183.7555542,8.820073128,63.53633118,0.581432879,0.932448626,6.859527588,2.353801489,2.280973673,0.65606457,1.834460139
0.1,149.0418243,82.50093842,41.33256531,216.3901062,146.97052,196.4070892,536.1661377,249.6996918,670.6151123,255.0883331,453.0782166,910.8091431,375.1769409,872.744873,357.2579346,851.8944702,632.2799683,1495.212402,969.7676392,1619.998413,2940.333496,1268.455566,2830.550049,721.8399048,1995.271362,369.2428284,1433.223511,56.8800621,126.6870346,471.2287292,93.83705139,343.8780823,30.12639236,175.71875,8.519283295,60.55860519,0.562821031,0.902898312,6.627765179,2.286479235,2.195973158,0.642778158,1.782065272
0.15,140.6174622,77.86114502,39.23696899,205.4582672,139.4331818,185.5680542,505.9308167,235.9453583,635.427124,241.8242645,428.3753662,863.4268188,357.2579651,828.0112305,340.7666321,809.8207397,601.5502319,1424.083008,922.6833496,1541.235352,2803.943848,1212.235962,2699.343018,692.3659058,1903.763672,353.844574,1362.642212,54.46667862,121.0979767,449.6139221,89.93345642,327.549469,28.89129257,167.193924,8.196674347,57.35188293,0.543722868,0.872473955,6.384325981,2.213791132,2.105903625,0.628582299,1.727545142
0.2,132.1969299,73.07301331,37.0952301,195.0548401,132.0756683,174.8704529,476.1335754,222.4966125,600.8198853,228.8884277,404.0730896,816.4491577,339.4920654,783.7670898,324.6676636,768.7321167,571.8380737,1354.88501,877.2286987,1465.009521,2670.978271,1157.611572,2571.354004,663.8120117,1814.764404,339.0742188,1294.660522,52.14144135,115.7083588,428.8066101,86.20697021,311.9244385,27.72763824,159.0887146,7.895843029,54.3604126,0.524540901,0.842335999,6.145175934,2.141869068,2.018033504,0.614700019,1.67167902
0.25,123.7684708,68.51874542,34.95757294,185.4468842,125.6120834,164.9221649,446.7412415,209.543045,566.954895,216.381897,380.4574585,770.2044678,322.1461182,740.2555542,309.1352844,729.2637329,543.706604,1288.798218,834.2650146,1392.817261,2543.545654,1105.569946,2448.887695,636.8623047,1730.080078,325.2774963,1231.033081,49.94760513,110.5534134,409.1754761,82.6880188,297.2478333,26.63473129,151.4829407,7.609132767,51.50346375,0.506491363,0.814211488,5.918894291,2.073418617,1.935189366,0.601914287,1.618233562
0.3,116.0006943,64.20453644,33.02354431,176.8244781,119.83564,156.3876343,420.5730896,198.1348419,536.8944702,205.4104919,359.6368103,729.0297852,306.8492126,701.6884766,295.6051636,694.8707886,519.5675049,1231.44397,797.3040771,1330.855835,2432.865967,1061.20874,2343.71167,614.0889893,1657.924438,313.8661194,1178.229492,48.09560394,106.1447372,392.6544189,79.75912476,285.0023804,25.71807671,145.1425171,7.365944386,49.13353348,0.489719033,0.788612545,5.715848923,2.012903929,1.862300038,0.590412855,1.568282723
0.35,107.5542908,59.46701431,30.85395813,167.6484375,113.7877197,147.1576233,392.8471069,186.4418182,505.3326416,194.1654968,337.855957,685.4212646,290.7663574,660.9267578,281.6673889,659.487854,495.2250366,1173.20105,760.3743896,1268.68811,2319.401123,1016.149902,2235.985596,591.4370117,1585.060547,302.7557373,1126.593872,46.27931595,101.7787018,376.6038818,76.93735504,273.2463989,24.84695816,139.0917358,7.13175106,46.85919189,0.473029286,0.763497591,5.515867233,1.953502297,1.79044044,0.57881856,1.515950441
0.4,99.15106964,54.80907822,28.72607994,158.8464813,107.7305374,138.2130737,366.2325745,175.6279907,475.3300476,183.6833496,317.311615,643.4544067,275.4501953,621.788269,268.6999512,626.7489624,473.3678589,1120.219971,727.5026855,1213.236084,2214.991699,975.4874268,2137.435303,571.2998657,1519.019897,293.2868042,1081.979614,44.71848679,97.98140717,363.0810852,74.62979126,263.5883789,24.11296654,134.0097809,6.939426422,44.98902893,0.458765626,0.742449403,5.343918324,1.903259754,1.732739687,0.568890452,1.469118834
0.45,90.72637939,50.20874405,26.67793655,149.9781036,102.1907501,129.7398834,340.5854492,165.6388092,446.7720947,173.97229,298.012207,603.0759277,260.7611084,584.2341309,256.6072998,596.8795166,454.1052246,1073.223389,699.1452637,1164.834717,2119.341797,938.7262573,2047.827637,553.8344116,1460.560547,285.2365417,1043.865479,43.38369751,94.69473267,351.8690186,72.78256989,255.9158325,23.50001526,129.921402,6.790997982,43.53878403,0.448557198,0.727352083,5.212820053,1.862747431,1.685813427,0.560465574,1.428992033
0.5,82.94672394,45.92079926,24.6774025,141.9239349,97.13661957,121.8841248,317.3575439,156.8955688,421.506073,165.6641846,281.2576904,567.4523926,247.7593994,551.135498,246.0538483,571.581543,438.0944824,1033.803711,675.9698486,1124.948242,2038.087158,908.3403931,1971.763062,539.8874512,1411.241699,279.2627869,1013.916077,42.37329483,92.171875,343.6399841,71.54479218,250.7668457,23.08864021,127.2453766,6.706007957,42.74259567,0.440064102,0.714728594,5.110625267,1.832224607,1.650887847,0.552533686,1.392952085
0.55,74.50954437,41.23875809,22.41711235,132.3009796,90.72978973,112.4847717,291.6547546,147.4259186,394.9394531,157.0304565,263.9633789,530.4211426,233.9450378,517.0250244,234.8610535,545.6965942,421.0160217,992.3518677,650.3989258,1081.098633,1952.392822,876.6004639,1891.616333,525.4022827,1359.71106,273.2537842,982.7583618,41.31534958,89.51678467,335.1506653,70.31794739,245.7453308,22.72443962,124.8948898,6.637181282,42.15256119,0.430617929,0.700141907,5.005545616,1.801626563,1.616774917,0.544340789,1.355761766
0.6,66.09817505,36.53395081,20.08271599,118.9107513,82.16757202,101.0024719,261.915802,136.4084473,367.7908936,147.84935,246.5759277,494.9315186,219.592392,485.7424927,222.7190704,516.8599243,399.4783936,946.6903687,619.5112915,1029.482056,1856.696777,837.8140259,1794.708862,507.4904785,1298.920898,265.3973083,942.8168335,39.96389771,86.53799438,325.3283691,68.89656067,240.0194855,22.33102989,122.4277954,6.630646229,41.93787003,0.427914172,0.693291008,4.971700668,1.781383753,1.595350504,0.537283599,1.325456262
0.65,57.68074417,31.90653419,17.62395287,104.9447327,73.07978821,88.95133972,231.2694855,124.7786026,339.9237366,138.3004761,228.5866089,458.369812,204.6521912,453.4454041,210.2756348,487.9054565,378.0516663,902.3869629,589.6522827,978.9718628,1761.115479,799.5565796,1697.0354,490.4274597,1238.922485,258.394165,905.3809204,38.70676804,83.8114624,316.7810974,67.7433548,235.5608826,22.06282806,120.9817657,6.667716503,42.27021408,0.422366112,0.680429578,4.933548927,1.764047265,1.57637918,0.530051887,1.294529438
0.7,49.89686203,27.5896244,15.40447712,91.44891357,64.01217651,77.36066437,203.0258636,113.6680679,313.8478699,129.1829834,211.714386,424.0192871,190.3175049,422.9847412,198.4390564,461.081543,358.1312866,862.6265869,562.4283447,932.3185425,1671.094849,763.8823242,1604.905884,474.3843384,1182.999878,251.8760834,869.670105,37.60514832,81.49408722,309.3954773,66.77763367,231.869812,21.85245514,120.1244812,6.725441456,42.9828186,0.415222168,0.665952325,4.921741962,1.756697059,1.568317175,0.523797154,1.268507361
0.75,41.4732933,22.95742798,12.87761974,76.24806976,53.74132156,64.34439087,171.4040527,100.6153717,283.0217896,118.0665054,191.3895264,383.6494446,173.224762,386.1551819,184.3010254,430.4845276,335.8301086,820.2085571,532.7367554,879.5634766,1565.454712,723.326355,1500.633911,456.6131287,1121.74939,245.1072388,831.9547119,36.47360229,78.92998505,301.7246704,65.72288513,228.3615112,21.67192459,119.8797836,6.812103271,44.33823776,0.404177845,0.646016061,4.923104763,1.759530783,1.568196058,0.515981674,1.233628988
0.8,33.02387619,18.23174667,10.35920048,61.07547379,43.3920784,51.49982071,139.6172028,86.33436584,248.7941284,105.2064667,168.3918152,338.9023132,154.1629639,344.3789368,168.4746552,396.681366,311.5443115,776.1013184,501.0039063,821.7775879,1445.037598,677.7281494,1384.744629,436.3652649,1054.01709,237.621933,790.6712646,35.23635483,76.04582977,292.7710876,64.30471039,223.7890015,21.37230873,119.393631,6.895847797,46.01847458,0.391400516,0.620132089,4.949790001,1.779660702,1.579767823,0.507863164,1.204442024
0.85,24.62430191,13.603899,7.857121468,45.95148468,33.13788605,38.88386917,106.9495163,70.04165649,208.8983154,89.65602875,141.0228119,287.0021057,132.0418854,294.6396179,149.6416473,356.4070435,282.4993286,724.963623,461.842804,749.0776367,1293.642944,620.4107056,1245.379883,408.9581604,969.8770752,226.2812958,734.3690796,33.4993782,71.84738922,278.1311646,61.77463913,214.671402,20.59884644,115.9550018,6.891061783,46.883461,0.377268314,0.589673042,4.921730042,1.787261367,1.578285217,0.497563094,1.171813607
