abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,110.02565,65.47570801,32.61410904,175.4288177,116.8794022,154.5384674,416.8267822,185.0521698,469.4338379,170.2999115,285.1941528,593.6749878,237.855423,594.5327759,229.7893372,506.2854614,360.0131531,869.2247314,532.7168579,790.8252563,1476.219727,637.8713989,1525.782837,389.6895752,983.0614624,203.5647278,614.1424561,51.9338913,115.1827164,290.4331055,55.8404808,152.3148956,20.04221153,74.28327942,6.95377779,34.46411514,0.772224128,1.198035955,4.867638111,1.422642112,1.44750011,0.331935823,0.958128452
0.05,105.081337,62.79238129,31.41213989,168.3947754,112.0185013,148.166153,400.8725586,177.8024139,449.4868469,162.5030518,272.5549316,570.204895,228.4608154,571.6914673,219.8184662,483.6701355,341.9686584,828.4744263,505.5571594,749.5429077,1405.140015,609.3718262,1456.962646,373.3505554,936.2254639,194.2720795,578.6137695,49.78078079,110.2438812,275.5716248,53.62868118,144.5882721,19.15668297,70.30252838,6.650527,32.23956299,0.745484233,1.151250243,4.711852551,1.385522842,1.421655297,0.318662882,0.87507689
0.1,99.86785126,59.65613937,29.95387268,160.5353394,106.4832993,140.4969482,379.9342346,168.4945221,426.0578613,153.9000549,257.5392456,537.8198242,216.1573792,539.4753418,207.6434937,455.3652649,321.4240417,781.0325317,475.0691223,702.2237549,1320.569824,574.6246948,1371.107178,354.2338562,877.3896484,184.4249878,537.3427124,47.37078476,104.5646515,257.3240662,50.94446564,134.0406036,18.24535561,65.13102722,6.355287075,29.27629662,0.724849939,1.116256118,4.607099533,1.364466906,1.440251946,0.315744847,0.852932155
0.15,94.21006775,56.30493164,28.40298462,152.1034546,100.7832718,132.3897095,357.6358948,158.8625183,401.3093872,144.8713379,241.8375092,503.8358154,203.4996948,505.7524719,195.2719574,426.3362427,300.6792908,731.6503296,443.5250854,653.2128296,1232.50293,538.8031006,1281.741333,334.4883118,816.3242188,174.3066864,494.7684937,44.89054108,98.71940613,238.5749359,48.21007156,123.3000641,17.33034134,59.87408447,6.06087923,26.29708862,0.706045508,1.08480382,4.568542004,1.349035501,1.48419261,0.314266056,0.838350356
0.2,88.5539856,52.92505264,26.84573746,143.7999573,95.21559906,124.4216537,335.8855591,149.6919403,377.5943909,136.2711792,226.9133911,471.1086426,191.4753876,473.3790588,183.7804108,399.1124878,281.5788879,684.6594238,413.8372192,607.1218872,1148.930664,505.1819458,1196.884521,315.9320374,758.6278076,164.8805847,454.8739624,42.58175278,93.29850769,221.1915894,45.69766998,113.4668732,16.50951767,55.13973999,5.795938492,23.627491,0.692081153,1.061305642,4.607903481,1.3444314,1.548289061,0.314817548,0.830250263
0.25,82.89376068,49.57121277,25.26800728,136.3022461,90.10004425,117.0752563,314.7637329,141.0448761,354.9930725,128.2225189,212.9115448,439.7224426,180.1188965,442.3510132,173.106308,373.744812,264.1105042,640.4151001,386.1306458,564.1039429,1069.960938,473.8403625,1116.75647,298.6053467,704.5687256,156.2142639,417.7700806,40.45380402,88.30760956,205.1448059,43.41518784,104.5747757,15.77819824,50.88079834,5.562767982,21.25129509,0.682027936,1.044376493,4.716295242,1.347135782,1.629535437,0.317692906,0.829572856
0.3,77.66844177,46.45595169,23.8286438,129.5601349,85.76028442,110.8330688,295.9199219,133.4484711,335.3016663,121.5430603,200.9994354,412.0161743,170.2399139,414.9923401,163.9970703,352.1630249,249.5850677,602.5209961,362.7190247,527.7489014,1002.358398,447.4093933,1048.154785,284.0150146,658.789856,149.048645,386.6892395,38.67762375,84.15513611,191.8352203,41.55441284,97.37561798,15.19410706,47.46384048,5.37835741,19.41615486,0.675386906,1.033216715,4.857100487,1.354195476,1.708834648,0.321481526,0.830879092
0.35,72.00666046,43.03905869,22.26903343,122.4042587,81.15712738,104.1493378,276.0975037,125.8297882,315.0062866,114.7957153,188.8571014,383.457428,160.184433,386.8262939,154.9499512,330.8885803,235.6982574,564.9273682,340.0106812,492.3903809,935.4858398,421.6286621,980.0344238,269.8042603,614.0228271,142.2951202,356.863678,36.9919548,80.24243164,179.2507935,39.83026886,90.76034546,14.67294598,44.34278488,5.211670399,17.80976105,0.670440435,1.024837852,5.047725201,1.370761275,1.79606235,0.326990426,0.838811755
0.4,66.34571838,39.69382858,20.70654297,115.3867416,76.60558319,97.69517517,257.1018677,118.8848877,295.6982727,108.5435104,177.5254364,356.5399475,150.8215485,360.2507324,146.7909088,311.9321289,223.842926,531.2924805,320.2613525,461.6646118,876.2275391,399.1321716,919.3128052,257.5046387,575.1126099,136.7117004,331.6046753,35.60873413,77.05414581,168.9026184,38.46452713,85.53180695,14.28786278,41.91287994,5.080608845,16.64453125,0.66811353,1.020717978,5.244280338,1.390247822,1.879318118,0.333634138,0.851407528
0.45,60.68362045,36.28703308,19.20082855,108.4238663,72.43500519,91.63652802,238.8749542,112.4189377,277.7097473,102.8801498,167.1277313,331.5823975,142.1865692,335.4289551,139.5422363,295.3809509,213.9940643,502.0140686,303.7289734,435.7913818,825.2579956,380.1196594,866.8818359,247.3231354,542.840332,132.4083405,311.3802795,34.52360153,74.59420013,160.8643646,37.47846985,81.78417206,14.03402805,40.23624802,4.986848354,15.89864159,0.667547345,1.019572377,5.436786652,1.413517475,1.95336473,0.342199951,0.870630622
