abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,77.83950806,50.53372192,25.25042343,145.5561218,96.45121002,127.7013931,374.6334229,176.2906189,452.6579285,167.6727905,271.6142273,612.5224609,256.4949036,624.4911499,250.0986481,566.4260864,415.2661743,967.0487671,586.3949585,923.1240234,1879.760376,878.005127,1976.157349,520.8671875,1356.837036,256.5469055,804.6247559,55.77760696,123.0630112,399.8735657,70.02882385,240.1650238,25.79182053,127.7747955,8.196753502,78.63503265,0.619962633,0.898634076,8.096570969,2.804132223,3.13579607,0.524665952,1.246908784
0.05,74.50396729,48.89339447,24.52000427,141.0016479,93.27030945,123.8677292,362.9638062,170.7419128,437.478302,161.4721527,262.2646179,593.65448,248.5846558,605.5280762,242.319397,546.7298584,399.0515747,930.2565308,561.3190918,884.239502,1812.655273,851.9343262,1914.115723,505.1781006,1309.908447,246.9147949,766.0291748,53.93918991,118.9031982,384.0850525,67.45736694,229.5439606,24.81842995,122.1434174,7.907082558,75.3054657,0.60946095,0.877385378,7.896132469,2.731737375,3.029347658,0.518321455,1.245723963
0.1,70.81523132,46.43544769,23.38536835,134.5176849,88.81597137,117.6327133,344.7896118,162.3036041,417.1367188,154.1342316,249.7629395,565.812561,237.6820068,577.4437866,231.8319855,521.6876831,380.7449036,890.2905884,536.2155762,843.9789429,1735.695679,816.7493896,1831.464966,485.8000488,1252.955566,237.3538361,727.8032227,51.8704071,114.0642929,367.6635742,64.84250641,219.088089,23.83350182,116.5339813,7.606245995,71.6488266,0.585603416,0.843133509,7.561939716,2.637495279,2.880099773,0.508320868,1.21932745
0.15,66.8247757,43.84096909,22.16485023,127.5932922,84.15706635,111.0207748,325.2644348,153.3050079,395.4870605,146.3329315,236.415863,536.0142822,226.0248718,547.338623,220.6981812,495.1430664,361.4145508,848.0830688,509.7360535,801.5302124,1654.319824,779.6190796,1744.28064,465.4359131,1193.20459,227.2617645,687.4314575,49.67766571,108.9249725,350.1564026,62.00841522,207.7387238,22.76654434,110.445694,7.277974129,67.65583801,0.561524987,0.808271766,7.222829342,2.541915178,2.730915308,0.498424262,1.193643212
0.2,62.81780243,41.23231125,20.96032906,120.8122177,79.6598053,104.600563,306.2037354,144.5992737,374.5148315,138.8650818,223.6636658,507.3058167,214.9047699,518.5539551,210.1131439,469.9331055,343.2331848,807.7539673,484.7618713,761.517395,1577.405884,744.8091431,1661.796265,446.2496033,1136.477783,217.9391785,650.0254517,47.64559937,104.1824188,333.9006958,59.38993835,197.2841644,21.78708649,104.9176178,6.972823143,63.9924202,0.538642108,0.775374115,6.901214123,2.450759172,2.588523865,0.489061445,1.169687033
0.25,58.82170868,38.61439133,19.72748756,114.4647751,75.43525696,98.4107132,287.1219788,135.9594879,353.8083496,131.549469,211.1163483,478.5974426,203.896698,489.7756653,199.6829987,445.2580566,325.6626587,768.8937378,460.7702637,722.9060669,1502.365723,710.7925415,1581.288208,427.6437378,1081.571899,208.9044189,613.9430542,45.65114975,99.52409363,317.9772034,56.81027603,187.0360718,20.82866096,99.49756622,6.667038441,60.30566406,0.515807807,0.742758393,6.583738327,2.362000942,2.450675726,0.479755282,1.145206332
0.3,55.10522842,36.17780685,18.59532356,108.625679,71.64380646,92.88492584,269.6079102,128.1759338,335.0617371,125.0382843,199.884491,452.7416992,194.049408,463.9917908,190.4584045,423.5609131,310.3621826,734.8774414,439.9897461,689.4447021,1436.866699,681.411377,1511.273071,411.7718506,1034.079224,201.3147888,583.5435181,43.99392319,95.70593262,304.8401794,54.63061523,178.381424,20.01588821,94.94905853,6.404865265,57.16815948,0.496476918,0.715465724,6.312871456,2.283914804,2.331192255,0.471502751,1.123877406
0.35,51.13139725,33.56014252,17.39024353,102.5132904,67.6910553,87.09634399,251.3883514,120.1948166,315.7998352,118.4035568,188.4159088,425.9943542,183.9149323,437.2980652,181.1275482,401.7005615,295.1894531,700.9468994,419.5270996,656.583374,1371.779785,652.6392822,1442.222046,396.3400879,987.3424072,193.9585419,553.9127808,42.37730789,92.00125885,291.9085999,52.4789505,169.8221588,19.20508385,90.41054535,6.140169144,53.97491837,0.476762265,0.687953413,6.037490368,2.205140352,2.211330652,0.463282824,1.103033066
0.4,47.13139725,30.94452858,16.16015434,96.31507111,63.65481186,81.22534943,233.1416626,112.3446274,296.7676086,112.0004959,177.1875153,399.4842834,173.8956146,410.8713074,172.1277924,380.7842102,280.9855347,669.1551514,400.8892822,626.4213257,1310.759033,625.6647949,1376.880127,381.95401,943.5031738,187.3602448,527.225769,40.90407181,88.66721344,280.3194275,50.5819664,162.2997284,18.48320198,86.39129639,5.904857635,51.13009262,0.456034124,0.660120308,5.753315449,2.12458539,2.087462425,0.455165774,1.082006097
0.45,43.14020538,28.30955696,14.97802734,90.30188751,59.93562698,75.6550827,215.7081146,105.0212021,278.554718,105.9510422,166.6107941,374.2616272,164.4178467,385.6148071,163.7812042,361.831665,268.389801,641.0567017,384.7098694,600.1148071,1256.765137,602.0764771,1319.597778,369.663147,906.0193481,181.7922974,504.6813965,39.66524506,85.90562439,270.6913452,48.98681641,155.9662018,17.86623573,82.98568726,5.702590466,48.64706421,0.436983347,0.635851562,5.489900112,2.0491395,1.970314264,0.447663546,1.06111002
