abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,115.3253479,61.2832222,30.44367409,155.8222046,105.6124268,139.3933105,375.7807312,165.9067535,441.5048523,167.2303925,279.3368225,556.8002319,222.8443604,545.4059448,216.2023315,477.9812012,347.5613708,838.8511353,511.4024963,772.1715698,1428.827515,625.5755005,1434.472778,378.2367554,892.9376831,201.0517578,561.5724487,50.35909653,114.4489365,308.1526489,64.55645752,195.7836456,25.99563599,116.5878525,7.552895069,48.19981766,0.474534482,0.885873854,4.795647621,1.495448947,1.426163673,0.506919086,1.229847074
0.05,109.915535,58.516819,29.18669319,148.7560577,100.558197,132.8566437,359.3092651,158.4342346,420.2076721,158.6289063,265.2950134,531.5620117,213.0443268,520.7481689,205.8300171,453.5035095,328.4696655,794.3483887,481.3573914,726.402771,1352.015137,595.6997681,1365.775879,361.1018677,844.8662109,191.1920776,522.3208008,48.36899185,109.508194,290.7258606,61.32068634,183.4818268,24.91168404,110.6349258,7.178784847,45.04173279,0.452408552,0.846431255,4.558711529,1.448648453,1.369873524,0.500194013,1.203686476
0.1,104.453804,55.5804863,27.83564758,141.7528381,95.51652527,125.9736862,339.9057007,149.8048401,397.2566223,149.8948364,249.9917145,499.6350403,201.2158813,489.7767029,194.0949402,426.8353882,308.9924316,749.6578369,452.1878662,680.3876953,1271.267578,563.1784058,1288.687134,343.7567749,793.5296631,182.011795,485.5307312,46.21747589,104.2283936,273.306427,58.31271362,171.621048,23.72323608,103.5804062,6.846586704,41.58446884,0.438898355,0.821552753,4.36820364,1.409519792,1.332085371,0.493761063,1.181181431
0.15,98.54009247,52.50156021,26.38829231,134.3931732,90.3942337,118.7706299,319.4471741,140.9813843,373.1771851,140.7093658,234.0265503,466.4641113,189.1225128,457.7329102,182.3002014,399.9960938,289.6485291,703.7630615,422.4433594,633.5101929,1188.843262,530.3641357,1210.183716,326.1958618,741.4877319,172.7454987,448.2440186,44.03068161,98.86745453,255.4917297,55.24823761,159.4945984,22.51364136,96.38743591,6.509638786,38.07424545,0.425350726,0.796487987,4.179555893,1.370324731,1.297244072,0.487386525,1.157389164
0.2,92.6150589,49.29465866,24.95332336,127.0272827,85.38811493,111.6965942,299.6038208,132.6387177,350.1517944,131.9684753,218.8634796,434.8354492,177.7078247,427.285553,171.433197,375.1656494,272.0005493,660.6264648,394.7573242,589.7560425,1111.678101,500.0368347,1136.782837,309.930481,693.2850952,164.2650299,413.8859253,42.01718903,93.93943024,238.8890686,52.40553665,148.0769806,21.38168335,89.58914948,6.193737507,34.77244568,0.412392676,0.772536397,4.006656647,1.335232496,1.26838398,0.481354058,1.136419296
0.25,86.69660187,46.176754,23.48324966,120.676918,80.8985672,105.3047867,280.5961914,124.9475479,328.3458557,123.802597,204.677887,405.0036011,167.0414886,398.6249695,161.5384827,352.557312,256.1527405,620.8870239,369.6027527,550.0362549,1041.18042,472.7929688,1069.859741,295.2892761,649.848877,156.7497253,383.1334534,40.21828842,89.53871155,223.9346771,49.86676788,137.7562408,20.36028481,83.48593903,5.909334183,31.8485508,0.400948495,0.751211584,3.846659422,1.300988913,1.244291544,0.475610375,1.11846447
0.3,81.22822571,43.27330399,22.16313553,114.9463272,77.22652435,99.97259521,263.8347168,118.3303375,309.5982056,117.1269608,192.7412262,379.0419617,157.8261566,373.6037292,153.165741,333.6028442,243.0563965,587.1925049,348.6751099,516.9946289,982.1513672,450.4587708,1013.761536,283.2165833,614.0107422,150.6803284,358.0636597,38.73542023,85.91208649,211.614151,47.81575012,129.350174,19.51926231,78.43802643,5.677905083,29.49074936,0.391659647,0.733106494,3.705859423,1.268395782,1.225959778,0.469489008,1.098950267
0.35,75.30860901,40.1123848,20.73496628,109.0735626,73.33786011,94.31732178,246.5232849,111.9223938,290.5286865,110.3827744,180.6465302,352.8512878,148.5913544,348.3239136,145.0701599,315.6100159,230.905777,554.6769409,329.0895691,485.9925537,926.24823,429.8439941,960.2316895,272.0499573,580.7561035,145.3088074,335.307312,37.38473129,82.63511658,200.3918152,45.97563553,121.768837,18.76275253,73.93286896,5.471728802,27.46922302,0.384431809,0.717887938,3.580308914,1.238337398,1.211833954,0.464315206,1.085013032
0.4,69.38710785,36.98472214,19.29865456,103.2909546,69.54576111,88.93010712,230.1983032,106.336731,272.5895691,104.1711884,169.4800262,328.8017578,140.1788177,325.1078491,138.0653839,300.5004272,221.0325317,526.8173828,313.0970154,460.6219788,879.9849243,413.4634399,915.6044312,263.3236694,554.5601196,141.4626923,318.0740967,36.36432648,80.17863464,191.7437744,44.60373306,116.0020752,18.1918354,70.50611877,5.321986675,26.04154396,0.381510556,0.709935427,3.486473083,1.213572502,1.19884479,0.460126758,1.078958154
0.45,63.4659462,33.78044891,17.92403793,97.56443024,66.22879791,84.03045654,214.8507996,101.2935867,256.1247253,98.61304474,159.3671265,306.8554993,132.5325928,303.7611694,132.0857544,288.2157288,213.4225159,503.8417969,300.9105225,441.1535339,843.9555054,401.6405945,881.0718994,257.3432312,536.085083,139.4150696,306.8863831,35.76374817,78.75123596,186.4166565,43.84627151,112.6666336,17.86714935,68.70323181,5.251124382,25.5028553,0.382653922,0.706586182,3.418806791,1.197717071,1.1854285,0.455004632,1.079562306
