abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,80.96764374,56.32619095,28.1898365,164.6799011,107.5553284,157.6372528,418.7172852,190.7648468,523.8631592,194.5493622,337.2667847,579.6635132,228.7384796,562.2827148,267.4569397,640.0933228,470.559906,1099.875977,681.8303833,987.3973389,1722.325195,800.4260254,1847.48584,497.4620667,1260.632446,254.7244873,755.9797363,70.16553497,153.4902344,397.5756226,80.68928528,263.7554932,32.91409302,165.8412018,9.3803339,72.55370331,0.733127415,1.063718438,5.793066978,1.919691682,2.077042103,0.384734392,1.147885561
0.05,77.54859924,54.19973373,27.19473457,158.7661896,103.442215,151.8486786,404.0419312,183.7552643,504.6606445,187.1815643,324.8674927,558.9500732,221.0118713,540.3500977,257.0682068,613.7070923,449.6481323,1052.572266,646.1867065,935.8739624,1632.381958,763.8349609,1762.829346,473.9956055,1197.358154,241.2147827,705.1821289,67.63117981,147.615387,377.0901489,75.98950195,245.1934814,31.18392563,155.1455688,8.865867615,68.35934448,0.697790742,1.007026911,5.380067348,1.814371467,1.937483907,0.364854813,1.079449177
0.1,69.51940918,48.60399246,24.55791664,143.2319794,93.04049683,135.3261108,359.8706665,163.4248657,452.3934021,168.3816528,289.6375427,497.7503662,198.4403229,480.3829651,229.4106293,544.0914917,397.583313,935.9124146,572.3580933,823.9750977,1448.949341,681.7893066,1566.202515,425.696106,1056.366333,217.1226807,612.2918091,61.0665741,132.4798431,331.0198669,67.85448456,213.3237762,27.919981,135.5969696,8.009960175,59.07067108,0.643409848,0.920379579,4.699644566,1.635649323,1.637522697,0.340125173,0.979133606
0.15,69.51940918,48.60399246,24.55791664,143.2319794,93.04049683,135.3261108,359.8706665,163.4248657,452.3934021,168.3816528,289.6375427,497.7503662,198.4403229,480.3829651,229.4106293,544.0914917,397.583313,935.9124146,572.3580933,823.9750977,1448.949341,681.7893066,1566.202515,425.696106,1056.366333,217.1226807,612.2918091,61.0665741,132.4798431,331.0198669,67.85448456,213.3237762,27.919981,135.5969696,8.009960175,59.07067108,0.643409848,0.920379579,4.699644566,1.635649323,1.637522697,0.340125173,0.979133606
0.2,65.33555603,45.67435074,23.19566536,135.2733002,87.80805206,126.8968353,337.1410522,153.1090088,425.7094116,158.8549042,271.7970886,466.6941223,187.0603485,450.0262756,215.5589294,509.2842712,371.791626,877.5808105,535.9118042,768.8764648,1357.740112,641.3025513,1469.227051,402.0401917,987.1117554,205.3673096,566.8289795,57.86365509,125.1180267,308.5549316,63.8707962,197.6507568,26.32627678,125.9816284,7.591377735,54.49791718,0.617373228,0.878986657,4.401567936,1.556452513,1.508577943,0.328632474,0.931655526
0.25,61.15029144,42.75220108,21.81706619,127.7622986,82.85797119,118.8529282,314.7076721,143.0605011,399.5056458,149.5701141,254.4310608,436.3601074,175.9964752,420.4671631,202.153656,475.6403198,347.0039978,821.2324829,500.9781189,716.144104,1269.887085,602.6010742,1376.68396,379.5317993,921.2781982,194.1705017,523.614502,54.81474686,118.1261139,287.1834106,60.05361938,182.6000519,24.8093605,116.7965927,7.190325737,50.14614487,0.592866719,0.840087056,4.145727158,1.485858679,1.398903608,0.318185717,0.887489259
0.3,57.28631973,40.05744934,20.55191422,121.0151443,78.57668304,111.7897339,294.4039307,134.0959015,375.8496399,141.2501373,238.8832703,409.1390381,166.1316376,394.0652161,190.2935333,445.8502197,325.2241211,771.3422852,470.3556213,670.024231,1192.350586,568.6850586,1295.77356,359.9387207,864.0424194,184.4361115,486.0432739,52.16430664,112.0758362,268.6207275,56.70828629,169.3761597,23.49418068,108.7590485,6.842054844,46.37891769,0.572219431,0.807056963,3.947856903,1.430436492,1.31701231,0.309295416,0.849822879
0.35,53.09928894,37.12591553,19.18521118,113.8167419,73.98630524,104.2285156,272.8866882,124.793045,350.9235535,132.5665131,222.650116,380.6664429,155.869812,366.4850159,178.0716858,415.2116699,302.9995117,720.1071167,439.262207,623.3153076,1113.223389,534.3190918,1214.036987,340.1824036,806.6992798,174.6302185,448.4580688,49.49435043,105.9986954,250.0902863,53.33478165,156.110672,22.18348503,100.7544861,6.496413708,42.62269974,0.551840842,0.774201453,3.775029421,1.380213737,1.249325037,0.301073581,0.814506531
0.4,48.91323853,34.21509933,17.81350708,106.6411438,69.42645264,96.77349854,251.9559174,115.9914703,326.8250427,124.2888641,207.1116943,353.4069824,146.1242981,340.2197876,166.6347656,386.5154724,282.4195251,672.3365479,410.6767273,580.5679932,1039.998535,502.7252197,1139.223877,322.1159668,754.6897583,165.6912537,414.510498,47.10361099,100.5694962,233.6118469,50.28116608,144.1257477,21.0236721,93.61523438,6.192718029,39.29890823,0.53406167,0.745750487,3.641061068,1.339695334,1.202566624,0.294015527,0.783423483
0.45,44.72466278,31.26781273,16.47163773,99.50019836,65.07537842,89.57310486,231.7345276,107.7633362,303.7626648,116.4614182,192.4111938,327.6295166,136.9169922,315.4060059,155.9862671,359.8833008,263.5557556,628.2675781,384.813385,542.0517578,973.671936,474.3144226,1072.360352,305.9935913,708.5578613,157.6933746,384.6560059,44.99461746,95.82393646,219.4117126,47.58795166,133.6572723,20.03697586,87.44315338,5.930807114,36.41728592,0.518693089,0.721942067,3.55436182,1.311561346,1.177414417,0.288481265,0.756692469
0.5,40.85825348,28.56056595,15.19548798,93.00460052,61.05870438,83.05480957,213.4728394,100.5777664,283.3561401,109.6103821,179.5652466,305.0881042,128.8551636,293.807312,146.724884,336.7479248,247.3352203,589.9525757,362.569519,509.2397461,916.2784424,449.9290466,1015.170776,292.2124329,669.2685547,150.8347015,359.4908447,43.22662354,91.87779236,207.7389526,45.33966064,124.9181519,19.24407387,82.36766815,5.722710609,34.02389145,0.506177425,0.702366471,3.505080938,1.293205261,1.172302008,0.285057425,0.735703051
0.55,36.66998291,25.62562561,13.74947929,85.51405334,56.27909851,75.69338226,193.5386963,92.91321564,261.6218262,102.3001022,166.0262146,281.6841431,120.290062,271.4655151,136.8468933,312.2192383,230.0969543,548.7901001,338.4546814,474.2328491,854.0182495,423.629303,953.6659546,277.2327271,626.9465942,143.396286,332.7976685,41.39588165,87.83370209,195.5862122,42.95038605,115.5126038,18.44332886,77.05348206,5.521771908,31.5304184,0.493664891,0.682852387,3.478965998,1.280021906,1.179904938,0.283050835,0.719223261
0.6,32.48116684,22.70352364,12.26760197,76.39826965,50.55942154,67.46113586,172.2093506,84.85839844,240.1283417,94.97060394,152.6343689,258.4869385,111.1591034,250.0135193,126.5622025,286.2792969,211.3973236,505.2129822,312.8666077,437.2026367,784.109375,393.4442749,881.8086548,259.9834595,579.114502,135.0727997,305.8002319,39.31937027,83.27349091,182.3990936,40.38838196,105.2546005,17.409132,70.60379791,5.264770031,28.56419563,0.474688202,0.656088173,3.403514385,1.245475173,1.17586267,0.275777757,0.691833258
0.65,28.29154015,19.78352165,10.73614025,66.94146729,44.64864731,59.1574707,150.7892761,76.62310028,218.1047363,87.31304169,139.0111542,235.0869751,101.7768555,228.3633575,116.1127853,260.2806396,192.6682129,461.3703613,287.0038757,400.2016907,712.9906616,362.8915405,808.8931885,242.4136658,531.02948,126.6228943,279.8942566,37.27985382,78.83862305,169.666214,37.85195923,95.26566315,16.41518021,64.32006073,5.016216755,25.7244606,0.455723047,0.629757047,3.332253456,1.210012674,1.171738625,0.267125875,0.662263274
0.7,24.42443848,17.08868599,9.336121559,58.03236771,38.8881073,51.27997589,131.0344849,68.77819824,197.295639,79.90718842,126.2345581,213.1523438,92.80296326,208.1438599,106.3685989,236.4702911,175.6240692,421.6152344,263.5578308,367.1137695,648.6746216,335.0817566,741.8273315,226.2869263,487.3775635,118.9424057,257.8815002,35.39260483,74.83620453,158.5590363,35.62312698,86.8479538,15.51729774,58.72318268,4.785695553,23.24782753,0.438163459,0.606125951,3.258335352,1.171320677,1.160637259,0.256159931,0.626715243
0.75,20.2458477,14.15617561,7.787314892,48.20734024,32.44765472,42.69293213,109.5682602,59.71349335,172.9908447,70.86392975,111.3806763,187.8981628,82.2716217,185.0293427,95.2299881,210.432373,156.8820496,378.8085938,238.0590668,331.5097351,580.9056396,305.7073059,670.4973145,208.8528442,442.4539185,110.6141968,236.3042908,33.18097305,70.21891785,146.4455872,33.09334183,77.79838562,14.47725296,52.42504883,4.535552502,20.91134644,0.416426212,0.574943483,3.149275064,1.1144135,1.128599882,0.238942996,0.574001491
0.8,16.06735611,11.24236107,6.224081039,38.37450027,25.97626877,34.16514969,87.96778107,49.84354401,145.8187408,60.28314209,94.74217987,160.1086121,70.52979279,159.8083496,83.22549438,183.9481201,137.8822784,337.5140991,213.414856,297.4389648,516.6233521,277.6783752,600.9689331,192.0398254,402.3974304,102.5273666,218.3179626,30.76963043,65.28062439,134.7279816,30.54632759,69.17303467,13.28383255,45.62365341,4.230163574,18.67855835,0.388181478,0.532294512,3.007244349,1.0378685,1.097533464,0.216776177,0.499076158
0.85,11.89423847,8.332173347,4.641967297,28.46836662,19.41228676,25.56827736,65.85386658,38.83081818,114.6720352,47.83191299,75.46400452,128.2593536,57.05502701,131.0198975,69.74492645,156.4043732,118.2031555,297.711853,189.269577,263.1421509,454.2389221,249.8759003,531.6480103,176.5106201,370.7782288,95.54964447,207.429245,28.38740158,60.51379013,125.696228,28.40997696,62.22928238,11.93071747,38.54131317,3.845942974,17.03672981,0.344954163,0.47206983,2.809681416,0.928712904,1.101240516,0.182498336,0.393721282
