abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,73.82427979,48.30469131,24.00526619,130.9848022,84.58924866,104.6153336,287.389801,122.5534286,333.1264038,127.8502045,190.8930206,366.2718811,154.6443634,359.4666748,143.0006104,322.8053589,230.4807892,552.9555664,313.8447876,456.4871216,945.1918335,461.6184998,1093.149048,307.2298279,707.0859985,159.0897369,438.3589783,40.11555862,82.91288757,212.3331299,42.76759338,110.5038452,17.90075874,58.44311142,5.6303339,29.81626892,0.467972279,0.675525069,4.122392178,1.470883489,1.423313141,0.262877613,0.719480515
Task 2,70.37922668,46.13570404,22.98304939,124.9469681,80.33345795,99.52246857,273.508606,116.4050903,315.3821716,121.0768509,180.5072174,345.0993958,146.2998657,339.1983337,135.1761322,304.7251587,216.6200104,520.3172607,293.7356567,426.1536865,886.9547119,437.4840088,1034.509766,292.7637939,665.5353394,150.7918701,403.1063538,38.27973175,78.92131042,196.8830719,40.08388519,98.93733978,16.94184303,53.1523819,5.417566299,26.83837318,0.463366151,0.661039233,4.12954092,1.457931638,1.431781888,0.263671786,0.710673392
Task 3,66.86236572,43.79970551,21.90711212,118.7981873,76.14920807,94.39420319,259.2751465,110.5460587,299.046875,115.0498657,171.4395752,325.7672729,138.505127,319.705719,127.7758713,286.7074585,203.3387604,490.0518188,276.1059265,399.3502808,832.5633545,413.4266663,974.4391479,279.3166504,625.3248291,144.2098541,374.2124634,36.81129074,75.67385101,185.1862488,38.38053131,91.65195465,16.34336662,49.65870667,5.268294811,24.59505463,0.458364725,0.650589466,4.150428772,1.448640585,1.453160763,0.264726967,0.71265167
Task 4,63.04663467,41.32741165,20.73610306,112.3885727,71.80623627,89.03492737,244.3122864,104.5500641,281.7630615,108.6746674,161.815094,305.5599365,130.3710785,299.4472656,120.236824,268.7537231,190.1783295,459.5450745,258.4237061,372.5039063,777.5528564,389.4525757,913.8147583,265.7892761,584.6123047,137.4703369,344.4189148,35.28873444,72.32720184,172.9632111,36.60442352,84.21817017,15.7344408,46.12853622,5.114921093,22.2952652,0.453601211,0.639143646,4.198214531,1.444081187,1.496089101,0.265844464,0.716153622
Task 5,59.24346161,38.85464478,19.5935955,106.0501633,67.62290955,83.91268921,229.9702606,98.97210693,265.2683411,102.6036148,152.564682,286.3977051,122.7329025,280.28302,113.2530518,252.6050262,178.4637604,432.0114746,242.6955109,348.4910583,727.5269165,368.0802002,858.7523804,253.7646637,548.5057373,131.5093842,318.4330444,33.95718384,69.41552734,162.2513275,35.05173874,77.82341003,15.19073391,43.03305054,4.980203629,20.21691132,0.449680239,0.63017875,4.27182579,1.445984125,1.558028698,0.26765272,0.72286725
Task 6,55.42398834,36.33023834,18.41536713,100.1668854,63.66482162,79.14901733,216.1329956,93.81501007,249.4142761,96.76797485,143.9268188,268.4436646,115.6840744,262.5344238,106.8716736,238.2747192,168.1266174,407.1115723,228.8599396,327.4263306,682.5604248,349.1123352,809.2512207,243.0832825,516.7345581,126.1970444,295.431427,32.79043198,66.85758209,152.8638611,33.69691086,72.48535919,14.74543381,40.58936691,4.8834548,18.47990227,0.449008077,0.626067817,4.389286995,1.464847088,1.636595249,0.271344811,0.734897435
Task 7,51.89518738,34.02039719,17.34243011,94.99443817,60.39487076,75.14787292,203.7046661,89.29742432,235.2065277,91.53347015,136.0287018,252.4006348,109.30056,246.7651062,101.4226685,226.6469574,159.9280548,387.5133972,218.282959,311.5012817,647.1763306,334.4102478,769.8971558,234.8154907,492.4750366,122.0696259,278.262085,31.93949127,64.99504852,145.7996216,32.63404846,68.63542175,14.40310383,38.78172684,4.810051918,17.13244438,0.449365109,0.624010623,4.497954845,1.483159542,1.711861134,0.273949802,0.742556274
Task 8,48.09129715,31.51298523,16.19253349,89.6437912,56.99816513,71.08435059,191.0802307,84.89026642,220.689209,86.21276855,128.1033173,236.8502808,103.0839233,231.7069702,96.35852814,215.8803864,152.5233307,369.5715332,209.1318512,297.8047485,615.833313,321.4220886,734.7628174,227.6722412,472.1820374,118.5682602,264.9486694,31.27684021,63.56818008,140.4644623,31.79035378,65.99042511,14.16825771,37.56404114,4.771152496,16.13423538,0.450739205,0.624296725,4.59882021,1.503510118,1.777216792,0.27767083,0.75124824
Task 9,44.28844452,29.02201843,15.03233147,84.36132813,53.72825623,67.07772064,178.9224091,80.80456543,206.720108,81.05270386,120.6508102,222.8621674,97.43817902,218.3158112,91.98274994,206.6952362,146.3242645,354.813446,202.0079956,286.9649963,589.2961426,310.2770081,703.3525391,221.4337921,455.0357666,115.6842499,254.3669891,30.69789886,62.37167358,136.2696533,31.11090279,64.38365936,14.01016712,36.75726318,4.740449429,15.41457367,0.451645374,0.624076426,4.665871143,1.515932202,1.829198003,0.279763937,0.756943107
Task 10,40.4858284,26.50882912,13.92005348,79.18880463,50.74152374,63.27114105,167.3649902,76.94010162,193.440567,76.17572784,113.6109467,209.7493286,91.94410706,205.348053,87.77301788,197.5406494,140.211441,341.0135498,195.6894684,277.5388489,563.9628296,299.1563416,672.5921021,215.121994,440.1448364,113.1211166,247.8484192,30.23590469,61.45084763,134.3744202,30.66883087,63.74406433,13.89334393,36.51207352,4.697340012,15.33432293,0.451081514,0.622697771,4.690596581,1.517779469,1.873116255,0.280162722,0.765841067
