abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,26.88644028,22.38347435,11.21005726,64.64368439,42.08734131,51.9287262,129.1842499,60.20652771,173.1197357,65.26689148,102.7302856,154.45047,60.42330933,132.8401642,66.43740845,139.2213135,102.0152359,257.8726807,166.4611511,224.1625061,369.2207947,183.3847809,406.7846069,144.9940338,324.2166443,90.00761414,206.4663239,25.0116024,51.96240234,109.1554031,24.93110085,57.07279205,10.33382416,25.9878273,4.443894863,12.46404171,0.719569087,1.318372726,3.565914631,1.125654101,1.054306984,0.331832886,0.747409999
0.05,26.10702324,21.59924889,10.83534241,62.50020981,40.65725327,50.53540421,125.6536026,58.74631119,168.7305298,63.69284058,100.4554672,152.2763824,59.57790756,131.1375885,65.32556152,136.2559357,99.61936188,252.1684113,163.0582581,219.1717529,360.5600586,179.1479645,397.302887,141.6772766,315.3670349,87.79290771,197.2754974,24.48536873,50.97262955,106.2289047,24.41706657,55.32875824,10.15151024,25.09944725,4.349080086,11.97801781,0.706201971,1.297853231,3.513317585,1.12788558,1.057637095,0.337296963,0.763789117
0.1,24.89271736,20.55738258,10.34275341,59.62002563,38.71633911,48.53924179,120.8782349,56.80107117,162.9444733,61.52779388,97.33659363,148.7805328,58.18318558,128.2665863,63.76552582,132.4953003,96.67501068,245.41008,158.9051361,213.2136841,350.3190308,174.1486359,386.0585938,137.7899323,305.3565979,85.26611328,187.0483093,23.90261459,49.80604172,103.1410828,23.84288979,53.58930588,9.969994545,24.31664467,4.248772621,11.5321846,0.687083364,1.264210939,3.447485685,1.129735351,1.062333107,0.343403667,0.780790806
0.15,23.51574516,19.40415764,9.799057007,56.50976944,36.63140106,46.47716141,115.9036407,54.83097076,156.8412628,59.23286057,94.16907501,145.5403595,56.84502411,125.6578445,62.33488083,129.187912,94.12091064,239.3996735,155.1678314,208.0813904,341.584198,169.7339783,376.3006287,134.1902313,296.5016479,82.89505005,177.0935669,23.33272362,48.6430397,100.2877808,23.28341293,51.98001862,9.794804573,23.58368301,4.129921913,11.01247597,0.663338244,1.223192096,3.388969898,1.132722974,1.068054438,0.349489808,0.801716805
0.2,22.1055088,18.23433685,9.247233391,53.43658447,34.58298111,44.55882263,111.1883545,53.0189743,151.0089264,57.03783798,91.31082916,143.0852966,55.78713989,123.7252655,61.23249054,126.7852173,92.30146027,235.0389099,152.4017029,204.6004791,335.4375916,166.4781189,369.3007507,131.296936,290.0312805,80.90271759,168.714325,22.87050819,47.69314194,98.22042084,22.82049179,50.68095398,9.651260376,22.96332741,4.017757416,10.46869278,0.643824577,1.190310955,3.333640337,1.130837083,1.068702459,0.353012204,0.818618655
0.25,20.67139626,17.05158424,8.688700676,50.42628098,32.59091949,42.80667877,106.7128296,51.33455276,145.3849792,54.91217041,88.7360611,141.3318481,54.99127197,122.410614,60.44274139,125.2340393,91.1906662,232.3895111,150.6538544,202.7045441,331.9749756,164.4351501,365.3616943,129.2173615,286.1783447,79.39580536,162.5318756,22.52706718,46.98805618,97.00260925,22.48435974,49.71873856,9.543964386,22.50873375,3.907625675,9.92960453,0.62822789,1.166316271,3.24708128,1.109668374,1.050467372,0.350224555,0.821604192
0.3,19.3381691,15.95604992,8.169086456,47.76338959,30.85552788,41.39258194,102.7859955,49.87164307,140.3311615,53.00340652,86.59781647,140.2523193,54.4789238,121.7599487,60.00945663,124.6592484,90.86192322,231.6946716,150.0655823,202.7264404,331.6256409,163.9423218,364.7602844,128.1199036,285.2582092,78.41036224,159.083847,22.33559418,46.62268829,96.65790558,22.249403,49.03324127,9.467235565,22.25551033,3.813785553,9.493148804,0.615478337,1.149603367,3.16712141,1.080552101,1.033201456,0.347335517,0.822773755
0.35,17.88893127,14.76763535,7.600028038,44.92906952,29.02457809,39.93751907,98.48892212,48.18706512,134.4125519,50.74009323,84.17279053,139.0040894,53.88719559,121.1948166,59.73778152,124.7706909,91.1230545,232.7989349,150.5999756,204.7831879,335.4033813,165.2257996,367.9195557,128.1673279,287.6022644,78.05666351,158.3470764,22.29468727,46.50213623,97.17502594,22.12734222,48.57336044,9.383641243,22.22113609,3.73905921,9.219148636,0.598929286,1.126195908,3.105076075,1.046839595,1.004630685,0.332857758,0.789282978
0.4,16.42932892,13.57735729,7.025044441,42.04967499,27.19307518,38.33729935,93.57962799,46.01895142,127.0696945,47.82315063,80.81319427,135.8152466,52.41205597,118.9825821,58.85115051,123.995224,90.73005676,232.717926,150.5820007,206.442688,339.6183167,166.6372986,370.8856812,128.5475159,289.7530212,78.0640564,159.6774292,22.4627018,46.76189423,98.55560303,22.21001053,48.8583374,9.440433502,22.55821037,3.724672794,9.121259689,0.596847534,1.131365061,3.039821863,1.013808489,0.967167258,0.316019416,0.736620307
0.45,14.96181488,12.38285255,6.459906101,39.0737114,25.36225891,36.43032455,87.6910553,43.26818085,118.38311,44.30705261,76.32187653,129.8446655,49.70108032,114.1296844,56.72391129,120.8105087,88.48887634,227.7708435,147.7701416,204.1156769,336.8690186,164.9564209,367.4648438,127.1929474,287.6015015,77.75796509,159.7216034,22.58903122,46.99040985,98.76364136,22.22318459,49.03097534,9.466024399,22.6139946,3.722643375,9.076200485,0.609110713,1.151138544,3.00176692,1.00420332,0.94274807,0.309302241,0.707675576
0.5,13.60305691,11.27906513,5.935709476,36.22597885,23.63672066,34.3588562,81.51176453,40.4759407,110.0995102,41.00016403,71.71182251,122.9524155,46.65091324,108.2274475,54.01561356,116.0385666,85.06407166,218.9679871,142.4052277,198.5576019,328.3643494,160.584198,358.9165344,124.1173706,281.7730713,76.51739502,157.1706543,22.32645035,46.42455673,97.54740143,22.03574371,48.73800659,9.417345047,22.55340767,3.726155519,9.128984451,0.622653961,1.171516776,3.093082905,1.039295673,0.966076314,0.321849346,0.754199326
0.55,10.65957832,8.892188072,4.727742672,29.44405937,19.3804512,28.66922188,66.42867279,33.88146591,91.40009308,33.78828049,60.5769043,105.0069962,39.27606964,92.97164154,46.84274292,102.6922226,75.42932892,194.1014862,126.2764359,179.3540802,296.4106445,144.5618286,327.4310913,112.5836792,259.4660034,70.21875,146.1517334,20.71393585,43.04638672,91.93076324,20.82391357,46.70745468,9.057746887,21.81632614,3.623835325,8.998243332,0.609019458,1.125798941,3.090557575,1.052936792,0.96930784,0.318557113,0.743210793
0.6,10.65957832,8.892188072,4.727742672,29.44405937,19.3804512,28.66922188,66.42867279,33.88146591,91.40009308,33.78828049,60.5769043,105.0069962,39.27606964,92.97164154,46.84274292,102.6922226,75.42932892,194.1014862,126.2764359,179.3540802,296.4106445,144.5618286,327.4310913,112.5836792,259.4660034,70.21875,146.1517334,20.71393585,43.04638672,91.93076324,20.82391357,46.70745468,9.057746887,21.81632614,3.623835325,8.998243332,0.609019458,1.125798941,3.090557575,1.052936792,0.96930784,0.318557113,0.743210793
0.65,9.183215141,7.698178768,4.100028515,25.71825218,17.04457092,25.35025215,58.17708206,30.00587463,80.86416626,29.84936714,54.00484467,93.82232666,34.97038269,83.34799194,42.18664169,93.66461945,68.88082886,177.6925964,115.54599,165.6682129,272.7103271,132.5646667,302.4219971,103.3000641,240.4263763,64.28015137,136.3584137,19.17805099,39.82973862,86.20648193,19.36517906,43.73184204,8.481180191,20.49210358,3.438974857,8.606666565,0.590657771,1.086204052,2.990908861,1.017733812,0.929874718,0.308943033,0.699776888
0.7,7.823561192,6.605094433,3.521818876,22.21209526,14.80823708,22.10845757,50.35431671,26.17428589,70.55545807,26.01295853,47.38985825,82.42999268,30.69554138,73.42779541,37.32260513,83.94075012,61.86116791,160.0240021,103.9326401,150.2432404,246.1037598,119.159317,273.8226318,92.70313263,218.2870026,57.41823959,124.9020538,17.34836197,36.11915207,79.13027954,17.56928444,40.08808899,7.741360188,18.81546974,3.186507225,8.003417969,0.560621679,1.035949111,2.846853256,0.977015018,0.899150908,0.304658651,0.672498405
0.75,6.349788666,5.420590878,2.892053127,18.32633781,12.27958584,18.39922142,41.65267181,21.78395462,58.78404999,21.63464546,39.69892883,69.08262634,25.71889496,61.66761017,31.49640846,71.8353653,53.14841843,137.4140625,89.06684113,130.3106079,211.6422577,101.9994507,236.1937256,79.11103821,189.4544373,48.71445084,109.6559525,14.89314079,31.01828384,69.09527588,15.08381844,34.82561493,6.651521683,16.46118546,2.783708334,7.036187649,0.503437817,0.92966038,2.565565348,0.896127343,0.820203125,0.278045982,0.596831918
0.8,4.886619091,4.256627083,2.271775484,14.47184181,9.73169899,14.61441231,32.91269302,17.28412056,46.78939056,17.19727325,31.71162987,55.08731079,20.52566147,49.18111801,25.23413086,58.2544136,43.30117416,111.5401764,72.11934662,107.039978,171.7675323,82.49284363,192.1062622,63.7790184,155.7005615,38.94577408,91.61346436,11.97700119,25.03085709,56.98084641,12.15579128,28.53309059,5.339673042,13.60690117,2.24255085,5.851023197,0.416457504,0.763449609,2.14670372,0.745071232,0.679516613,0.224231482,0.475713849
0.85,3.453065157,3.12749815,1.668450236,10.70245838,7.198915482,10.81170654,24.22186852,12.75619316,34.77911758,12.79123974,23.63490486,40.87362671,15.25074482,36.38354492,18.76391029,43.7665329,32.73968506,83.88838959,54.18463135,81.54441071,129.1690369,61.98420715,144.6459503,47.82184601,118.8257141,29.03232574,71.51675415,8.920179367,18.76638794,43.93800735,9.102246284,21.83095932,3.970475197,10.57387257,1.672196388,4.581205845,0.320815325,0.583740532,1.712184548,0.577061713,0.522492945,0.16874285,0.362610191
0.9,2.194794416,2.162652969,1.151630163,7.45899868,4.978929043,7.427395344,16.52886581,8.717802048,24.11390686,8.923206329,16.38627625,27.91806793,10.47877216,24.71884918,12.8373003,30.14928436,22.67859077,57.90435791,37.37385941,56.54152298,88.51572418,42.65190506,99.50107574,33.00126648,82.83141327,19.98705482,50.88373947,6.104054451,12.92804337,30.9220562,6.248576164,15.487113,2.723120213,7.537341118,1.154713511,3.328428507,0.230473369,0.418965906,1.307424545,0.427084029,0.382262886,0.122231975,0.275023758
0.95,1.067462564,1.354199767,0.716009796,4.725305557,3.038907051,4.369382858,9.667808533,5.088415146,14.613904,5.575028419,9.912874222,15.67171764,6.031849861,13.53322029,7.139677048,16.47833443,12.30343914,31.55812073,20.08157539,29.67671776,45.50310898,22.34056282,51.18157196,17.53556061,43.24633408,10.67757511,27.02547455,3.22731185,6.852893829,16.2246151,3.244210958,8.263951302,1.399035454,4.014566898,0.595499516,1.763994455,0.122738741,0.219930395,0.72078687,0.224000081,0.198362857,0.063653171,0.147188589
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
