abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,9.55715847,9.813699722,4.879999161,30.47741508,19.35684967,25.39771461,71.87471771,32.21096039,94.10427094,35.70474243,57.8195343,100.7699661,39.717556,89.29998779,41.35604858,87.90377808,62.99464417,164.6516266,111.8386078,151.2689972,250.9078979,122.7683945,270.1208801,96.72642517,218.3766785,62.14308548,127.075737,18.375494,38.7430954,73.7738266,17.91077232,36.61519623,7.380485535,17.28721046,3.651726007,8.960272789,0.855344355,1.496537209,5.330736637,1.227716565,1.757179618,0.410970807,0.9448632
0.05,9.18112278,9.427444458,4.696997166,29.48365974,18.69941902,24.80580902,70.3020401,31.65147591,92.13504791,34.97597504,56.95096588,100.4137802,39.55202866,89.23632813,41.28800964,88.12117004,63.24866104,164.6390076,111.9300537,151.875824,251.9555969,122.9248428,271.2338867,96.35365295,219.0285034,61.83953094,127.5846252,18.24991226,38.40896606,72.7922287,17.71288872,36.20159149,7.293207169,17.08594131,3.610576391,8.806092262,0.831807375,1.454751492,5.106917381,1.18317008,1.659847617,0.403585672,0.921575963
0.1,8.737224579,8.968423843,4.479845524,28.30319977,17.92590332,24.12408257,68.52246094,31.04402542,89.9729538,34.18268585,56.07001495,100.3251343,39.50393677,89.5795517,41.44815063,89.0973053,64.13252258,166.2482452,113.0206451,153.9291534,255.4705505,124.3035278,275.483429,96.96791077,222.4420776,62.1769104,130.5002136,18.31090927,38.46126556,72.64072418,17.61619759,36.21323395,7.249768734,16.99079895,3.562323809,8.639307976,0.797876298,1.395015836,4.7683568,1.118280768,1.51982224,0.393359691,0.896441579
0.15,8.248166084,8.464002609,4.240195274,27.00419617,17.07237434,23.37053108,66.52359009,30.29735374,87.26425934,33.15428543,54.91462708,99.92360687,39.33520889,89.82067871,41.54951477,89.99986267,64.97864532,167.6186066,113.9247284,155.9952698,258.866272,125.5464172,279.6338806,97.55237579,226.5669708,62.53812408,134.2037354,18.31018829,38.39202118,72.67458344,17.4271183,36.22585678,7.146308899,16.75849342,3.449666023,8.32175827,0.737376094,1.293606997,4.210112095,1.024944901,1.330139399,0.375015169,0.851369143
0.2,7.752810001,7.953438759,3.993416548,25.62114334,16.18076706,22.49941635,64.06851196,29.19229317,83.4683609,31.62481499,53.02532959,98.24394989,38.55449677,89.26423645,41.25146866,89.89883423,65.06777954,167.2363434,113.860733,156.817627,260.8485107,125.7265091,281.504425,97.46214294,228.4647675,62.4038353,136.2128906,18.13566589,38.0092659,72.6556015,17.17146683,36.22837067,7.03327179,16.61592865,3.341413736,8.016117096,0.679097235,1.194227815,3.69116497,0.937568724,1.151986957,0.356262535,0.79153955
0.25,7.255560398,7.441574574,3.749491692,24.21956253,15.30318546,21.55986404,61.26753998,27.86948967,79.33261108,29.93291092,50.8224144,95.83747101,37.42781448,88.25398254,40.70002365,89.26331329,64.71340942,166.0544128,113.4817657,157.137085,263.1170959,125.6925201,283.0661316,97.38954926,228.8937378,62.18966293,136.8635864,18.05009079,37.80160904,72.75592041,17.05230904,36.34765244,7.005805969,16.62973404,3.281475067,7.839594841,0.640697539,1.126844645,3.320086718,0.867425442,1.004624128,0.341144681,0.754924655
0.3,6.795659065,6.967842102,3.525257587,22.92046547,14.50514698,20.6602478,58.51012421,26.61458206,75.58866882,28.41153717,48.73085785,93.34635925,36.34702682,87.0664978,40.08170319,88.33246613,64.13395691,164.3899841,112.6822586,156.7955017,263.9929199,125.093811,283.3493958,96.94680786,228.0992279,61.77411652,136.288681,17.97729683,37.6462059,72.59693146,16.97254753,36.43642807,7.028715134,16.71372986,3.271098852,7.837322712,0.619959533,1.094996452,3.083126068,0.833248198,0.91590941,0.332205474,0.738990784
0.35,6.297931194,6.456457615,3.281270027,21.49180412,13.63333893,19.60908127,55.32158661,25.23059845,71.49401855,26.78553963,46.31871796,90.16815186,35.07989502,85.15214539,39.15346146,86.84470367,63.14284134,161.866272,111.1610565,155.2710419,262.317749,123.5554581,281.4297791,95.77933502,225.7223358,61.00395966,134.7431793,17.77759171,37.33234406,72.11768341,16.83015251,36.32171631,7.028595448,16.83243752,3.280972004,7.974145889,0.62184912,1.100983858,2.989325047,0.818313897,0.868401349,0.330057889,0.760680437
0.4,5.798030853,5.941954136,3.034162045,20.01842499,12.72564602,18.45280647,51.87022018,23.77316856,67.19565582,25.07688904,43.67714691,86.32498932,33.55334473,82.3868103,37.83561325,84.49983978,61.51701355,157.6133728,108.3267212,151.9273529,256.7441101,120.3405991,275.4974365,93.15592957,220.4275513,59.30702972,131.8577576,17.30540466,36.41386032,70.58554077,16.46806908,35.66736984,6.925533772,16.68345833,3.239217281,7.945765495,0.620465815,1.097420931,2.949247122,0.807470858,0.846670032,0.327443719,0.758535564
0.45,5.298469543,5.428216457,2.787510395,18.49570656,11.78874874,17.20515823,48.15293503,22.2178688,62.6680603,23.29241371,40.85335541,81.69934845,31.69353294,78.57981873,36.01050186,80.9881897,59.02298737,150.8233795,103.6860886,146.2675934,246.9968719,115.3763275,265.6677246,89.16275787,212.4190063,56.78369141,127.8494263,16.59379387,35.03807449,68.03822327,15.87084675,34.42627716,6.687930584,16.14720917,3.123907804,7.69393301,0.599458575,1.06102407,2.849354029,0.778656542,0.812738121,0.315952063,0.72197181
