abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,16.98557091,34.7069397,17.35753441,117.6543961,72.69180298,103.9124451,225.9640045,103.0276642,277.7628784,97.75876617,175.1234283,230.6128693,82.45471191,159.8861847,90.833992,186.0630646,130.1696014,330.6040039,151.065155,206.9273376,306.7985229,182.2417145,358.8367615,113.3354797,233.1988983,63.77036285,143.6736298,9.793783188,19.39133453,37.35018158,10.41043091,20.02373123,3.363342285,8.27375412,1.536964536,4.430419445,0.146439299,0.244948402,0.717648208,0.294168264,0.29476279,0.070062168,0.172271997
0.05,16.61192513,33.83290482,16.92678452,114.5965805,70.76200104,100.9909515,219.0972137,100.0046234,270.0844116,95.17526245,170.4375458,223.6875,80.06517029,155.2725983,88.12902832,180.0658875,125.8038788,321.0490417,146.1695862,200.2935333,294.7107544,175.1809998,345.0215759,109.4811478,225.2992096,61.83073425,137.7341003,9.532961845,18.89272499,36.10333252,10.1223259,19.26428223,3.263751268,7.884910107,1.494603395,4.144834042,0.144118011,0.240539223,0.681061268,0.278772503,0.273279071,0.064419389,0.155324727
0.1,15.94923878,32.42481995,16.23377991,109.7722626,67.71025848,96.33669281,208.7708893,95.45814514,258.7003479,91.3915329,163.5308533,213.6041718,76.65891266,148.6239624,84.23722839,171.4634857,119.5914993,307.1876831,139.2476654,190.8582764,278.410675,165.5646362,326.0243225,104.3596268,214.3839264,59.19588089,129.3309479,9.183480263,18.225214,34.39413834,9.723464966,18.1360817,3.118535995,7.332999706,1.429730773,3.769804001,0.13885957,0.231811255,0.618390739,0.257465094,0.24530381,0.058899835,0.139142528
0.15,15.09227562,30.65654564,15.36720467,103.8014984,63.92503357,90.60189819,196.3334198,89.98213959,245.0463409,86.85832977,155.3088074,201.9688721,72.782547,141.0829926,79.83307648,161.9171906,112.7133484,291.4851685,131.4312286,180.2191162,261.0876465,155.2732849,305.5808716,98.86942291,202.3753052,56.26363373,119.8226852,8.800887108,17.49680328,32.57731247,9.293307304,16.93978882,2.963383913,6.790959358,1.362524509,3.413088322,0.133131102,0.222418278,0.549949527,0.237952247,0.217991054,0.055493698,0.127311841
0.2,14.17863083,28.79930115,14.45307255,97.55686188,59.98493958,84.70573425,183.6720581,84.40226746,231.1241302,82.23077393,147.0399017,190.7612152,69.06761932,133.9636383,75.65350342,153.1113281,106.3320694,276.711731,124.0667953,170.2332916,245.9895935,146.1689453,287.4514771,94.02620697,191.3638763,53.48519135,110.8858643,8.44418335,16.80385017,30.9411068,8.891108513,15.8951416,2.834504366,6.4025383,1.308718324,3.162994385,0.128296345,0.214610234,0.506610811,0.229908094,0.19798696,0.056120705,0.128268704
0.25,13.2349329,26.89196014,13.51421452,91.19619751,55.97726059,78.80180359,171.0674896,78.84039307,217.1963959,77.58370209,138.8291016,180.1169891,65.52766418,127.2954025,71.73928833,145.1083679,100.4743729,263.0080261,117.2515335,161.0351105,233.1735077,138.3546753,272.2415161,89.96113586,181.8902588,50.98488998,103.2036057,8.143419266,16.22029495,29.68164635,8.588266373,15.18766022,2.746482372,6.19875145,1.276064396,3.059716702,0.125465915,0.210250497,0.519232512,0.239089981,0.200808689,0.06177827,0.145278201
0.3,12.33358574,25.0826149,12.62355804,85.22458649,52.21361923,73.34968567,159.5188904,73.72548676,204.322052,73.2585144,131.241684,170.623764,62.3584671,121.4184265,68.31298828,138.2337799,95.45567322,251.045639,111.4464798,153.1510315,222.9816589,132.1382141,260.386322,86.69750214,174.2494049,48.89256287,97.33591461,7.891101837,15.71759892,28.74287415,8.354755402,14.7709465,2.693170547,6.129991055,1.258724093,3.102423906,0.125077561,0.20970121,0.574927866,0.259902984,0.219547555,0.07017687,0.174545065
0.35,11.35413361,23.11523628,11.6536665,78.74476624,48.15956879,67.57759094,147.3755188,68.32777405,190.6331329,68.62062836,123.1719971,160.7293091,59.0286293,115.2694931,64.77294159,131.2093964,90.40016174,238.6118927,105.638855,145.2858276,213.3278809,126.2935638,249.3748016,83.53276825,167.067627,46.8958168,92.46096039,7.652728558,15.24536419,28.04195786,8.171100616,14.5613966,2.66636014,6.126123428,1.252305627,3.224485397,0.125261575,0.209695682,0.654882789,0.287903696,0.249321237,0.079630971,0.206485927
0.4,10.36605167,21.13766861,10.67698193,72.25350952,44.1138382,61.91904831,135.5075378,63.03128052,177.0630798,63.97799683,115.1270142,150.8959656,55.66230774,108.9575882,61.20651627,124.070076,85.37122345,225.7039948,99.87889862,137.4959717,203.7349396,120.5929337,238.5916443,80.2294693,159.9523315,44.93660355,88.47550964,7.404273033,14.75254631,27.3334465,7.974133015,14.37156296,2.633477688,6.113368511,1.243227124,3.345313311,0.125173107,0.209629893,0.725739658,0.311943829,0.27673474,0.087586537,0.235793725
0.45,9.367366791,19.13849831,9.688097954,65.71533203,40.06101608,56.35110092,123.9051361,57.81177902,163.493927,59.27037811,106.9820251,140.8555603,52.16710281,102.2849579,57.49366379,116.6221085,80.22141266,212.1753387,94.00514221,129.559494,193.5924377,114.6086655,227.1228485,76.55980682,152.4821472,42.86884689,84.65322113,7.132152557,14.20792103,26.55903625,7.742815495,14.11789131,2.583785534,6.068622589,1.228043556,3.409179926,0.124067485,0.207699597,0.782318056,0.332775205,0.301237255,0.095035926,0.270584255
