abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,40.55942917,18.3369751,9.064716339,38.29697037,27.75404739,32.4193306,78.47683716,33.99672318,86.46286774,34.43808365,49.13674927,97.2424469,41.84675598,98.71398926,40.38932037,85.88428497,63.77761459,155.9276276,88.7156601,120.7486115,240.1402588,124.2634659,286.9805298,90.97730255,221.5962219,51.6164093,127.8192978,12.87787151,25.04521179,64.4855957,16.08422089,37.39286041,6.032850742,18.72674751,2.12577796,7.597191811,0.148158625,0.227376416,1.001491904,0.347338319,0.392308623,0.064936459,0.189198375
0.05,38.62458038,17.57913208,8.739614487,36.78090668,26.51102638,31.05602455,75.61696625,32.90546417,82.88573456,32.66516495,46.71668625,93.50442505,40.24022675,95.15734863,38.86051941,82.56422424,60.95222855,148.1450653,83.65228271,113.5440674,225.9083099,118.1302643,271.9803162,86.86564636,209.5098877,49.21353912,118.1784744,12.32205772,23.94226837,60.53913116,15.30499744,34.33556366,5.704483509,17.0920105,2.010621309,6.993066788,0.140110731,0.213108167,0.926207423,0.325470686,0.364817262,0.061003856,0.1766987
0.1,36.71673584,16.71831703,8.35764122,35.2005043,25.32042885,29.62267303,71.97816467,31.57460976,78.87393188,30.86228561,44.21933365,88.64387512,38.29225159,90.35592651,37.0343132,78.59902191,58.0728035,140.8221436,79.22848511,107.0423126,211.8287964,111.7344055,256.0662231,82.62956238,197.3220825,46.89874649,109.5317612,11.79920673,22.90148163,57.03411102,14.58272648,31.78070641,5.428507805,15.59959316,1.916226268,6.317253113,0.131350592,0.198892146,0.814015448,0.294198573,0.310557961,0.055460248,0.161560252
0.15,34.63920975,15.77125168,7.930261135,33.52965164,24.09984398,28.12330627,68.13610077,30.25207329,74.59528351,28.91575623,41.52991867,83.5812912,36.29925537,85.47128296,35.26931,74.90950775,55.50711441,134.0112,75.11227417,101.0665436,198.9367371,106.0304337,241.8570099,78.72769928,186.4869232,44.69485474,102.0177612,11.29014874,21.89410591,53.81309891,13.87411308,29.51053238,5.167886734,14.20911312,1.820041537,5.656431675,0.122589089,0.184376672,0.694253564,0.2613388,0.253015041,0.049517632,0.143674701
0.2,32.56267929,14.81756496,7.510962486,31.89548874,22.90626717,26.67512512,64.64277649,29.16630554,70.77975464,27.14911079,39.10358429,79.29278564,34.63235855,81.48661804,33.90844727,72.23734283,53.7809906,128.9261627,72.08610535,96.83187103,189.9359589,102.2561951,232.4638519,76.01772308,179.537323,43.11657333,97.43370056,10.90362453,21.13533401,51.62181091,13.36679268,28.06837273,4.982920647,13.22591496,1.746606588,5.179984093,0.115462013,0.17282027,0.592171073,0.233331487,0.20457986,0.044103201,0.125988513
0.25,30.48622894,13.86822128,7.093315125,30.57536697,21.91937065,25.44350052,61.43887329,28.29190254,67.43849945,25.62418365,36.96051788,75.63674164,33.25637817,78.28218079,32.92480087,70.48651123,52.83259583,125.5227814,70.12380219,94.27516937,184.6780548,100.3187714,227.5667267,74.39924622,176.0209656,42.10888672,95.45358276,10.63887405,20.64113808,50.40119934,13.03228855,27.3473568,4.864733219,12.65849686,1.693259716,4.90141201,0.109651282,0.163780361,0.512256205,0.211521208,0.167825386,0.038851451,0.108350925
0.3,28.57192612,12.99885654,6.706166744,29.51383209,21.14867973,24.46718979,58.7303772,27.65109253,65.06403351,24.71459961,35.53754807,72.75644684,32.2241478,75.90885925,32.26694489,69.49404144,52.46458435,123.4788971,69.01754761,93.0750351,182.4277802,99.74563599,226.2026062,73.66347504,174.998642,41.52703094,95.4119873,10.48703194,20.36192513,49.98084259,12.8563385,27.20779419,4.810243607,12.44847298,1.663510799,4.795072079,0.106296003,0.158503637,0.46214062,0.198247388,0.144388586,0.034271244,0.091504551
0.35,26.49043274,12.04710388,6.283284187,28.35407829,20.32619095,23.4538269,56.17901993,27.27049446,62.98731613,23.98714447,34.35690689,70.70645142,31.56896782,74.52642059,32.0827179,69.64143372,53.03245544,123.3895264,69.10215759,93.62107086,184.0603027,101.0263672,229.3685455,74.08049774,177.6071014,41.64583588,97.44071198,10.50033283,20.41987801,50.48936844,12.90144825,27.68531799,4.854750156,12.65302372,1.673458815,4.920872211,0.106243327,0.158046842,0.45143199,0.19659707,0.142268732,0.03156567,0.078637876
0.4,24.40794373,11.0952301,5.854210854,27.27483749,19.55872154,22.52842331,53.91505051,27.10410309,61.2905426,23.46830177,33.5267067,69.48683929,31.26998901,74.04707336,32.32526398,70.78592682,54.40206909,125.2104721,70.35959625,95.87123108,189.8627625,104.218071,237.1777496,75.81401825,183.8428802,42.55547333,101.4369049,10.69713116,20.82562065,52.122509,13.23747444,28.89579773,5.02439785,13.28007793,1.729084611,5.243247032,0.109135844,0.16112563,0.479486138,0.207274601,0.164894208,0.032122612,0.07383588
0.45,22.32979965,10.15460682,5.454172611,26.30680466,18.96958542,21.81574821,52.0426712,27.16012573,60.09298325,23.25162125,33.10998154,69.47774506,31.48982239,74.98600769,33.22690582,73.24304199,56.78490067,129.4665527,73.23616028,100.597168,202.7076874,110.632576,252.2521362,79.95227814,196.1572266,45.16733932,107.4767456,11.2985754,22.00535583,56.50394058,14.42617226,32.0019722,5.529809475,14.9578371,1.938300967,6.301352978,0.123346359,0.180723146,0.604909778,0.257373244,0.223714054,0.042842429,0.103193887
