abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,6.439997673,8.025413513,4.053936481,26.97366333,16.50642967,21.88897324,68.66375732,31.93602562,103.2370071,39.14530945,67.59269714,110.9599228,44.42541122,105.9212799,48.22807693,129.3552551,88.75478363,246.9997559,161.4886017,213.4365845,430.3047791,215.8434753,473.182312,157.5771484,373.1680603,89.49134827,188.551178,19.64379883,42.03293228,105.336731,25.32292557,57.67874908,10.25668526,26.52524567,3.299607992,9.831263542,0.41619873,0.542258978,3.380612135,1.209809303,1.287674546,0.23419036,0.711886227
0.05,6.254477501,7.799215317,3.945227861,26.27279472,16.0664444,21.31924438,66.84181976,31.14155006,100.6502075,38.24657822,66.06115723,108.7518921,43.62678909,103.772583,47.18115234,125.6757813,86.05866241,239.628067,156.1445465,206.2678986,415.604126,208.0053406,456.0989685,151.9199829,358.9631348,85.94595337,179.0883636,18.92443657,40.48830032,101.350853,24.5582695,55.68422318,9.963625908,25.69138718,3.244856834,9.669746399,0.414111465,0.537800014,3.41402483,1.207144976,1.290880919,0.231140941,0.692489684
0.1,5.947956562,7.41635704,3.760828733,25.05086517,15.3064661,20.25169754,63.55741882,29.72508812,96.33944702,36.71896362,63.52459335,105.8745041,42.64801788,101.8219681,46.19369888,121.6386948,82.73361206,230.3398438,149.1160126,197.3467865,399.6081848,197.9936676,434.3932495,144.3202057,340.7045593,81.39463806,166.842041,17.98208046,38.42036438,97.16523743,24.03550911,53.83016968,9.994253159,25.83524323,3.351310253,10.08269024,0.464814544,0.596404076,4.028442383,1.370200992,1.540370822,0.263042092,0.792142034
0.15,5.608624458,6.992919922,3.556749582,23.71865273,14.48411369,19.10800171,60.05026245,28.2119236,91.7565155,35.09784698,60.91798782,103.4608154,41.81464767,100.4255447,45.42934036,117.9658203,79.74237823,221.9887848,142.6712341,189.9850464,385.8369446,189.0684814,415.0183105,137.1967773,323.4847717,77.33384705,157.179718,17.19676781,36.80013275,94.95667267,24.01188087,53.50052643,10.14990234,26.63481331,3.494315624,10.67539787,0.516846061,0.65835619,4.681740761,1.546060562,1.809275627,0.296318114,0.880586565
0.2,5.268003464,6.569483757,3.352697372,22.41053581,13.68616486,18.01342773,56.68613815,26.76666069,87.35919189,33.53695297,58.46791458,101.603035,41.1519928,99.54234314,44.91777039,115.0399857,77.419487,215.7834473,137.7726288,185.2190704,375.4892273,182.4010315,400.7165222,131.5522614,309.5454712,74.18547058,151.0290833,16.62395668,35.73971939,94.16828918,24.24830627,54.14881516,10.32127666,27.59104919,3.602230787,11.24675655,0.550130963,0.698025584,5.139718533,1.662545323,2.015200377,0.315914035,0.927362084
0.25,4.927043438,6.145281315,3.148138523,21.13624954,12.92352962,16.99466133,53.48179245,25.40195465,83.16421509,32.04392624,56.16047668,100.1164474,40.61794281,98.96185303,44.58546829,112.8266678,75.68218231,211.4674988,134.2224731,182.4522858,367.9262695,177.7484131,391.0096436,127.3431091,299.0627747,71.83977509,147.8491669,16.21334839,35.02848816,94.10996246,24.55958939,55.08341599,10.4785862,28.53838921,3.67253828,11.75954437,0.567115605,0.718949437,5.428510666,1.724787116,2.15663743,0.3240062,0.946306586
0.3,4.610172272,5.75213623,2.958297014,19.9758873,12.23852825,16.10056686,50.62109756,24.18881035,79.38448334,30.70054436,54.09542847,98.72072601,40.06129456,98.16322327,44.25587463,111.0118179,74.33773804,208.1439209,131.494751,180.4645996,362.2354431,174.5409393,384.493103,124.3708725,291.9575806,70.2228241,146.5621948,15.92254639,34.53222656,94.2307663,24.75815964,55.80935287,10.57161427,29.21187973,3.70431757,12.09749699,0.57306689,0.726533532,5.571268559,1.747346044,2.234288692,0.324446231,0.944117188
0.35,4.266242981,5.325035095,2.751588106,18.72094727,11.50380802,15.1571722,47.63140869,22.91958237,75.38072205,29.27813148,51.86906052,96.81672668,39.23672104,96.58169556,43.69031525,108.8458023,72.85246277,204.1278076,128.5787964,177.8667145,355.8746948,171.1551666,377.6676636,121.5239182,285.9293213,68.77970886,145.6130219,15.64683533,34.0487175,93.82569122,24.72414589,56.02493286,10.56983185,29.51051331,3.694530964,12.24314785,0.571484327,0.724574506,5.617435455,1.741733193,2.269242048,0.318469435,0.923330307
0.4,3.92269206,4.899223328,2.545026302,17.46459007,10.77198124,14.22346878,44.6951828,21.64978981,71.33896637,27.80693054,49.44147491,93.93566895,37.96008301,93.70900726,42.6599884,105.8364792,70.92724609,198.3404083,124.9094086,173.7162933,347.4187012,166.6124878,368.1537476,118.2997818,279.8298645,67.21497345,143.5427094,15.30387878,33.35683823,92.34739685,24.33596802,55.42037201,10.42176914,29.24132538,3.629492998,12.12156868,0.563161969,0.71309787,5.553473949,1.705519319,2.253619671,0.306442261,0.882109165
0.45,3.577978849,4.471655846,2.336874247,16.1846962,10.031147,13.28024769,41.77362061,20.34536171,67.14128113,26.22291756,46.77826691,90.11087799,36.26142502,89.77922058,41.1908226,102.0321045,68.54401398,190.9964142,120.4435196,168.0675659,336.6472778,160.7266235,355.5000916,114.4100952,272.7339478,65.34348297,139.9993591,14.85977077,32.39504623,89.77398682,23.62124634,54.02584076,10.12848568,28.41789818,3.516932011,11.7451086,0.547980011,0.693068445,5.388356686,1.6389575,2.188044548,0.287789375,0.821799517
0.5,3.259699106,4.077915192,2.1422894,14.98155022,9.334069252,12.39573479,39.03237915,19.09158325,63.09753799,24.66564751,44.11608124,85.91369629,34.3942337,85.40087891,39.43265533,97.65046692,65.77616119,182.7808075,115.3248367,161.3729553,323.6416626,153.7269592,340.2229614,109.6642532,263.4987793,62.90403748,134.9003143,14.28361893,31.12155724,86.06809998,22.57735252,51.82717514,9.682910919,27.08436584,3.350937843,11.16097832,0.522804558,0.660785675,5.117599964,1.536642313,2.0734303,0.262385428,0.743229568
0.55,2.914434433,3.650619268,1.925699472,13.61250401,8.532705307,11.38769627,35.92444229,17.65843391,58.48493958,22.86821365,40.97680664,80.55309296,32.02863312,79.9043045,37.06860352,91.88948822,62.06058502,172.3402405,108.6115799,152.5337067,306.4200745,144.6389923,320.2919006,103.2336807,250.1691284,59.39059448,127.6327744,13.47062683,29.33051491,80.72477722,21.08942986,48.58068466,9.03753376,25.19675255,3.117758036,10.34935284,0.48504889,0.613167226,4.720812798,1.390607953,1.8870157,0.2294534,0.647399604
0.6,2.570385695,3.224676371,1.707112551,12.16016388,7.682021141,10.31961632,32.67925262,16.1464119,53.65673828,20.94533539,37.63469696,74.48625183,29.38987732,73.86851501,34.35120773,85.40814209,57.81785202,160.8973083,101.1936493,142.8738098,288.0868835,135.1581421,299.533783,96.27364349,235.1968536,55.50342178,119.7660141,12.57899189,27.36533737,74.8790741,19.48760605,45.01864624,8.326603889,23.17585182,2.868407965,9.519985199,0.443522483,0.5614658,4.297824383,1.245786428,1.678975344,0.200968042,0.567609012
0.65,2.225858212,2.798163176,1.485457897,10.65317822,6.787516117,9.179502487,29.18211937,14.49167633,48.38058853,18.82337761,33.96107864,67.58837128,26.46535873,67.12715149,31.23799706,77.95425415,52.91774368,147.828186,92.72633362,131.9375763,266.8863525,124.5398483,276.2715149,88.3159256,217.3538971,50.92834091,110.7324448,11.5487175,25.12303734,68.45866394,17.76356697,41.15114212,7.545127869,21.04154205,2.601391792,8.652770996,0.399835557,0.507493556,3.857925892,1.103752851,1.469958663,0.176584825,0.498321801
0.7,1.908209801,2.405418158,1.280672312,9.228901863,5.927212238,8.062404633,25.71869469,12.82303333,43.05659103,16.67182732,30.25824547,60.52806091,23.53096581,60.12623978,27.96119881,69.93032837,47.60174179,133.4706573,83.4777298,120.015007,242.7156372,112.8459244,250.4640045,79.56452179,196.9621735,45.77327728,100.8299179,10.42809486,22.72814178,62.03037643,16.07067299,37.41096497,6.781988621,19.03629303,2.346988678,7.84000206,0.358293265,0.456305712,3.41042304,0.969796002,1.273868561,0.155210465,0.445524454
0.75,1.565330029,1.981176257,1.057389379,7.648650646,4.947627068,6.766849518,21.62923813,10.83209229,36.58581161,14.07586288,25.76086617,52.01496124,20.04544067,51.70745087,24.01663971,60.00784683,41.00400925,115.3231735,71.89165497,104.8870544,211.0042267,97.91497803,217.3611908,68.59341431,170.7146301,39.27528,88.30550385,9.038869858,19.78264236,54.40697098,14.09247208,33.11275482,5.9184618,16.7410717,2.046587467,6.939313412,0.309921473,0.397169232,2.872279167,0.820597172,1.063993812,0.13168101,0.387126982
