abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,3.747300386,4.065375805,2.090342045,13.76927948,8.589002609,11.54946709,37.33229828,18.18382263,59.82871246,23.68616486,40.98100281,74.14007568,31.36172485,73.12635803,33.08385086,78.18997192,52.69173431,151.4485626,93.98499298,133.2314911,249.3784027,121.1832657,269.7776489,87.85879517,206.0652771,50.35710144,106.7379227,11.40417576,24.62924576,66.96255493,17.15874481,39.15138245,7.251810074,19.31034088,2.359898806,7.495074749,0.351266474,0.454920202,3.352201939,1.029959321,1.324205279,0.186363414,0.497302175
Task 2,7.958964348,8.708023071,4.409472466,28.53919792,17.6932621,23.24928665,74.55165863,35.68226242,118.896843,46.42733765,78.89646149,133.3768005,56.15671921,131.5346832,57.35708618,138.6340332,93.40608978,262.8458557,166.8995361,229.1412048,425.5297852,208.5418091,460.3421631,148.7991028,348.9667664,85.04958344,178.8109131,19.11342049,41.09830856,110.0656662,27.38711166,61.27783203,11.55891895,30.33449554,3.789093256,12.34689617,0.589407444,0.752044439,5.529618263,1.786234736,2.154830217,0.34281221,0.976611912
Task 3,7.714352131,8.434415817,4.278571606,27.7531147,17.20729065,22.66568375,72.86502075,35.04211044,117.0221024,45.79204178,78.01515961,133.9550629,56.64637375,133.2835083,58.16844559,139.9288177,93.79414368,264.975769,167.03302,230.6472015,430.1194153,210.3777466,467.0123596,150.6313629,353.519043,86.22467041,181.1803284,19.28833389,41.48091125,112.7970581,28.42934418,63.82800674,12.07705402,32.1258316,3.956250191,12.7927599,0.610207915,0.779508293,5.933209896,1.89068985,2.341842651,0.360508502,1.013181925
Task 4,7.364430428,8.044700623,4.09209156,26.65781975,16.53595924,21.87699318,70.57536316,34.18362808,114.4256439,44.91041565,76.84445953,135.08078,57.45264053,136.2140808,59.57711411,142.7257385,95.03284454,270.0615845,168.2593536,234.1884918,438.4453125,214.2284393,479.1141663,154.0250702,362.0247803,88.33457947,186.3720703,19.61394882,42.20577621,116.3481979,29.69992065,67.07613373,12.70627975,34.53940582,4.168776035,13.48895645,0.625848055,0.802280247,6.355631828,1.99328208,2.547886133,0.376866043,1.041727066
Task 5,6.934051991,7.566009998,3.863357782,25.36728287,15.75905418,20.99541283,67.94184113,33.20314026,111.2777252,43.83759689,75.5009079,136.7399597,58.53888321,140.1686707,61.56430817,147.3308105,97.4103775,278.8230286,171.0440521,239.7857513,449.3545837,219.7912903,495.0910034,158.582016,373.0645752,90.95129395,193.8960266,20.03559875,43.17623901,119.5499039,30.75244713,70.11185455,13.26076984,36.93192291,4.361076355,14.27569675,0.633104503,0.814683497,6.695888519,2.073234797,2.717719793,0.388374299,1.067969441
Task 6,6.432982445,7.009460449,3.597226858,23.91030121,14.88674164,20.03659439,65.04234314,32.06377792,107.3206329,42.49151611,73.81555176,138.2290802,59.55545044,143.8799133,63.6035614,152.5681763,100.3612061,289.3314209,174.4433136,245.694397,457.6642151,224.6727448,508.8997192,162.5591736,381.9260559,92.98473358,201.2396393,20.38315201,44.01679993,121.2852325,31.23621368,72.23384094,13.61210442,38.75944519,4.494720459,14.89956093,0.636241674,0.821843386,6.921353817,2.129229069,2.817447186,0.392548144,1.08351481
Task 7,5.871818066,6.385831833,3.298376083,22.2821064,13.89494514,18.94920158,61.74950027,30.60284805,101.8512802,40.57377625,71.11956024,137.0883484,59.34423447,143.6035919,64.18914795,154.6392822,101.7633896,295.278656,175.7423859,248.1173401,455.8739319,224.8902283,511.3466187,163.9328613,383.3890991,93.16471863,204.6501923,20.43721581,44.21349335,121.0503159,31.09179688,73.14071655,13.74015236,39.50975037,4.542540073,15.06349182,0.637455165,0.824030042,6.992931843,2.147667646,2.843775034,0.392273158,1.091573477
Task 8,5.279821873,5.728303432,2.983963966,20.43517685,12.7632246,17.63591003,57.47790146,28.44717598,93.56443024,37.43107605,66.1991806,129.9528656,56.03400421,134.3699799,60.92800522,146.6679077,97.37615967,282.7728882,168.7883911,239.52005,436.731781,215.6652527,490.5932617,158.4233704,368.9743958,89.68280029,198.5852051,19.82089233,42.95643234,117.8555298,30.24437141,71.67926788,13.41452789,38.40196609,4.403893471,14.60076427,0.628490686,0.810152888,6.83411932,2.093138933,2.780738831,0.380969852,1.065028906
Task 9,4.670898438,5.054500103,2.651891232,18.3578167,11.51039124,16.07169724,52.07742691,25.65912819,83.28746796,33.38871765,59.33896637,117.2558975,49.80227661,117.8890686,54.06753159,129.1152344,86.92256927,250.3703766,152.5804443,218.3512421,401.415741,196.6227722,445.5220032,144.6400909,338.0391846,82.29455566,182.0158691,18.40352631,40.00398254,111.1424179,28.62229919,67.50254822,12.58758926,35.25748825,4.073777676,13.55316257,0.607630968,0.78196013,6.410125256,1.946673632,2.627014637,0.351683408,0.985113084
Task 10,3.118223906,3.348195076,1.76788497,12.39681435,7.938307762,11.27681446,36.10372162,17.95778275,58.02257919,22.92697144,41.3849411,81.53942871,33.06183624,80.53874207,37.14817047,89.12340546,60.80634308,172.7669983,107.7858734,158.7096558,305.6855774,143.4339752,319.8742371,103.2843781,250.1738739,59.8371048,132.7453613,13.69012547,29.88022614,83.38625336,21.53141022,50.57108307,9.181903839,24.84142113,2.993299723,9.874632835,0.464076102,0.600983918,4.330205917,1.253148079,1.663963914,0.21147874,0.59347856
