abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,9.174724579,10.08006477,5.062716007,32.60954285,20.24844742,26.42319489,83.84440613,39.33720779,129.4759521,50.02807999,84.47988892,135.0567932,55.63053513,130.1685333,57.04395676,144.4332733,100.4087296,278.1049805,181.7215729,246.1591949,448.1873779,224.0819855,485.8829651,158.6677094,372.1682739,90.46242523,203.3230591,20.24987602,43.80321884,110.055687,24.7491436,56.40464401,9.658920288,27.54767418,2.972555876,12.43950748,0.367365986,0.487334609,2.764645338,1.038762093,0.98007071,0.193832174,0.483620346
0.05,7.902270794,8.667615891,4.388388634,28.37754631,17.59113312,23.0814724,74.04767609,35.44879913,118.2709885,46.1741333,78.43784332,132.6435089,55.87015152,131.239624,57.22887039,138.7965393,93.46458435,262.7727051,166.8799744,228.8299408,426.4927368,208.7962341,461.4876099,148.996109,349.3187256,85.03291321,179.022934,19.02270126,40.84779739,109.7825241,27.30841446,61.09015274,11.54984856,30.43980026,3.786493301,12.28727722,0.588813007,0.750877857,5.558071613,1.789627075,2.164503336,0.344201535,0.982426763
0.1,7.658302784,8.395232201,4.258194923,27.59434319,17.10683441,22.4980545,72.36493683,34.80725479,116.3806,45.53180695,77.54517365,133.1853943,56.34223557,132.9499512,58.01834488,140.0159912,93.79161072,264.7721558,166.8949127,230.1682129,430.5706177,210.417511,467.5930176,150.6295013,353.3687744,86.08617401,181.1147614,19.17808151,41.19346237,112.3246536,28.31118011,63.5299263,12.0491991,32.19856262,3.948951483,12.7626133,0.607719541,0.776212096,5.946603775,1.888993382,2.347102404,0.360516757,1.013662338
0.15,7.310009003,8.005946159,4.071938515,26.50040436,16.43616676,21.70820618,70.08182526,33.95125198,113.778717,44.64916611,76.36973572,134.2759247,57.12778854,135.8136749,59.38935852,142.6706238,94.93036652,269.6315918,167.9381714,233.4150848,437.9951477,213.8627777,478.7177124,153.6929474,361.0649719,87.98784637,185.8229828,19.46870232,41.84595108,115.5567169,29.50991058,66.59371948,12.64747715,34.53976059,4.154849529,13.4768095,0.621826112,0.796959519,6.348873138,1.985844731,2.545948029,0.375648052,1.040230632
0.2,6.881072044,7.528257847,3.843634129,25.2132988,15.66157913,20.82790375,67.45816803,32.97319412,110.625412,43.57662964,75.02509308,135.8978729,58.1964798,139.6883545,61.3390274,147.1082153,97.19356537,278.1040344,170.493988,238.6923676,447.9301147,218.9733887,493.5993347,157.8794708,371.2242432,90.39775848,192.8425903,19.86295319,42.75531006,118.4758682,30.50114059,69.47164917,13.17644882,36.86148071,4.342831135,14.27565193,0.628691375,0.808364928,6.675491333,2.062196732,2.709904909,0.386554688,1.065688491
0.25,6.381556988,6.972473145,3.577922344,23.75962639,14.79127121,19.87143707,64.57627869,31.83965492,106.6729584,42.23386002,73.33869934,137.3523254,59.19725418,143.3040161,63.32978439,152.1439514,100.0061188,288.270813,173.6275635,244.220459,455.2359619,223.3829346,506.3302002,161.4884033,379.2062683,92.22203827,199.7042084,20.18130875,43.53656006,120.0310593,30.94838333,71.49249268,13.51270294,38.63024521,4.474318981,14.89027596,0.633026421,0.81704098,6.90054512,2.118365526,2.809514046,0.390956342,1.080777287
0.3,5.821634293,6.349247456,3.279283285,22.13080978,13.79900646,18.78303909,61.28704834,30.37787056,101.1949768,40.31097412,70.63323975,136.1598511,58.95911026,142.9031982,63.8587265,153.9919891,101.2584839,293.8433228,174.6719208,246.3403625,452.6604614,223.2164764,507.8927002,162.565567,380.0100098,92.26044464,202.7750702,20.21274376,43.68782043,119.6609116,30.78048706,72.31667328,13.62479115,39.31222916,4.516526222,15.03278351,0.635050356,0.819724739,6.972800255,2.137430191,2.836731195,0.390968591,1.088158131
0.35,5.232634544,5.694095135,2.965944529,20.28924751,12.66894817,17.4738102,57.03104019,28.22607422,92.91060638,37.16159058,65.70891571,128.983963,55.62881088,133.5501709,60.56554031,145.8820343,96.78310394,281.1813965,167.6117401,237.611908,433.0812988,213.7977142,486.6891785,156.9317627,365.2888184,88.70166016,196.5344849,19.58243942,42.40117264,116.4056931,29.92332077,70.8213501,13.28909492,38.15832138,4.372634411,14.55028439,0.625970542,0.805783272,6.812175751,2.082136393,2.773586035,0.379520327,1.061469197
0.4,4.626720428,5.022610664,2.635074615,18.21771622,11.42097473,15.91786385,51.65223312,25.44769478,82.6595993,33.12477112,58.85880661,116.2932892,49.41059494,116.9993057,53.69752502,128.2601318,86.29139709,248.7076263,151.3644562,216.3715668,397.430603,194.644989,441.3047791,143.0924377,334.1218567,81.25839233,179.8364563,18.15280533,39.42502975,109.5858688,28.27141953,66.59339142,12.44721317,34.95230865,4.032247543,13.46531296,0.603490353,0.77608639,6.380635262,1.932162881,2.6169734,0.349094212,0.979234397
0.45,3.079347372,3.319737673,1.752676845,12.27332497,7.858223915,11.1399498,35.71827316,17.7651825,57.45117569,22.68482399,40.94115067,80.65293884,32.70139694,79.60728455,36.77911377,88.1973877,60.14603424,170.9854584,106.5461502,156.6751099,301.2624817,141.3244476,315.1126709,101.6582565,245.976059,58.7360878,130.3697357,13.41178036,29.24315834,81.66858673,21.11722565,49.56578827,9.016069412,24.42033005,2.938596725,9.711442947,0.457775265,0.592168272,4.287960052,1.235340595,1.644077659,0.208348796,0.586240053
0.5,2.635821819,2.834544182,1.498104692,10.49959373,6.753599644,9.608185768,30.74366188,15.36133766,49.87094116,19.55098152,35.5000267,69.96382904,27.99189377,69.42050171,32.11166382,77.52697754,52.97999573,150.4764557,93.71817017,139.4894867,270.8117676,125.6712799,279.8057556,89.63831329,219.5077667,51.8723793,116.4933853,11.93850899,26.08790016,72.63154602,18.74245644,43.94746017,7.949802399,21.53948593,2.617283821,8.639909744,0.403869629,0.525858641,3.654010773,1.051050425,1.332085967,0.177750602,0.512656391
0.55,2.222284317,2.384058714,1.260707617,8.833943367,5.701515675,8.124700546,25.94313049,13.02226639,42.46497345,16.55965996,30.23453522,59.68708038,23.58032036,59.36535263,27.49012947,66.69659424,45.72370148,129.6559448,80.66483307,121.7699661,237.5290527,109.5408936,243.8319092,77.62362671,191.9791565,44.91329193,102.734581,10.45438099,22.93789291,63.79751587,16.42740059,38.6069603,6.936222553,18.9745121,2.3005445,7.672074318,0.347282946,0.45329833,3.009480476,0.874863982,1.060976148,0.148867428,0.440790743
0.6,1.531608701,1.638099194,0.867032111,6.060910702,3.927094221,5.593326092,17.79491997,8.978983879,29.44322014,11.45328236,21.08250427,41.86916733,16.26440239,42.0500946,19.51481628,47.78308868,33.11035156,93.73072815,58.37882614,90.61780548,176.8578949,81.6173172,182.6407776,57.5925827,144.1154327,33.22757721,79.24074554,7.885857582,17.45079613,48.42675781,12.38130951,29.45266342,5.196243763,14.56040192,1.735616446,5.976665974,0.249456361,0.330826789,2.012797832,0.612867355,0.710913599,0.106309228,0.308733106
0.65,1.23710537,1.320037484,0.69880861,4.881102085,3.165397882,4.501459122,14.28882122,7.223004818,23.70751381,9.240615845,17.03228378,33.91500854,13.13219452,34.38076782,15.96702862,39.24207687,27.36471558,77.37086487,48.23171616,75.7778244,147.5366821,68.30545807,153.2445221,48.16832733,120.9137039,27.74580765,67.49034882,6.625884533,14.72718811,40.84707642,10.4019804,24.98999786,4.350091934,12.31527901,1.456923842,5.106920719,0.205230772,0.274103403,1.606992602,0.508590758,0.57363528,0.087858476,0.248506472
0.7,0.966989517,1.03106308,0.546304643,3.806725979,2.470006943,3.493745804,11.05870819,5.598051071,18.3855381,7.185551643,13.25477791,26.45594215,10.22631168,27.08339882,12.58983135,31.06415367,21.80604744,61.56007004,38.38209152,60.85746002,117.9587479,54.7545433,123.0976334,38.57722855,97.07933807,22.16732597,55.01974106,5.316491127,11.8589859,32.73392105,8.309786797,20.13076782,3.456492424,9.870810509,1.166734219,4.17655611,0.161734477,0.216316402,1.225751758,0.404986918,0.436985165,0.069417983,0.19187434
0.75,0.588508427,0.635065913,0.337765843,2.326679707,1.512121677,2.107022762,6.618115425,3.358561516,11.07048225,4.343626499,8.014358521,16.09427261,6.217360973,16.71635056,7.782842636,19.35044098,13.70965481,38.58750153,24.01419067,38.3716774,73.88934326,34.44669342,77.65963745,24.25450325,61.43597412,13.87681961,35.49927902,3.348098516,7.499336243,20.4812088,5.180380344,12.62762737,2.14196372,6.155133724,0.737954378,2.702786207,0.101314969,0.136034921,0.721522212,0.25056836,0.254207045,0.042497698,0.117593437
0.8,0.421522915,0.46175018,0.24631457,1.6810776,1.092826247,1.501524687,4.669732571,2.37758255,7.857520103,3.100473404,5.704259872,11.44389915,4.427015781,11.92293835,5.554246426,13.85893917,9.856921196,27.66755104,17.17038727,27.45685196,52.54795074,24.53415298,55.35046768,17.25360489,43.85330582,9.838767052,25.58093452,2.376770735,5.32503891,14.3827877,3.638611555,8.804988861,1.496791601,4.294354916,0.522179723,1.93847537,0.071069025,0.096054681,0.494040579,0.174981773,0.17196168,0.029805634,0.083729759
0.85,0.288743615,0.326164097,0.175057784,1.180084467,0.767454803,1.037487864,3.166037083,1.620363474,5.397350311,2.1422894,3.925927639,7.880435944,3.049142838,8.224128723,3.830740213,9.581206322,6.833491325,19.1097393,11.80670071,18.83172417,35.83530807,16.7693367,37.84564972,11.76946735,30.01258659,6.668043613,17.55207825,1.609661818,3.60233736,9.620512962,2.436350346,5.81072855,0.9939906,2.855707884,0.352068096,1.335253358,0.047128756,0.064293675,0.324893236,0.115973905,0.112055019,0.019823631,0.057212137
0.9,0.168048471,0.202890292,0.109928057,0.731430471,0.475334942,0.628570735,1.831544161,0.950003982,3.19751668,1.286638021,2.332834005,4.636864662,1.792934656,4.801500797,2.228066206,5.556339264,3.964627028,11.01649094,6.735851288,10.66069698,20.07983589,9.436120033,21.34287262,6.605430126,16.82731438,3.684113741,9.803791046,0.882215977,1.964101076,5.096242905,1.299491882,2.97449851,0.527704656,1.512996793,0.192907974,0.77452445,0.024825573,0.033668023,0.165044472,0.058879063,0.056700807,0.01012084,0.030421792
0.95,0.08520674,0.114124052,0.062812306,0.409843653,0.267092407,0.345179319,0.957807839,0.508455157,1.755203843,0.710995317,1.277138829,2.561334848,0.981489539,2.653291464,1.217772961,3.015602589,2.148010492,5.921966076,3.586769819,5.594356537,10.51717663,5.01200819,11.34378242,3.485878468,8.855656624,1.899089932,5.050850868,0.443907827,0.982906938,2.45994401,0.626103282,1.381064534,0.249327809,0.719413757,0.092719898,0.383501649,0.011841664,0.015932228,0.078259602,0.027583012,0.027218869,0.004798498,0.014819643
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
