abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,7.627478123,8.924100876,4.499920368,31.45311928,19.51678276,28.2380867,86.97380066,39.61682129,124.0666428,46.31775284,85.18792725,195.0830688,74.21446228,208.2893066,94.30044556,216.772049,159.8813477,344.8518677,215.0852966,329.4742432,608.9821167,294.1808472,643.9828491,209.4803925,471.4447632,126.2682571,318.3505249,30.100914,68.83159637,190.7700348,44.00482178,115.3505478,17.57942009,67.23792267,5.783033848,23.59166718,0.71385771,0.983024061,5.787868023,1.612272859,1.743042111,0.320810199,1.139861107
Task 2,7.382234573,8.639720917,4.361629486,30.51828766,18.9137516,27.40275192,84.36206818,38.42389297,120.144455,44.86863327,82.44263458,188.133255,71.54918671,200.6919708,90.63735962,207.9277802,153.0444794,330.7507324,206.8428192,316.0958557,584.0413208,282.0411682,618.2556763,201.1567841,450.5120239,121.5035477,303.6014099,29.0541687,66.48892212,183.3206177,42.38965988,109.6788406,17.00196838,63.93177032,5.616341114,22.35410309,0.708712518,0.974959731,5.733293533,1.58693397,1.712657571,0.319162279,1.139434814
Task 3,7.027523041,8.223192215,4.160880566,29.05319786,17.97693443,25.9373703,79.85842133,36.38858414,113.7412186,42.52006912,77.91884613,176.5918427,67.23300171,188.1569672,85.02624512,194.9684448,143.3293762,311.4676819,195.6236115,298.1081543,552.1143188,266.7019348,586.6338501,191.3248138,425.4129028,115.72995,285.1775818,27.71882248,63.42564011,173.6001282,40.30206299,102.2745514,16.1193924,59.16318512,5.364430904,20.67798805,0.684492171,0.938840747,5.474630833,1.52171433,1.627402425,0.307240695,1.08221066
Task 4,6.632247925,7.758578777,3.936923265,27.43027115,16.94412231,24.31936264,74.87155151,34.14780807,106.7074203,39.94490051,72.98054504,163.9784546,62.5499382,174.501709,78.94976044,181.0584717,132.9407043,290.9038696,183.6179199,278.9486694,518.2685547,250.5673065,553.3657227,181.0367126,399.477478,109.7254868,265.9884644,26.31241989,60.19825745,163.3558655,38.110672,94.52302551,15.18736649,54.15967941,5.098833561,18.9473381,0.6564731,0.897940278,5.178400993,1.449906707,1.532520771,0.294158459,1.018121004
Task 5,6.236235142,7.293640137,3.712939262,25.81860924,15.92447853,22.72583961,69.93782043,31.94585228,99.80443573,37.4256897,68.16758728,151.6447449,57.99731064,161.203537,73.05522919,167.6802979,122.9923401,271.2397461,172.1207275,260.6845093,486.1125488,235.346817,521.9088135,171.3631439,375.5943909,104.1278992,248.1451721,24.99726868,57.16104126,153.7751465,36.07392883,87.38791656,14.31014252,49.51441956,4.845922947,17.35234261,0.62953341,0.858459711,4.890079498,1.381419539,1.441202641,0.282463551,0.96288842
Task 6,5.837432384,6.825384617,3.487120867,24.21566391,14.91951561,21.16551399,65.05222321,29.7810936,93.0317688,34.96195602,63.48572159,139.6181641,53.58081436,148.2899323,67.35192871,154.8450623,113.4866638,252.4705811,161.1320496,243.3162994,455.7137146,221.0628967,492.3894348,162.349411,353.9241028,98.97990417,231.8072357,23.78971481,54.36581421,144.9293823,34.19592285,80.86581421,13.48637772,45.21165085,4.610951424,15.91249847,0.60297209,0.821262956,4.606303215,1.316700816,1.353129387,0.272904843,0.91522944
Task 7,5.469513893,6.394287109,3.279055119,22.76639938,14.02191257,19.78203392,60.62962341,27.83697891,86.96817017,32.77178955,59.33547974,128.9116669,49.66618347,136.8498077,62.31690598,143.6079102,105.2016525,236.1488495,151.5556946,228.2658234,429.5271912,208.8501129,467.1231689,154.6716309,336.0218506,94.63433075,218.0761261,22.75141335,51.94552231,137.3781433,32.59282684,75.43400574,12.78018284,41.61229324,4.415658951,14.76087952,0.580693364,0.79087007,4.356668472,1.262599111,1.277987957,0.264611542,0.874709189
Task 8,5.069548607,5.926242828,3.053107977,21.20674706,13.06277943,18.30384827,55.91503906,25.78500748,80.58686829,30.48353577,55.02005768,117.7273788,45.59633255,124.9348297,57.09148788,132.0715485,96.71957397,219.5097198,141.7417297,212.8810577,403.0243225,196.6166229,441.7541504,147.0290985,318.8182678,90.33939362,204.5452423,21.71328735,49.51152039,129.8278351,31.00044823,70.17477417,12.07426739,38.11626434,4.233968735,13.7284174,0.557450533,0.760096669,4.093524456,1.208832622,1.201449394,0.25669685,0.835991323
Task 9,4.669616222,5.457847595,2.826666117,19.65559769,12.11420918,16.85773659,51.33210754,23.81310081,74.46457672,28.30834389,50.94559097,107.1079407,41.74556732,113.6538391,52.17261124,121.3495102,88.85686493,204.0981293,132.5800171,198.6229706,378.7247314,185.5057068,418.5619507,140.1047363,303.8622131,86.48678589,192.4633636,20.76603317,47.28708267,122.9179688,29.56270981,65.57932281,11.43647385,35.07063675,4.08599472,12.93157005,0.535673618,0.731927931,3.861806631,1.16522336,1.13710916,0.250184387,0.802474976
Task 10,4.269325256,4.989161491,2.60101223,18.10142517,11.17069626,15.43824482,46.87530899,21.91779518,68.62161255,26.2487278,47.12099457,97.17141724,38.14094543,103.0721893,47.59744263,111.544899,81.69691467,190.1025238,124.1964417,185.7122955,357.1420288,175.7478027,398.0336304,134.0491486,291.3841858,83.12574768,182.0622253,19.93051529,45.31808472,116.7828674,28.30698013,61.79603958,10.89525032,32.59723663,3.969260693,12.36121559,0.516517341,0.706744552,3.660713911,1.131808758,1.089984536,0.24621737,0.780283153
