abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,9.189732552,10.09538555,5.070174217,32.68364334,20.29021263,26.50653267,84.07525635,39.43748474,129.7145233,50.11203384,84.673172,135.3322754,55.75285339,130.3166046,57.06629562,144.1139679,100.1940536,277.5907898,181.4398499,246.0015869,446.7512817,223.6774139,484.8025208,158.3863068,371.8127441,90.52046967,203.4251404,20.35454941,44.06127548,110.5873947,24.8919735,56.72227859,9.72203064,27.7569809,2.994025946,12.57076931,0.368920147,0.490311444,2.789314985,1.048985481,0.992102385,0.195631415,0.489304423
0.05,7.914055824,8.679219246,4.394118309,28.43926048,17.62663841,23.15877533,74.26285553,35.54691315,118.5261307,46.26953125,78.64914703,133.0106049,56.03849792,131.5160065,57.33212662,138.7771454,93.45013428,262.8782959,166.9797668,229.27005,426.7808533,209.1814575,462.2814941,149.3750763,350.4268188,85.42867279,179.7900238,19.19431305,41.2740593,110.8497925,27.60544968,61.80784607,11.691535,30.74271393,3.832590103,12.43486404,0.594916761,0.75944519,5.631737232,1.815577626,2.199705362,0.348395795,0.996637106
0.1,7.798356533,8.634952545,4.381021976,28.32832909,17.5813694,23.10167694,73.64874268,35.49208832,117.9636688,46.16145325,78.52297974,134.3872986,56.8529892,133.2738495,58.2216301,139.7619019,93.73283386,264.55896,166.8789673,230.4918671,429.2792969,210.0813141,465.7961121,150.2183228,352.2514648,85.93978119,180.6968231,19.21251488,41.32167435,112.6133575,28.40642166,63.81697845,12.10144997,32.2441864,3.963813543,12.7992754,0.611415803,0.781187534,5.961944103,1.897500992,2.354577065,0.361597031,1.020278931
0.15,7.321222782,8.01682663,4.077259541,26.5600338,16.47034645,21.78490448,70.29918671,34.0514679,114.0557022,44.75346756,76.59605408,134.7097168,57.32976913,136.1775818,59.54325104,142.8394012,95.03922272,270.113678,168.2763519,234.2007751,439.0307617,214.626297,480.4080505,154.3843384,362.8955994,88.55702972,186.9976654,19.66600227,42.32633972,116.84758,29.85500526,67.4778595,12.80725479,34.90235901,4.203223228,13.61566067,0.628604412,0.806257367,6.427255154,2.012682438,2.582000494,0.380361974,1.053556442
0.2,6.892624855,7.538942814,3.848865747,25.27271461,15.69536972,20.90519714,67.68154907,33.0753479,110.9091187,43.68509293,75.25875092,136.3475952,58.40439606,140.077301,61.50904846,147.3753357,97.37193298,278.7661743,170.963974,239.6088104,449.3374634,219.9463501,495.7570496,158.7406158,373.4511719,91.05425262,194.1955109,20.06961441,43.25926208,119.8585358,30.85772133,70.4046402,13.33940315,37.23778152,4.390574455,14.39933014,0.635276735,0.817692101,6.755031586,2.089720964,2.74451828,0.390976101,1.07758832
0.25,6.392624855,6.983038902,3.583127499,23.81655121,14.82393456,19.94696617,64.79740143,31.94009781,106.9622955,42.34554291,73.57881165,137.8264923,59.41614532,143.7404785,63.53486252,152.5496216,100.2815323,289.2135315,174.2976379,245.383667,457.1468506,224.6113281,509.065094,162.5549927,381.8895874,92.97087097,201.2330627,20.39482117,44.05500793,121.455574,31.30635071,72.463974,13.67709064,39.02421188,4.521379948,15.01362419,0.638359129,0.824727595,6.974949837,2.144720554,2.840853453,0.394883424,1.091719151
0.3,5.833479404,6.360644341,3.284923553,22.19136429,13.83350849,18.86114883,61.51629257,30.48160553,101.4895096,40.42540359,70.86732483,136.6422729,59.18435669,143.3661346,64.08499908,154.4962616,101.604126,294.9815979,175.4841614,247.6568146,454.9305725,224.6381531,511.0620117,163.7999115,383.0335693,93.07740784,204.3943329,20.4391613,44.22863007,121.145546,31.14979744,73.3338623,13.79662132,39.73619843,4.567233086,15.16410732,0.639622033,0.826750278,7.042210102,2.162429094,2.864264727,0.394584179,1.099577308
0.35,5.243608952,5.704205036,2.97092104,20.34435081,12.70095253,17.5464859,57.2396965,28.3185482,93.17167664,37.26820755,65.92040253,129.4351349,55.83840942,133.9795685,60.76305389,146.3374939,97.09745789,282.1618042,168.3707886,238.8507385,435.3562927,215.1991425,489.797821,158.1377869,368.282135,89.5174408,198.1040497,19.81071091,42.9425621,117.9071045,30.29973793,71.84443665,13.46576214,38.58704758,4.42574501,14.68855381,0.630459547,0.812639713,6.881058693,2.107121468,2.800196886,0.383241713,1.073058009
0.4,4.637794971,5.032941341,2.640264988,18.27311897,11.45292282,15.98869228,51.85763931,25.53879356,82.92267609,33.23536301,59.06752396,116.7508392,49.61661911,117.4640579,53.89087296,128.7110443,86.60540771,249.6634216,152.1098328,217.6044769,399.7328491,196.0347595,444.40625,144.2593079,337.0250244,82.0557785,181.3843231,18.37928581,39.95746613,111.0873718,28.65436745,67.61929321,12.62793446,35.40832138,4.089357853,13.62475872,0.608758569,0.783648431,6.452599525,1.958386898,2.645571232,0.353471279,0.993213415
0.45,3.089232683,3.328217268,1.756898999,12.31985664,7.884601116,11.19538116,35.88422775,17.8397541,57.66585541,22.77765274,41.11473083,81.04520416,32.87332916,80.02555847,36.93415451,88.57011414,60.40799713,171.72612,107.1723938,157.7288818,303.3656616,142.5111389,317.7906494,102.6084976,248.406662,59.40677643,131.7184753,13.61293507,29.70799828,82.95386505,21.4552002,50.44683838,9.165447235,24.82509995,2.988060236,9.873773575,0.462556422,0.59947443,4.339780331,1.252345443,1.67023015,0.210594982,0.592451215
0.5,2.646823168,2.844185114,1.502906799,10.54757214,6.781046867,9.664808273,30.91234779,15.43896484,50.08916092,19.64673424,35.67449188,70.34194946,28.158144,69.82290649,32.26679611,77.89769745,53.24240494,151.2034454,94.32218933,140.4941864,272.8448181,126.7898026,282.3437195,90.52017975,221.800415,52.49972916,117.7415695,12.12782383,26.52970886,73.82658386,19.05980301,44.75795364,8.086760521,21.9066925,2.663125753,8.792521477,0.407783508,0.532087743,3.694146633,1.064133883,1.350864649,0.179235429,0.51529485
