abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.284113407,8.727398872,4.342746735,28.54929924,17.64094543,23.33784103,71.90706635,31.18518257,106.6844635,42.39301682,72.27668762,129.984726,54.91680145,141.1443787,60.1942749,146.1568909,105.5317612,270.8342896,188.7468109,268.9285278,510.9815063,249.154541,572.3843994,195.7215424,468.3814697,113.9077377,269.8268433,31.91524887,71.47325134,183.0594177,48.67379761,118.1926804,18.70782661,56.11799622,7.250098228,22.10695267,1.150515199,1.637123466,8.728132248,2.863299847,2.952202559,0.587936759,1.87584877
0.05,6.986946106,8.360360146,4.166110992,27.47871399,16.96615601,22.53579903,69.49485779,30.25765228,104.1144409,41.40901566,70.58763885,128.877594,54.39143372,141.3674469,60.65066528,149.6960449,108.7107773,277.9195557,194.2194519,277.392395,526.0534668,256.1983032,587.2375488,199.8210907,482.1495056,115.9452896,282.815979,32.12865448,72.09410095,190.0494843,49.54115677,124.2042999,19.09750366,57.82527161,7.418195248,22.43006134,1.145785451,1.638101578,8.696525574,2.847677231,2.900049686,0.586405873,1.849554062
0.1,6.647779942,7.948144913,3.96842742,26.27895737,16.21995544,21.67362213,66.98638153,29.35647964,101.8233643,40.51867676,69.1111908,128.6981049,54.14926529,142.5181885,61.52926636,154.3023376,112.7099991,287.173584,201.1325531,288.3148804,545.2094727,265.1785278,606.4407959,205.5121765,499.425415,118.842514,298.1661682,32.65848923,73.4992981,199.7733765,50.83108521,131.8977661,19.5816555,60.59495926,7.653270721,23.24060249,1.134531975,1.631731272,8.585700989,2.796358109,2.792506933,0.584927857,1.825897455
0.15,6.266069889,7.491337776,3.749576569,24.98044968,15.42090797,20.77575111,64.46769714,28.49615288,99.67145538,39.68117142,67.77983093,129.4909363,54.07687759,144.3306427,62.6786499,159.3679352,116.9989853,297.2441101,208.4998779,300.2891846,565.7184448,274.5693665,626.3737793,211.802063,517.2831421,122.0151672,313.4725647,33.43103409,75.47816467,210.3392639,52.26220322,140.0552216,20.0676403,63.92197037,7.871857166,24.35619545,1.110687494,1.61030221,8.383312225,2.694234133,2.637386322,0.580552161,1.801174879
0.2,5.882400513,7.034072399,3.530466795,23.72153473,14.65406513,19.94765854,62.22985077,27.77817154,97.95819092,39.0293045,66.74765015,131.1289825,54.21007156,146.3469849,63.84213638,163.5715332,120.5238953,305.4559631,214.4998016,310.513916,581.2012939,281.2993774,640.0874634,216.2671356,530.3461914,124.3151627,324.4005432,34.09156799,77.23248291,218.5488739,53.36380005,146.6844177,20.42637634,66.83515167,7.999076366,25.59113884,1.083598971,1.583427072,8.19497776,2.588172913,2.503505468,0.572110057,1.769853115
0.25,5.495834827,6.573487759,3.309558868,22.49673653,13.91687679,19.17751694,60.20877457,27.15434456,96.57765961,38.54627609,65.96315765,133.4547119,54.54192734,148.2027893,64.82196808,166.1854706,122.773819,310.4103699,218.1703949,317.2659912,587.1251831,283.3033447,642.8161011,217.2008362,535.1029053,124.8802643,328.9528198,34.31593323,77.96268463,222.4128723,53.72919464,150.2390747,20.54756165,68.76677704,8.016510963,26.69697189,1.060885072,1.558494091,7.99788475,2.483573198,2.399275064,0.561004162,1.732979655
0.3,5.136984348,6.14670229,3.103663206,21.40012169,13.27216911,18.51540375,58.4536438,26.59776878,95.35501099,38.16830444,65.32601929,135.9156036,55.00330353,149.794281,65.59069824,167.3822479,123.8597336,312.2122803,219.5588379,320.0336304,584.1276855,280.8024292,634.7765503,214.7286377,530.9535522,123.6591492,327.1750183,34.11408997,77.63007355,222.008606,53.44134521,150.4785309,20.42379379,69.61631775,7.958111763,27.49826813,1.039522171,1.527977467,7.781562328,2.388629675,2.312730551,0.543809414,1.677946568
0.35,4.749229431,5.685985565,2.88165307,20.2249012,12.59300518,17.79316711,56.53900146,25.89505959,93.55269623,37.59391403,64.46524048,138.3262787,55.59512329,151.4589081,66.38228607,168.1676025,124.605217,312.8583069,219.8199158,320.9763184,576.196167,275.5932617,619.9169922,210.1083374,519.6384888,121.1046295,320.4328613,33.63089371,76.56053925,218.7606964,52.71635437,148.1738434,20.17443275,69.64862061,7.791573048,28.30383492,1.009960771,1.484977126,7.509005547,2.281886101,2.21348691,0.516946971,1.589724898
0.4,4.361301422,5.225000381,2.660513639,19.01462936,11.89229393,16.98361778,54.24151993,24.87653732,90.26207733,36.41801453,62.70328522,139.6002197,55.95310593,152.4123688,66.89250183,168.5887451,125.0242081,312.8512573,219.0197144,321.2791443,571.0877075,272.9487915,611.734436,208.1096802,510.8148804,119.7147751,315.6613464,33.39320755,76.06656647,217.728363,52.33246994,146.5776062,20.10601997,69.50511932,7.547634602,29.42797279,0.969773531,1.426968217,7.245545387,2.16306591,2.099931002,0.484698951,1.485116482
0.45,3.971307755,4.762444496,2.437108994,17.68278694,11.10149479,15.98912811,51.14435196,23.41205406,84.7419281,34.14143372,59.35463333,137.6875,55.26139069,150.5345764,66.03279877,166.4754639,123.330925,307.526001,214.368042,318.7506714,568.991333,274.1947632,615.1505737,210.2056427,510.6827087,120.205925,317.1462708,33.36013412,76.31201935,222.8598175,52.56572342,149.079361,20.239748,70.33565521,7.283162117,31.47122192,0.917421758,1.357049942,7.056978703,2.016215801,1.991657972,0.450402796,1.371955514
