abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,6.98504591,6.977613926,3.470399857,22.18735504,13.78133202,18.16783524,55.02651596,25.02654839,80.72612762,31.34225464,52.58462143,84.75270844,34.55903625,80.90668488,35.88641357,88.90712738,61.71087646,167.7005615,111.5510101,158.9491882,315.2858887,159.3804626,365.5210876,126.9137573,306.8588562,76.73141479,178.2042542,20.87896919,44.57130814,99.85788727,22.81836891,48.78380203,8.81883812,23.76385307,2.751955032,9.246154785,0.339967459,0.491366446,2.53121376,0.923895895,0.945156693,0.178734004,0.491079748
0.05,6.648032188,6.650931358,3.315116644,21.20228004,13.14410019,17.42388344,53.00424194,24.24580383,78.38314819,30.46961784,51.26869965,83.35570526,34.00438309,78.9352951,35.00354767,85.33392334,58.73526001,159.7493744,105.8683243,150.7213745,300.0233154,151.0162811,346.9182129,120.4124451,292.8344116,72.90668488,164.1125183,20.09351921,42.87054062,96.66927338,22.53680611,49.08906555,9.002305984,23.8020668,2.867409229,9.382568359,0.337549478,0.491969526,2.672087193,0.931554198,1.006856441,0.177908376,0.471051186
0.1,6.330961704,6.3291502,3.161744833,20.26138306,12.54277897,16.7682209,51.23260117,23.60399055,76.44116974,29.77514648,50.3372345,82.80612183,33.81671524,78.02786255,34.54285049,82.82855988,56.60315704,153.6349945,101.4305649,144.743866,289.0594788,144.6981049,333.3131409,115.4599991,282.4876709,70.20327759,154.1618652,19.70385551,41.99591446,97.00946045,23.04430962,52.27048111,9.668745995,25.45061874,3.123576164,10.10597992,0.347382694,0.516959965,3.020650387,0.982471347,1.141469121,0.183588445,0.48481521
0.15,6.006722927,5.98641777,2.998593807,19.29447174,11.92508602,16.1454792,49.55164719,23.00615883,74.603302,29.1478405,49.53144073,82.4526825,33.70433426,77.36621857,34.15612411,80.29040527,54.58368683,147.7615051,97.04792786,139.4555817,277.2034912,138.1968842,319.0792542,110.3323517,271.895874,67.44630432,145.7189941,19.31844711,41.18553543,98.19564819,23.75527382,56.04702377,10.40541458,27.69215775,3.391515255,11.11510372,0.365081549,0.554440796,3.473460197,1.062963247,1.302340508,0.194435641,0.539146125
0.2,5.617087841,5.61065197,2.820101976,18.22683907,11.26018143,15.4060421,47.70119095,22.36671448,72.61519623,28.42930794,48.63265228,83.05752563,34.00398636,78.32529449,34.60591125,80.55157471,54.42034912,147.4838409,96.22421265,139.7787476,280.5067444,138.9676666,323.5155334,111.8441467,277.9388733,68.87184906,147.7659302,20.1897049,43.06824875,107.5696182,26.52025795,65.66989899,12.18285179,32.93664169,3.907519817,12.84841824,0.440528154,0.658431172,4.404750347,1.291206479,1.653457165,0.229487121,0.678260028
0.25,5.261346817,5.252756119,2.649324417,17.2573719,10.66046619,14.78313828,46.06387329,21.76960182,70.69393921,27.74840546,47.7668457,83.27480316,34.15559006,78.85495758,34.87712479,80.37995148,54.14174271,147.1893768,95.25912476,140.2592468,280.4438782,138.6662903,324.4730835,112.323822,280.6626282,69.47792816,149.6534271,20.79026985,44.47494888,114.4464722,28.48307037,72.23900604,13.42753506,37.0040741,4.253931999,14.08104992,0.489981204,0.722711921,5.105172634,1.472670078,1.930521011,0.259780735,0.754554927
0.3,4.891760826,4.889995575,2.476498604,16.30351448,10.09245682,14.18490124,44.50017929,21.19606018,68.82833862,27.07200432,46.95811844,84.10244751,34.56250381,80.32987976,35.66162109,82.05169678,55.16007996,151.0144348,96.87800598,144.2509613,288.6072388,142.469162,336.0881042,116.673996,291.5778809,72.18685913,156.804245,21.88026619,46.93935394,123.8071213,31.01525116,79.5871048,14.81143093,41.45186615,4.625756264,15.20405006,0.540992796,0.780595362,5.744016171,1.653637171,2.220789194,0.288986832,0.806424201
0.35,4.539986134,4.535553455,2.30793786,15.37865829,9.542701721,13.58219433,42.76467514,20.43700218,66.15098572,26.06065559,45.55807495,83.53373718,34.38673782,80.28176117,35.79187393,82.27813721,55.39693832,152.9891968,97.31182861,146.2959137,290.0818787,143.3117981,339.651062,118.3708115,295.2333679,73.07444763,160.5605927,22.43315506,48.33547974,128.5917358,32.43933487,83.79754639,15.59377384,44.18135071,4.826306343,15.75916481,0.56914717,0.813505232,6.064556122,1.763974547,2.337474108,0.306930661,0.848539054
0.4,4.180464745,4.175179005,2.136376858,14.40548134,8.966303825,12.89360428,40.68284607,19.44577599,62.61243439,24.6939373,43.49161911,81.88316345,33.711586,79.35847473,35.56343079,82.22533417,55.5901413,155.0586395,98.02481079,147.9166565,291.1028137,143.941864,342.2724915,119.8008118,297.7871704,73.73994446,163.7754059,22.85292816,49.41300583,131.6807098,33.39936066,86.50517273,16.06655502,45.7851944,4.944996834,16.03150749,0.585490882,0.833240926,6.185301304,1.818657994,2.366421223,0.316592991,0.872245073
0.45,3.830144644,3.822470188,1.96836257,13.38119793,8.360635757,12.09792805,38.13169098,18.18624878,58.1339798,22.92371368,40.67739487,78.45767975,32.17373657,76.6032486,34.43701172,80.19885254,54.48718643,152.7552643,96.56272125,146.0199432,286.3331604,141.3435059,336.0504761,118.0083084,293.2025757,72.55097961,162.4249115,22.66857338,49.13871002,130.9272156,33.36731339,86.41110992,16.01986694,45.68160248,4.933428288,15.96199131,0.585877299,0.834679663,6.107857704,1.802354336,2.325619459,0.314078808,0.869839668
