abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,4.683341503,4.019165516,1.995988011,11.70363712,7.420958042,9.591460228,28.40727234,12.4934845,37.3272934,14.44801521,23.26516151,37.59373856,15.7888155,35.81391144,16.10034561,36.44652939,25.92621994,68.76116943,45.07605362,63.1066246,119.6073151,60.8600235,142.7316132,49.45835495,121.0270844,30.44446564,70.14644623,8.468482971,18.27237892,47.1967659,11.72658157,28.64595032,4.987446785,13.53510189,1.89476788,5.430265427,0.351191849,0.552985549,1.921545863,0.691543579,0.673139095,0.214849696,0.54182291
0.05,4.465754032,3.838536501,1.910899878,11.22310925,7.102846622,9.248392105,27.50505638,12.1630373,36.30899811,14.04107285,22.71744156,37.05814362,15.54132748,35.44540024,15.8296833,35.41778564,25.06680489,66.54931641,43.60895157,60.96866989,115.6085205,58.96903992,137.9070892,48.10114288,117.4138641,29.62205124,67.24289703,8.264531136,17.85381126,46.40411758,11.56464958,28.43105316,4.960359097,13.59150314,1.902737498,5.474702835,0.346390665,0.544304013,1.888770819,0.68133378,0.654358447,0.211806774,0.535860538
0.1,4.240759373,3.643861055,1.819063425,10.72361279,6.780268669,8.916861534,26.62472916,11.86880779,35.37482452,13.67510891,22.25223732,36.86548996,15.42197227,35.40962219,15.69146824,34.74441147,24.46411705,64.99866486,42.57540894,59.4557724,113.1297455,57.68865585,134.7262726,47.31708527,115.3263931,29.20472527,65.54011536,8.186263084,17.70358658,46.34137344,11.59139442,28.70787239,5.026676178,13.9501133,1.959531784,5.645030975,0.343558908,0.537264884,1.890838861,0.680260003,0.644551277,0.210005313,0.541214526
0.15,3.99854517,3.434580326,1.720443606,10.20167732,6.446329117,8.579769135,25.72984886,11.57910919,34.40402603,13.2959013,21.78014565,36.77304459,15.33960438,35.5548439,15.62115097,34.24962616,24.0146637,63.76579285,41.74712753,58.34988022,111.2199249,56.59936905,132.2069244,46.63718033,113.7352905,28.91792107,64.45993042,8.153746605,17.64990997,46.39869308,11.63609123,29.04860687,5.097884178,14.30597305,2.011216164,5.811433792,0.341075659,0.533927977,1.921718836,0.684762657,0.640280068,0.208724171,0.550668418
0.2,3.755108595,3.224472761,1.62138772,9.685905457,6.119805813,8.254686356,24.86250877,11.30005646,33.42189407,12.90807629,21.30421829,36.74769211,15.28245831,35.83324814,15.62097931,33.98022842,23.76044273,62.94884872,41.18950653,57.70235825,110.0974655,55.84017181,130.8406067,46.21436691,113.0638885,28.80794525,64.14309692,8.181873322,17.70585823,46.539711,11.69904327,29.43914986,5.182470322,14.641572,2.057894468,5.949129105,0.338924319,0.533522785,1.974792719,0.695797682,0.642113805,0.209584564,0.567207217
0.25,3.512097359,3.014511347,1.522424817,9.187962532,5.80893898,7.945775986,24.00206566,11.00709248,32.36509705,12.48727894,20.78869438,36.70844269,15.21690655,36.19086838,15.68056583,33.93968201,23.70815659,62.49959564,40.86557388,57.40623856,109.5926971,55.3155098,130.2690125,45.93383408,112.9940414,28.81879807,64.37424469,8.23773098,17.80349541,46.46905899,11.69735813,29.64451599,5.22653389,14.79646778,2.075278759,6.010481834,0.336524576,0.532039046,2.035229445,0.709405839,0.649620891,0.210412428,0.589631617
0.3,3.288139105,2.82176137,1.431778908,8.747751236,5.542385578,7.674202442,23.19519234,10.70971966,31.31481171,12.07258987,20.26291656,36.67222977,15.16839886,36.58961105,15.81225872,34.18962479,23.90560913,62.59264374,40.9186821,57.57081985,110.0853882,55.14210892,130.7153473,45.88831329,113.4118729,28.9304924,64.99930573,8.303616524,17.94566345,46.29500198,11.69236755,29.78887749,5.263547897,14.86101151,2.082035065,6.027119637,0.337345093,0.53672874,2.148855686,0.746584892,0.679296672,0.2185231,0.617113888
0.35,3.044476748,2.611462355,1.332633972,8.258940697,5.249774456,7.350490093,22.21162415,10.30858517,29.96063805,11.54475594,19.52750587,36.41773605,15.03587627,36.87587738,15.96232224,34.69233704,24.32684517,63.45035553,41.49441528,58.41580963,112.7270203,55.68675613,133.1340179,46.3937149,114.8982391,29.35464096,66.5424118,8.488699913,18.35663414,46.78857803,11.93365574,30.29358101,5.415350437,15.11259651,2.125186443,6.120788574,0.348131448,0.559822738,2.36112833,0.830352604,0.756068766,0.239085749,0.674666584
0.4,2.80181098,2.403437138,1.234295845,7.754730225,4.94947052,6.983005047,21.04564667,9.818881035,28.35169792,10.91277409,18.60280991,35.71292877,14.71477985,36.68655014,15.94389248,35.00942993,24.65303612,64.5745697,42.26868439,59.53783798,116.3570099,56.82010269,136.6151123,47.34481812,116.7429428,29.91042519,68.32414246,8.73415184,18.91227531,48.07795715,12.41414261,31.14714241,5.67618227,15.58062744,2.214993477,6.426582813,0.362115979,0.587506533,2.512191057,0.901690722,0.833375037,0.257493824,0.715158939
0.45,2.559045553,2.194792986,1.136464119,7.214938641,4.62769556,6.555182457,19.64604759,9.231958389,26.46045494,10.14453888,17.43959236,34.33276749,14.0858202,35.58567047,15.44496155,34.22901535,24.15539551,63.35242081,41.48764038,58.70083237,115.7538071,56.13209534,135.345108,46.71283722,114.7246475,29.40741158,67.54409027,8.655231476,18.77612877,47.88263702,12.45276165,31.15943909,5.710678577,15.66062737,2.244684219,6.531258106,0.363734484,0.590548396,2.5254426,0.916590095,0.861169338,0.259545565,0.71203959
