abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.324205399,8.74318409,4.381115913,29.39239883,18.04638481,24.5982933,75.78455353,34.37153244,110.2901154,41.53889465,72.56890106,123.253418,48.78477859,121.1608353,55.48394012,125.7829437,92.99575806,222.206192,140.7327271,207.9934235,387.5025024,205.2619629,446.288269,156.1246643,344.5270996,95.24391937,222.5349579,23.92045021,53.72130966,128.0138092,29.5684948,69.33209229,11.85225964,34.18203735,4.814069271,18.58559227,0.914249659,1.289138913,6.634063721,1.764481783,2.267864466,0.354192942,0.85197252
0.05,7.037222385,8.410743713,4.220488071,28.33494759,17.36743927,23.73177338,73.23261261,33.29219055,106.8273468,40.24726105,70.18935394,117.6781464,46.7441864,114.9094162,52.82715988,119.1599197,87.80471039,213.1168213,135.2210388,199.3324738,367.5965881,195.7915344,426.2957153,149.4249268,330.7925415,91.13635254,208.693161,22.98651695,51.62595749,120.513176,28.00419998,64.22619629,11.19030094,31.64308929,4.512996197,17.2807827,0.845896959,1.193234682,5.992296696,1.620662212,2.032968283,0.335985005,0.809998274
0.1,6.715069771,8.012853622,4.028631687,27.05125427,16.552145,22.67526817,70.11435699,31.99809647,102.7911148,38.77808762,67.51660156,111.6854172,44.50996399,107.7899628,49.8033638,111.4487991,81.75350952,202.6585693,128.8554535,189.6543427,343.9463806,184.2819214,403.5136414,141.3638153,314.4722595,86.16429138,192.9913635,21.88780785,49.27017975,112.6919479,26.36660004,59.15045166,10.53043079,29.35029221,4.193052769,15.87721252,0.779220402,1.097225904,5.410395622,1.485861182,1.837248921,0.316307038,0.760278165
0.15,6.333991051,7.556122303,3.808484793,25.59264946,15.63261318,21.47786713,66.62831879,30.57154846,98.34879303,37.17327118,64.59305573,105.7596054,42.30868912,100.6544952,46.78634644,104.0871964,75.93266296,192.9035645,122.8337479,180.4468994,322.7191467,173.5934296,382.9508972,133.8538818,301.1245728,81.26577759,177.7311096,20.72799301,46.72657394,104.5103226,24.58302116,53.70547485,9.793931961,26.67380905,3.811560392,14.13900948,0.701639533,0.987040877,4.728775978,1.335911989,1.621013522,0.291315347,0.700942457
0.2,5.946594715,7.094260693,3.585775614,24.14142227,14.72658539,20.30978775,63.27174377,29.22423553,94.09341431,35.64918518,61.85630417,100.8948593,40.50504684,94.72725677,44.23188782,98.0186615,71.11641693,184.8755951,117.7076111,172.7372589,305.8608398,164.4773254,365.8023071,127.2747192,291.0940857,76.60721588,163.9459076,19.54672623,44.10411453,97.03384399,22.80387115,48.60857391,9.06292057,23.99948502,3.423498869,12.38653183,0.624182701,0.877039254,4.069312096,1.192921996,1.430869341,0.265189141,0.64518398
0.25,5.556999207,6.631036282,3.362061739,22.71584511,13.84808826,19.19759178,60.07659149,27.95105743,90.03179169,34.20067978,59.30896378,97.21556091,39.12117767,90.23027039,42.24952316,93.57304382,67.60618591,179.0805206,113.8293991,167.0769958,295.1515808,157.738266,353.1751404,122.1018295,285.2352905,72.41247559,152.7515869,18.45983315,41.7142067,91.35456848,21.20661354,44.24012375,8.388184547,21.52737427,3.058460236,10.78449821,0.553832829,0.775074601,3.489304304,1.064538479,1.282993078,0.239032909,0.589013457
0.3,5.195113182,6.201676846,3.154865742,21.43265724,13.07288074,18.22678375,57.2221489,26.80437279,86.28457642,32.85391235,56.99820709,94.77668762,38.17719269,87.31006622,40.93383408,91.06523132,65.66285706,175.8306732,111.5333023,164.0495911,291.5959778,153.9911041,345.8864746,118.8338623,284.0987854,69.0869751,146.0629272,17.5903492,39.8411293,88.5594101,19.98137856,41.0165062,7.819681168,19.54978561,2.765194654,9.490778923,0.492588967,0.682531416,3.009418011,0.950093091,1.156821489,0.210778058,0.531595707
0.35,4.803199291,5.736938477,2.93083787,20.06095886,12.25460052,17.19349861,54.19927216,25.53977776,81.98195648,31.2827301,54.38725662,93.03083038,37.46553421,85.60939789,40.18139267,90.54817963,65.28939056,175.6192474,111.2820663,164.8164215,297.9353333,154.3999481,346.0938416,118.4174271,291.0636902,67.2410202,146.9482269,17.14027405,38.90699768,89.7666626,19.27351761,39.15724945,7.389343262,18.21882439,2.540498734,8.409843445,0.432974517,0.592629731,2.482039213,0.811546564,0.98825407,0.17086193,0.448905587
0.4,4.410754204,5.271653175,2.704886198,18.66179848,11.42614746,16.12971878,51.00867462,24.11418152,76.98879242,29.43700218,51.4638176,91.55517578,36.80485535,84.85943604,39.93557358,91.88124084,66.28294373,178.6395874,113.2897415,169.3796234,312.5170593,158.83638,353.8357849,121.4605026,305.7052612,67.91295624,157.2592773,17.40681267,39.6179924,94.69231415,19.40883064,40.01575089,7.372087955,18.59905624,2.504416704,7.970057964,0.392460376,0.535963237,2.052006721,0.686035693,0.761449814,0.134343237,0.335977465
0.45,4.01747179,4.805938721,2.479495525,17.21341705,10.56851959,15.00347233,47.53548431,22.47367477,71.17749786,27.26180267,48.01016235,88.99606323,35.61217499,83.28151703,39.34006119,92.22715759,66.53636169,180.1585693,114.4992523,172.4680481,322.03479,161.4150391,357.7848816,123.4009476,315.1434937,68.76130676,166.1974182,17.70033073,40.32784653,97.77393341,19.61763,41.68184662,7.471648693,19.58312225,2.545021772,7.74478817,0.388240725,0.530507207,2.010190964,0.653721035,0.638823152,0.126136288,0.289839149
