abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.498040199,8.837517738,4.419154167,30.26504135,18.70842934,25.78027916,79.4044342,36.63831711,116.5662842,44.13160706,76.52368164,140.0069885,58.01206589,134.9263763,60.74612045,133.806427,95.91494751,232.8458557,136.0050049,206.0235138,365.0025024,183.809494,402.125885,125.7782974,281.9726868,70.41947174,149.4683533,17.06917953,37.94696045,89.38941193,25.53001404,56.12234116,9.104981422,30.80547523,3.112075567,12.57267666,0.46698153,0.699577272,3.190458536,0.977311492,0.937474549,0.236927703,0.613574743
0.05,7.270541191,8.554993629,4.28202486,29.35295296,18.11989975,25.01400757,77.09777832,35.60316086,113.1474304,42.9101181,74.26657867,134.3397369,55.82459641,128.8845825,58.01266479,126.7811432,90.69997406,222.3209839,130.1940308,196.9878387,346.3530884,175.5310516,386.1254883,120.5775833,272.7878723,67.77824402,141.5561523,16.61120415,36.89444733,87.7450943,25.13838196,55.29786301,8.965007782,29.88255119,3.112160206,12.26881409,0.464372545,0.696004927,3.157603741,0.982244015,0.924093544,0.240173131,0.619937718
0.1,6.913604259,8.13229847,4.079174519,27.92544746,17.20744705,23.72147369,73.25204468,33.90457535,107.8928146,41.07143784,70.87150574,126.1340103,52.70744324,120.0748138,54.22361374,117.4271545,83.80377197,209.530777,123.1991425,186.2471313,326.6864929,167.210022,371.2033386,115.6807251,266.7088928,65.44773102,134.230423,16.30760193,36.13179016,87.14481354,24.87255287,54.4249649,8.845301628,28.7897892,3.135519266,11.95773888,0.463876843,0.69537586,3.141213894,1.00897789,0.935755908,0.250016958,0.636956096
0.15,6.522321224,7.670288086,3.857799292,26.38340569,16.22674942,22.35001755,69.17627716,32.12073517,102.3697586,39.14871597,67.3573761,118.0261002,49.63861084,111.4396362,50.52241135,108.5072937,77.24549866,197.5550995,116.6543732,176.2773438,310.1618652,160.3002777,359.3595276,111.7317123,264.0625305,63.63592148,129.1040955,16.17933464,35.76293945,87.97586823,24.85496521,54.3911972,8.833175659,28.15886497,3.196308613,11.81020355,0.46941638,0.703823924,3.181868315,1.058417082,0.990258753,0.266792744,0.666910231
0.2,6.12812233,7.205487251,3.635509014,24.85542297,15.26152229,21.02029037,65.24749756,30.41922951,97.06987762,37.32099915,64.0951767,110.8963242,46.95956802,103.9640274,47.32706833,101.188118,71.8759079,187.9671631,111.4475021,168.4600372,299.646698,155.9281921,352.3367615,109.481842,265.4910583,62.66313553,127.0618057,16.24764252,35.83831406,90.33677673,25.10937691,55.08457184,8.90617466,28.00024986,3.279325485,11.81561375,0.478568256,0.716469347,3.275832176,1.120735765,1.077855468,0.284632385,0.706406474
0.25,5.734388351,6.740541935,3.413117647,23.35539436,14.32155323,19.74603462,61.48425674,28.80337715,91.93104553,35.55826569,61.01896286,104.8547516,44.69615936,97.83363342,44.70480347,95.73935699,67.87216187,181.0766144,107.7804718,163.1090088,295.4491272,154.1009979,349.9710693,108.9607849,270.5990906,62.49899292,128.2167969,16.52189064,36.38241577,94.32834625,25.68019485,56.61557388,9.096039772,28.42311096,3.395337582,12.01412296,0.495846331,0.742350519,3.453866005,1.19913578,1.193456054,0.306928515,0.760873199
0.3,5.378534317,6.317936897,3.210760355,22.02844429,13.5015955,18.65505409,58.2044487,27.40578651,87.35580444,33.98773193,58.31334686,100.2690735,42.98119736,93.51753998,42.86064911,92.53858185,65.51383972,177.4023438,105.9521484,160.7776642,296.7832336,154.5910645,351.4135742,109.7861633,277.5717163,62.97962189,131.8368683,16.91936684,37.2183075,99.09078979,26.40657806,58.73038864,9.363059044,29.27526093,3.519598007,12.27365398,0.515255213,0.770354509,3.681089163,1.283485174,1.312567472,0.334086746,0.831133366
0.35,4.980063438,5.84974575,2.986803293,20.57780457,12.61667442,17.47151947,54.66426086,25.90702248,82.39515686,32.26042175,55.39149094,96.13098145,41.41569519,90.06306458,41.41638947,90.88652039,64.29425049,176.4028625,105.7170563,161.1178284,302.8139038,157.1336975,356.0315552,111.7836838,286.739502,64.0918045,138.1770782,17.46599007,38.42417526,104.9662094,27.25423241,61.52377319,9.663715363,30.43652344,3.642692804,12.50054455,0.53805542,0.802322328,3.958317518,1.380623341,1.418456674,0.361793756,0.919733167
0.4,4.583592415,5.383122444,2.76322937,19.13290215,11.7414999,16.30617142,51.16898346,24.40011215,77.28464508,30.42329979,52.40471649,92.54138184,40.00243759,87.5483017,40.40913391,90.49507904,64.00550079,177.0553589,106.3505096,162.7932739,310.1161499,160.1846466,361.0632629,113.9508514,295.3550415,65.39502716,145.4798126,18.02235794,39.69216919,110.8048477,28.06399727,64.69735718,9.959251404,31.79905891,3.754741669,12.74416828,0.562449455,0.835519314,4.234219551,1.475310564,1.493896365,0.386041522,1.008993149
0.45,4.187400341,4.916797161,2.540374517,17.66889954,10.85836983,15.12642765,47.56505585,22.78213882,71.71981812,28.35075378,49.10523987,88.62559509,38.35131836,84.91252899,39.38285828,89.94701385,63.69876862,176.8453217,106.4420853,163.5198975,314.1608887,161.3269501,362.1194153,114.7549133,299.7477722,65.95295715,151.0599976,18.37430763,40.52820206,114.8028717,28.57125473,67.13964081,10.14388084,32.88314056,3.822045565,12.88250256,0.583081543,0.86109215,4.444062233,1.552207947,1.544356227,0.401101559,1.087316513
