abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,43.54216385,29.63428497,14.7429409,83.92715454,54.74872971,73.14563751,222.2236481,100.4193268,302.5823364,118.0307617,197.0913544,369.2941589,149.1426544,337.461853,138.618988,293.9036255,209.5565948,501.1107178,336.3485413,490.1662903,743.3504639,345.6132507,771.114563,254.2001953,594.421814,158.6799011,406.6948242,34.63825989,81.86577606,214.7958374,51.92050171,129.2224121,19.35157776,64.61917877,5.734959602,25.6686554,1.133111,1.551242232,9.271178246,2.086281538,3.482494593,0.31575954,0.907045901
0.05,41.55580902,28.35823822,14.1490736,80.47076416,52.32749557,70.09349823,213.6637421,96.66051483,291.5407715,113.7258835,190.2334595,355.1513062,143.8245544,322.8901062,132.6550598,278.7320251,197.6014862,473.9981689,316.4833679,458.9980164,691.684021,323.3597717,717.9544067,235.7222595,547.5515137,145.6591949,357.65271,31.8561821,75.05810547,190.1799316,47.08879852,112.3059235,17.47097015,56.58679581,5.110381603,22.40586472,0.953725159,1.310981274,7.763828278,1.790290952,2.850046635,0.281224787,0.762722254
0.1,39.51070404,26.95403481,13.49494743,76.6758728,49.8229599,66.67685699,203.2767792,92.20479584,279.3766479,109.2648392,182.5859833,338.1119995,137.541214,305.2871094,125.8044205,261.9131775,184.9544373,448.3172913,297.902832,428.6905212,643.432312,303.0854492,670.3233643,221.3431549,509.7118225,136.0491943,317.1630554,29.98184967,70.41181183,171.5115967,43.49542236,98.117836,15.9579668,48.57800674,4.628322601,19.47338295,0.838551641,1.154779911,6.710734844,1.572720408,2.394806623,0.25656718,0.668762982
0.15,37.27133179,25.42153358,12.7816782,72.68902588,47.17774582,63.07051086,192.311676,87.58617401,266.6251526,104.6472397,174.6915436,320.8498535,131.1852875,287.4539185,118.9908752,245.6413422,172.8512573,424.5501404,280.5796814,400.9396973,599.6955566,284.8989258,628.071167,209.2018433,478.8330688,127.8516235,281.1361694,28.37843132,66.37880707,154.2991638,40.14093018,84.88843536,14.48246384,41.05418015,4.136903286,16.41293335,0.722096205,0.997692525,5.519286633,1.325721502,1.876598358,0.228954986,0.581087768
0.2,35.0270462,23.88664818,12.07091427,68.77488708,44.6088562,59.5868454,181.7926025,83.24558258,254.423233,100.2879639,167.2627563,305.2782288,125.4720612,271.4598083,113.0065765,232.1050262,162.9175873,406.2955933,267.1157227,380.2346802,567.9539795,271.7623291,599.0823364,201.8927612,462.1820068,122.9187088,256.6509399,27.40369415,63.89513397,142.2482452,37.78661346,75.30537415,13.3886919,35.80586243,3.756197929,13.7735281,0.637920678,0.888926625,4.422815323,1.126368761,1.382752419,0.218086973,0.574313939
0.25,32.77812195,22.35098267,11.35846043,65.08881378,42.23419952,56.37844849,171.7289581,79.18383789,242.7143707,96.17523956,160.28302,291.5592346,120.4884415,257.5739136,107.9983063,221.839447,155.5700378,394.7944031,258.3547058,368.0467834,551.6934204,265.2120667,587.1035767,200.6547089,463.3543396,122.4382858,247.7879486,27.28838921,63.42241669,137.7886658,36.91331482,71.5036087,12.9584589,34.25395203,3.622194767,12.15992165,0.613143325,0.866693556,3.873786211,1.088779449,1.155470967,0.245352447,0.702988565
0.3,30.70207596,20.93176842,10.70016193,61.89854813,40.22235107,53.65333176,162.8652191,75.66537476,232.2254486,92.53069305,154.116806,280.6055603,116.5524368,246.888031,104.3750534,215.7246857,151.4150696,391.2149658,255.2116089,365.3117371,553.2669067,266.418335,593.0271606,205.1018829,481.0314941,126.3291779,254.4481354,28.09358597,65.07598114,141.6859894,37.7593956,74.80005646,13.38558292,36.73077011,3.827661514,12.26224041,0.676041901,0.962300897,4.352702141,1.332660437,1.387170911,0.322600275,0.913356423
0.35,28.45266724,19.39143372,9.983459473,58.49075317,38.07675552,50.76626587,153.6172333,72.04312897,220.8374481,88.56230164,147.4891205,270.296875,112.8937759,237.5605316,101.5652084,212.8440247,149.7976379,394.7790833,256.8717041,370.5350037,572.7056885,275.3893127,616.0932617,215.3345795,514.2047729,134.4370728,274.293335,30.01738358,69.38798523,153.1369629,40.429142,84.4250946,14.85065365,42.55654907,4.463801861,14.15225792,0.797725737,1.133786321,5.357116222,1.679544687,1.719018579,0.399770468,1.052252889
0.4,26.20200157,17.84730721,9.266085625,55.13196182,35.97061157,47.90162659,144.4736176,68.44191742,208.8056793,84.25068665,140.4151917,260.2846375,109.2400513,229.2669067,99.32276154,211.9787903,149.7713013,401.604126,260.880188,379.2909241,598.4047241,287.1465149,644.6152954,226.9836578,547.6507568,143.1511688,295.9316101,32.15958786,74.19600677,165.516983,43.45246887,94.11363983,16.389328,47.70075226,5.031886101,15.85392189,0.873122394,1.233156562,5.879686356,1.836284041,1.864219666,0.435424328,1.120061636
0.45,23.95054054,16.31531715,8.572717667,51.68799973,33.91477203,45.01057434,134.8227539,64.50674438,195.0720825,79.12592316,131.9721832,247.721817,104.1645432,218.6039734,95.88503265,207.3716125,147.0497742,397.8860474,258.9002686,378.6218872,603.7987671,289.2002563,650.1317139,229.8242188,555.989502,145.7565765,302.631958,32.78773117,75.70016479,169.7784271,44.42370224,97.42279053,16.80671883,49.31271744,5.131980896,16.11368561,0.883494854,1.248350978,5.879904747,1.852186084,1.877503276,0.445723057,1.140529037
