abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,30.36923981,14.77448845,7.280281544,32.87094498,23.43701172,28.25514221,67.6164856,30.17465973,83.84529114,33.22124481,51.7435379,83.80123901,34.40524673,78.24246979,37.41597748,79.81295013,61.34884262,153.4122009,101.5569,138.0414581,241.8052673,120.3485107,266.3404541,91.27973175,207.0511475,57.88846207,124.3886185,16.23913002,33.30372238,71.89054871,17.13366127,37.14863205,7.901013374,18.23435783,3.960575581,8.744911194,0.793964326,1.466306448,3.630671263,0.84440124,0.837483704,0.355492741,0.828186631
0.05,29.55446815,14.29218864,7.065732479,32.08848953,22.92339516,27.89559174,66.87978363,30.67894554,84.47476196,33.25120163,52.08977509,87.74874115,35.72606277,82.21138763,39.71659088,85.39840698,65.91077423,163.7582703,108.590683,150.5622406,264.3496399,129.9708252,290.192749,97.81624603,224.1318207,62.14686203,135.110611,17.37553596,35.53691483,78.30251312,18.43517494,39.75966644,8.377528191,19.45103645,4.158800602,9.233452797,0.821634352,1.513720036,3.635968924,0.836506009,0.853678346,0.368178368,0.883734167
0.1,28.45266724,13.68921757,6.795270443,31.11897659,22.20272636,27.35839653,65.44774628,30.48311424,82.79866791,32.52140045,51.41477966,89.80127716,36.43695831,84.66112518,41.1415329,88.75375366,68.68040466,168.90802,112.0276031,157.5150604,276.8027649,135.961792,304.9517517,101.5954666,234.3971252,64.63840485,143.3997803,17.97909546,36.84006882,82.27477264,19.11867142,41.89642334,8.682393074,20.26352501,4.252524853,9.554419518,0.818557739,1.510624766,3.644446611,0.849007487,0.864535809,0.373180389,0.886322856
0.15,26.86676979,12.91286755,6.444289207,29.77007484,21.16432381,26.4474144,63.47132111,29.87771797,79.49304199,31.00047493,49.90530014,90.35379791,36.58128357,86.08283997,42.01905441,91.62615967,71.17050934,172.1780396,114.3815536,163.3341064,287.7435303,141.539917,319.0235596,104.9399796,244.1243286,66.65562439,152.8771667,18.52878571,37.90189362,85.05430603,19.612463,43.66043472,8.927082062,21.03464508,4.345028877,10.04379082,0.824715614,1.520971656,3.830743551,0.891540885,0.904380679,0.387831539,0.88924855
0.2,25.20310593,12.11492062,6.07871294,28.28494644,20.04654884,25.40482521,61.09299088,28.86370468,74.63058472,28.71424675,47.39900589,88.49009705,35.56753922,85.13547516,41.51093292,91.70637512,71.46459198,169.8258667,113.3011093,164.6542816,289.3024902,142.021698,322.6167603,104.4433594,245.7197418,66.30140686,157.5437012,18.41135979,37.65977859,86.05908966,19.61795235,44.4100647,8.942451477,21.46511841,4.353151321,10.51696777,0.815040112,1.508912683,3.814445734,0.860446095,0.888084829,0.383603007,0.891793609
0.25,23.52993393,11.31611443,5.716054916,26.89824104,19.01898766,24.30206108,58.12738037,27.43320084,69.17288208,26.04484749,43.91362381,83.47571564,33.31393051,81.01171875,39.21759796,87.88749695,68.54725647,161.2433014,107.8307953,157.8244171,277.3188477,135.6172028,310.9178162,99.28610992,235.8047638,63.20743561,153.4517365,17.53161812,35.92089081,83.26516724,18.85354042,43.45072937,8.696194649,21.00187302,4.256435871,10.43429279,0.816285968,1.499618888,3.74729681,0.837346196,0.872253776,0.379859895,0.924512208
0.3,21.94648743,10.56914902,5.384119987,25.72561646,18.16943169,23.33906174,55.38219833,26.29436111,65.34602356,24.27837944,41.44314194,79.53378296,31.61572266,77.67733765,37.4634285,84.93082428,66.40345764,155.0540466,103.7218094,152.2463379,267.5899048,130.7782135,302.0302429,95.50713348,228.5647888,60.89874649,150.0234528,16.87820816,34.64345551,81.20419312,18.28003883,42.7695694,8.485332489,20.59733772,4.157098293,10.44896221,0.808204353,1.48656714,3.646353722,0.810307562,0.838074386,0.363221258,0.897053659
0.35,20.22455025,9.764525414,5.024861813,24.45859146,17.27750397,22.27078247,52.44220734,25.29983139,61.85535049,22.82910347,39.16949463,75.81304932,30.0974369,74.55330658,35.90445328,82.19126892,64.4479599,149.5490417,99.83193207,146.8900146,258.2336731,126.2113953,293.0713196,91.92687988,221.582077,58.77750778,146.4243011,16.30714417,33.52729797,79.19690704,17.71646881,42.12681961,8.259086609,20.23220825,4.054890633,10.48688412,0.802577555,1.479507446,3.540336609,0.781115294,0.804939628,0.346876055,0.873589337
0.4,18.49015427,8.953882217,4.659166813,23.22990799,16.40970993,21.18304062,49.56170273,24.51151276,58.87342072,21.71131897,37.23610306,72.61447906,28.86788177,71.95571136,34.67056274,79.95315552,62.88220978,145.0939331,96.47714233,142.2756348,250.0609894,122.2457428,285.087738,88.84319305,215.7107849,57.05400085,143.8713989,15.86746311,32.64433289,77.7574234,17.22891235,41.69485474,8.060881615,20.02627945,3.96468544,10.59235001,0.799799681,1.479644895,3.486957073,0.770082951,0.797563195,0.341423303,0.874984801
0.45,16.74950218,8.149811745,4.312274456,22.0703392,15.66100311,20.18353462,46.82143021,23.86914253,56.40268326,20.89611244,35.66790009,69.92503357,27.9028511,69.86190796,33.78212357,78.3325119,61.78993988,142.0195313,93.94758606,138.6799927,243.9918671,119.4197845,279.4020996,86.62637329,212.0786591,55.939888,142.7902069,15.57644844,32.08334732,77.05513763,16.91206932,41.71666336,7.938024521,20.00282097,3.908427238,10.84196663,0.789644659,1.466914296,3.458671093,0.768474996,0.803755939,0.34470728,0.888519943
0.5,15.15453625,7.420790672,3.989344358,21.07601738,15.02205086,19.26677322,44.25556183,23.25459862,54.18527222,20.20454025,34.25816727,67.37783051,27.00171089,67.74248505,32.92770767,76.63500214,60.60794067,139.0795135,91.47554779,135.1235809,238.0688629,116.8355255,274.1242371,84.67959595,209.045166,55.01570511,141.9066162,15.36776543,31.66264343,76.7389679,16.72826576,41.69433975,7.881772995,20.10627747,3.888484478,11.04286671,0.782432854,1.452553272,3.44346714,0.780760646,0.813370526,0.354850054,0.902912855
0.55,13.49073219,6.687510014,3.636518002,20.02067947,14.23939323,18.16432953,41.33870697,22.40809441,51.64683151,19.41499329,32.64769363,64.02716064,25.74651146,64.48809052,31.51361656,73.61207581,58.38017273,133.4180908,87.31230164,129.2141266,226.4452667,111.5399017,262.1794434,80.40625763,201.263855,52.46570969,138.2586823,14.60889435,30.1190834,73.31375885,15.7888422,39.8234024,7.423380852,19.35645294,3.672506332,10.80548,0.745304942,1.379667044,3.221329451,0.730043113,0.755978107,0.32878688,0.844908893
0.6,11.90058994,6.018129826,3.290098906,18.46759605,13.18429089,16.78019714,37.8395462,20.81141853,48.34680557,18.29555511,30.64892006,59.82782745,24.11154747,60.18520737,29.58110046,69.42179871,55.21796417,125.5197372,82.13574982,121.9114532,212.1361237,104.8257904,246.2312012,75.31878662,190.3660278,49.31643677,132.7648315,13.68232346,28.26524544,69.04987335,14.7332449,37.64512253,6.888093948,18.3252182,3.405349016,10.36987019,0.685628414,1.263046384,2.964879274,0.673043668,0.686353981,0.297783792,0.752359807
0.65,10.38964844,5.41910553,2.956103325,16.97836113,12.18045712,15.44285393,34.49715424,19.08298111,44.78514481,17.08218575,28.46539497,55.15865326,22.27524567,55.21907425,27.28224564,64.05634308,51.01750946,115.7315445,75.76838684,112.5591736,194.4419403,96.43661499,225.9432373,69.19470215,175.8955231,45.42029953,124.3412781,12.5478611,25.98636246,63.57711792,13.46484375,34.80185699,6.256559372,16.99471664,3.095373631,9.768809319,0.62397939,1.146593809,2.692851067,0.614771545,0.626574039,0.271251172,0.677167714
0.7,9.074836731,4.932448387,2.690039396,15.72685623,11.2358017,14.22303867,31.83750153,17.57673264,41.78231049,16.02548409,26.54679108,50.97531509,20.62987518,50.61514282,25.14189148,58.771595,46.76500702,106.3048248,69.65101624,103.1635208,177.0433655,88.06998444,205.6071014,63.41672897,160.8842926,41.67682648,114.5404053,11.48862457,23.84143639,58.11021042,12.27664375,31.91407204,5.681254387,15.69754696,2.821986675,9.124415398,0.566486061,1.042302012,2.469838619,0.564994752,0.578041077,0.25039947,0.624939859
0.75,7.714983463,4.451987743,2.414989948,14.38980579,10.18849373,12.90211964,29.22983551,15.99295998,38.65927124,14.89256477,24.51599884,46.52457428,18.87675476,45.61943817,22.78676987,52.67972565,41.74871826,95.65240479,62.69122314,92.16149902,156.9740753,78.34690857,181.7419434,56.86845398,143.0654755,37.42554474,102.0194016,10.32252312,21.44006348,51.69321823,10.95270157,28.46355247,5.051294327,14.09362411,2.527603388,8.352599144,0.50607127,0.932405651,2.238337517,0.515039206,0.53044039,0.228382781,0.576537132
