abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,16.03174782,17.42714119,8.651456833,56.14537811,35.85280609,47.73900986,125.1094131,57.65420151,169.0194244,62.73593903,103.7334671,172.5214844,65.88619995,144.9880981,72.63928223,155.4142151,112.0869522,294.7802429,194.8741608,257.3572998,435.8302002,208.6265106,463.9890137,162.8256226,366.8790283,101.5655289,207.6959534,34.63151169,68.52694702,126.194458,29.23844147,61.10396576,12.86648273,32.91474533,5.885426521,15.28589535,1.254084587,2.15430212,4.904285431,0.932199001,1.27486217,0.204840928,0.579611361
0.05,16.17362213,17.37566185,8.629247665,56.27755356,35.97845078,48.40539169,126.0050049,58.26872253,170.0124359,63.32343292,104.9131241,175.4567871,66.99424744,147.8929749,73.70462799,157.6997528,113.462471,297.0829468,196.1584015,259.5842285,442.696106,211.2834473,471.4028931,164.9551239,372.387207,102.6448822,209.2747955,34.93496704,68.96563721,127.5344009,29.66587639,61.83292389,13.04356194,32.91397858,5.940722942,15.18067646,1.267674446,2.183718204,4.942835331,0.935317278,1.254007697,0.209544376,0.623678207
0.1,15.4907856,16.61123657,8.265640259,54.22507858,34.60709381,47.43904495,123.6756897,57.42440796,166.7803192,62.18828583,103.8514938,175.494339,67.01875305,148.24823,73.72668457,157.963501,113.6072845,296.8483887,195.7175598,259.3650818,440.5700073,210.2777252,469.8965759,163.6656036,370.7063904,101.5932541,207.4136505,34.63353348,68.32814789,126.1890335,29.20540237,60.56799698,12.79232311,31.92225838,5.80129385,14.69537449,1.245927334,2.146796703,4.776195049,0.906717181,1.174694419,0.202963755,0.618204057
0.15,14.6300354,15.68094349,7.821648598,51.70910263,32.92466354,46.17520142,120.6632233,56.22134399,162.3255005,60.57265854,102.1627655,174.7911682,66.72657013,147.9637451,73.46954346,157.8343201,113.573082,295.9652405,195.0292511,259.0898743,437.1558228,208.7297974,467.5145569,161.7393188,368.0794067,100.0764618,206.0856323,34.13002396,67.39597321,124.4971695,28.45825768,58.88538742,12.39142704,30.50480652,5.580120564,14.17060471,1.208771586,2.08285141,4.525187969,0.863167107,1.055678606,0.191135585,0.603524029
0.2,13.71223259,14.7055254,7.349472523,48.98522568,31.10967064,44.64968491,116.9346313,54.49401093,156.1495361,58.18051529,99.37569427,172.4664154,65.75396729,146.6279144,72.70767975,156.753067,112.9599228,293.5404663,193.336441,257.8712769,432.7720947,206.5895844,463.0649719,159.2353668,364.3578491,98.24920654,204.3715057,33.47832108,66.33208466,122.8027954,27.71671486,57.38392258,11.95769024,29.1163826,5.363326073,13.81960583,1.168977976,2.016293049,4.291656017,0.826171935,0.95601213,0.181004032,0.576625705
0.25,12.74504375,13.68700886,6.857676506,46.02128983,29.17461777,42.68048477,111.8103943,51.81987,147.3130035,54.52527237,94.52603149,166.4397583,63.22311783,142.4593811,70.51567078,152.9957275,110.3284454,286.3692627,188.5514984,253.4228516,425.5090027,203.0565643,455.617157,155.9261627,358.4443054,96.16507721,201.1259613,32.78247452,65.1654892,122.1688843,27.28040123,56.58974075,11.71337986,28.32705116,5.263935089,13.70865345,1.147238255,1.982227206,4.185607433,0.818718314,0.914973259,0.181284621,0.57244879
0.3,11.82853699,12.7286005,6.401758194,43.1978035,27.36496544,40.6178093,106.1976852,48.90097046,138.2019958,50.7925415,89.26315308,159.0343323,60.11681747,136.843338,67.62441254,147.4874573,106.4084091,276.0127563,181.8087921,246.3068542,414.2072754,197.7565765,444.9812927,151.6331787,350.2019653,93.70631409,196.6303406,32.08520126,63.89368057,121.0059814,26.90556908,55.90592194,11.58455276,27.90424919,5.225009441,13.57583332,1.130712867,1.957599759,4.105871201,0.806985676,0.876812696,0.181240454,0.557753742
0.35,10.82904816,11.68809032,5.907448769,40.05068588,25.37469292,38.15793991,99.41874695,45.51320267,128.0526886,46.73683548,83.27749634,150.1396637,56.47669601,129.917099,64.13398743,140.5082245,101.5123138,262.8956909,173.4167175,237.109375,399.4186096,190.638092,430.5795898,146.0884247,339.4458618,90.53081512,190.9901581,31.13167572,62.09116745,118.8259125,26.32303238,54.87677383,11.36828613,27.37343979,5.165270805,13.39717674,1.1174438,1.934764147,4.060722828,0.802000523,0.861911058,0.182898402,0.548106015
0.4,9.820784569,10.64164543,5.40568161,36.79353714,23.3219223,35.46068192,92.02531433,42.01614761,117.9194641,42.78445816,77.13484192,140.6128998,52.67543411,122.3080368,60.34646225,132.7276154,96.10381317,248.1976318,164.0770264,226.4537201,381.7262573,181.9714966,412.8473511,139.345108,326.5545654,86.59642792,184.4931793,29.98194885,59.9226532,115.7097702,25.53174591,53.43091202,11.01992035,26.53923607,5.04804945,13.07554817,1.102369189,1.904458165,4.065674305,0.812652588,0.889441788,0.190304354,0.560094178
0.45,8.806647301,9.594754219,4.902677536,33.47285461,21.23753548,32.5962677,84.27367401,38.53306961,108.0254898,38.99016953,71.01343536,130.8452911,48.83161163,114.4295502,56.41904449,124.6656952,90.47966003,233.0833435,154.3818512,215.1357574,362.098877,172.175705,392.4639587,131.6309967,311.9067383,82.01438904,177.2636261,28.63552856,57.36226654,111.8795013,24.52596855,51.54926682,10.57144833,25.49789238,4.872591496,12.6973238,1.079922438,1.857982039,4.066681385,0.826870441,0.935568213,0.199990928,0.578015387
