abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.395587444,9.979450226,4.966983795,32.74661255,20.69131088,27.71696663,71.37042236,32.68751144,93.22013855,35.38974762,57.50539017,99.14566803,38.97974014,89.80207825,44.52345657,95.12255859,67.96624756,175.2186279,114.1202545,149.6036987,254.8362579,125.1014099,279.2962036,100.4653625,226.7270355,64.06464386,130.9257965,21.58031273,41.80871201,77.81705475,19.53168106,41.07428741,8.55272007,20.59871292,3.910224199,8.878450394,0.951116443,1.598382711,3.339828968,0.748884857,0.759535372,0.184977785,0.55533427
0.05,7.278997898,9.772687912,4.86727953,32.14843369,20.30796051,27.36836052,70.4725647,32.32345581,92.1344986,35.03800583,57.01234055,98.60449219,38.81823349,89.41971588,44.24084091,94.40997314,67.30725861,173.6329193,113.0234756,148.0706482,251.3415527,123.1844482,274.9385376,98.92445374,222.8461761,63.04039764,128.2464905,21.30057716,41.27267456,76.75540924,19.36253929,40.59893799,8.476468086,20.23921013,3.870876312,8.740249634,0.942847133,1.586143136,3.240352869,0.739520788,0.756399632,0.184598222,0.553743899
0.1,6.999521732,9.375103951,4.675582886,30.96449661,19.53620529,26.54780006,68.45489502,31.46772766,89.6473999,34.14454269,55.69018936,96.61726379,38.06386948,87.61240387,43.35553741,92.35289764,65.76176453,169.8857574,110.5301514,144.7049255,244.5541229,119.9231796,267.5367432,96.37812805,216.6481628,61.44255066,124.587822,20.83692169,40.39176178,75.05259705,18.99031448,39.70233917,8.308549881,19.5596962,3.791924953,8.509976387,0.922632635,1.552463174,3.107289791,0.724992275,0.745057106,0.181833342,0.550743282
0.15,6.62573719,8.865777016,4.42965126,29.44470024,18.54473495,25.47943306,65.83696747,30.34707069,86.33939362,32.94368744,53.93387604,93.93671417,37.02730942,85.1807251,42.2174263,89.79875946,63.92962646,165.3547516,107.5221024,140.6606293,236.754303,116.3543701,259.2816772,93.52799988,209.931778,59.69539642,120.8222656,20.27939606,39.32333755,73.10997009,18.54833412,38.64558411,8.094806671,18.73772049,3.692052126,8.276002884,0.894670784,1.50727725,2.952363253,0.706473053,0.7298581,0.177643403,0.547016084
0.2,6.220862389,8.323041916,4.165903568,27.8137207,17.48362732,24.3256588,63.01513672,29.11101723,82.65067291,31.57759857,51.96155548,90.9499588,35.8489418,82.49694061,40.98463058,87.09127045,62.0370636,160.6178284,104.339386,136.5487823,229.161438,112.9086304,251.0617371,90.63999939,203.555603,57.96273041,117.3877945,19.67246246,38.14704895,71.14491272,18.04370117,37.5283165,7.861026764,17.88299942,3.577036619,8.081997871,0.860984087,1.450684667,2.818909645,0.687820256,0.720041633,0.173833579,0.544693589
0.25,5.798588753,7.761791229,3.891727448,26.09845924,16.37747002,23.0761013,59.88669968,27.67760277,78.38710022,29.9362793,49.58213043,87.3182373,34.35588837,79.23866272,39.50803757,83.93356323,59.86445618,155.0730591,100.6377869,132.1027069,221.1768951,109.2755585,242.6330566,87.68228149,197.2276611,56.19886398,114.2631454,19.0676651,37.00330734,69.17243195,17.47235107,36.27078247,7.593083382,17.08706856,3.459792852,7.919974327,0.830958307,1.398765922,2.743814707,0.674571693,0.718777955,0.171495363,0.548570454
0.3,5.395946503,7.228489399,3.63203764,24.45923424,15.33192444,21.84922791,56.75127411,26.20284271,74.0446701,28.23414993,47.10671997,83.45780945,32.74436951,75.76228333,37.94729233,80.68424225,57.64229965,149.4045105,96.88267517,127.6646042,213.3215332,105.6728287,234.773941,84.87030029,191.3271637,54.57055664,111.5281372,18.54398727,36.02299881,67.43164825,16.9941082,35.11045074,7.336387157,16.45025444,3.357352495,7.740793705,0.808616936,1.362807155,2.722891569,0.669213116,0.721826673,0.169479653,0.541274786
0.35,4.953304291,6.648832321,3.35102129,22.66184235,14.19593906,20.4621067,53.12150192,24.48904419,69.04175568,26.27543068,44.23561096,78.88397217,30.85869408,71.69551086,36.11250305,76.90433502,55.05349731,142.7186279,92.51340485,122.5915146,204.4992828,101.4950562,225.6668701,81.60361481,184.3173218,52.72956085,108.281517,17.96524811,34.95529556,65.54644012,16.48192787,33.87935638,7.055164337,15.83729744,3.254620314,7.52517128,0.784568489,1.324172139,2.712725401,0.665905416,0.727072537,0.169001967,0.53919518
0.4,4.509685993,6.067387581,3.068180323,20.82300568,13.04288864,18.99440002,49.23312759,22.66538048,63.79712296,24.21620369,41.15782928,73.90762329,28.84433746,67.35228729,34.12707901,72.86057281,52.27318954,135.4878387,87.77632904,116.960144,194.9658051,96.87538147,215.6724548,78.00231171,176.3426971,50.66180038,104.4465485,17.33998299,33.78461838,63.24344254,15.87166691,32.46109009,6.759379387,15.17855644,3.134119034,7.203243256,0.751904845,1.269397616,2.665584803,0.656355977,0.71204555,0.167283297,0.534639716
0.45,4.060467243,5.48136425,2.782224894,18.9360733,11.8627739,17.43537521,45.11446381,20.76607895,58.40747452,22.10428619,37.91749954,68.5559845,26.69562149,62.67079926,31.90286446,68.28623962,49.11665344,127.2031555,82.38758087,110.491806,184.2332611,91.52493286,203.9862823,73.74834442,166.9552917,48.14853668,99.58753204,16.57229614,32.33380127,60.46003723,15.15458965,30.90402222,6.447352886,14.45175362,2.993603468,6.835559845,0.714848816,1.205705881,2.603690386,0.643712997,0.693252444,0.165984303,0.532573938
