abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,29.16511917,25.81092262,13.04148388,73.30471802,47.25628662,58.27636719,132.5051575,62.335289,163.8786011,60.66638565,93.60069275,142.7376709,57.25071716,128.1570435,67.74914551,138.3296356,103.8752823,256.1190186,165.5583191,223.2421875,365.943573,187.9941864,400.5546875,140.4272766,310.8254089,90.00713348,184.0699921,27.62970924,55.88386917,100.8689194,25.51145172,49.05759811,11.02566433,24.14274216,5.388433456,11.794137,1.018884301,1.86472404,4.059009552,0.880855203,0.888111472,0.302186698,0.819854796
0.05,29.85734177,25.0069809,12.62332344,70.70884705,45.7664032,57.15939713,130.3641357,61.63365936,163.3258667,60.83473206,94.77380371,148.8502045,59.70327377,134.4675293,70.28669739,143.1626892,107.2888107,263.9813538,170.2986298,229.1330109,377.6950684,194.7090454,412.417572,144.4940338,315.697052,91.9172821,184.9290466,28.08782578,56.83879852,102.7010803,26.08771324,50.41369247,11.37093925,24.92720604,5.54521656,11.92816257,1.045437336,1.912346721,4.261286736,0.918145239,0.926011562,0.31479755,0.856382728
0.1,28.35943413,23.7720108,12.03807831,67.3177948,43.5072937,54.49314499,124.5057602,59.06420517,156.7875214,58.37556458,91.04864502,143.4706879,57.5715332,129.434845,67.90882874,138.38414,103.8074951,255.5813141,164.6635284,221.2440033,363.5439758,187.9464722,396.276001,139.608551,302.217865,89.0344162,176.4790802,27.35667038,55.2865715,99.06341553,25.35800552,48.81716537,11.05939579,24.03269768,5.367175102,11.30992699,1.009329915,1.853765845,4.236070633,0.920701861,0.918358088,0.315510005,0.851380229
0.15,26.99495697,22.43828201,11.39959812,63.71038437,41.15324783,52.0608902,119.0626373,56.82367706,151.0298309,56.30348206,88.4278717,140.7969818,56.40633011,126.8084335,66.82476044,136.5360565,102.6556549,252.0831909,162.2879944,218.082428,357.2980042,185.3156891,388.5640259,137.4563599,295.0376282,87.75835419,171.9508362,27.03643227,54.59272003,97.50714111,25.12634468,48.33709335,10.97989845,23.69367599,5.311957359,11.01711464,0.989583552,1.825544715,4.346344471,0.944592178,0.936787844,0.324037492,0.859947622
0.2,25.35652542,21.05906677,10.74544621,60.09792709,38.79809952,49.60183334,113.378479,54.51270676,144.7786255,53.9462204,85.42632294,137.2252197,54.85440063,123.3876343,65.49562073,134.6006775,101.6069031,248.425415,159.8610077,215.5701141,351.7521667,183.0244293,382.4072876,135.5939331,289.723938,86.85443878,169.0020294,26.82997513,54.07238007,96.41999817,24.97764587,48.01527786,10.93178177,23.37433052,5.263863564,10.82656574,0.970844805,1.799129844,4.460180759,0.960076511,0.943496108,0.325010717,0.849193096
0.25,23.69961739,19.69032669,10.0960989,56.64807892,36.57551575,47.42976761,108.0675507,52.42596054,138.8440857,51.6890564,82.8640213,134.549881,53.60486984,120.8063431,64.70130157,134.0844116,101.7038422,247.0634766,158.9328308,215.5225677,350.6776428,183.0162201,381.3425903,135.211731,288.2277832,86.78577423,168.4130249,26.84112358,53.94688797,96.45852661,25.06666756,48.18481827,10.96021652,23.32269669,5.279692173,10.8258028,0.962385833,1.788151741,4.64966774,0.990993977,0.969576299,0.332041562,0.859132886
0.3,22.14188004,18.41843987,9.491114616,53.59218979,34.64966965,45.68056488,103.3660812,50.63380051,133.4680634,49.63607788,80.78145599,132.6445923,52.63359451,118.9177322,64.30651855,134.5724182,102.5902786,247.4151764,159.0802765,217.1468201,352.4871521,184.3535156,383.1867065,135.6273193,289.104126,87.25543976,169.0956268,26.96036911,54.01230621,97.11575317,25.31635094,48.69471359,11.03943634,23.41917992,5.328465462,10.88092136,0.960012317,1.788422465,4.827860355,1.022046924,0.993399978,0.33758837,0.867579937
0.35,20.4539814,17.04678917,8.83644104,50.36981964,32.63555908,43.9521637,98.45358276,48.7658844,127.5214615,47.36109543,78.67884064,130.6828003,51.5659523,116.888031,63.91675186,135.2771454,103.7294846,248.0287781,159.4543152,219.0675964,354.1135864,185.7608032,384.5959167,135.9660645,289.7080383,87.76986694,169.6159973,27.07518005,54.16109467,97.55097961,25.57394981,49.24083328,11.15884686,23.67253304,5.392198086,10.94391251,0.957778931,1.790325522,4.893129349,1.038787365,1.00112462,0.33769542,0.843158245
0.4,18.74577522,15.67292404,8.178900719,47.13584137,30.63511848,42.2117157,93.30316925,46.71982574,120.9540024,44.80182266,76.16994476,127.707489,50.10854721,113.9163132,62.99736023,134.4040222,103.6949768,244.9736938,157.7961426,218.2875824,349.8352966,184.0944519,381.3997192,134.5489349,287.0274353,87.17230988,168.9702606,26.99136543,53.99355316,96.74035645,25.45004082,49.15141678,11.10998154,23.5960865,5.374101162,10.94277191,0.95100826,1.776558042,4.898448944,1.055691361,1.021915078,0.342845112,0.858995676
0.45,17.02242088,14.29974365,7.531358242,43.83068466,28.64725685,40.28467178,87.44664764,44.28035736,113.6108932,41.88235474,72.55743408,122.2462921,47.67389679,109.1020508,60.97916794,130.9766998,101.5731201,236.6166687,152.7097015,212.8032074,338.072876,178.3305359,370.4205933,129.9641113,278.3572083,84.27832794,164.3906708,26.12537193,52.33314896,93.7756424,24.71316719,47.77138138,10.77814007,22.87434196,5.221639633,10.77228165,0.936960042,1.748916626,4.898284435,1.048899293,1.011081696,0.344403803,0.870684385
0.5,15.4199419,13.03393555,6.925701618,40.73378372,26.79191208,38.33642578,81.63803101,42.01503754,107.2045364,39.42036057,69.21124268,116.8840103,45.34887314,104.4698257,58.98916626,127.1432343,99.0918045,228.3818207,147.6031036,206.713562,325.9513245,172.2859802,358.4432068,125.1864624,269.888916,81.31008911,159.555069,25.16848373,50.581604,90.90817261,23.95856285,46.4776001,10.43022442,22.22612,5.070320129,10.67697239,0.924520373,1.723418355,4.834477425,1.018394113,0.975536048,0.334949195,0.823640823
0.55,13.68759918,11.66166878,6.231324673,37.23341751,24.6084137,35.96263504,75.07100677,39.58799744,100.5327225,36.97185516,65.71905518,111.198967,43.02301407,99.55110168,56.7788887,122.6677094,95.99159241,220.096344,142.2724457,199.963089,313.0461426,165.7142792,345.1972961,120.1923828,260.3653259,78.162117,153.8707275,24.10136414,48.63768387,87.82784271,23.09888649,45.01435089,10.04943657,21.4272213,4.888174057,10.52976799,0.906735659,1.68212831,4.742070198,0.983851492,0.933379173,0.324091613,0.766408443
0.6,11.94240284,10.29502201,5.523346424,33.33401108,22.1930809,33.13079071,68.0783844,36.71871185,93.2822876,34.32184601,61.80753708,104.7333221,40.48923874,93.90835571,53.96788788,117.1413422,91.86985779,210.959549,136.3799438,192.1074982,299.599823,158.7092285,331.1077881,115.2498932,250.4204865,75.04528046,147.8213959,23.09819412,46.73695755,84.69033051,22.20215416,43.45488739,9.664578438,20.62590218,4.710282803,10.24807835,0.880765021,1.628917098,4.555298805,0.938386559,0.891889095,0.312205166,0.725836158
0.65,10.19425583,8.931527138,4.791625977,29.22462463,19.6157093,29.86652184,60.58843994,33.19622421,84.39567566,31.04128265,56.77436829,96.56317139,37.335495,86.76377106,50.18880463,109.5832901,86.09628296,198.715744,128.35112,181.1978302,281.8927307,149.5918121,312.5965271,108.9606323,237.2155609,71.00347137,140.4536896,21.85501099,44.26752472,80.38943481,21.07208633,41.46093369,9.222958565,19.73603821,4.498102188,9.886590004,0.849784672,1.565673232,4.237920761,0.872601628,0.83824414,0.293886513,0.678860366
0.7,8.456453323,7.682431698,4.120424271,25.44035912,17.14758301,26.57038689,53.44467545,29.53219223,75.22766113,27.65752029,51.15950012,87.28212738,33.71969986,78.45040131,45.68589401,100.3336487,78.85492706,183.263916,118.22052,166.9216309,259.0023499,137.5424652,288.2282715,100.4049683,219.5880432,65.64795685,130.6958771,20.21951294,41.07506561,74.84368134,19.58563423,38.79232025,8.60091877,18.47135162,4.225138664,9.464659691,0.805621266,1.480770707,3.8872962,0.791844308,0.762858629,0.270060182,0.615101457
0.75,6.763592243,6.34400177,3.399124384,21.19249153,14.32145309,22.45121193,45.02189255,24.9797287,63.88909912,23.45785904,43.74299622,74.75302124,28.86725235,67.15325165,39.46504211,87.41986084,68.808815,161.8156891,104.0860291,147.3300323,227.3991699,120.8418503,254.1479187,88.40280151,195.3015442,58.11736679,117.3551102,18.01107407,36.65756607,67.24081421,17.52047348,35.02399445,7.704935551,16.58067513,3.807808399,8.829985619,0.752192736,1.381774426,3.393943548,0.674439609,0.665835381,0.23332797,0.522417903
0.8,5.121273041,5.051882267,2.702484846,17.07895279,11.52996731,18.26514626,36.66265869,20.34798813,52.24310303,19.18359947,35.98925781,61.74597549,23.87887192,55.45812607,32.87213516,73.36116028,57.80152893,137.5783844,88.08717346,125.294426,192.3110046,102.2443924,216.0757751,75.1389389,167.7616425,49.5958519,102.2072525,15.48599911,31.5335598,58.65719223,15.11772537,30.64464569,6.646059513,14.49427986,3.297357559,7.891981602,0.660488069,1.212521434,2.826189041,0.549776435,0.574450374,0.190061226,0.424725145
0.85,3.61391902,3.857647896,2.056985378,13.24341297,8.867086411,14.16758537,28.59617233,15.79456329,40.63035965,14.96875763,28.21855164,48.47719193,18.81543732,43.60154343,25.97434807,58.21424484,45.77733231,110.0603867,70.21890259,100.6736679,154.3509521,82.00886536,173.8996277,60.71137619,136.5423126,40.11081314,84.91338348,12.62446976,25.7633152,48.9426651,12.459445,25.60834312,5.469368458,12.11001492,2.708085775,6.589573383,0.53903091,0.98658675,2.189628363,0.422989845,0.467063546,0.142996162,0.327701241
0.9,2.43576622,2.929949284,1.555287719,10.2469101,6.732136726,10.74407101,22.03271484,12.0350666,31.11041641,11.55628109,21.75925446,36.94831085,14.42697906,33.1365242,19.75858688,44.04568863,34.35450363,83.09796143,52.83444214,76.01247406,117.4711685,62.2412796,132.1094208,46.31007767,104.2960587,30.67311859,65.9477005,9.819198608,20.05257797,38.88460541,9.831438065,20.60581589,4.28671217,9.730255127,2.106330633,5.183112621,0.408453792,0.743945241,1.620317936,0.313995093,0.344057977,0.104967125,0.257836521
0.95,1.593789816,2.284055948,1.204503298,8.122469902,5.169015884,7.957745552,17.04693794,9.147602081,24.27072716,9.210580826,17.07617378,27.86800003,11.04364014,24.34615135,14.42298603,31.11917877,23.69507027,57.69562531,36.04221344,50.69498444,78.63124847,41.83824921,86.79176331,31.17585182,67.46134949,20.76185799,41.90790558,6.705853939,13.64396858,25.50480843,6.588118553,13.45300579,2.861057758,6.47665596,1.405667305,3.282934666,0.273192465,0.495462775,1.097780824,0.209550768,0.217823684,0.072005399,0.19470714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
