abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,91.12211609,46.15287018,22.86622429,110.1715927,76.44260406,93.33603668,240.12146,103.577507,266.6160583,102.568161,150.6289673,322.0487976,136.9464722,323.3972168,131.8024902,270.1355896,200.699585,486.5925903,284.303772,387.4009399,716.4284058,373.681488,845.1052246,259.4649353,605.3798828,147.1175842,332.8470459,37.79226303,76.12828064,164.4635925,39.54512024,81.21081543,14.26840973,40.82514191,4.114702702,20.74352455,0.412660867,0.617720068,2.754760265,1.03871417,1.09392345,0.262695879,0.657349646
0.05,86.78617859,44.18806839,21.96582985,105.8457413,73.02205658,89.4283905,231.3232269,100.141922,256.2442932,97.90124512,144.2232971,311.4036865,132.3706207,312.2840881,126.9186249,259.0028076,191.2513885,464.2213135,270.1610413,367.1352539,677.1047363,355.4362183,802.5825195,248.156662,575.8392944,140.9147186,311.7980347,36.68638229,73.92544556,157.9242859,38.39157104,76.94085693,13.88200569,38.06093216,4.016531944,19.21840668,0.402790308,0.60306567,2.702013254,1.02812016,1.064632297,0.266048759,0.672254086
0.1,82.48524475,41.94342422,20.96233559,101.204895,69.72291565,85.41655731,220.9779968,96.28681946,245.7359161,93.55289459,138.1158295,300.0036621,127.7820053,301.8246155,122.6597366,249.506424,183.709259,447.4369812,259.7583008,352.2290649,646.7156982,340.4685364,766.5655518,239.1975098,549.1846313,136.4690399,295.1026306,35.77138138,72.0657959,152.5613861,37.54711533,74.14391327,13.61551094,35.847229,3.951165438,17.94801712,0.394007772,0.593115032,2.615215778,1.006695032,1.020977259,0.267772317,0.683540285
0.15,77.82164001,39.63127136,19.88840294,96.4541626,66.40242004,81.29000092,210.4736938,92.58920288,234.9719391,89.13296509,131.9299316,289.0852661,123.473465,292.1958313,118.8497314,241.2302094,177.1734314,432.7153931,250.8303528,340.1855164,623.8729248,328.7614136,738.9130859,232.0767822,527.3422241,132.8557587,282.162323,35.05101013,70.60063934,148.5945282,36.92208099,72.51390839,13.46396637,34.1344986,3.926739216,16.81039429,0.38954699,0.590971291,2.54420495,0.985932529,0.981005013,0.271737665,0.700763106
0.2,73.15772247,37.2611351,18.82094574,91.57524872,63.12734604,77.22224426,200.4877167,89.30455017,224.7586517,85.0438385,126.2198868,279.44104,119.743721,284.1897583,115.8828125,235.3776093,172.6046448,422.3941345,244.8312683,333.4032288,614.2012329,322.979126,725.4759521,228.6026459,515.4453125,130.9919739,276.7685852,34.78611755,70.05614471,147.759903,36.85173798,73.00191498,13.51665878,33.33837509,3.972104073,15.7982626,0.391472876,0.598718822,2.510928869,0.974472463,0.954693735,0.27831471,0.724836051
0.25,68.48290253,34.86022568,17.73370934,87.55301666,60.13973999,73.61592865,191.0991669,86.33521271,215.0383911,81.21121216,120.8902588,270.9954834,116.6514282,277.831604,113.8742599,232.2027435,170.2420044,417.54776,242.5883331,333.1188354,623.0245361,325.634613,731.8106079,231.0730286,518.9190674,132.0385437,282.7059326,35.23612213,70.92301941,152.3018799,37.83147812,76.8012085,13.99503136,34.17467499,4.16113615,15.55556488,0.409998834,0.62737602,2.539534092,0.984623075,0.948083699,0.287841231,0.757814169
0.3,64.18122864,32.70586777,16.74983597,84.03792572,57.66214371,70.54414368,182.372467,83.31504059,204.6829224,77.36471558,115.6085815,262.2324524,113.3516617,271.3392334,112.1524811,230.2342377,169.1343536,415.7078552,242.2402496,335.9436035,645.8045044,335.1416626,753.3911133,238.3974762,537.4179077,136.3048859,296.1809082,36.31884766,72.95108032,161.418808,39.61210632,82.74794769,15.02246094,37.17060852,4.520413876,16.2818985,0.443722248,0.683345616,2.764938354,1.060883045,0.999805272,0.301913738,0.774575174
0.35,59.50986481,30.29881287,15.67546844,80.02120209,54.89546967,66.9553299,171.5761261,79.32450104,191.5603943,72.33863831,108.2330704,243.5045776,105.2416611,251.8460693,104.2135696,213.3019409,156.8159332,384.1570435,223.9696198,308.153656,574.1370239,300.2941284,674.4724121,212.912323,478.2792664,122.2694931,260.190979,32.77217865,66.03083801,141.1672668,35.4990921,72.76809692,13.28479862,31.90668678,3.924686432,13.93814754,0.396785438,0.601809978,2.488043308,0.972873569,0.926373899,0.284256846,0.743201435
0.4,54.8376503,27.92984772,14.59204102,76.0588913,52.19104767,63.35383606,160.8384552,75.78757477,179.9860077,68.18661499,101.772522,225.8196716,97.91481781,233.9148254,97.56076813,200.1072388,147.8978271,362.8789978,211.9701843,289.729248,529.8015747,279.1587524,623.288269,197.558548,442.9687805,113.9261169,238.0618286,30.46969223,61.37686157,128.5812988,32.85762024,66.31861877,12.21811485,29.03667259,3.586535931,12.89036083,0.368837863,0.555408239,2.294716597,0.913064957,0.861918747,0.266985476,0.69271338
0.45,50.17947388,25.5202446,13.56756687,72.22531891,49.8873558,60.05792999,150.6404724,72.82653809,169.9217377,64.85938263,96.27355957,210.3699341,91.70567322,218.6542358,92.28503418,189.920166,141.3499908,347.1564941,203.6834412,277.0938416,501.0011902,265.4386597,589.6945801,187.6354065,419.9941101,108.3618088,224.1839142,28.93461037,58.29816437,120.5319595,31.09430504,62.12796021,11.54965973,27.2047596,3.369510651,12.23605633,0.349655449,0.524153948,2.126804113,0.847943723,0.791348994,0.248178884,0.644353688
0.5,45.85713577,23.32360649,12.55937958,68.77288818,47.71790695,57.02162552,141.2474365,70.19104004,161.2557526,62.03617096,91.57002258,197.3012848,86.55661011,205.947876,88.04049683,181.7823639,136.2669678,335.0649414,197.4224548,267.6402588,479.6228333,255.2397156,564.795105,180.3360748,403.1345215,104.2433243,214.6442566,27.7564621,55.90142822,114.6466217,29.78586388,59.12200928,11.03212738,25.84386635,3.201438427,11.6190176,0.3337861,0.49931258,1.974145174,0.783327281,0.725347757,0.230235726,0.599656224
0.55,41.19758606,20.93764687,11.41815567,64.5665741,44.8045578,53.26697922,130.5556488,66.89943695,151.4451294,58.89906693,86.3236618,183.4087372,81.06404114,192.3730011,83.32660675,172.9156494,130.5368042,321.8827209,190.2951202,257.3115845,457.7158813,244.6141968,539.036499,172.7796173,386.0324097,100.0661469,205.774826,26.61813354,53.58774948,109.1726227,28.51515579,56.16235733,10.50604916,24.44519997,3.035437107,10.80587578,0.316048831,0.473287106,1.776463509,0.699289024,0.642120719,0.204132318,0.539345741
0.6,36.51725769,18.57548714,10.20077801,58.1364212,40.61584473,48.00644302,116.6973572,61.10211945,138.9460449,54.54020691,79.73297882,167.592926,74.47773743,176.8555908,77.18599701,161.5121155,122.3159409,303.897644,179.0915375,242.1006012,431.3504333,230.9492645,508.3764038,163.3218536,366.0286865,94.86382294,195.8574219,25.3205986,50.89728165,103.4065857,27.05656624,53.289711,9.908588409,22.65924263,2.873012543,9.909370422,0.298899621,0.449025303,1.642584324,0.646030188,0.587834835,0.188037828,0.505823612
0.65,31.83991051,16.18327713,8.929808617,51.22564697,36.23923874,42.57866287,102.5749969,54.88476563,125.4537201,49.71208191,72.64351654,150.9337921,67.52513123,160.509964,70.67337799,149.5443115,113.6740265,285.2094727,167.7464752,226.5875702,404.6110229,217.2054443,477.4191895,154.0408173,346.7684021,90.00814056,186.8947754,24.18614388,48.56812668,98.27688599,25.74695396,50.85765076,9.396180153,21.24629784,2.729186296,9.129969597,0.283972204,0.427062571,1.533872843,0.604879439,0.547077,0.173074022,0.466561705
0.7,27.52691841,13.99615574,7.767837048,44.55144882,31.68152809,37.18122101,89.45672607,48.82235718,112.6304779,44.97888565,65.66034698,134.8325806,60.73270035,144.5580597,64.33708191,137.9901276,105.3014755,267.4772949,156.9694824,212.0147858,378.9573059,204.1485138,448.102356,145.47229,328.3761292,85.49314117,178.8893433,23.14573288,46.45507431,93.70443726,24.5638485,48.82211685,8.919667244,20.0619278,2.599221706,8.530486107,0.268604755,0.404173791,1.46655035,0.578850627,0.5252437,0.165696159,0.44087854
0.75,22.85401344,11.59928799,6.473299026,37.04314804,26.52680588,31.0772438,74.90802002,41.78693771,97.56441498,39.29014206,57.31441498,116.1132584,52.82969284,125.825058,57.02595901,124.9407578,95.94020844,247.3058777,144.9654846,195.6373291,349.7107849,189.2932129,414.4351807,135.6144409,307.1522522,80.37240601,169.3705139,21.97789574,44.05892181,88.56928253,23.26378059,46.67753601,8.42695713,19.01390076,2.46949172,7.924940586,0.253692597,0.382812738,1.402453899,0.55579865,0.505246401,0.157768577,0.413096011
0.8,18.16485977,9.219944954,5.174956799,29.51681519,21.31413269,24.91733551,60.07453156,34.15678787,81.12287903,32.97818756,48.08721161,95.67411041,44.1094017,104.7893982,48.82836533,110.1978149,85.29904938,223.904892,131.0891113,176.4957123,314.4595337,171.1130066,373.3331604,123.498764,281.2201233,74.29130554,157.959198,20.6026535,41.25885391,82.42910004,21.67981529,43.89742279,7.857224941,17.87816048,2.305035114,7.313747883,0.235521197,0.355275244,1.320715189,0.525599301,0.476311624,0.146949053,0.378322959
0.85,13.51084137,6.864517689,3.873019457,22.05156898,16.06963539,18.78549957,45.26123428,26.23711967,63.69725418,26.16555214,38.29073334,74.6552124,34.99200821,82.58642578,40.0096817,94.14019775,73.56177521,196.9953003,114.8979797,154.0683594,273.3045654,149.6108246,325.2889099,108.9968491,250.245636,66.91160583,143.6782532,18.80057526,37.60007858,74.22992706,19.51805496,39.9264946,7.058719635,16.27568436,2.060958862,6.485928059,0.208022296,0.310113579,1.193279505,0.471312582,0.421913207,0.132700324,0.337902635
0.9,9.183759689,4.66552639,2.655398369,14.99252796,10.99112606,12.84877586,30.99106216,18.38008118,45.95130157,19.07989693,28.02635765,53.89747238,25.8899765,60.62167358,30.98827171,76.79265594,60.60910416,165.0961761,95.69306183,127.3971405,224.6933594,123.9408646,269.6371155,91.54103851,212.937088,57.61317062,125.3469009,16.2234726,32.39509201,62.8265686,16.53404999,33.80740738,5.882121086,13.722826,1.714396238,5.392150879,0.175844178,0.257440507,1.034507513,0.39403975,0.341371298,0.113610022,0.283774137
0.95,4.517498493,2.315750837,1.330141664,7.434058189,5.468575478,6.334443569,15.22597313,9.277287483,24.21052933,10.25092697,15.02593613,29.09326363,14.31091595,33.46326065,18.08292389,47.39026642,37.65450287,103.560936,59.33615494,78.19889832,136.0774231,76.11042786,165.6202087,56.78556442,134.8218536,36.86340332,82.25671387,9.998404503,20.04927254,37.67897415,9.579871178,18.49308586,3.062923431,7.197920799,0.868746519,2.850442171,0.105168656,0.154519141,0.711324036,0.248229548,0.256367564,0.07418213,0.178437859
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
