abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.54589844,14.61956882,7.361587048,48.05237198,29.92777443,40.26454544,126.7564011,58.87619019,187.8869934,71.0807724,127.0943069,212.465744,82.45321655,199.2662659,87.62860107,216.1372375,156.4187317,407.5924683,275.9268494,396.4253845,670.2444458,325.3331909,707.2963257,233.0745544,530.6520996,141.5767822,326.7315979,31.32840347,71.83963776,206.2816162,44.93589401,126.0185242,17.77637291,70.62559509,7.215744495,56.22753906,0.81357199,1.034973145,7.798884392,2.234460831,3.222119093,0.370589316,1.033119678
0.05,13.04199219,14.13941383,7.133222103,46.51538467,28.94959831,38.87273407,122.3405991,56.91014099,181.4975281,68.83030701,122.8217087,203.2618713,79.14478302,189.7360535,83.09221649,204.0878143,147.0558014,386.9813538,261.4283142,372.7876282,631.4307251,307.9044189,669.6331177,220.9669952,501.5465088,132.8069763,300.7939758,29.65857124,67.88635254,193.8865662,42.81261826,119.5269547,16.95500374,67.2288208,6.890356541,54.31343842,0.784544647,0.991382003,7.591718674,2.200601816,3.152717829,0.365110278,1.008502007
0.1,12.39648438,13.43580627,6.796106339,44.23144531,27.48942757,36.73616409,115.7803955,54.07255554,173.1312408,65.8918457,117.2738647,191.0258331,74.95365143,176.9096832,77.17769623,188.9429932,135.0005341,359.6096191,241.3843231,341.6203613,578.4171753,282.1835632,613.3598633,202.3643799,456.4523621,119.5451889,265.7510376,26.6844101,60.86120987,172.558548,38.28671646,105.3969727,15.10217285,60.54536438,6.14132452,49.55364227,0.703820765,0.881972253,6.783994198,2.019168377,2.847210407,0.337948322,0.928344965
0.15,11.67480469,12.6500597,6.417893887,41.71638107,25.89812279,34.41151047,108.6501923,51.03158569,164.3293762,62.8697052,111.6372299,179.130188,70.90733337,164.5724335,71.36512756,173.4380951,122.5913773,329.5077209,219.0806427,307.5064087,520.0961914,253.4717407,549.6883545,181.4051971,406.25,104.8036499,228.0952301,23.29951096,52.88955307,148.8193207,33.16387939,89.6911087,13.06351757,52.84905243,5.233638763,43.42137527,0.597905636,0.746674538,5.636336803,1.751994133,2.376689196,0.300416529,0.811265528
0.2,10.97851563,11.89270973,6.055155754,39.33380127,24.40537071,32.26264954,102.0030289,48.23970032,156.2868042,60.15864563,106.6204758,169.6082611,67.74720001,154.9460449,66.70188904,160.1574249,111.8922882,302.1142578,198.4544067,276.4406128,466.4891663,227.0291748,490.3761292,161.9659424,360.2276917,91.18321228,194.2830048,20.10536957,45.36910248,126.6574936,28.52084351,75.537117,11.28228378,45.46833038,4.385169029,36.87151337,0.486153156,0.613924205,4.300518036,1.433336377,1.800717115,0.2592237,0.685083449
0.25,10.26953125,11.12008762,5.684175491,36.99227524,22.96455765,30.24185181,95.60021973,45.60660934,148.7706604,57.66196823,101.9999008,162.0374451,65.31944275,147.7040863,63.02795029,148.8508606,102.6106491,277.572937,179.6062012,248.6900177,416.762146,202.5839844,434.5647278,143.4342346,317.7631836,78.52721405,163.1781158,17.08008385,38.13966751,106.3615494,24.3964138,62.86410904,9.776834488,38.3885231,3.624825954,29.89592552,0.389938593,0.500795543,3.046839714,1.108068705,1.196562648,0.218711495,0.558128715
0.3,9.618164063,10.40985775,5.343658447,34.9179306,21.71574402,28.52250671,90.07632446,43.36992645,142.4564362,55.62752533,98.29573822,157.1239624,63.88817978,143.7299347,60.81714249,141.1136627,96.032547,260.2104187,165.6786804,228.988739,378.7417908,184.4512482,392.2178345,129.1960907,286.6350403,69.32209778,140.3569794,14.83930588,32.75522232,92.04327393,21.57672501,53.97576523,8.904725075,32.73954391,3.061733961,23.17186546,0.335197181,0.43820715,2.508518219,0.912168443,0.841549277,0.19596085,0.487195402
0.35,8.903320313,9.634117126,4.971663475,32.70438766,20.39766121,26.7148819,84.2843399,41.04129791,135.6754608,53.43519974,94.32635498,153.2584076,62.78667068,141.319458,59.49584579,135.677948,91.18756104,247.9539795,154.7681427,214.229599,349.9226685,171.8934479,362.6770935,118.8520432,265.8109131,62.95436096,125.0953064,13.30736065,29.09433556,82.16937256,19.89421654,47.58543777,8.434988022,27.48002052,2.661911964,16.52788734,0.338570535,0.44794327,2.72309041,0.852481902,0.898580194,0.188690677,0.467018843
0.4,8.19140625,8.854768753,4.596630096,30.50681686,19.09584999,24.98657417,78.92266083,38.90093231,129.3830566,51.44127655,90.75591278,151.429245,62.45558548,141.103653,59.57600403,134.7191772,89.83063507,246.0280609,150.855835,210.3227844,341.6600037,170.0285645,360.0798645,117.1257706,263.5473022,61.82954025,123.5260315,12.96368885,28.26635551,79.77632904,19.94684029,45.51929092,8.513717651,24.20438576,2.568150759,11.57343674,0.397801936,0.522788763,3.332795143,0.962440312,1.192748666,0.203279078,0.514449477
0.45,7.486328125,8.095077515,4.232788086,28.37673378,17.84311295,23.36835289,73.845047,36.80813599,122.913475,49.29891968,86.88254547,149.2677155,61.88153076,140.1824646,59.70275497,135.3995667,89.96516418,248.5925598,150.4796753,211.7276001,345.1415405,173.6212921,370.7026978,119.6882172,270.2221069,63.18834686,128.9291687,13.07918835,28.48062897,80.05357361,20.46685982,45.48971558,8.726202965,22.90776253,2.644160986,9.443329811,0.438134164,0.573940635,3.758568048,1.070732713,1.394898653,0.220339313,0.561518967
