abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.55859375,14.6115694,7.323785305,46.31719971,28.32656479,35.50726318,109.3466034,49.97593307,163.1987457,62.56388474,112.044899,200.8716278,77.66761017,205.1380768,95.21674347,233.880249,161.864212,409.946991,280.4575806,382.2860413,743.7589111,351.0376282,742.4708252,253.376236,601.2352295,147.2010651,293.1960449,29.20476913,61.86502457,140.5306549,37.12143326,78.59209442,13.52151394,37.12005234,4.373602867,18.02702141,0.662298799,0.84700948,5.388792038,1.754284263,2.46283865,0.326578438,0.842380285
0.05,13.01074219,14.06988239,7.065662384,44.6152153,27.24575996,34.20836258,105.6422577,48.54153442,158.1072083,60.57685852,108.5474548,193.1925201,74.55268097,195.5867615,90.63137817,221.8886261,152.7008972,389.1167908,266.6503906,362.1629333,703.3641357,331.2042847,700.4159546,239.7316437,575.7103271,138.816391,272.4509583,27.62547874,58.44145584,132.4772949,35.29571533,74.5344162,12.89380836,35.38759995,4.199961185,18.19457817,0.625880241,0.803278387,5.176308632,1.720718026,2.413739443,0.314121813,0.808726966
0.1,12.36230469,13.36700821,6.729484558,42.4102478,25.85363007,32.63397598,101.392746,47.04882813,153.2351379,58.62890625,105.388855,187.0682831,72.02883148,187.2190552,86.60549927,210.2208405,143.8108063,368.4412537,252.4160309,342.3666382,665.2322388,312.2484741,658.7421875,225.7569733,546.5844727,129.8531952,251.8587799,25.9181633,54.64982224,123.3349838,32.96710587,69.22271729,11.99779987,32.77274323,3.89166069,17.0795269,0.583991468,0.751617372,4.860857487,1.655845881,2.302710056,0.305138826,0.785748065
0.15,11.65527344,12.59129143,6.358325958,40.0498848,24.38386536,31.07435799,97.27050018,45.67415237,148.7483978,56.85842896,102.6021423,181.7412262,69.81157684,178.7446136,82.41963196,197.5335083,134.4880066,345.6609192,236.1988068,320.5509033,620.3605957,290.2017822,610.3114014,209.1034393,510.9867554,119.0935593,228.7666626,23.79990387,50.02891922,112.3287506,29.98588562,62.48079681,10.76525974,29.25667572,3.474811792,15.4421711,0.528930664,0.683229506,4.389663696,1.53944087,2.111541033,0.289213061,0.747265935
0.2,10.95800781,11.8415823,6.000712395,37.82982635,23.02663612,29.69522285,93.58708191,44.43543625,144.5990601,55.2949028,100.1335602,177.2476501,67.94894409,171.368103,78.71813202,186.1753082,126.3590164,324.7049866,220.99617,300.7866821,576.6885986,269.1008911,564.875,193.1973114,478.1906128,108.8797226,207.7789917,21.75009727,45.64265823,101.8149796,27.03718948,55.92805862,9.467993736,25.4965229,2.99579668,13.10603905,0.46540606,0.60172534,3.786962748,1.372918963,1.83116293,0.267567337,0.69129312
0.25,10.24023438,11.06294823,5.628614902,35.66982269,21.75093651,28.4900322,90.21022034,43.31982422,140.856369,54.01686096,98.08486176,173.3011017,66.33712006,164.306427,75.18925476,174.9146423,118.6098862,304.8036804,206.5547943,282.891571,531.1862793,248.1161346,520.9481201,177.3779907,445.5089417,98.71044922,188.3460236,19.68873787,41.43073654,91.25400543,23.90935326,49.18321609,7.995443344,21.35824394,2.464015961,10.34311008,0.381406188,0.494227499,2.98258853,1.118468761,1.427228451,0.228298604,0.588893831
0.3,9.581054688,10.34551907,5.285640717,33.78806686,20.67840004,27.50228882,87.34176636,42.3721199,137.5411682,52.95275497,96.32288361,170.1702423,65.1131134,158.7370605,72.41376495,165.6140442,112.4043198,289.1765747,195.2245636,269.574585,491.2721558,230.5348206,484.650116,164.2602844,418.8171997,90.31897736,173.455719,18.0407238,38.22869492,83.4041214,21.6341095,45.04650497,7.029966831,18.80848694,2.09257412,8.05540657,0.301915854,0.392928869,2.206290483,0.83162117,0.959676385,0.175223589,0.429907799
0.35,8.868164063,9.577781677,4.919307709,31.8627224,19.60045052,26.49464798,84.38994598,41.34370041,133.7578888,51.72877884,94.16213226,166.6241455,63.81951904,153.1452026,69.72491455,156.7140656,106.6116638,274.6170654,184.2067108,257.5398254,452.1109009,214.0780487,449.6607971,152.2788849,394.2572632,82.79521942,161.8879089,16.81731796,36.00181961,79.4080658,20.56361389,44.895504,7.057264805,19.2697258,2.001155853,6.813970566,0.252110183,0.335837781,1.815993905,0.595010281,0.548149884,0.12346904,0.300044686
0.4,8.174804688,8.825763702,4.560808659,30.05476952,18.59469223,25.58379936,81.61410522,40.29448318,129.7968903,50.44528198,91.73551178,163.2612762,62.77731705,148.4655762,67.61773682,150.0251465,102.5918579,264.4246216,175.916748,249.85495,422.6489868,203.1151581,424.9367371,144.7462158,377.188385,78.66900635,157.6531677,16.66563225,36.10708237,82.87552643,21.63063431,50.30659103,8.320947647,23.38311577,2.396664381,8.441532135,0.305560023,0.40874058,2.540691137,0.728044569,0.785382569,0.157684848,0.513154805
0.45,7.4609375,8.052401543,4.193965435,28.25008965,17.59874535,24.69919395,78.83190918,39.14665222,125.3854599,48.91931915,88.7617569,159.7861786,61.84960556,144.2288208,66.0078125,145.4986877,100.3412781,259.5332336,171.2091217,247.2639923,406.7274475,199.4247284,416.7891541,143.5954285,371.212738,78.98236084,160.9869232,17.49728394,38.26874542,92.0484314,24.36109161,58.51361084,10.076231,28.69298744,3.063122749,11.77010632,0.416534722,0.557152808,3.687926292,1.126590133,1.243103147,0.261859536,0.90489608
0.5,6.801757813,7.333685398,3.840587616,26.48464394,16.57854271,23.77538109,75.76228333,37.69573975,119.9614563,46.93580627,85.15143585,155.8597717,60.71688843,139.9515076,64.46273041,142.1547699,98.87258911,257.6891479,168.7327881,246.7980957,401.0577087,199.5078888,417.9111023,145.7415771,370.0941467,81.23688507,166.3302612,18.36669159,40.37215424,99.94766235,26.77659607,64.46974945,11.34455013,32.00939941,3.503023386,14.00675583,0.483482361,0.646698833,4.389748096,1.389802933,1.485872626,0.335519463,1.141240597
0.55,6.088867188,6.564341068,3.446461916,24.14420319,15.19086075,22.0320282,69.86179352,34.65078735,109.4958572,42.77153397,78.26013184,147.5120544,57.10918427,131.6246796,61.01778793,134.7652435,94.35150146,247.7851715,161.8314667,238.6153717,386.829071,192.9589844,405.6055603,142.8395844,357.6568909,80.21875,164.7781677,18.18945122,40.00427628,100.4542618,27.18634987,64.76572418,11.61172581,32.26295853,3.628045321,14.43189621,0.486281067,0.652753353,4.465055466,1.421887994,1.520975113,0.348367751,1.185376763
0.6,5.37890625,5.799955368,3.052473307,21.52118874,13.65147209,19.90656471,62.80110931,31.0364933,97.83097839,38.1255722,70.56702423,136.680954,52.2096138,121.8208618,56.76577377,126.0888443,88.40365601,233.3209076,152.7097168,225.846344,367.2437744,182.0637512,384.7585449,135.7391815,339.405365,76.61148834,158.2001801,17.31445885,38.10318756,96.57639313,26.28058243,62.11936951,11.26788425,31.0782299,3.591966867,13.94438457,0.471149147,0.633609235,4.298802853,1.367951393,1.481206775,0.33818838,1.157367587
0.65,4.680664063,5.046814442,2.656336546,18.81752014,12.03293514,17.59093666,55.15216446,27.19695091,85.80487823,33.34809113,62.30858231,123.3396378,46.43117142,110.636322,51.66260147,116.0018845,81.05193329,214.1312561,140.6026764,208.0167999,341.4666443,166.7957153,353.4054871,123.8821869,312.4489746,70.01766968,145.9939423,15.75443935,34.69670868,88.07113647,24.03168297,56.50883484,10.35572243,28.56380081,3.368062258,12.40961361,0.435450315,0.586982787,3.922033072,1.24493289,1.375893474,0.311715782,1.074062943
0.7,4.03125,4.349090099,2.288022757,16.24144936,10.44551468,15.30183601,47.75207138,23.52671623,74.45568848,28.83218002,54.41876602,109.5761795,40.81458664,99.72818756,46.59711838,105.8135529,73.74863434,195.3968964,128.4385834,190.3718567,316.1401367,151.8230286,323.476593,112.1405029,285.2945251,63.30051041,134.141571,14.23300457,31.37491989,79.53806305,21.66774368,50.86938858,9.311594009,25.80254555,3.079407692,11.07482243,0.396475345,0.534477115,3.539112806,1.121340275,1.267759681,0.284794003,0.986354887
0.75,3.314453125,3.579577684,1.883212805,13.36381435,8.636454582,12.68531513,39.41371918,19.42539406,61.69907761,23.76323891,45.47377396,93.22642517,34.35902023,86.58167267,40.50231934,93.63137817,65.28255463,173.9907074,114.4065323,170.3472443,288.0388184,135.6030731,292.0747681,99.3334198,255.1798096,55.73752213,121.6127548,12.60144329,27.8347683,70.32076263,19.02043343,44.64019775,8.082623482,22.50957108,2.727493048,9.737928391,0.350807041,0.471536338,3.081110001,0.98124963,1.127397299,0.251980126,0.883085787
