abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.31738281,14.48231602,7.165134907,48.9234848,29.74051285,41.15000534,121.4658279,53.82912064,166.0482483,64.62638855,117.1209717,203.4276276,78.99897003,199.0703888,90.28932953,211.441452,144.8750153,376.9433289,260.3451538,380.5739136,679.1962891,328.0351563,748.7305298,261.9391479,608.9898682,154.2779236,301.8406677,34.57001877,77.21770477,173.8996277,45.63958359,104.7890854,17.98440552,57.18764114,7.274378777,36.50187683,0.826534986,1.090741754,6.541786194,1.935255408,2.100123644,0.414333344,1.512019753
0.05,12.71875,13.77820492,6.829926014,46.71321869,28.35333061,39.55385971,117.1096725,51.84353256,158.7094727,61.69176483,112.1016998,194.0427856,75.22132874,187.7887878,85.25030518,200.5457916,136.9547729,355.2054443,245.2052307,359.8902283,644.8521729,311.7242432,715.3815308,250.4472198,586.9654541,145.6026917,281.2341003,32.54800034,72.66586304,164.625473,43.70093155,100.7679291,17.65899467,56.32952118,7.16880846,35.08781433,0.850027263,1.107219458,6.824368,1.982990503,2.139948845,0.422650337,1.53868711
0.1,12.12402344,13.11386204,6.518787384,44.61396408,27.04344368,38.04249573,113.0437393,50.00826263,152.1859741,59.05498123,107.6234665,186.1522217,72.01750183,178.573822,81.24931335,192.2765656,131.0519562,338.5636292,233.4013519,343.9403687,618.5588989,299.4248657,689.0662231,241.8450012,571.3054199,139.1257935,266.7452698,31.07029915,69.38108063,158.2359924,42.40851593,98.1669693,17.51888275,56.09667969,7.119474411,34.1965065,0.873874068,1.129240632,7.097362041,2.028316021,2.173717737,0.426797301,1.544261336
0.15,11.44628906,12.37478352,6.174470901,42.2998085,25.60084915,36.34671402,108.5624237,48.02291489,145.4029388,56.3334198,103.0930252,178.6887512,68.96763611,170.0245361,77.63975525,184.8525238,125.8521042,323.9930725,222.860733,329.6383972,594.9064331,288.4641113,663.9720459,233.787323,557.3587646,133.2396698,254.6287689,29.80225945,66.57665253,152.9556122,41.40795898,96.27616882,17.47326469,56.18555832,7.077527046,33.32044601,0.892995775,1.151145816,7.325641632,2.064360857,2.1870718,0.428490788,1.533590198
0.2,10.75585938,11.62813759,5.824981213,39.93888855,24.14871597,34.57360077,103.7688217,45.86304092,138.1942596,53.43679428,98.41065216,171.1603088,65.85549164,161.8622589,74.19003296,177.474884,120.7084732,310.1643066,212.7371216,315.4404602,570.5891724,276.8001404,636.3065796,224.7232513,538.8794556,126.8435898,241.912674,28.37922096,63.39947891,146.1352997,39.76559067,92.5925827,16.96334648,54.67126846,6.878448009,31.73950195,0.887376666,1.143211007,7.315928936,2.036975384,2.128324032,0.420018226,1.486659527
0.25,10.0390625,10.85398769,5.454538822,37.47885132,22.6651535,32.70370483,98.6361618,43.55441666,130.6577301,50.46935654,93.55091858,163.7834015,62.77633667,154.0355225,70.81311798,169.8202667,115.4544601,296.5162964,202.7408295,301.1387939,544.4573364,264.1320801,605.5108643,214.2983704,516.6396484,119.8287354,228.5939941,26.86618614,60.02392578,138.364975,37.82626343,88.24860382,16.25019073,52.60797882,6.639489174,30.12019157,0.870545149,1.121849895,7.256502151,2.000536203,2.069515944,0.410324395,1.434642434
0.3,9.380859375,10.14116764,5.110422134,35.19485855,21.29453087,30.92147636,93.5737381,41.24523544,123.1911469,47.60568619,88.57816315,156.422287,59.74435043,146.7376251,67.60861969,162.439209,110.4305267,283.893158,193.4885559,287.65802,518.6210938,251.4809418,574.0578613,203.3918457,492.1611023,112.7836838,215.4701385,25.36812401,56.67057419,130.4208069,35.75115967,83.59281158,15.40301895,49.99032593,6.372331142,28.38135529,0.84546721,1.090492368,7.16465807,1.959216952,2.015703678,0.400482357,1.389178157
0.35,8.6875,9.39706707,4.749301434,32.77048874,19.83610153,28.99374771,87.94138336,38.71179962,115.2108612,44.57861328,83.21064758,148.7403107,56.60890579,139.3861237,64.30197144,154.6587372,105.1601334,270.5560303,183.6583099,273.2066345,490.1932373,237.4776764,539.1633301,191.0182343,464.774231,105.1307602,201.3587799,23.78562546,53.13108826,122.0547791,33.4960556,78.47721863,14.43239784,46.70809174,6.05025053,26.39123726,0.813479125,1.049540877,7.046125412,1.918142557,1.979620337,0.389941573,1.342941046
0.4,7.969726563,8.622998238,4.371280193,30.22966576,18.31882095,26.94701195,81.86047363,35.97906494,106.7494202,41.3637886,77.4254303,140.8497925,53.38522339,131.9350891,60.89801025,146.4524078,99.68443298,256.2665405,173.1986542,257.9499512,460.3289185,222.6054688,502.0715942,177.6889343,435.8439941,97.37012482,187.4760895,22.23468399,49.66460037,114.0622787,31.33025169,73.64019012,13.47539139,43.46526337,5.715676308,24.45822525,0.777390003,1.002147317,6.898573399,1.869627833,1.94579792,0.377307981,1.288452625
0.45,7.280273438,7.87736845,4.009564877,27.74647331,16.83333969,24.89973831,75.69441223,33.27221298,98.57955933,38.27275848,71.87558746,133.0720825,50.24053955,124.8514633,57.61446762,138.556076,94.44570923,242.4085693,162.989502,242.9216309,430.90625,207.8643799,465.9458618,164.3994141,407.1126099,89.90113831,174.522644,20.78037071,46.38918686,106.3710861,29.21871567,68.73129272,12.44981766,39.8733902,5.337279797,22.57276344,0.72832489,0.937651157,6.618145943,1.788363695,1.895070076,0.358386815,1.218858004
