abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.54785156,14.6200695,7.338728428,47.69368744,29.61231804,39.59964752,124.2857742,57.45813751,184.5834198,69.90149689,124.9462967,203.2738037,79.52274323,191.2267609,83.7432251,209.1575623,152.0903473,393.8601685,267.7592773,388.2499084,650.8002319,315.4841309,691.4226685,229.5825958,524.5886841,141.5007629,328.6416931,31.63618469,72.32358551,204.4647675,43.83579254,121.5794067,17.34383965,70.38580322,7.520076752,56.80251694,0.795397639,1.011484146,7.573610783,2.104121685,2.859661818,0.37285307,1.083651066
0.05,12.99609375,14.07391262,7.078749657,45.92681885,28.48351288,37.99639893,119.2845459,55.26728058,177.7364044,67.50331116,120.3533325,192.7272339,75.71006775,179.7254486,78.36564636,194.6227722,140.7384949,368.282196,249.5594482,359.5004883,602.4154053,292.7103271,641.4212036,212.85495,485.1813965,129.8206482,296.1681213,29.16225433,66.50000763,187.1616669,40.63337708,111.9346008,16.10199165,65.54956818,6.948080063,52.95252609,0.742511511,0.938587189,7.109491348,2.010826588,2.664371252,0.362107694,1.042294741
0.1,12.35351563,13.37314415,6.743284702,43.65312195,27.0374527,35.9317131,113.0142593,52.59846497,170.0464935,64.85608673,115.3556671,181.5539703,71.8419342,167.5659027,72.78638458,179.633728,128.8049622,340.4490662,229.2848816,328.6107788,550.8430176,267.5319214,585.5824585,194.3139801,440.9828491,116.86866,262.159668,26.18684769,59.45259857,166.6059875,36.40533447,98.93090057,14.47952175,59.11702728,6.121899605,46.73284149,0.65418452,0.824598014,6.234125137,1.827480674,2.309353828,0.339482218,0.980389595
0.15,11.64257813,12.59504032,6.369565487,41.17700577,25.47698021,33.74286652,106.3824463,49.83509064,162.2113037,62.20590591,110.3798828,171.3177185,68.36946869,156.4567871,67.57095337,164.7615814,116.8180084,311.1785583,207.7088318,296.4234619,496.0957031,240.8627167,525.838562,174.5532379,394.5265503,103.1883545,226.9989166,22.9546299,51.82078934,144.8615112,32.02572632,85.67751312,12.93808746,52.28443909,5.159181118,39.26783371,0.559264421,0.706533253,5.218617439,1.604743719,1.863451362,0.311324954,0.911218286
0.2,10.94238281,11.84071541,6.00880146,38.83538818,24.01722717,31.69792366,100.1615906,47.28660965,154.9679871,59.77749252,105.8873672,163.161438,65.58853912,147.7604675,63.40644073,151.882782,106.3276291,285.0067444,188.2469635,267.8303833,446.2232971,216.9487457,470.9791565,156.2104797,352.7418823,90.71080017,195.0536499,19.96470261,44.7719841,125.5898361,28.4017334,74.47898102,11.75979519,46.13253021,4.289146423,31.73747444,0.480766833,0.611039877,4.238790512,1.384920716,1.428063393,0.28648302,0.84699738
0.25,10.22851563,11.0623827,5.635365486,36.50601959,22.59785271,29.75991058,94.26745605,44.95653152,148.4727478,57.6679306,102.159935,157.1671143,63.6727829,141.7846832,60.48406601,141.5200653,97.69953918,264.2326355,172.0057983,244.7396393,403.3435059,197.0432892,423.8010559,140.2763062,317.4083557,80.06784058,167.8688812,17.39744759,38.6922226,109.3388443,25.56867409,64.9331665,10.95654392,40.31816101,3.555465698,23.6073494,0.435681254,0.558661401,3.551779985,1.208562136,1.14137578,0.269871205,0.810958743
0.3,9.57421875,10.3439455,5.291204453,34.45421982,21.3768692,28.17190552,89.37722015,43.09376144,143.1788788,56.00312042,99.28050232,154.2143402,62.93704224,139.5462646,59.35709763,136.2675171,92.97994995,253.9477844,162.317337,231.3653717,378.1726074,186.6426392,398.7426758,131.7928314,299.2901306,74.30789948,152.072998,16.03239632,35.49559021,100.9554443,24.45355606,59.86728287,10.75297356,35.95901489,3.210287809,16.76426888,0.442464083,0.569020569,3.66915679,1.234055877,1.233718872,0.283710212,0.866171598
0.35,8.860351563,9.573707581,4.922852039,32.30854797,20.11858368,26.55226517,84.39479065,41.21313477,137.7442169,54.31688309,96.22180939,152.6495361,62.72069168,139.3476105,59.38730621,134.8628235,91.18158722,252.0591583,157.5114136,225.5420685,366.4964905,184.050415,394.405365,129.9387512,295.1388245,71.94749451,144.6472778,15.30683994,33.82059479,96.19626617,24.11330605,56.48161316,10.66481495,31.77505684,3.129487276,11.73662663,0.471533239,0.608535707,4.100763321,1.348614097,1.448284388,0.303114772,0.92829895
0.4,8.170898438,8.823332787,4.564156055,30.27516174,18.92805099,25.09141541,79.9482193,39.52359009,132.7155304,52.80924606,93.38440704,153.028717,63.34679413,141.7180481,60.89918518,138.6237793,93.25177002,262.1246948,160.253418,230.9246674,375.1638184,191.7176666,416.168457,136.6713409,307.8831787,74.06838226,148.1710052,15.44487858,34.06354141,95.97042084,24.67592239,56.26165009,10.924757,29.9290905,3.270295143,10.39762878,0.500654161,0.647168815,4.530158997,1.464671612,1.627491832,0.325536668,0.982672751
0.45,7.450195313,8.045225143,4.193324089,28.19595528,17.71450806,23.6672287,75.710289,37.91072083,127.6636124,51.22846603,90.49421692,154.0501251,64.28295135,145.0633698,63.34160614,146.1319427,98.02519226,280.9620667,168.2659607,242.8462219,397.168457,205.1231842,450.7843628,147.2809296,326.592041,77.849617,156.8758545,15.85169983,34.75863647,96.51468658,25.1635685,56.84799576,11.11024475,29.13355446,3.397139549,11.09679699,0.507727444,0.660866797,4.730854988,1.489522696,1.749755979,0.327834308,0.965411127
0.5,6.796875,7.33520174,3.846647263,26.26905251,16.56824684,22.43174553,72.00343323,36.41248322,122.6586227,49.50719452,87.3988266,153.5727844,64.51934052,146.2878113,65.10216522,152.4164124,102.4009323,297.8829041,175.6586761,253.5201263,416.3614502,215.9093781,478.4637756,155.8812256,341.7893677,81.03970337,164.6835327,16.24581528,35.45570755,97.34033203,25.54990005,57.83281708,11.21388245,29.26682854,3.491667986,12.3696537,0.510583162,0.668920934,4.820580006,1.491400957,1.819901466,0.327778041,0.945938468
0.55,6.079101563,6.55745697,3.451778412,23.89076042,15.11253548,20.72452164,66.60157013,33.84591293,113.4729385,45.98366928,81.15277863,146.9159546,61.75582886,139.7338409,63.46704483,150.1535645,101.6799469,298.4697876,175.1326294,253.0822754,416.1487122,216.2228546,482.5618591,157.3939972,343.8436279,81.09593964,165.2898254,16.04205894,34.83800125,95.78085327,25.28612518,57.39785004,11.01045227,28.93431282,3.491311789,13.18493938,0.51294297,0.671508253,4.823318481,1.48924315,1.842417479,0.326334119,0.914654315
0.6,5.372070313,5.797912598,3.061734676,21.26898575,13.52814198,18.67784119,59.88108826,30.46201897,101.3539352,41.1046257,72.64141846,134.0647583,55.76113129,125.493187,57.96960831,137.7142639,94.32356262,275.8036804,163.9705963,237.4993286,390.1525879,202.1403046,452.5914917,147.9604034,324.9605103,76.47848511,156.2287598,15.00748253,32.49024963,90.77945709,24.13995743,54.78635025,10.47299671,27.4750576,3.342669487,12.79543972,0.503095329,0.655814648,4.680288792,1.454896212,1.807685614,0.317234576,0.871713817
0.65,4.671875,5.043330193,2.667613029,18.59988594,11.91325378,16.54434204,52.86439896,26.94857597,89.22757721,36.06567001,64.1897583,119.6013412,49.0247612,110.6425552,51.65512085,123.2132111,85.13912964,245.7105408,149.181076,216.5207062,357.5972595,183.1206207,409.0379028,133.8027802,296.7379761,69.89458466,143.5149536,13.74349499,29.7162571,84.58031464,22.67989349,51.38044739,9.827816963,25.69636917,3.106571674,11.89974403,0.482724726,0.629229665,4.392828465,1.375141859,1.733000994,0.296485335,0.806057453
0.7,4.024414063,4.344260693,2.302907467,16.07536697,10.35342693,14.43840694,46.0597496,23.57710838,78.03814697,31.3735199,56.40009689,105.7796173,42.76906204,98.01914978,46.01337433,110.3937531,76.64417267,218.7084198,135.1264954,196.2702026,328.376709,165.0340271,366.400116,119.6194916,268.519928,63.15805435,131.3852386,12.52353382,27.01409531,77.59641266,20.95240021,47.54456329,9.075442314,23.8214035,2.837962151,10.73402596,0.448895603,0.587249815,4.014692783,1.250919223,1.641540766,0.265622735,0.70506078
0.75,3.306640625,3.575086832,1.895650744,13.21382999,8.55402565,12.00645638,38.20084381,19.65062714,65.14219666,25.96182442,47.59944916,89.96327209,35.79878235,84.80697632,39.92981339,97.15934753,67.66394043,191.9384918,120.1806335,174.8729248,297.7710571,146.3847351,323.282959,104.9719162,240.5047455,56.1102066,119.0943069,11.26425648,24.27582932,69.48291016,18.87648201,43.01173401,8.164291382,21.75800514,2.561073542,9.457015991,0.402208537,0.529967666,3.525582552,1.09072721,1.492373943,0.227037743,0.581984818
0.8,2.595703125,2.807103395,1.494415164,10.38172245,6.74996376,9.521443367,30.22141075,15.60748768,51.9630394,20.48801422,38.35079193,73.17256927,28.75734711,70.91729736,33.60351944,83.21566772,58.16835785,165.3000183,104.0091705,152.2827301,262.4411926,126.9527283,279.8253174,90.0812912,211.9961395,48.71037292,106.6406784,9.913410187,21.36783981,60.52389908,16.51525307,37.65276718,7.11164999,19.19452477,2.267536163,8.285165787,0.352256507,0.467117161,3.028456211,0.922495067,1.300499201,0.187449902,0.467996061
0.85,1.895507813,2.061356306,1.103440523,7.617104053,4.96938467,7.025244236,22.18853569,11.50430012,38.39500809,15.00075626,28.58216667,55.65537262,21.59786987,55.13523865,26.43532944,66.16606903,46.55312347,132.3752594,83.35601807,123.3087616,213.3519745,102.2442703,224.6608734,71.42897797,172.9481049,38.9382019,89.94676971,8.013253212,17.28858948,48.49792862,13.26751041,30.35323334,5.676745892,15.37374592,1.864711165,6.912056923,0.287892312,0.384019881,2.418955088,0.720368207,1.035710335,0.140890047,0.349001765
