abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.44335938,14.58646107,7.334031582,47.50341797,29.57347107,39.8005867,128.4741364,60.61491013,196.5765381,75.46746826,133.5749512,234.1988983,93.64126587,225.5745392,102.658165,252.7720795,180.6367645,495.8014221,326.3492126,475.7449646,780.7070923,388.5215149,862.8456421,281.224884,622.6201172,165.2678375,392.4888306,38.06637192,85.70042419,245.1015167,53.82952881,152.6790466,21.76324654,88.78903961,8.841205597,69.32783508,1.09411633,1.385023475,10.33540249,2.945477486,3.71470046,0.559941769,1.482972741
0.05,12.94726563,14.10784817,7.107234955,46.0348587,28.63286781,38.55802917,124.5102844,58.8678093,190.9436035,73.5007019,129.9043121,226.303772,91.04342651,218.4911041,98.9562912,242.7942505,172.5757294,476.3613586,312.3193665,452.9033508,743.927124,371.7944946,825.9845581,269.1016846,592.8789063,156.7279816,366.014679,36.39200592,81.74621582,233.1805573,51.86347198,146.3974457,21.01163864,85.42932892,8.530599594,66.77513123,1.06780386,1.348663926,10.1411438,2.90490365,3.608195305,0.555205643,1.458120823
0.1,12.31054688,13.41265488,6.77341938,43.83078384,27.23583031,36.52475739,118.265564,56.21046066,183.3011627,70.8784256,125.0269089,215.9502563,87.60700989,207.8932953,93.71050262,228.6299896,161.276886,448.1387024,291.2161865,419.9507446,690.6237183,345.5085449,767.8140869,249.2362823,544.9761353,142.8263702,328.7690735,33.1564827,74.18088531,211.4888458,47.29918671,132.0179901,19.18978691,78.21464539,7.645591736,60.28167343,0.968117952,1.220264673,9.098167419,2.686420918,3.244673252,0.521755099,1.356364131
0.15,11.60644531,12.63407516,6.398834705,41.40639496,25.71819687,34.35046005,111.5324097,53.38150787,175.3655548,68.22072601,120.1477432,205.9705048,84.41182709,197.6906433,88.60518646,213.8328552,149.5927887,417.0357971,267.7059021,383.4132996,629.9005737,315.2366028,700.0682373,226.0163422,489.7848816,126.7917557,287.2732849,29.29579353,65.20362091,186.108902,41.85787582,114.9255447,17.02490425,69.5238266,6.524177551,51.8762207,0.822855949,1.046406984,7.501680851,2.32196331,2.660057545,0.465993613,1.184566736
0.2,10.91308594,11.88609886,6.040871143,39.1210022,24.30632591,32.33511353,105.137146,50.70281982,167.7732239,65.68160248,115.5020142,197.2692566,81.66648102,188.8759918,84.09785461,200.1096497,138.8380432,386.8327942,244.8509216,348.3093262,569.6394043,285.2943726,632.9534302,203.0929718,436.4807129,111.505394,247.8248901,25.5278244,56.38645554,161.3537903,36.63646317,98.53316498,14.97787666,60.86450577,5.564332485,43.7553215,0.673917115,0.871688783,5.741259098,1.920843959,2.009439468,0.404395163,0.997765779
0.25,10.20117188,11.10268402,5.664438248,36.8397789,22.92107773,30.42494202,98.97232056,48.16853714,160.8009644,63.41622543,111.4676971,190.6664124,79.76806641,182.5696716,80.65431976,188.434906,129.6777344,359.6337585,223.5760193,315.7476807,510.710144,255.7827606,566.1790771,180.055481,384.6473083,96.57938385,209.044281,21.79154396,47.53573608,136.4632568,31.24361801,81.79819489,13.0296402,51.43997574,4.616581917,34.46953964,0.53988415,0.710199416,4.117961884,1.506656408,1.39426887,0.33493945,0.806790471
0.3,9.543945313,10.38139343,5.31761694,34.81439209,21.71252251,28.79330826,93.61312866,45.98488235,154.7003479,61.46233749,108.1384354,186.4160156,78.61190796,178.8963623,78.66474915,180.4146271,123.2829437,339.6721191,207.306076,290.9795837,464.0492249,232.6666565,512.8970337,161.709549,345.4344788,85.04779053,178.0896454,18.7090416,40.35078049,116.3311462,26.77672577,68.17521667,11.46652031,42.22153854,3.80964756,25.67775345,0.455126166,0.598098278,3.346163273,1.233055949,1.168999314,0.290531218,0.697788417
0.35,8.844726563,9.620779037,4.951596737,32.71956635,20.47187805,27.14034653,88.20527649,43.78832626,148.2462921,59.37453079,104.5819931,183.6352692,78.0610733,177.4835815,78.01002502,176.1956177,119.4712982,326.8103333,195.2190704,272.4031982,429.8452759,216.2427826,472.9826355,148.1337891,317.7105103,76.56551361,154.0324402,16.20793152,34.64780045,99.99101257,23.39316559,57.12018204,10.29202175,32.89734268,3.203458309,17.30656433,0.43890202,0.575622618,3.357424736,1.13660717,1.255838394,0.259717017,0.642782211
0.4,8.15234375,8.86516571,4.587924957,30.65843964,19.24505043,25.56410027,83.02417755,41.66872025,141.6520081,57.22353363,100.8514252,182.0348358,77.97904205,177.8965302,78.52046967,176.5997162,119.0015182,325.0354309,190.3258057,264.6492004,416.3695679,210.2708893,455.8427124,141.6561279,307.0074463,72.76634979,143.4603577,14.74008751,31.20809174,89.50093842,21.57053375,50.33900833,9.545445442,26.20467758,2.949056864,11.92775154,0.455373138,0.597029805,3.643881798,1.184727788,1.44007504,0.265258223,0.638656735
0.45,7.439453125,8.09089756,4.216169834,28.5449276,17.97745895,24.06209373,78.09786224,39.63239288,135.0493927,54.96633911,97.11760712,180.3791199,78.03294373,179.173172,79.76230621,180.6395111,121.1346664,332.7372742,191.789505,265.5651245,418.1105042,211.0631714,455.4589539,140.7039032,308.5418091,71.9866333,144.739151,14.10741234,29.34278107,83.17992401,20.63755035,46.46593094,9.071361542,23.30914116,2.91320467,9.778522491,0.474055588,0.623280525,3.977382898,1.274948955,1.600418329,0.287224412,0.687197983
