abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.24609375,14.39368439,7.148293018,48.04898834,29.2334938,40.532444,121.9384003,54.90526962,173.9251404,68.54911041,123.8792267,191.5979309,76.02468109,177.0736237,77.82361603,179.5962982,128.5466919,331.3193665,229.8620453,342.4515991,577.6559448,277.7569275,618.7369385,211.6096497,480.6790466,134.2868042,302.7886353,33.03242111,74.913414,182.1731873,48.41891479,117.6195755,21.71217728,76.88678741,9.749194145,47.94750595,1.069472194,1.361566186,10.21080971,3.053184509,3.106149435,0.529773235,1.821932197
0.05,12.72265625,13.76695251,6.846250057,46.06309891,27.96834183,39.07794189,117.8913422,53.11167145,167.4143982,66.00640106,119.6154938,183.9219208,72.89215851,167.6009216,73.37204742,168.0216064,119.2935486,308.8921814,213.9429626,319.8283691,539.8712769,260.0781555,581.6746826,199.1611481,457.65625,126.4154587,280.9807129,31.56242561,71.58330536,174.78685,47.60354996,115.1504135,21.72065163,75.82030487,9.552532196,44.73482513,1.065965772,1.35514164,10.15575218,3.036278486,3.041962147,0.524663329,1.796704531
0.1,12.15136719,13.1200304,6.53900528,43.95776367,26.65158463,37.44035339,113.3487091,51.1313324,160.7460327,63.40846252,115.2158966,176.675705,69.88625336,158.6430664,69.48197174,158.09198,111.4154968,290.1047974,200.4882355,300.2461243,508.4139099,245.74263,549.7700195,189.0041046,439.5340271,119.5519409,261.6152039,30.14533424,68.3635025,167.5688324,46.61095047,112.4044342,21.55433655,74.12609863,9.278828621,41.37664413,1.047981858,1.332885861,9.976547241,2.993163586,2.952342987,0.515711129,1.760804653
0.15,11.46679688,12.3761282,6.189149857,41.58957291,25.17408943,35.57290268,108.129364,48.89734268,153.5358887,60.64610672,110.4929352,169.6027985,66.83751678,149.4071655,65.64813232,148.4927521,103.9162369,272.3053589,187.5578308,281.2315063,478.7988586,232.4720459,518.7816772,179.5567474,423.5495605,112.7225571,242.5639801,28.73542404,65.10819244,160.6787262,45.50346756,109.5401764,21.29486275,71.7518158,8.876917839,37.1728096,1.013926148,1.290132165,9.638122559,2.923712492,2.83983016,0.506518185,1.722867489
0.2,10.76269531,11.61538887,5.831742764,39.17164993,23.67348862,33.64729309,102.6782608,46.52973938,145.8666077,57.67621613,105.4193649,162.6546783,63.80218506,140.5476074,62.10582733,139.9060669,97.38270569,256.5613098,176.0688629,264.3209839,452.3886414,220.8066406,490.7180176,171.1483612,410.3525085,106.5865173,225.6424561,27.42391205,62.05247498,154.7542114,44.2929039,106.7874146,20.91651344,68.92830658,8.414509773,32.95903015,0.973124623,1.239834547,9.244301796,2.833173037,2.729651213,0.496506631,1.686452746
0.25,10.04492188,10.84158802,5.463234901,36.72195053,22.17648697,31.72225761,97.19094086,44.12019348,138.0104828,54.58942032,100.2320862,156.2777863,60.91864777,132.623291,59.09280777,132.9524841,92.29332733,244.199173,166.8929443,250.9439545,430.7411499,211.3210297,466.9725037,164.2255249,400.5076599,101.7884369,212.2759552,26.39369583,59.69487381,150.5866699,43.251194,104.6468735,20.5255394,66.17521667,7.966210842,29.14076996,0.9337883,1.192192435,8.863606453,2.744028091,2.644867182,0.486606508,1.651126862
0.3,9.389648438,10.13254452,5.12283659,34.48615265,20.82902527,29.95732307,92.00922394,41.79332352,130.3630219,51.54319763,95.12174988,150.2036591,58.13859177,125.6798859,56.56592941,127.5400391,88.58358765,235.1799622,160.2443237,241.1725311,413.6979065,203.7254791,448.3106689,158.9018097,392.5654907,98.14414978,202.5445557,25.55781555,57.78121948,147.149231,42.25843048,102.6602173,20.09341621,63.70351028,7.602769375,26.42613411,0.898172319,1.1485641,8.517058372,2.649945736,2.57893014,0.475349337,1.610409856
0.35,8.69140625,9.383370399,4.760845661,32.10689545,19.40769577,28.0491848,86.2947998,39.2156868,121.9216919,48.164814,89.39401245,143.6322327,55.13637161,118.778717,54.05882263,122.4520874,85.26721191,227.0042725,154.3066864,232.4749451,397.5958252,196.1719513,430.2584534,153.5704346,383.4377136,94.38757324,193.4770355,24.67208862,55.77110672,143.1130981,41.04771805,100.1585922,19.53337479,61.06220245,7.291377544,24.38280296,0.865897954,1.108253837,8.185817719,2.549025297,2.525274992,0.461930454,1.560644031
0.4,7.9765625,8.612927437,4.38545084,29.64262772,17.9408474,26.04965973,80.31539917,36.48594284,113.1087952,44.63618088,83.30056,136.8537445,52.08653641,112.4560013,51.67594147,117.7277222,82.28827667,219.5193939,148.9662628,224.5063934,383.0498352,188.8090057,413.4282532,148.1644287,372.663269,90.51735687,185.0508423,23.70174408,53.63446808,138.0990906,39.64716339,97.21438599,18.87377548,58.61743546,7.038726807,23.16810417,0.842459857,1.081029415,7.915379524,2.458111763,2.47873807,0.447291762,1.505260944
0.45,7.279296875,7.8619771,4.02063036,27.20455933,16.49020767,24.04076195,74.25408936,33.74380875,104.3879166,41.14662552,77.18631744,129.8810272,49.09171677,106.8586197,49.44392395,113.4442139,79.56321716,212.7281952,144.115387,216.75,369.23349,181.2722473,396.5818787,142.1101074,358.9689026,86.11109161,175.9308624,22.54893303,51.09822845,131.4644318,37.84056091,93.29175568,17.99140549,55.79119492,6.770715237,22.4107399,0.819657147,1.055507064,7.663683414,2.366999626,2.415683031,0.433509409,1.447955847
0.5,6.616210938,7.146633625,3.671788454,24.88246918,15.10847282,22.09986305,68.39776611,31.10530472,96.10824585,37.80899811,71.41353607,122.9374237,46.19285202,101.9606323,47.3842659,109.6716537,77.10974884,206.8603668,139.8665466,209.9795685,358.2327881,174.8387299,382.4572754,136.5851898,346.1873474,82.05969238,167.7189941,21.46397591,48.7142067,124.9801178,36.10745239,89.46833038,17.10337639,52.97225952,6.489487648,21.76900291,0.793275893,1.027390599,7.413652897,2.282449484,2.346349955,0.421289921,1.404888868
0.55,5.903320313,6.381311417,3.294062614,22.39584351,13.64184093,20.0135746,62.01391983,28.29758835,87.50860596,34.37109756,65.44391632,115.330719,43.09355927,97.10015106,45.22185516,105.6709976,74.433815,200.4617767,135.2842865,202.7666626,347.6271667,168.286087,368.5661316,130.672699,332.5909729,77.82725525,159.5529633,20.33229637,46.24809647,118.2880096,34.22663879,85.13581848,16.09521484,49.60926437,6.138151169,20.82398033,0.755864918,0.984866023,7.053600788,2.182759523,2.260794163,0.407220542,1.360491276
0.6,5.205078125,5.632222176,2.920333147,19.82374573,12.12688351,17.81391525,55.29557037,25.34535027,78.59091187,30.81175232,59.12625885,106.4267273,39.67047119,91.73033905,42.88278198,101.3838654,71.51354218,193.5239563,130.3762817,195.1397095,337.1382446,161.7658691,355.1641541,124.5404739,318.4262695,73.48506165,151.5774841,19.15332222,43.64661407,111.0554047,32.11759949,80.06312561,14.9413414,45.84565353,5.72482872,19.76926231,0.705522239,0.923794746,6.520524502,2.038793325,2.122744083,0.385748178,1.295054674
0.65,4.489257813,4.865173817,2.53021121,17.18581009,10.56758976,15.55473709,48.40568161,22.32681274,69.57555389,27.23707008,52.63134766,96.77890015,36.00741577,85.81614685,40.30490875,96.53662109,68.18997955,185.105835,124.5458984,186.2368622,325.1153259,154.5750427,340.5479126,117.705101,302.1280823,68.65114594,143.0723572,17.82556915,40.67218399,102.6003571,29.55940056,73.6272049,13.55615997,41.439991,5.253691196,18.4894371,0.639619946,0.838188708,5.812314987,1.84837985,1.927616,0.35502255,1.182586312
0.7,3.846679688,4.176266193,2.181655169,14.7840786,9.124646187,13.40906048,41.78493881,19.39829254,60.80691147,23.77385139,46.25003815,86.6047287,32.24085236,79.34515381,37.48290634,90.98496246,64.44761658,175.5092468,117.8280945,176.194519,309.811676,146.3883667,323.5357361,110.139328,283.7390442,63.5794487,134.4853058,16.48470879,37.64766693,94.10868073,26.90361977,66.69382477,12.14125824,36.91722488,4.770180225,17.02803421,0.57236433,0.75231427,5.122632027,1.648673773,1.719310284,0.320852101,1.059149861
0.75,3.12890625,3.409837008,1.793099284,12.07243729,7.469579697,10.96026993,34.18678284,15.96842575,50.37060547,19.64421654,38.49129105,73.79741669,27.50476837,70.34136963,33.44332123,82.65076447,58.83603287,160.6337433,107.5373306,161.0587311,284.7201538,134.0240021,297.1077271,99.39482117,256.8408813,56.65621948,122.6960068,14.67130184,33.55462646,82.75193024,23.36910057,57.42400742,10.3183136,31.20471954,4.137346268,15.01013947,0.485405564,0.643683314,4.308555603,1.408090711,1.446224332,0.273214608,0.881616235
0.8,2.422851563,2.660053253,1.407302976,9.389641762,5.815832138,8.500340462,26.53661156,12.4643755,39.56902313,15.41045284,30.41637993,59.65677261,22.23178673,58.75950623,28.08625603,70.46893311,50.56731415,137.9999237,92.00113678,138.146347,244.4495392,115.2769852,255.8952332,84.30361938,218.0966034,47.50074387,106.0059967,12.29778194,28.1745472,68.67501831,19.04314232,46.18647385,8.195462227,24.67800903,3.350399971,12.33150768,0.377614856,0.506589472,3.380328655,1.118435979,1.129191279,0.213067129,0.669507623
0.85,1.720703125,1.917080879,1.021566153,6.709974766,4.152484417,5.988692284,18.66676521,8.827046394,28.33914566,11.04287434,21.91694069,43.92876053,16.31225014,44.21125793,21.16580391,53.81238937,38.94509888,105.7128525,70.0455246,105.6428452,187.233078,89.01667786,197.3404388,64.33822632,166.1726074,35.81162643,82.60731506,9.247477531,21.21870995,51.0782547,13.86793995,33.09146118,5.799571991,17.44521141,2.384402752,8.973443031,0.252672851,0.343392462,2.32915163,0.768924356,0.757553637,0.141236529,0.41777584
0.9,1.0625,1.232027531,0.663329601,4.300618649,2.658070803,3.760658026,11.45074081,5.449659824,18.00791168,7.027868271,14.05819511,28.75596428,10.48389816,28.92148972,13.82179451,35.504879,25.83787537,69.42147827,45.54188919,68.79451752,121.8175659,58.80207062,130.1732941,42.22679138,107.8023376,23.10779572,54.02471924,5.934621334,13.59767342,32.02774811,8.619170189,20.23575974,3.510457039,10.59456825,1.420768142,5.472483635,0.142600968,0.195079252,1.381001353,0.436461031,0.429455221,0.07787817,0.21171847
