abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,13.43847656,14.58272839,7.272865772,48.48970795,30.43631744,40.20785904,129.1557159,60.7942543,203.1703949,80.99769592,143.2537231,244.8495331,98.79235077,238.384964,107.6427383,270.7844849,195.2408905,523.6478882,352.6965027,511.8954163,789.1854248,401.5179443,865.2925415,288.6927185,660.6127319,181.5256653,438.2428284,43.6325798,100.1630554,304.9306335,66.74650574,195.5243073,20.44087982,88.03977203,6.750983238,45.77029037,0.552341819,0.804567993,5.890424252,1.669142485,2.439575672,0.25833416,0.746580064
0.05,12.86425781,13.99663925,6.994048595,46.73752213,29.32456779,38.84827042,125.0168381,58.8788681,196.5715485,78.24990082,138.7650146,242.6750641,97.42149353,237.7220001,107.7758179,272.0374756,197.2733154,525.7478638,355.0584412,519.6188354,803.3939209,405.4541626,875.5665894,291.2047729,667.713623,183.0188904,452.2100525,43.87767029,100.8295212,306.6439209,66.90259552,196.9924622,20.58940315,88.90459442,6.807490349,46.08120346,0.555475116,0.808878064,5.927873611,1.672107935,2.418765306,0.25873509,0.758376777
0.1,12.21875,13.29307079,6.658361435,44.63185501,27.98991585,37.26528549,120.2489243,56.74427032,189.7249908,75.21569061,133.7794342,240.4921875,95.79476166,237.0789795,107.5345993,271.4291382,198.1122437,524.2755737,355.6530762,524.8272095,816.382019,407.835968,884.2062988,292.6685791,672.953064,183.7886963,464.8264465,43.88293076,101.0525513,307.5350952,66.82583618,198.1587219,20.64109039,89.32027435,6.8318367,46.35445404,0.558426499,0.81159693,5.94350481,1.674670696,2.399291277,0.258920997,0.769477129
0.15,11.51171875,12.51480389,6.28977108,42.33303452,26.54226112,35.58192825,115.0770721,54.41940308,182.5391388,71.8962326,128.4968719,237.4572296,93.89820862,236.0739746,106.8905716,268.7059631,197.3066864,517.2423706,353.2295837,525.911438,824.2409058,407.5319214,888.0025635,292.7909851,676.1918335,184.0192719,473.7160339,43.66149521,100.828064,307.212677,66.53327942,198.6447754,20.65292168,89.56771851,6.849318504,46.49597549,0.560212016,0.812631309,5.975328445,1.684979439,2.375415325,0.261515796,0.796844304
0.2,10.81835938,11.76456642,5.933861732,40.06783295,25.1228447,33.90910339,109.9113312,52.12964249,175.6890564,68.72171783,123.3525085,233.9380646,92.11282349,235.4795685,106.4354858,266.9711914,196.4335175,510.6106567,351.072998,526.7750244,832.8989868,408.4212341,894.0947876,294.4838257,681.527771,185.1098175,479.637207,43.56760025,100.7456284,306.8556824,66.46781921,198.5292969,20.7566433,89.9486618,6.908221722,46.43722916,0.565906286,0.819265664,6.128359318,1.727442384,2.390644312,0.272021353,0.869777143
0.25,10.109375,10.98654079,5.559838295,37.75700378,23.71146774,32.23393631,104.7893982,49.91693115,169.4343567,65.7891922,118.3812943,230.5028687,90.7138443,236.1972656,106.8221054,267.4151306,196.5697784,508.3709412,351.3526001,530.465332,847.536438,413.2198792,908.2910767,299.0700684,692.0422363,187.7356567,484.1090088,43.80110931,101.2156601,307.4741211,66.92934418,197.9816589,21.04868698,90.68847656,7.039534569,46.4401207,0.581854165,0.840159118,6.414351463,1.81603241,2.456400871,0.291953534,0.978377819
0.3,9.450195313,10.2624445,5.210720539,35.64107895,22.44439125,30.72769356,99.99332428,47.85738373,163.5944824,63.06191254,113.6923828,226.9098969,89.38822174,237.4618073,107.4619446,268.5102234,196.9749298,508.4762573,352.223999,533.7510376,861.2255249,418.8807373,924.4408569,304.4832458,703.5253296,190.756073,486.5834961,44.14923859,101.8750305,307.7787781,67.59309387,196.8366394,21.40353012,90.95308685,7.170163631,46.33427429,0.601331651,0.863991857,6.710120201,1.915436506,2.530881643,0.313864648,1.083289146
0.35,8.750976563,9.503018379,4.844042301,33.41899872,21.10484123,29.06847191,94.64931488,45.55890274,156.7978973,60.12300873,108.5292587,223.1028442,88.28234863,238.9345093,108.4265747,271.8881226,198.7750244,516.6988525,356.2399292,541.942688,880.3104248,429.8594666,952.600769,314.6936646,725.1039429,196.2026672,497.1987305,45.00987625,103.586319,310.8043213,68.8527298,197.6145172,21.94367599,91.38890839,7.295134068,46.48580551,0.624164283,0.890192866,7.071593761,2.027920246,2.668980837,0.33716473,1.190557241
0.4,8.05859375,8.7504673,4.481458187,31.224226,19.76473618,27.39658737,89.15673065,43.12797928,149.0230713,56.98090744,103.0744019,219.647995,87.60809326,240.2180328,109.5023727,277.5352783,202.2064667,533.5199585,362.8174133,554.6923828,902.0731812,443.7218628,985.2388306,326.1047363,749.5341187,201.8034058,513.7246704,45.7890625,105.1377945,313.4934082,69.80380249,199.55896,22.35178185,90.96417236,7.299621582,46.71920395,0.633739769,0.900148034,7.200123787,2.065859795,2.735486269,0.345321327,1.220769167
0.45,7.350585938,7.983439445,4.114914417,28.95436478,18.36109734,25.63784409,83.36343384,40.47250366,140.1305084,53.67584229,97.42318726,215.927887,86.82298279,241.0625763,110.2518234,282.6703186,204.8343506,548.4718018,366.5158386,561.8101196,913.145752,451.4142761,1003.083679,332.1865845,762.8579102,204.2741547,526.8834229,45.86137772,105.3253555,312.782135,69.7582016,200.1713409,22.4071312,89.0867157,7.194283009,46.65949249,0.633274019,0.897592068,7.114215374,2.046513557,2.688492775,0.341881156,1.197748542
