abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,21.77313805,12.64023876,6.29168272,30.06083107,20.82946968,25.08798599,54.56482315,25.57412338,70.9489212,27.91153145,41.44003296,66.91294861,27.98067284,62.49494934,31.20351601,68.53909302,49.35663605,129.9428253,80.41912842,106.2733765,189.4832458,92.10993195,207.5984192,70.56064606,159.9195557,42.3998642,91.04611969,13.61933231,25.9132061,56.93538666,14.36381912,31.39379883,6.58682251,17.01108551,3.022260904,8.171114922,0.62345171,1.118875146,3.82529521,1.080367565,1.127750158,0.408626586,0.920547962
0.05,20.87765121,11.97106457,5.947681427,28.20085144,19.51603699,23.48011971,51.51162338,23.87302208,65.51548767,25.62741661,37.79593658,62.64215851,26.1776886,58.73903275,29.05054283,63.85870743,45.97071457,120.5182953,74.59706116,98.91178894,178.8054657,86.80622101,197.8261261,67.02167511,152.3676453,40.4397316,88.17988586,13.09050751,24.88348198,55.95047379,13.94042873,31.52332878,6.456445694,16.87972832,2.977234602,8.159446716,0.603997231,1.089536071,3.597246408,1.028135896,1.064670801,0.390327752,0.868301868
0.1,19.86989784,11.40258789,5.68617487,26.99801636,18.63440514,22.52985191,49.64525986,23.17624664,63.10128784,24.57692909,36.49742889,61.01903915,25.51822281,57.29168701,28.47867775,62.89000702,45.53865433,118.4052734,73.18106079,97.41540527,175.5598755,86.04612732,196.7136078,66.69115448,151.7596893,40.48519135,91.53633881,13.07062626,24.92491341,57.50849152,14.00395489,33.05014038,6.512193203,17.4507122,3.014400005,8.635334015,0.598839283,1.08266139,3.407893419,0.983026743,1.006376863,0.37960577,0.828858495
0.15,18.76480865,10.77314186,5.398437023,25.69996834,17.70339394,21.54307747,47.65419769,22.45070076,60.43665695,23.39338493,35.11742783,59.49477386,24.82778931,55.93274689,27.98306465,62.13253403,45.30539322,116.5399704,72.2106781,96.84817505,174.2810516,86.09873199,198.1493988,67.04141235,153.9242706,40.91654205,96.6709671,13.17036533,25.19543648,60.11791611,14.26646233,35.4310112,6.663689613,18.53318596,3.094223261,9.412413597,0.605106831,1.097111225,3.323511362,0.956768453,0.97737509,0.373888552,0.808143497
0.2,17.65130806,10.1396637,5.108944416,24.39890862,16.78102493,20.59148026,45.71052933,21.75984764,57.80139923,22.21147346,33.79094696,58.25027084,24.18781662,54.81629562,27.58866119,61.57366943,45.21349716,114.940712,71.58069611,96.91239166,174.0720215,86.44226074,200.3693848,67.41820526,157.0038452,41.30856323,101.4811249,13.25990009,25.39068031,62.28437805,14.47902775,37.49682999,6.781496048,19.48623276,3.147616625,10.04448986,0.598822117,1.094348669,3.249977827,0.930755317,0.954078376,0.363516659,0.779536009
0.25,16.53061295,9.497394562,4.816271782,23.19709778,15.9388504,19.75213432,43.82503128,21.11416245,55.25698471,21.07441521,32.53492737,57.13468933,23.54006958,53.8492012,27.22710991,61.10485077,45.16198349,113.4143829,71.09159851,97.32553101,174.6033173,86.83896637,202.6147003,67.61675262,160.101944,41.5050087,105.2239532,13.29452705,25.45795822,63.62259674,14.56030941,38.74656296,6.795996666,19.94881439,3.140849829,10.34278584,0.58142823,1.070576668,3.16558218,0.899699807,0.924027026,0.348548144,0.746413529
0.3,15.49240685,8.899370193,4.544064045,22.17084312,15.2317791,19.08410454,42.14571762,20.55888748,53.09824753,20.16137505,31.52212906,56.17479324,22.94230843,53.1023407,26.90185547,60.82265472,45.11330032,112.1761627,70.72904205,97.66390991,174.8582611,86.63516235,203.6322937,67.25495148,162.194931,41.31457138,107.5216827,13.22132587,25.31016159,63.98300934,14.49996281,39.35652542,6.752951622,20.08696938,3.113093138,10.32682228,0.56569469,1.045701981,3.072843313,0.861543953,0.888085902,0.330849171,0.706716955
0.35,14.36732674,8.254454613,4.247686863,21.0788002,14.49312782,18.40914726,40.42615128,20.05715561,50.95719147,19.26045609,30.52511978,55.31287766,22.3882637,52.5778656,26.65293121,60.90799713,45.24142075,111.544281,70.59820557,98.12406158,175.8775482,86.42333221,204.8568268,66.80756378,164.4257965,41.0362854,109.1516266,13.1300745,25.09962273,64.49115753,14.53036022,40.40221786,6.787207127,20.57099915,3.133599758,10.35942936,0.568386018,1.050222874,3.028000116,0.840993881,0.862080932,0.31792295,0.674683809
0.4,13.24039364,7.605882168,3.950735331,20.01575851,13.78714657,17.78547096,38.78563309,19.64242554,49.05126953,18.48204613,29.70887184,54.75639725,21.99848557,52.42186356,26.57464981,61.41274261,45.65711594,111.7330017,70.80381775,98.90638733,178.3830109,86.93534851,207.4212189,66.95954895,167.677002,41.15210342,110.4104919,13.22307014,25.203125,65.5656662,14.80631161,42.07091141,6.993213654,21.59528923,3.249746561,10.66509151,0.594659209,1.096336722,3.124270439,0.860506415,0.859620512,0.314782292,0.667955339
0.45,12.11210537,6.956688881,3.661036015,18.97695351,13.14413548,17.22296715,37.14794922,19.2302475,47.22465515,17.77894783,28.96636772,54.27936554,21.6619854,52.41119385,26.56765175,62.05678177,46.20106125,112.5465546,71.32383728,100.0256729,181.9594574,88.08502197,211.0615082,67.70275116,171.7832794,41.7600708,112.0001984,13.52799892,25.72729492,67.79563141,15.3525238,44.35535049,7.35116148,23.04825974,3.428741455,11.21344662,0.631266356,1.153880954,3.26367569,0.883991241,0.862798274,0.310705751,0.657966614
