abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.603827953,7.896233559,3.970409393,25.45141602,15.71912575,21.33169746,65.14080811,28.20689201,90.52528381,36.55368042,63.24137878,111.8058472,49.14812851,119.6864853,52.52559662,117.4570541,86.52644348,217.4637299,129.9819489,215.9029083,464.3294067,239.841095,546.2432861,183.9280396,464.1293945,107.0671005,288.3482056,24.46382141,54.87829208,180.7440948,42.13893509,123.7234497,15.28060722,55.85435104,3.476032734,18.17382813,0.570535243,0.874769092,3.13032198,0.898048222,0.920458734,0.390722066,0.934948444
0.05,7.244685173,7.530863762,3.796187401,24.37593079,15.03887081,20.52284622,62.88376236,27.39124298,88.37186432,35.66481018,61.93801498,112.2502899,49.30546951,121.5711365,53.59760666,122.5317459,91.26870728,225.3235168,135.4773254,225.233902,484.4992371,251.2128143,573.5437622,190.6010284,490.0884094,111.2935486,315.402771,24.87717247,55.70925522,187.3962402,42.6204071,131.3794708,15.33662128,60.77236938,3.434773922,20.1731205,0.54893142,0.844205797,3.001196623,0.861340523,0.86513257,0.380961537,0.934406519
0.1,6.882473469,7.153488636,3.615878105,23.30270767,14.3707304,19.76811028,60.84248352,26.7482605,86.74850464,34.99340439,61.11198044,114.0860977,50.00257492,124.9824219,55.30725861,128.9684753,96.97783661,235.2728271,141.9687958,236.1035614,508.4300842,264.26828,604.2705078,198.2034607,518.22052,115.7622375,342.1078491,25.41875839,56.87365341,194.3122864,43.27038956,138.9666748,15.45333195,65.92266846,3.435587406,22.12943459,0.533433318,0.822701454,2.934173107,0.83797878,0.835159063,0.374764532,0.943203807
0.15,6.486959457,6.740596771,3.419019938,22.16385078,13.66725349,19.00864601,58.8279953,26.17417908,85.29901886,34.38622665,60.467453,116.7888412,51.01926041,129.5991669,57.48103714,136.5192261,103.5275726,246.7526855,149.1422424,248.0737,535.1385498,278.7547607,638.1052856,206.5548096,548.7286377,120.5066147,370.635376,26.01172447,58.14337921,201.9569092,44.06876755,147.3042297,15.63192272,71.68405151,3.458596706,24.26591873,0.520256817,0.804865181,2.901554346,0.820539296,0.816065192,0.369369537,0.960708737
0.2,6.095975399,6.333618164,3.22453475,21.07582474,12.99789143,18.31710434,57.03671646,25.70730972,84.1260376,33.86436081,59.99661255,119.7375259,52.11543274,134.4979401,59.65649414,143.8664093,109.8165283,257.7141418,155.6233521,258.9067993,559.5916748,292.1525879,669.2385254,214.1552277,576.9955444,124.7607651,397.1222229,26.50327682,59.17833328,209.2117004,44.83118439,155.2049561,15.83088684,77.1541214,3.491569042,26.33402443,0.511333764,0.79327333,2.904728413,0.811351836,0.805811763,0.364573002,0.979458153
0.25,5.704460144,5.926873684,3.029278278,20.02785492,12.36231709,17.69158936,55.40725327,25.31108284,83.1880188,33.38936234,59.63312149,122.8587799,53.25588989,139.5262451,61.8085022,151.0042419,115.8461838,267.8793335,161.3525238,268.5668945,581.5764771,304.2759399,697.1066895,220.6994171,601.8375854,128.3460846,420.9840698,26.84028625,59.86568451,215.7651062,45.48061752,162.7036285,15.99590969,82.3815155,3.526680708,28.22914886,0.503921628,0.78400147,2.933571339,0.802833915,0.796012163,0.359555095,0.989705145
0.3,5.341112614,5.549094677,2.847627878,19.09150314,11.80638981,17.15270424,53.95716095,24.93505669,82.30423737,32.88097,59.23781967,125.8218384,54.33060455,144.1583862,63.71888351,157.4278564,121.1723938,276.6152039,165.9244385,276.2878723,599.5150146,314.1829224,719.5932617,225.8804626,621.3057861,131.0934448,440.1076965,27.00756836,60.21227646,221.2649689,45.97566605,169.1482391,16.11394119,86.84043121,3.557989359,29.73199844,0.49398461,0.772082865,2.967903614,0.79513824,0.784083307,0.353084922,0.984918773
0.35,4.947179317,5.136796474,2.648029804,18.05927467,11.19810295,16.5441227,52.30911255,24.39822006,80.91539764,32.12786484,58.57474136,128.7264404,55.32716751,148.8832703,65.55270386,163.875473,126.3184357,284.9310913,169.832428,282.7397461,615.2928467,322.771698,738.0267944,230.0182953,635.1134644,133.453125,455.3676758,27.1105957,60.46674728,226.9414063,46.54033661,176.1612396,16.25610924,91.46514893,3.617562771,31.07583237,0.478560597,0.753459692,3.036099195,0.785112381,0.774255157,0.346126974,0.964913011
0.4,4.545586109,4.720085144,2.445962667,16.94017792,10.54666615,15.7939682,50.10784912,23.46616936,78.05986023,30.80094528,57.08432388,130.0590668,55.59496689,152.1447449,66.71929932,168.479126,129.7467346,289.6131897,171.4823456,285.1202087,621.9103394,326.0937805,742.1661987,229.7333832,631.5842285,133.8717804,458.2876282,26.98987579,60.14919662,228.7507935,46.57300186,179.8122864,16.17046165,94.03076935,3.646884203,31.38833046,0.455996871,0.72813648,3.08519721,0.757515788,0.769883156,0.338062763,0.918396115
0.45,4.154197216,4.314007759,2.24868536,15.74371433,9.850152016,14.86874485,47.15209579,22.12652397,73.75149536,28.94583321,54.41970444,128.0640564,54.46205521,151.1881714,66.08892059,167.9346771,129.1300201,285.102478,168.4984436,280.0181885,611.8658447,320.1053162,725.9159546,222.5731659,607.2548828,130.5637207,445.3907166,26.30003929,58.40106964,221.1044159,44.94272232,174.0978699,15.47598934,91.23792267,3.494534969,29.77801704,0.4201186,0.679014683,2.96258688,0.693929374,0.741934896,0.314577669,0.817396998
