abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,188.6593628,74.31491089,36.49663544,136.364502,103.7671204,120.1832352,253.9515686,107.0730591,257.5176086,106.8129883,160.9095459,327.8442383,140.0200653,339.8061218,143.8556824,315.8666382,238.3055573,573.1212158,327.6470947,460.8062134,900.4112549,436.5105896,998.6479492,289.450592,695.2557373,151.7090302,402.949707,35.8180542,70.94022369,196.7369385,42.06639481,106.2176743,15.879282,48.06210327,6.758105278,21.94224358,0.752311885,1.451385498,5.961834908,1.612051606,1.465904474,0.450074494,1.046939731
0.05,179.2850189,70.78221893,35.01103592,129.6562958,98.49314117,113.8223419,242.2702026,102.8404922,243.1281891,99.5609436,150.8690033,310.6324768,132.6701965,322.6846008,136.2885895,300.4685974,225.5464783,543.1276855,307.6203308,433.2273254,851.4927979,415.375946,950.4317627,276.7267761,660.640625,144.8257141,376.7473755,34.2026062,67.57413483,185.2357635,40.39915848,100.4156952,15.31161594,45.67148972,6.491276741,20.36250687,0.719493151,1.387700915,5.580198765,1.5482831,1.397168994,0.438103765,1.024136305
0.1,170.3936005,67.24176025,33.41573334,124.059433,93.75966644,108.4473648,229.7948456,98.64762115,228.9798737,92.48933411,140.6650391,291.4713745,125.1947327,303.8242493,128.9746552,284.9068604,214.0126801,513.199707,288.9829102,406.1051636,799.7950439,393.0472412,895.484314,263.2206116,619.5107422,138.1363068,348.3049011,32.72904968,64.46191406,173.5112762,38.64731979,93.91667175,14.71268177,42.90060425,6.251895905,18.83499146,0.694518805,1.33786869,5.306833267,1.512268782,1.366007209,0.434028208,1.02083075
0.15,160.7582855,63.48842239,31.76898003,118.5680389,89.28067017,103.0128021,217.5440521,95.00198364,214.2454987,85.12316895,130.0444794,272.2432251,118.1263733,285.2728271,122.3508072,270.5968323,203.8467407,483.7931213,270.7203369,379.4028931,748.0859375,371.6044006,841.0195923,249.8219452,578.4959106,131.5678406,320.4467773,31.25977325,61.36354065,161.8525391,36.90943527,87.46940613,14.11038876,40.16791916,6.011604786,17.37585258,0.668078542,1.284750342,5.023813248,1.476057291,1.340647101,0.430204183,1.021172881
0.2,151.122879,59.68981552,30.08412361,112.5591125,84.88109589,97.60656738,206.3278809,92.12532043,200.9647064,78.39134979,120.3752213,255.2309875,112.0123596,269.0316772,117.0609283,258.5566406,195.6960297,458.0377808,254.7528534,355.7422791,701.5924683,353.1208496,792.364624,237.837677,541.8619995,125.8512039,296.1868286,29.96616173,58.63312149,151.5020599,35.37846756,81.76780701,13.56723785,37.7473793,5.795084,16.13653755,0.644664288,1.23672843,4.773483753,1.443728924,1.32558763,0.427996069,1.030869365
0.25,141.4884186,55.983181,28.37588692,108.8769455,81.26757813,93.19705963,196.3951111,90.11045837,190.0354919,72.6776123,112.1158295,240.2951202,106.8555298,255.238327,113.0719299,248.5348816,189.354248,436.1743469,241.3974762,335.5338135,660.9315186,337.8328247,750.1531982,227.4756622,510.2963867,121.1414795,275.9880676,28.87595177,56.32226563,142.6745605,34.08937073,76.9152298,13.1089716,35.73096085,5.614068508,15.15413761,0.625559211,1.196346641,4.570219994,1.418727517,1.318359494,0.426630557,1.048074245
0.3,132.592041,52.49317551,26.89328575,105.4589767,78.83161926,89.95371246,188.1988525,88.85998535,183.204361,70.04343414,107.2466431,228.0671844,102.8279877,243.8393402,110.053772,240.7142487,184.7885437,418.8621521,230.9628906,319.6399536,628.196228,326.3305969,716.7208252,219.3670349,485.5935364,117.6016617,260.8145752,28.02548981,54.51673126,135.823349,33.10047531,73.15938568,12.75058937,34.21519089,5.4738307,14.45827675,0.612462044,1.167517185,4.418070316,1.400819182,1.319083214,0.426784933,1.076603174
0.35,122.9569778,48.5625,25.18157768,102.2819672,76.08824158,86.46089935,180.4694672,88.84199524,177.2633667,67.91894531,102.8887329,217.1065979,99.36672974,233.5625458,107.8478775,234.980545,182.2120667,404.6537781,222.6582794,306.4207153,599.6520386,317.2955933,687.4650879,212.5585175,464.1063843,115.01194,248.3065338,27.36787796,53.10787201,130.1768646,32.33929443,70.05609131,12.46886826,33.02112961,5.37141037,13.955863,0.604720771,1.146744967,4.306825161,1.389349818,1.328208089,0.430805236,1.11402607
0.4,113.3209229,44.81510544,23.47777367,99.28788757,73.68276978,83.41931152,174.3526611,89.71585846,172.583313,66.54097748,99.43042755,207.9250183,96.64231873,225.103363,106.6009064,231.8303223,181.8799438,394.8455505,217.219986,297.2539063,578.4126587,311.6879272,665.7059937,207.8586578,448.6399841,113.8586197,239.9168549,27.00601387,52.28192902,126.2993851,31.88596725,67.85412598,12.28846931,32.21569061,5.312253475,13.61714172,0.6028018,1.138044119,4.243054867,1.383853197,1.340799332,0.436616212,1.145710707
0.45,103.6845703,41.00027466,21.96467209,96.39562988,72.17056274,81.3575592,168.818634,90.94741821,169.0945129,66.25817108,97.33344269,200.654541,94.81052399,218.4011688,106.261795,231.1783752,183.7583771,389.7145996,214.9027405,292.3956909,564.8916626,309.6392212,651.9846802,205.4282532,439.7076721,114.4434967,236.0006714,26.98075867,52.14711761,124.1932983,31.75805664,66.4877243,12.19897175,31.77469635,5.302874565,13.43360615,0.605921865,1.139864922,4.226615429,1.388639212,1.353962421,0.443332165,1.163725734
